ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005819	spindle	59/1260	472/22568	5.794949804813066e-9	1.1995546095963045e-6	9.02792180118246e-7	AKT1/PSRC1/ASPM/CDC42/LEMD2/CEP85/KAT14/WNK1/CDC25B/CEP104/RIF1/NEK6/MAP7D1/FAM110A/TUBB2B/MAEA/HNRNPU/CLASP2/MIS12/MAP4/NSUN2/NUMA1/CDC16/KIF22/GOLGA2/HDAC3/SBDS/CEP162/MAP1S/MMS19/HECW2/CLTA/PLK1/DCTN3/CDC7/ZNF207/KIF23/HAUS7/CCAR2/KATNBL1/TADA3/CEP63/DCDC1/UNC119/EVI5/TAF1D/CEP128/TTC23L/CENPV/CHAMP1/SPECC1L/APP/ARHGEF2/KIF11/KIFC2/CDC27/RGS14/CHMP2A/HSPB1	59
GO:0005938	cell cortex	43/1260	318/22568	7.33510827510539e-8	7.591837064734078e-6	5.713663287976829e-6	AKT1/CAPN2/COBL/FSCN1/TMEM250/GPSM1/SHROOM4/MYO9B/GRK4/MPP7/EXOC3/UNC13B/TPM4/CLTB/SEPTIN8/EZR/FAM110A/PPFIA3/MYH10/MAEA/CLASP2/SEPTIN4/NCL/NUMA1/NRBP1/CLTA/MYO6/ARFIP2/DST/PTK2/STXBP1/CD302/SPTBN1/RTKN/EXOC7/WDR1/NSMF/CALD1/MYO5B/DBNL/CTBP2/PHLDB1/RIMS2	43
GO:0099568	cytoplasmic region	39/1260	301/22568	8.831613064267941e-7	4.849124165141473e-5	3.649480683655927e-5	RP1/CCDC39/DNAH1/AP3B1/CFAP221/UNC13B/CLTB/SPATA7/HIF1A/STAU2/IFT140/PPFIA3/HNRNPU/CLASP2/GRIK2/GLI3/MAP4/WDR11/NUMA1/AMBRA1/CFAP91/CEP162/MAPK8IP3/CLTA/DLG2/KIF1B/RPGRIP1L/DST/WDR54/STXBP1/KIF5A/KIF5C/MYO5B/SPACA9/CTBP2/PHLDB1/RIMS2/BBS7/HSPB1	39
GO:0005925	focal adhesion	55/1260	495/22568	9.370288241819272e-7	4.849124165141473e-5	3.649480683655927e-5	PGM5/FOCAD/ITGA1/CAPN2/CDC42/NOX4/MAP2K1/TGFB1I1/CTNNA1/SHROOM4/PDIA3/PABPC1/SVIL/RRAS2/FAM107A/PI4KA/TPM4/SRP68/GNB2/CD59/EZR/VASP/PAK4/AJUBA/NEXN/CLASP2/DOCK7/ADD1/TRIOBP/RPS7/AMBRA1/FLRT2/RPL8/PDCD6IP/RPL27/RPL31/PDGFRB/RPL9/KIF23/SLC4A2/DST/RSU1/PTK2/PAK1/RPL12/EVL/CASK/FHL1/ARHGEF2/FBLN7/TNS3/JAK1/SHC1/AFAP1/HSPB1	55
GO:0034399	nuclear periphery	24/1260	159/22568	8.431792342687058e-6	3.490762029872442e-4	2.6271689825635463e-4	AKAP8/NUP205/TGFB1I1/PRR14/PSPC1/MAEA/TELO2/HNRNPU/NUMA1/MYB/ATXN3/ERCC8/HNRNPA2B1/ZNF326/PPIG/SRPK1/CFL2/MATR3/TP53/CASK/NSMF/RGS12/MEN1/IFFO1	24
GO:0016363	nuclear matrix	21/1260	134/22568	1.6931398169003876e-5	5.135993606759104e-4	3.865380390543337e-4	AKAP8/TGFB1I1/PSPC1/MAEA/HNRNPU/NUMA1/MYB/ATXN3/ERCC8/HNRNPA2B1/ZNF326/PPIG/SRPK1/CFL2/MATR3/TP53/CASK/NSMF/RGS12/MEN1/IFFO1	21
GO:0030496	midbody	28/1260	210/22568	1.7368094322373778e-5	5.135993606759104e-4	3.865380390543337e-4	NEXMIF/PSRC1/ASPM/CDC42/PKN1/SVIL/EXOC3/PKN2/C9orf72/MYH10/HNRNPU/PITPNM1/USP3/TRIOBP/CEP126/PDCD6IP/PLK1/DCTN3/KIF23/KATNBL1/GNL3/DCDC1/TTC23L/CENPV/EXOC7/APC2/CHMP2A/IST1	28
GO:0031252	cell leading edge	48/1260	461/22568	2.5513265824257288e-5	6.601557532026573e-4	4.968372818407998e-4	TESC/AKT1/PTPRJ/COBL/CDC42/FSCN1/CTNNA1/MYO9B/PLXND1/PABPC1/INPP5J/DPP9/AMPH/FAM107A/KLHL2/KSR1/EZR/VASP/PKN2/MYH10/EPB41L3/AJUBA/CLASP2/NRBP1/PTPN13/DGKZ/ROBO2/MYO6/SNX5/TPM1/APBB1/ARFIP2/RIPOR2/DST/PAK1/EVL/MYLK/SPTBN1/MTMR14/APC2/SHTN1/KCNB1/STX3/ARHGEF2/DBNL/ABI1/DUSP22/APBB2	48
GO:0072686	mitotic spindle	26/1260	211/22568	1.2971260241901008e-4	0.002983389855637232	0.002245317562340759	ASPM/CDC42/KAT14/WNK1/TUBB2B/HNRNPU/CLASP2/MAP4/NUMA1/CDC16/KIF22/GOLGA2/HDAC3/MAP1S/HECW2/PLK1/CDC7/KIF23/HAUS7/KATNBL1/TADA3/DCDC1/TAF1D/KIF11/KIFC2/CDC27	26
GO:0030027	lamellipodium	26/1260	220/22568	2.5454214173225664e-4	0.005269022333857712	0.003965498629091998	TESC/AKT1/FSCN1/CTNNA1/MYO9B/PLXND1/PABPC1/KLHL2/VASP/PKN2/MYH10/AJUBA/NRBP1/PTPN13/DGKZ/APBB1/PAK1/EVL/MYLK/APC2/SHTN1/STX3/DBNL/ABI1/DUSP22/APBB2	26
GO:0031965	nuclear membrane	36/1260	348/22568	2.8387865268143667e-4	0.005342080100459762	0.004020482353765802	ADRA1A/SIRT1/TOR1AIP1/NUP205/LEMD2/AEN/SIGMAR1/ZC3HC1/TNRC18/PHF11/RIF1/STAU2/XPO1/C9orf72/MINDY3/PRICKLE2/SEPHS1/CPNE1/ZNF383/POM121C/MYO6/SHISA5/MATR3/DHX37/PRICKLE1/PAK1/CEP128/ARL6IP6/GLE1/CENPV/NSMF/KPNA2/PHF8/MCM3AP/ERN1/IFFO1	36
