ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0098687	chromosomal region	149/3110	444/22568	8.257433938022324e-27	1.7175462591086434e-24	9.300478224930406e-25	SYCP1/MAJIN/MEIKIN/PKHD1/IKZF1/SP100/RASSF2/TEX14/DYNC1I1/SYCP3/CEBPB/KDM4C/ZWILCH/NUP107/POLE3/XRCC6/RBBP7/MAD1L1/RBBP4/CBX1/HNRNPA2B1/NSMCE4A/NUP43/CBX3/MACROH2A1/CENPX/NUP160/RANGAP1/RAD21/MRE11/DYNLL1/DCLRE1B/H3-3A/BOD1/SMARCE1/RPA2/ACTB/PTGES3/PLK2/PPP1CA/CENPS/THOC6/XRCC5/CKAP5/XRCC1/ITGB3BP/RECQL4/RPA1/ALYREF/CBX5/SKA2/WRAP53/BAZ1A/CDK2/HDAC2/KNSTRN/SGO1/BUB3/CHEK2/AURKA/ACTL6A/CHRAC1/SLF1/THOC3/INCENP/CENPQ/KNTC1/BRCA2/SPDL1/MACROH2A2/BLM/CHEK1/CENPL/PHF6/PCNA/MIS18A/SUV39H2/EZH2/DSCC1/POLD1/ORC1/CENPI/H2AX/CENPV/FEN1/CDT1/SGO2/H4C2/MCM3/DNA2/KIF22/H4C5/KIF2C/BUB1B/HELLS/ESCO2/KNL1/RAD50/CENPE/CENPO/MCM4/SMC4/MCM7/SPAG5/H4C8/MCM6/NCAPD2/CDCA8/CENPH/NCAPG/H4C9/SKA3/RAD51AP1/H4C3/CENPW/KIF18A/H2BC3/MCM5/CENPU/TTK/NDC80/H2AC8/H4C12/BUB1/CENPK/NUF2/SPC24/MCM2/CDCA5/CENPM/ZWINT/PIF1/PLK1/NEK2/MIS18BP1/BIRC5/H4C4/CDK1/MAD2L1/CCNB1/HJURP/CDC20/H2BC11/CENPF/TOP2A/AURKB/OIP5/CENPA/H2AC4	149
GO:0000775	chromosome, centromeric region	104/3110	277/22568	2.681878893094153e-23	2.789154048817919e-21	1.5103212713740756e-21	SYCP1/MEIKIN/PKHD1/IKZF1/RASSF2/TEX14/DYNC1I1/SYCP3/CEBPB/KDM4C/ZWILCH/NUP107/POLE3/MAD1L1/CBX1/NUP43/CBX3/MACROH2A1/CENPX/NUP160/RANGAP1/RAD21/DYNLL1/H3-3A/BOD1/SMARCE1/ACTB/PLK2/CENPS/CKAP5/ITGB3BP/CBX5/SKA2/BAZ1A/KNSTRN/SGO1/BUB3/AURKA/ACTL6A/CHRAC1/INCENP/CENPQ/KNTC1/SPDL1/CENPL/PHF6/MIS18A/SUV39H2/EZH2/DSCC1/CENPI/CENPV/CDT1/SGO2/H4C2/KIF22/H4C5/KIF2C/BUB1B/HELLS/ESCO2/KNL1/CENPE/CENPO/SMC4/SPAG5/H4C8/NCAPD2/CDCA8/CENPH/NCAPG/H4C9/SKA3/H4C3/CENPW/KIF18A/CENPU/TTK/NDC80/H2AC8/H4C12/BUB1/CENPK/NUF2/SPC24/CDCA5/CENPM/ZWINT/PLK1/NEK2/MIS18BP1/BIRC5/H4C4/MAD2L1/CCNB1/HJURP/CDC20/H2BC11/CENPF/TOP2A/AURKB/OIP5/CENPA/H2AC4	104
GO:0000793	condensed chromosome	106/3110	296/22568	7.307369461968471e-22	5.066442826964806e-20	2.7434685348443026e-20	FAM9A/SYCP1/TEX11/MEIKIN/HORMAD2/ESRRB/SYCE3/RASSF2/TEX14/DYNC1I1/SYCP3/CEBPB/ZWILCH/NCAPH2/NUP107/TOPBP1/MAD1L1/NSMCE4A/NUP43/CBX3/MACROH2A1/CENPX/UBE2I/NUP160/RANGAP1/RAD21/DYNLL1/H3-3A/BOD1/SMARCE1/ACTB/PLK2/CENPS/CKAP5/ITGB3BP/NCAPG2/HMGB1/CBX5/SKA2/FANCD2/BANF1/CDK2/TUBG1/KNSTRN/SGO1/BUB3/AURKA/ACTL6A/PSMC3IP/SLF1/TUBA1A/INCENP/CENPQ/KNTC1/BRCA2/SPDL1/BLM/CHEK1/CENPL/PHF6/SMC2/BRCA1/RCC1/CENPI/H2AX/CENPV/CDT1/SGO2/KIF22/KIF2C/BUB1B/KNL1/RAD50/CENPE/CENPO/SMC4/SPAG5/NCAPD2/CENPH/NCAPG/SKA3/NCAPH/CENPW/KIF18A/CENPU/TTK/NDC80/BUB1/CENPK/NUF2/SPC24/HMGB2/CENPM/ZWINT/PLK1/NEK2/MKI67/BIRC5/MAD2L1/CCNB1/HJURP/CDC20/CENPF/TOP2A/AURKB/CENPA	106
GO:0097060	synaptic membrane	130/3110	428/22568	2.778007658133274e-19	1.156285199523092e-17	6.261260948834557e-18	SCN10A/GABRR3/GABRA1/HCN1/NETO1/GABRG1/GLRA3/GABRA5/CDH9/LRFN2/CHRM2/UNC13C/HTR3B/GABRR1/SHISA8/GABRP/LRFN2/SLC6A11/KCNB1/GRM7/GABRG2/OTOF/DMD/GPR158/SLC1A7/IGSF21/RGS9/SLC1A2/NRXN3/PTPRT/LRRC4C/GABRB1/ADCY8/SNAP25/DGKB/OPRD1/GRIN2A/RIMS2/DLG2/GABRG3/GABRB2/DNM3/GRIK4/LHFPL4/NTNG2/GRID2IP/KCNH1/ACTN2/ATP2B2/SCN2A/IL1RAPL1/STX3/ITGB3/PLPPR4/SORCS3/ADCY1/RPH3A/GRIK2/NRP1/KCNA2/GABRR2/LRRC7/DGKI/GLRA1/GRID1/CNTN1/SYP/UNC13A/NRXN1/KCNMA1/IQSEC3/CNTNAP2/SLC6A6/GSG1L/LIN7A/GRID2/SYNJ1/SEMA4B/GRIN2B/ANK3/DLG4/DNAJC6/PPFIA2/SYNE1/GPHN/GLRB/UNC13B/GABRA2/GABBR2/LIN7B/LRP4/SHANK1/CACNG5/SLC30A1/CNIH3/AKAP9/CHRNA3/KCNK1/GABRB3/ATP2B1/STXBP1/SLC6A9/HSPA8/PTPRS/PSENEN/ADAM10/UTRN/FCHO2/SLC4A8/CHRNA5/EFNB3/SIGMAR1/LPAR2/NIPSNAP1/NSG1/DBN1/F2R/ITGA5/PRRT2/ADAM11/CNIH2/KCNJ4/CNTN6/CACNG4/COL13A1/CNTN5/LPAR1/SYT7/CHRNB3/CNTN2	130
GO:0098984	neuron to neuron synapse	123/3110	395/22568	2.7795317296228173e-19	1.156285199523092e-17	6.261260948834557e-18	RS1/NETO1/C1QL2/CHRM2/SHISA8/GRM7/RGS9/C1QL3/TMEM108/PTPRT/LRRC4C/ADCY8/OPRD1/GRIN2A/NOS1/DLG2/SYNPO/DNM3/GRIK4/GRID2IP/KCNH1/ABI3/ACTN2/ATP2B2/PLPPR4/SORCS3/NEURL1/ADGRB1/ADCY1/CDKL5/EPS8/GRIK2/NTRK2/SLC8A3/RAPGEF4/LRRC7/DGKI/GRID1/ITPR1/DISC1/DLGAP1/IQSEC3/LZTS3/IGSF11/PRKN/GSG1L/LIN7A/GRID2/CPEB3/MAGI2/SEMA4B/NGFR/GRIN2B/PRNP/DLG4/DNAJC6/SLC1A1/ATP1A3/PSD/ATP1B2/PLXNA4/CADM1/CPEB4/GPHN/AKAP7/SLC8A2/DCLK1/LIN7B/LRP4/TNIK/SHANK1/SPTBN1/CACNG5/SLC30A1/BAALC/ATP7A/SAMD14/AKAP9/IQSEC1/CHRNA3/PDE4B/ROGDI/PCLO/SLC6A9/PCBP1/ADD2/PTPRS/RPS13/HNRNPD/ADAM10/RPL14/CDH2/RAB8A/SLC4A8/RPL7/RPS14/CAMK2N1/RPL38/BSN/RPL30/EFNB3/PDLIM5/SIGMAR1/RPS19/C1QL1/NCS1/DBN1/RPL6/AURKA/PRRT2/SPOCK1/RPS3/CAP2/HOMER2/RPLP0/PLXNC1/CNIH2/GNG3/CACNG4/GAP43/ADGRA1/SYT7/P2RX3	123
GO:0000786	nucleosome	62/3110	137/22568	3.578425959891436e-19	1.240520999429031e-17	6.717396100147081e-18	MACROH2A1/H1-10/MORF4L1/YEATS4/H3-3A/H2AZ2/ACTB/RUVBL1/H1-1/H2AC6/H2BC5/ACTL6A/SLF1/MACROH2A2/H1-2/H2AX/H2AZ1/H4C2/H2BC6/H4C5/H2BC12/H1-4/H2BC4/H4C8/H4C9/H3C1/H4C3/H2BC3/H2AC8/H4C12/H2BC18/H2BC8/H3C10/H2AC21/H2BC10/H1-3/H2AC20/H4C4/H3C6/H2BC11/H2BC13/CENPA/H2BC17/H2AC11/H1-5/H2AC16/H2AC4/H2BC9/H3C11/H2AC7/H2BC7/H2BC14/H2AC13/H3C12/H3C4/H3C3/H3C2/H3C7/H3C8/H3C13/H2AC12/H2AC17	62
GO:0032279	asymmetric synapse	114/3110	363/22568	2.8018162279620614e-18	8.325396791658698e-17	4.508185509653241e-17	NETO1/C1QL2/CHRM2/SHISA8/GRM7/RGS9/TMEM108/PTPRT/LRRC4C/ADCY8/OPRD1/GRIN2A/NOS1/DLG2/SYNPO/DNM3/GRIK4/GRID2IP/KCNH1/ABI3/ACTN2/ATP2B2/PLPPR4/SORCS3/NEURL1/ADGRB1/ADCY1/CDKL5/EPS8/GRIK2/NTRK2/SLC8A3/LRRC7/DGKI/GRID1/ITPR1/DISC1/DLGAP1/IQSEC3/LZTS3/IGSF11/PRKN/GSG1L/LIN7A/GRID2/CPEB3/MAGI2/SEMA4B/NGFR/GRIN2B/PRNP/DLG4/DNAJC6/SLC1A1/PSD/PLXNA4/CADM1/CPEB4/GPHN/SLC8A2/DCLK1/LIN7B/LRP4/TNIK/SHANK1/SPTBN1/CACNG5/SLC30A1/BAALC/ATP7A/SAMD14/AKAP9/IQSEC1/CHRNA3/PDE4B/PCLO/SLC6A9/PCBP1/ADD2/PTPRS/RPS13/HNRNPD/ADAM10/RPL14/CDH2/RAB8A/SLC4A8/RPL7/RPS14/CAMK2N1/RPL38/BSN/RPL30/EFNB3/PDLIM5/SIGMAR1/RPS19/C1QL1/NCS1/DBN1/RPL6/AURKA/PRRT2/SPOCK1/RPS3/CAP2/HOMER2/RPLP0/PLXNC1/CNIH2/GNG3/CACNG4/GAP43/ADGRA1	114
GO:0001750	photoreceptor outer segment	50/3110	102/22568	1.5178402221487304e-17	3.946384577586699e-16	2.1369592601304491e-16	GUCA1ANB-GUCA1A/RHO/GUCA1C/PDE6A/GNAT1/GNGT1/PRPH2/PDE6H/PPEF2/PDE6G/RCVRN/IMPG1/CNGB3/ARR3/CNGB1/GUCA1B/SLC24A4/GUCY2D/PDC/PCARE/ROM1/RRH/RD3/RP1/NXNL1/GRK7/CDHR1/ABCA4/EYS/CNGA1/GNAT2/CACNA1F/TULP1/SPTBN5/PCDH15/ATP1A4/GUCA1A/DHRS3/PRCD/STX3/MYRIP/MYO7A/PROM1/PDE6B/MAGI2/MERTK/MAK/CIB2/CHML/OPN3	50
GO:0099572	postsynaptic specialization	115/3110	383/22568	8.504185202321677e-17	1.965411691203232e-15	1.0642664522203735e-15	NETO1/GABRA5/SHISA8/KCNB1/RGS9/TMEM108/PTPRT/LRRC4C/GABRB1/ADCY8/OPRD1/GRIN2A/NOS1/DLG2/SYNPO/GABRB2/DNM3/GRIK4/LHFPL4/GRID2IP/KCNH1/ABI3/ACTN2/ATP2B2/PLPPR4/SORCS3/NEURL1/ADGRB1/ADCY1/CDKL5/EPS8/GRIK2/NTRK2/SLC8A3/LRRC7/DGKI/GRID1/ITPR1/DISC1/DLGAP1/IQSEC3/LZTS3/IGSF11/PRKN/GSG1L/LIN7A/GRID2/CPEB3/MAGI2/SEMA4B/NGFR/GRIN2B/PRNP/DLG4/DNAJC6/PSD/PPFIA2/CADM1/CPEB4/GPHN/SLC8A2/GLRB/DCLK1/GABRA2/LIN7B/LRP4/TNIK/SHANK1/SPTBN1/CACNG5/SLC30A1/BAALC/ATP7A/SAMD14/AKAP9/IQSEC1/CHRNA3/PDE4B/PCLO/SLC6A9/PCBP1/ADD2/HSPA8/PTPRS/RPS13/HNRNPD/ADAM10/RPL14/CDH2/RAB8A/RPL7/RPS14/CAMK2N1/RPL38/BSN/RPL30/EFNB3/PDLIM5/SIGMAR1/RPS19/NCS1/DBN1/RPL6/AURKA/PRRT2/SPOCK1/RPS3/CAP2/HOMER2/RPLP0/CNIH2/GNG3/CACNG4/GAP43/ADGRA1	115
GO:0014069	postsynaptic density	106/3110	347/22568	3.712996153834977e-16	7.723031999976752e-15	4.182006194319395e-15	NETO1/SHISA8/RGS9/TMEM108/PTPRT/LRRC4C/ADCY8/OPRD1/GRIN2A/NOS1/DLG2/SYNPO/DNM3/GRIK4/GRID2IP/KCNH1/ABI3/ACTN2/ATP2B2/PLPPR4/SORCS3/NEURL1/ADGRB1/ADCY1/CDKL5/EPS8/GRIK2/NTRK2/SLC8A3/LRRC7/DGKI/GRID1/ITPR1/DISC1/DLGAP1/IQSEC3/LZTS3/IGSF11/PRKN/GSG1L/LIN7A/GRID2/CPEB3/MAGI2/SEMA4B/NGFR/GRIN2B/PRNP/DLG4/DNAJC6/PSD/CADM1/CPEB4/GPHN/SLC8A2/DCLK1/LIN7B/LRP4/TNIK/SHANK1/SPTBN1/CACNG5/SLC30A1/BAALC/ATP7A/SAMD14/AKAP9/IQSEC1/CHRNA3/PDE4B/PCLO/SLC6A9/PCBP1/ADD2/PTPRS/RPS13/HNRNPD/ADAM10/RPL14/CDH2/RAB8A/RPL7/RPS14/CAMK2N1/RPL38/BSN/RPL30/EFNB3/PDLIM5/SIGMAR1/RPS19/NCS1/DBN1/RPL6/AURKA/PRRT2/SPOCK1/RPS3/CAP2/HOMER2/RPLP0/CNIH2/GNG3/CACNG4/GAP43/ADGRA1	106
