ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030705	cytoskeleton-dependent intracellular transport	46/1512	228/21261	9.555391895165856e-11	1.3539990315450019e-7	1.0893146760489078e-7	APBA1/DYNC2H1/WDR35/SYBU/TRAK1/RHOT2/MAP2/CCDC88A/DYNC1H1/TMEM201/RPGR/HSPB1/UCHL1/CALY/LCA5L/AP3B1/PRKCZ/SUN1/PPFIA2/MAP6/FLOT2/MYO7A/MAP1A/AP3B2/TRIM46/HOOK3/SPAST/HNRNPU/IFT20/CLUAP1/IFT172/MECP2/DST/HSPA8/INTU/ARHGAP21/CCDC186/BLOC1S2/WDPCP/KIF5C/DLG2/MAP6D1/MYO10/KIF13A/DTNBP1/BORCS8	46
GO:0099111	microtubule-based transport	44/1512	221/21261	3.801706228213551e-10	1.9526641338516117e-7	1.5709506793160463e-7	APBA1/DYNC2H1/WDR35/ROPN1L/SYBU/TRAK1/RHOT2/MAP2/DYNC1H1/TMEM201/RPGR/HSPB1/UCHL1/CALY/LCA5L/AP3B1/PRKCZ/SUN1/FLOT2/MAP1A/AP3B2/TRIM46/SPAST/HNRNPU/DNAAF2/IFT20/CLUAP1/IFT172/MECP2/DST/HSPA8/INTU/ARHGAP21/BLOC1S2/WDPCP/KIF5C/CCDC39/DLG2/KIF13A/GAS8/DTNBP1/DNAAF11/DNAH9/BORCS8	44
GO:0032886	regulation of microtubule-based process	52/1512	288/21261	4.1340807350422267e-10	1.9526641338516117e-7	1.5709506793160463e-7	PLK1/MDM1/PSRC1/ARHGEF2/ERBB2/TBCD/STMN3/XPO1/MAP2/MAPRE3/AKAP9/DYNC1H1/SNCA/TRIM36/CFAP206/CALY/PRKAA1/NUMA1/MAP6/PRUNE1/HAUS7/CFAP69/MAP1A/MARK4/MAPRE2/TRIM46/CCSAP/SPAST/CIB1/HNRNPU/GPSM2/FAM107A/BBS2/MECP2/HAUS5/MID1IP1/DIXDC1/TAOK1/GBA2/PHLDB2/CCNL2/ATF5/DCTN1/CCDC39/MAP6D1/AURKA/CLASP1/SKA3/KIF9/PDCD6IP/HAUS4/NUP62	52
GO:0010970	transport along microtubule	38/1512	179/21261	8.896223893831334e-10	3.15148731438975e-7	2.53542380974193e-7	APBA1/DYNC2H1/WDR35/SYBU/TRAK1/RHOT2/MAP2/DYNC1H1/TMEM201/RPGR/HSPB1/UCHL1/CALY/LCA5L/AP3B1/PRKCZ/SUN1/FLOT2/MAP1A/AP3B2/TRIM46/SPAST/HNRNPU/IFT20/CLUAP1/IFT172/MECP2/DST/HSPA8/INTU/ARHGAP21/BLOC1S2/WDPCP/KIF5C/DLG2/KIF13A/DTNBP1/BORCS8	38
GO:0051656	establishment of organelle localization	73/1512	495/21261	2.0924403986540915e-9	5.929976089785695e-7	4.770764108931329e-7	PLK1/STXBP2/PSRC1/SYBU/AURKB/CHAMP1/PINK1/TRAK1/RHOT2/XPO1/MAP2/SEH1L/DYNC1H1/TMEM201/LLGL2/NEK2/ENKD1/SNCA/PSEN1/SPHK2/SPDL1/UCHL1/TLE6/RIPOR1/ARL6/BBS7/AP3B1/PRKCZ/SUN1/NUMA1/PPFIA2/MYO7A/ITGB1/MIS12/AP3B2/SYNJ1/SPC24/KIF22/TRIM46/NECTIN2/NUSAP1/BOD1/HOOK3/SPAST/HNRNPU/GPSM2/BBS2/TERF1/SHROOM2/MECP2/ARHGAP21/CCDC186/FHOD1/BLOC1S2/SEC16A/KIF5C/DCTN1/RAB27A/HGS/DNM1/KIF13A/WDR11/CLASP1/DOCK7/EXOC1/DTNBP1/DCTN2/GPSM1/PDCD6IP/NUP62/TRAPPC2/BORCS8/MLH1	73
GO:0007163	establishment or maintenance of cell polarity	44/1512	239/21261	4.894870357823406e-9	1.0446464687103878e-6	8.404354088425139e-7	PLK1/RHOBTB1/PTK2B/TTC8/PDZD11/ABL2/MYO18A/DLG4/MAP7/FSCN1/LLGL2/ENKD1/SPDL1/PRKCZ/NUMA1/ARHGEF11/FRMD4B/FLOT2/ITGB1/CRB1/GPSM2/RPGRIP1L/IFT20/OPHN1/SLC9A1/NEK3/RIPOR2/DST/FAT1/PTK7/PHLDB2/WDR1/WDPCP/SNX27/DCTN1/DLG2/LRRC7/CLASP1/DOCK7/CTNNA1/ANK1/PLEKHG3/GPSM1/PDCD6IP	44
GO:0070507	regulation of microtubule cytoskeleton organization	37/1512	182/21261	5.160568299910173e-9	1.0446464687103878e-6	8.404354088425139e-7	PLK1/PSRC1/ARHGEF2/TBCD/STMN3/MAP2/MAPRE3/AKAP9/DYNC1H1/SNCA/TRIM36/PRKAA1/NUMA1/MAP6/PRUNE1/HAUS7/MAP1A/MAPRE2/CCSAP/SPAST/CIB1/HNRNPU/GPSM2/FAM107A/MECP2/HAUS5/MID1IP1/DIXDC1/TAOK1/GBA2/PHLDB2/DCTN1/MAP6D1/CLASP1/SKA3/HAUS4/NUP62	37
GO:0009314	response to radiation	66/1512	465/21261	5.5671788371192974e-8	9.860865515247555e-6	7.933229842894998e-6	ASIC2/RP1/REEP6/PLEKHB1/MAP3K4/TOPBP1/AEN/RGS9/CHEK2/BCL3/NPHP4/TRPC3/EYA1/GUCA1A/BRCA2/PRIMPOL/USP28/EYS/AURKB/MAPK8/HMGN1/NMT1/CUL4B/CRIP1/METTL3/RBM4/OGG1/PRKAA1/BRAT1/BAK1/SPRTN/BCL2/ITGB1/CLOCK/XRCC4/PPM1D/CYP2R1/ERCC8/CRB1/CCAR2/BEST1/MSH6/DNMT3A/ROM1/IFT20/CCDC66/USP47/GNB5/XRCC2/MEIS2/MECP2/PCNA/MAPK10/PLK3/MAP2K7/B4GALT2/PNKP/PER3/KMT2A/SLC1A3/MTA1/POLB/CACNB4/RAD1/MEN1/RAD9A	66
GO:0007018	microtubule-based movement	64/1512	447/21261	6.374828984295413e-8	1.0036814078607334e-5	8.074783380107522e-6	APBA1/KIFC3/DYNC2H1/WDR35/NPHP4/ROPN1L/CFAP46/SYBU/TRAK1/RHOT2/MAP2/CFAP91/KIF21A/DYNC1H1/TMEM201/DNAH12/RPGR/HSPB1/UCHL1/CFAP206/CALY/LCA5L/AP3B1/PRKCZ/SUN1/FLOT2/CFAP69/MAP1A/AP3B2/KIF22/TRIM46/SPAST/HNRNPU/BBS2/DNAAF2/IFT20/CLUAP1/IFT172/VPS13A/SEPTIN4/MECP2/DST/HSPA8/INTU/ARHGAP21/BLOC1S2/DYNC1LI1/WDPCP/KIF5C/CCDC39/DLG2/KIF21B/CELF3/KLC4/KIF13A/GAS8/INPP5B/KIF9/DTNBP1/DNAI4/DNAAF11/DNAH9/BORCS8/TTLL9	64
GO:0006261	DNA-templated DNA replication	32/1512	163/21261	1.290657680888741e-7	1.749885583138296e-5	1.4078119723201535e-5	HELB/TOPBP1/GINS3/LIG1/BRCA2/CHTF18/PRIMPOL/RECQL4/PRIM1/MCM9/MCM7/DBF4/THOC1/CENPX/RFC5/POLA2/POLG2/REV3L/RAD50/RECQL/MGME1/TERF1/POLE3/PCNA/MCM4/RBBP8/MCM5/ORC4/PNKP/MUS81/POLA1/POLB	32
GO:0031110	regulation of microtubule polymerization or depolymerization	25/1512	109/21261	1.3584150610106743e-7	1.749885583138296e-5	1.4078119723201535e-5	PSRC1/ARHGEF2/TBCD/STMN3/MAP2/MAPRE3/AKAP9/SNCA/NUMA1/PRUNE1/HAUS7/MAP1A/MAPRE2/SPAST/CIB1/MECP2/HAUS5/MID1IP1/TAOK1/GBA2/DCTN1/MAP6D1/CLASP1/SKA3/HAUS4	25
GO:0007409	axonogenesis	65/1512	476/21261	2.9515081007677133e-7	3.4852391489898744e-5	2.8039326957293275e-5	KIAA1755/ISLR2/ADGRB1/PLXNB2/COBL/BOC/CNTN2/SEMA4D/TTC8/ERBB2/NOVA2/TRAK1/LGI1/SCN1B/MAP2/GAP43/NLGN3/TRIO/RTN4/PSEN1/ARK2C/UCHL1/L1CAM/SMURF1/IST1/SEMA4B/ROBO3/AUTS2/BCL2/FEZF2/MAP6/ITGB1/MAP1A/MYCBP2/PPP3CB/RNF6/TRIM46/CDH11/SPAST/SEMA6C/APLP2/OPHN1/MAP2K1/PTPN11/FN1/VCL/PLXNA4/ANK3/PTK7/NUMBL/NR2E1/CDH4/ARHGEF40/LAMA2/KIF5C/NFASC/SEMA6D/NEO1/ZFYVE27/SPP1/DOCK7/NRXN1/NEXN/SPART/NTRK2	65
GO:0030010	establishment of cell polarity	31/1512	163/21261	4.212813756172757e-7	4.591966994228305e-5	3.69431360156688e-5	PLK1/PTK2B/TTC8/ABL2/MYO18A/FSCN1/LLGL2/ENKD1/SPDL1/PRKCZ/NUMA1/ARHGEF11/FRMD4B/FLOT2/ITGB1/CRB1/GPSM2/IFT20/OPHN1/NEK3/RIPOR2/FAT1/PTK7/PHLDB2/WDPCP/SNX27/DCTN1/CLASP1/DOCK7/PLEKHG3/GPSM1	31
GO:0009416	response to light stimulus	51/1512	344/21261	4.698551828226046e-7	4.755605671854505e-5	3.825963631555495e-5	ASIC2/RP1/REEP6/PLEKHB1/MAP3K4/RGS9/BCL3/NPHP4/TRPC3/GUCA1A/BRCA2/PRIMPOL/USP28/EYS/AURKB/MAPK8/HMGN1/NMT1/CUL4B/CRIP1/METTL3/RBM4/OGG1/PRKAA1/BAK1/SPRTN/BCL2/ITGB1/CLOCK/ERCC8/CRB1/CCAR2/BEST1/MSH6/ROM1/IFT20/CCDC66/USP47/GNB5/MEIS2/MECP2/PCNA/MAPK10/MAP2K7/B4GALT2/PER3/KMT2A/SLC1A3/MTA1/CACNB4/MEN1	51
GO:0006260	DNA replication	46/1512	298/21261	5.339485324739173e-7	5.044033803436939e-5	4.0580088468017716e-5	DUT/HELB/PIF1/TOPBP1/GINS3/LIG1/BRCA2/CHTF18/PRIMPOL/RECQL4/PRIM1/MCM9/JADE1/CCDC88A/MCM7/MAP2K4/DBF4/THOC1/USP37/CENPX/RFC5/POLA2/POLG2/REV3L/RAD50/RECQL/MGME1/RBMS1/TERF1/POLE3/RMI2/PCNA/PTMS/NFIC/REPIN1/NAP1L1/MCM4/RBBP8/MCM5/ORC4/PNKP/MUS81/POLA1/POLB/FAM111B/ING5	46
GO:0031109	microtubule polymerization or depolymerization	29/1512	152/21261	9.184489412338986e-7	8.134013435802714e-5	6.543948706291528e-5	PSRC1/ARHGEF2/TBCD/STMN3/MAP2/MAPRE3/AKAP9/SNCA/NUMA1/PRUNE1/HAUS7/MAP1A/MAPRE2/CCSAP/SPAST/CIB1/GOLGA2/TPPP3/MECP2/HAUS5/MID1IP1/TAOK1/GBA2/DCTN1/MAP6D1/CLASP1/SKA3/CCDC57/HAUS4	29
