ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0140097	catalytic activity, acting on DNA	55/1520	255/21059	1.4546870980709887e-13	2.836639841238428e-11	2.327499356913582e-11	HELB/NAV2/PIF1/HMGA2/BRIP1/AEN/LIG1/CHTF18/PRIMPOL/RECQL4/MCM9/RSF1/MYO18A/PLD3/MCM7/DNMT1/MYD88/OGG1/CHD2/PMS1/CECR2/RFC5/FTO/UNG/POLG2/REV3L/G3BP1/RAD50/ENDOV/RECQL/MGME1/HELLS/MSH6/DNMT3A/DNASE1/MUTYH/TERF1/POLE3/XRCC2/PCNA/CHD9/DHX30/CHD8/BPTF/MCM4/RBBP8/MCM5/MUS81/POLA1/SMARCA2/POLB/RAD1/DNMT3B/RAD9A/MLH1	55
GO:0015631	tubulin binding	65/1520	397/21059	3.940825028913528e-10	3.84230440319069e-8	3.152660023130823e-8	RP1/PLK1/KIFC3/MDM1/PSRC1/BRCA2/EML5/KATNAL2/ARHGEF2/TTLL4/TBCD/STMN3/MTUS2/MAP2/CCDC88A/MAPRE3/KIF21A/ENKD1/SNCA/TRIM36/WASHC1/OGG1/NUMA1/MAP6/PRUNE1/HAUS7/MAP1A/MARK4/SPC24/SAXO2/MAPRE2/KIF22/NUSAP1/CCSAP/HOOK3/SPAST/MAST1/CCDC66/GOLGA2/TERF1/TPPP3/DST/DIXDC1/TAOK1/BLOC1S2/KIF5C/CFAP144/ATF5/DCTN1/DNM1/MAP6D1/GABARAPL1/KIF21B/KIF13A/CLASP1/AGBL5/GAS8/REEP1/KIF9/SGIP1/PACRG/POLB/RMDN2/HAUS4/TTLL9	65
GO:0003779	actin binding	70/1520	475/21059	8.443968053368349e-9	5.488579234689426e-7	4.5034496284631196e-7	COBL/FLNA/AFAP1/ANLN/ABLIM2/TPM1/MYOZ3/EPS8L1/ADSS1/ABL2/MYO18A/FSCN1/CCDC88A/S100A4/DIAPH3/TMEM201/RUSC1/DBNL/SNCA/TAGLN/WASHC1/TPM3/LIMCH1/ESPN/PDLIM2/EVL/MYO7A/ITGB1/MAP1A/TTN/HNRNPU/FAM107A/TAGLN3/CAPZA2/OPHN1/DNASE1/ABLIM1/BIN1/SHROOM2/VCL/DST/TLN2/DIXDC1/HOMER2/FHOD1/WDR1/GIPC1/FLNB/WIPF1/INF2/MYO10/MYO9B/SPTBN1/DMD/TNNI3/MYLK/FHOD3/CTNNA1/SYNPO2/ACTN1/PPP1R9A/PACRG/PLEKHG3/MYH15/FBXO25/NEXN/PHACTR2/EPB41L2/NEB/DAAM2	70
GO:0008094	ATP-dependent activity, acting on DNA	29/1520	127/21059	2.134991138832519e-8	1.040808180180853e-6	8.539964555330077e-7	HELB/NAV2/PIF1/BRIP1/CHTF18/RECQL4/MCM9/RSF1/MYO18A/MCM7/MYD88/CHD2/PMS1/CECR2/RFC5/G3BP1/RAD50/RECQL/HELLS/MSH6/XRCC2/CHD9/DHX30/CHD8/BPTF/MCM4/MCM5/SMARCA2/MLH1	29
GO:0008017	microtubule binding	48/1520	289/21059	4.861867441148796e-8	1.8961283020480305e-6	1.555797581167615e-6	RP1/PLK1/KIFC3/MDM1/PSRC1/EML5/KATNAL2/ARHGEF2/MTUS2/MAP2/CCDC88A/MAPRE3/KIF21A/ENKD1/OGG1/NUMA1/MAP6/HAUS7/MAP1A/MARK4/SPC24/SAXO2/MAPRE2/KIF22/NUSAP1/CCSAP/HOOK3/SPAST/MAST1/CCDC66/GOLGA2/TERF1/DST/KIF5C/CFAP144/DCTN1/DNM1/MAP6D1/KIF21B/KIF13A/CLASP1/GAS8/REEP1/KIF9/SGIP1/POLB/RMDN2/HAUS4	48
GO:0106310	protein serine kinase activity	55/1520	377/21059	4.598461672392267e-7	1.4945000435274868e-5	1.2262564459712714e-5	DAPK2/NEK11/PLK1/MAP3K4/CHEK2/RSKR/WNK1/CLK1/STK40/AURKB/DAPK1/PINK1/MAPK8/VRK1/PRKD3/TRIO/CDK16/MAP2K4/OBSCN/MAPK7/NEK2/PAK4/PRKAA1/CSNK2A2/DCAF1/PRKCZ/HIPK3/MARK4/TTN/CSNK2A1/MAST1/MAP2K1/CASK/ARAF/NEK3/MAST4/RPS6KB2/MAPK10/PLK3/MAP4K5/TAOK1/CAMK2G/MAP2K7/RPS6KB1/SPEG/CAMKK1/CDK8/STK33/MAP2K5/AURKA/MAP3K7/CLK4/DYRK4/PKMYT1/MAP3K15	55
GO:0004674	protein serine/threonine kinase activity	63/1520	467/21059	1.1297342842654549e-6	3.1471169347394815e-5	2.5822497926067542e-5	TGFBR2/DAPK2/NEK11/PLK1/MAP3K4/PTK2B/CHEK2/RSKR/TGFBR3/WNK1/CLK1/STK40/AURKB/DAPK1/PINK1/MAPK8/VRK1/PRKD3/TRIO/CDK16/MAP2K4/OBSCN/MAPK7/NEK2/PAK4/PRKAA1/CSNK2A2/DCAF1/ACVR1/PRKCZ/HIPK3/MARK4/PPM1D/TTN/CSNK2A1/NRBP1/MAST1/MAP2K1/CASK/ARAF/ACVR2B/NEK3/MAST4/RPS6KB2/MAPK10/PLK3/MAP4K5/TAOK1/CAMK2G/MAP2K7/RPS6KB1/SPEG/CAMKK1/CDK8/STK33/MAP2K5/AURKA/MYLK/MAP3K7/CLK4/DYRK4/PKMYT1/MAP3K15	63
GO:0005085	guanyl-nucleotide exchange factor activity	39/1520	248/21059	3.4196307961516047e-6	8.335350065619536e-5	6.839261592303209e-5	KIAA1755/GDPGP1/NUCB1/PLEKHG1/EPS8L1/ARHGEF2/DOCK4/DENND1A/RAPGEF1/RAPGEF5/CCDC88A/TRIO/OBSCN/ARHGEF10L/RPGR/FARP1/RALGDS/ARHGEF11/MYCBP2/ITSN2/EIF2B4/HERC2/ARHGEF40/DIS3/SPATA13/AKAP13/RAPGEF6/DENND2B/RASGRF2/ALS2/DOCK10/DOCK7/ARHGEF9/RASGEF1B/PLEKHG3/ITSN1/RIN1/DENND2A/RIN2	39
GO:0005516	calmodulin binding	35/1520	216/21059	5.416781413278334e-6	1.1736359728769724e-4	9.629833623605929e-5	DAPK2/UNC13B/SLC8A3/PDE1A/DAPK1/MAP2/GAP43/OBSCN/STRN4/SPHK1/RYR2/MAP6/MYO7A/PPP3CB/TTN/PPP3CA/SLC9A1/CASK/ATP2B2/ATP2B1/CAMK2G/CAMKK1/RYR3/EWSR1/MAP6D1/MYO10/PCNT/MYO9B/RASGRF2/SPTBN1/SCN2A/MYLK/KCNN1/MYH15/PHKB	35
GO:0017124	SH3 domain binding	25/1520	136/21059	1.2922797926324485e-5	2.5199455956332744e-4	2.0676476682119176e-4	ADAM12/AFAP1/ARHGAP6/SH3BGRL2/ELMO3/DOCK4/RAPGEF1/LANCL1/DAB2IP/ESPN/PTTG1/EVL/SH3BP2/SYNJ1/DNAJC6/PTPN12/ABI2/ADAM10/EFS/PLSCR1/WIPF1/SH3KBP1/SHANK2/SGIP1/RAD9A	25
