ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	103/3000	240/21261	9.217660751391932e-28	7.155691683765759e-25	4.636494295376586e-25	GUCA1ANB-GUCA1A/RHO/GUCA1C/PDE6A/GNAT1/RAX2/PRPH2/RS1/OPN5/PDE6H/PPEF2/PDE6G/RDH8/AIPL1/RCVRN/RGS9BP/RDH12/IMPG1/MYO3B/CNGB3/ARR3/CNGB1/NR2E3/GUCA1B/GUCY2D/PDC/PCARE/ROM1/RRH/RD3/RP1/EPAS1/GRK7/SLC4A10/ABCA4/EYS/CNGA1/USH2A/CLIC5/RBP3/CABP4/RPGRIP1/GNAT2/CACNA1F/RLBP1/TULP1/LRIT3/IMPG2/GJD2/CRX/LRAT/CABP2/RGS9/UNC119/KCNJ10/GUCA1A/DHRS3/SFRP5/PRCD/RGR/PDE6C/SEMA5B/IRX5/CACNB2/CNGA3/ATP8A2/GABRR2/KIFC3/BBS9/BEST1/GLRA1/GRM8/MYO7A/CDH3/SLC24A1/RBP4/AOC2/PDE6B/EFEMP1/CNNM4/BBS5/MYO9A/GLRB/EYA4/ARL6/REEP6/DRAM2/VSX2/SIX6/CLRN1/GJC1/TGFBI/POU6F2/GJA3/MIP/CRYBB2/CRYGS/CRYBB1/CRYBA2/CRYBA4/CRYBA1/CRYBB3/CRYAA	103
GO:0050953	sensory perception of light stimulus	104/3000	244/21261	1.0114051849845595e-27	7.155691683765759e-25	4.636494295376586e-25	GUCA1ANB-GUCA1A/RHO/GUCA1C/PDE6A/GNAT1/RAX2/PRPH2/RS1/OPN5/PDE6H/PPEF2/PDE6G/RDH8/AIPL1/RCVRN/RGS9BP/RDH12/IMPG1/MYO3B/CNGB3/ARR3/CNGB1/NR2E3/GUCA1B/GUCY2D/PDC/PCARE/ROM1/RRH/RD3/RP1/EPAS1/GRK7/SLC4A10/ABCA4/EYS/CNGA1/USH2A/CLIC5/RBP3/CABP4/RPGRIP1/GNAT2/CACNA1F/RLBP1/TULP1/LRIT3/IMPG2/GJD2/CRX/PCDH15/LRAT/CABP2/RGS9/UNC119/KCNJ10/GUCA1A/DHRS3/SFRP5/PRCD/RGR/PDE6C/SEMA5B/IRX5/CACNB2/CNGA3/ATP8A2/GABRR2/KIFC3/BBS9/BEST1/GLRA1/GRM8/MYO7A/CDH3/SLC24A1/RBP4/AOC2/PDE6B/EFEMP1/CNNM4/BBS5/MYO9A/GLRB/EYA4/ARL6/REEP6/DRAM2/VSX2/SIX6/CLRN1/GJC1/TGFBI/POU6F2/GJA3/MIP/CRYBB2/CRYGS/CRYBB1/CRYBA2/CRYBA4/CRYBA1/CRYBB3/CRYAA	104
GO:0006261	DNA-templated DNA replication	76/3000	163/21261	1.4867847362709208e-23	7.012668006077843e-21	4.543822825585867e-21	POLN/RRM2B/CDK2AP1/MCMBP/MMS22L/POLE3/TOPBP1/POLA1/LIG3/GEN1/CENPX/MCM8/POLD3/POLE/GINS3/MRE11/POLA2/CENPS/CCNE2/RECQL/RECQL4/RPA1/ALYREF/LIG1/E2F8/CHTF18/RFWD3/BAZ1A/CDK2/E2F7/CCNE1/POLE2/MGME1/CHRAC1/DBF4/TICRR/POLQ/RFC5/TIMELESS/BRCA2/TRAIP/WDHD1/BLM/CDC7/RRM1/RFC4/FBXO5/PCNA/DSCC1/POLD1/BRCA1/ORC1/GINS1/FEN1/CDT1/MCM3/DNA2/DBF4B/RFC3/GMNN/RAD50/HMGA1/CDC45/MCM4/MCM7/MCM6/CDC6/ORC6/PRIM1/MCM10/GINS4/EME1/MCM5/GINS2/MCM2/TK1	76
GO:0000280	nuclear division	155/3000	498/21261	6.174339992038097e-23	2.1841727721834767e-20	1.4152237192276797e-20	ASZ1/CYP26B1/SHCBP1L/DDX4/SYCP1/TEX11/MAJIN/MEIKIN/BTC/DRD3/RBM46/TGFA/EGF/BRDT/TDRD9/NEUROG1/MAEL/NFIB/MOV10L1/EPS8/MEI1/SYCE3/TDRD12/CAV2/PLCB1/ANKRD31/NFIA/TEX14/SYCP3/TOM1L2/USP44/KLHDC3/CDC23/ZWILCH/ANAPC7/NCAPH2/MAD1L1/RAD51C/ANAPC11/GEN1/CDC25B/CENPX/KPNB1/UBE2I/RHOA/RAD21/FANCA/MRE11/BOD1/CENPS/MASTL/NUP62/CCNE2/RPL24/NCAPG2/RACGAP1/UBB/FANCD2/TOM1L1/UBE2S/BANF1/FIGNL1/MZT1/TUBG1/CCNE1/KIF20B/KNSTRN/SGO1/BUB3/CHEK2/NDC1/AURKA/CCNA1/PSMC3IP/BMP4/RMI1/INCENP/RAN/LRP5/KNTC1/BRCA2/SPDL1/MAD2L2/CHEK1/FBXO5/KLHDC8B/SMC2/RANBP1/RAD54L/RCC1/CENPI/CDKN1C/CDT1/ANLN/BRIP1/KIF22/KIF11/TRIP13/MYBL1/KIF2C/KIF14/BUB1B/KNL1/RAD50/CENPE/WNT5A/PSRC1/PRC1/KIF18B/SMC4/SPAG5/KIF4A/KIF23/NCAPD2/CDCA8/NCAPG/CDCA2/RAD51AP1/NCAPH/KIF18A/EME1/TPX2/TTK/MSX2/NDC80/BUB1/CENPK/NUF2/SPC24/CDCA5/FGF8/ASPM/ZWINT/CKS2/PLK1/NEK2/MKI67/MND1/DLGAP5/BIRC5/CDK1/CCNB2/MAD2L1/CCNB1/NUSAP1/CDC25C/MYBL2/PTTG1/ESPL1/CDC20/CENPF/TOP2A/AURKB/UBE2C/SPHK1	155
GO:0006260	DNA replication	108/3000	298/21261	6.2807241957265765e-22	1.777444947390621e-19	1.1516864788374418e-19	NFIX/EGF/NFIB/POLN/JADE2/NFIA/NFIC/RRM2B/CDK2AP1/MCMBP/SET/MMS22L/POLE3/RBBP7/TOPBP1/RBBP4/POLA1/LIG3/GEN1/CENPX/MCM8/POLD3/POLE/GINS3/DHX9/MRE11/POLA2/RPA2/CENPS/CCNE2/RECQL/RPA3/RECQL4/RPA1/ALYREF/LIG1/E2F8/DUT/CHTF18/RFWD3/BAZ1A/RUVBL1/CDK2/E2F7/CCNE1/NAP1L1/POLE2/MGME1/ACTL6A/CHRAC1/DBF4/TICRR/RMI1/POLQ/RFC5/TIMELESS/BRCA2/TRAIP/WDHD1/BLM/CDC7/CHEK1/RRM1/RFC4/FBXO5/CHAF1A/PCNA/CHAF1B/DSCC1/POLD1/BRCA1/ORC1/GINS1/FEN1/CDT1/NASP/MCM3/DNA2/RNASEH2A/DBF4B/RFC3/GMNN/ESCO2/RAD50/FAM111B/HMGA1/CDC45/MCM4/MCM7/MCM6/CDC6/ORC6/PRIM1/MCM10/RMI2/GINS4/EME1/MCM5/GINS2/DTL/GLI2/MCM2/PIF1/CDK1/TK1/CCNA2/RRM2/PCLAF	108
GO:0007059	chromosome segregation	147/3000	493/21261	7.353717483116848e-20	1.7342517064350568e-17	1.1236996364552238e-17	SYCP1/TEX11/MAJIN/MEIKIN/RAD21L1/MAEL/SYCE3/DPF3/ANKRD31/NR3C1/TEX14/SMARCA2/USP44/CEP63/CDC23/ZWILCH/ANAPC7/NCAPH2/SAC3D1/MAD1L1/ANAPC11/GEN1/NUP43/CENPX/KPNB1/UBE2I/HAUS5/RHOA/RAD21/MRE11/BOD1/SMARCE1/HAUS3/HAUS4/CIAO2A/STIL/ACTB/NTMT1/CENPJ/RAD18/CENPS/NUP62/CCNE2/ITGB3BP/NCAPG2/HAUS7/RACGAP1/SKA2/FANCD2/MZT1/TUBG1/CCNE1/HAUS6/KNSTRN/SGO1/BUB3/CHEK2/NDC1/AURKA/ACTL6A/PSMC3IP/HAUS8/BCL7A/INCENP/RAN/CENPQ/RPS3/KNTC1/TTL/SPDL1/MAD2L2/HAUS1/CENPL/FBXO5/KLHDC8B/ECT2/SMC2/MIS18A/BRCA1/RCC1/CENPI/CDT1/SGO2/BRIP1/KIF22/KIF11/TRIP13/KIF2C/KIF14/BUB1B/ESCO2/KNL1/CENPE/CENPO/PSRC1/PRC1/TACC3/KIF18B/SMC4/SPAG5/KIF4A/KIF23/NCAPD2/CDC6/CDCA8/CENPH/NCAPG/SKA3/CDCA2/NCAPH/CENPW/KIF18A/RMI2/TPX2/CENPU/TTK/NDC80/BUB1/CENPK/NUF2/SPC24/CDCA5/CENPM/ASPM/ZWINT/FAM83D/PLK1/NEK2/MKI67/MND1/DLGAP5/BIRC5/CDK1/CCNB2/MAD2L1/CCNB1/HJURP/NUSAP1/MYBL2/PTTG1/ESPL1/CDC20/CENPF/TOP2A/AURKB/OIP5/UBE2C	147
GO:0140014	mitotic nuclear division	103/3000	303/21261	1.1951423721071402e-18	2.4158949379022904e-16	1.565366926474164e-16	BTC/DRD3/TGFA/EGF/NEUROG1/NFIB/EPS8/CAV2/NFIA/TEX14/TOM1L2/USP44/CDC23/ZWILCH/ANAPC7/NCAPH2/MAD1L1/ANAPC11/GEN1/KPNB1/UBE2I/RHOA/RAD21/BOD1/NUP62/RPL24/NCAPG2/RACGAP1/TOM1L1/UBE2S/BANF1/MZT1/TUBG1/KIF20B/KNSTRN/BUB3/CHEK2/AURKA/BMP4/INCENP/RAN/LRP5/KNTC1/SPDL1/MAD2L2/CHEK1/FBXO5/KLHDC8B/SMC2/RANBP1/RCC1/CENPI/CDKN1C/CDT1/ANLN/KIF22/KIF11/TRIP13/KIF2C/KIF14/BUB1B/KNL1/CENPE/PSRC1/PRC1/KIF18B/SMC4/SPAG5/KIF4A/KIF23/NCAPD2/CDCA8/NCAPG/CDCA2/NCAPH/KIF18A/TPX2/TTK/NDC80/BUB1/CENPK/NUF2/SPC24/CDCA5/FGF8/ZWINT/PLK1/NEK2/MKI67/DLGAP5/BIRC5/CDK1/MAD2L1/CCNB1/NUSAP1/CDC25C/MYBL2/ESPL1/CDC20/CENPF/AURKB/UBE2C/SPHK1	103
GO:0007088	regulation of mitotic nuclear division	56/3000	126/21261	1.4776953129597658e-16	2.6136735847975857e-14	1.693516602089416e-14	BTC/DRD3/TGFA/EGF/CAV2/TEX14/TOM1L2/USP44/CDC23/ZWILCH/ANAPC7/MAD1L1/ANAPC11/GEN1/RAD21/NUP62/TOM1L1/KIF20B/BUB3/AURKA/BMP4/INCENP/LRP5/KNTC1/SPDL1/MAD2L2/CHEK1/FBXO5/RCC1/TRIP13/BUB1B/KNL1/CDCA8/CDCA2/TTK/NDC80/BUB1/NUF2/SPC24/FGF8/ZWINT/PLK1/NEK2/MKI67/DLGAP5/BIRC5/MAD2L1/CCNB1/NUSAP1/CDC25C/ESPL1/CDC20/CENPF/AURKB/UBE2C/SPHK1	56
GO:0002181	cytoplasmic translation	69/3000	178/21261	3.051341790336514e-16	4.797387370362408e-14	3.108442923255092e-14	CPEB3/CPEB2/CPEB4/RPL13A/RPS16/RPL19/DENR/RPL9/RPS8/EIF3L/RPS27A/RPS13/HNRNPD/RPL14/RPL29/RPL18/RPS11/RPL34/RPL27A/RPL32/RPS15A/DHX9/RPL11/RPL7/SLBP/RPL37A/RPL5/RACK1/RPL37/RPS5/RPL27/RPS14/RPL35/PABPC1/RPLP2/RPL38/EIF2S3/RPL26/RPL10A/RPL30/RPL24/RPS24/RPS29/RPS7/RPS20/RPS6/RPS12/RPS23/EIF3M/RPS19/RPL31/RPL35A/UBA52/RPL4/NMNAT2/RPL23/RPL6/RPL28/RPL39/RPL22L1/RPS10/RPL23A/RPS21/EIF4A1/RPS3/RPLP0/RPSA/IGF2BP1/RBM24	69
GO:0051983	regulation of chromosome segregation	57/3000	135/21261	1.3361357803006357e-15	1.8906321291253996e-13	1.225025541728267e-13	DPF3/TEX14/SMARCA2/USP44/CDC23/ZWILCH/ANAPC7/NCAPH2/MAD1L1/ANAPC11/GEN1/RAD21/SMARCE1/ACTB/RAD18/NCAPG2/BUB3/ACTL6A/BCL7A/INCENP/KNTC1/SPDL1/MAD2L2/FBXO5/SMC2/TRIP13/KIF2C/BUB1B/KNL1/CENPE/TACC3/SMC4/NCAPD2/CDC6/CDCA8/NCAPG/CDCA2/NCAPH/RMI2/TTK/NDC80/BUB1/NUF2/SPC24/ZWINT/PLK1/MKI67/DLGAP5/BIRC5/CDK1/MAD2L1/CCNB1/ESPL1/CDC20/CENPF/AURKB/UBE2C	57
