ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	139/2156	476/21261	6.844502449736742e-32	9.691815468827226e-29	5.43237352326474e-29	NOTCH3/LAMB2/WNT5A/LRP4/NFIB/NOTCH2/FLRT3/SLITRK6/ETV1/APOE/NEXN/FN1/GLI3/EFNA4/UNC5D/BOC/FGFR2/PRKG1/SLIT3/ALCAM/ANOS1/GLI2/ERBB2/EFNB2/BMPR1B/SEMA3D/CNTN5/EPHA7/BMP7/LHX2/SMO/BCL2/TSKU/FLRT2/VCL/PRICKLE1/PTK7/OTX2/NRP2/APLP2/METRN/PTPRM/NOTCH1/EFNA5/PLXND1/PALLD/PLXNB2/LRRC4C/SLITRK4/PARD3/CDH11/RELN/SLITRK5/DAG1/PARD6B/CDKL5/SEMA4D/TRAK1/RUFY3/APBB1/SEMA4G/MAP3K13/APLP1/TRIO/MAP1A/DRAXIN/CHN1/AUTS2/IFRD1/PLXNA3/RTN4/TRIM46/FEZ1/FYN/CDK5R1/SPTBN4/STMN1/GDI1/NRP1/ARK2C/NEFH/NOVA2/TIAM1/NCAM1/BRSK1/WDR47/SEMA3C/ANK3/DCLK1/NRXN1/DPYSL5/SLIT2/KALRN/STXBP1/ATL1/PLXNA2/MAP6/UCHL1/KLF7/EPHA5/KIF5C/TUBB2B/ISLR2/CTNNA2/MAP2/BARHL2/TUBB3/ADCY1/DCC/NRXN3/MAP1B/NTRK1/CNTN1/RAB3A/FEZF1/PRDM8/CHRNB2/KIF5A/PAK3/CDK5R2/RET/EPHB1/SNAP25/L1CAM/DSCAML1/EPHA8/NFASC/GAP43/ISL1/CNTN2/ATOH7/OLFM1/DRD2/NEFL/FSTL4/SLIT1/TNR/THY1/POU4F2	139
GO:0010975	regulation of neuron projection development	133/2156	484/21261	1.1087467578634256e-27	7.849927045673053e-25	4.399973975942225e-25	HES1/WNT5A/LPAR1/LRP4/SFRP2/PMP22/VIM/DAB2/APOE/FN1/SDC2/ENC1/DKK1/EFNB2/SEMA3D/NR2F1/GRN/FLNA/EPHA7/BMP7/ROR1/PRKD1/SERPINF1/FZD4/TSKU/MDK/FZD1/CIB1/PTK7/METRN/OBSL1/PDLIM5/EFNA5/RAB29/NLGN1/PLXND1/ITGA6/ARSB/PLXNB2/LRRC4C/RELN/P3H1/ITM2C/PTN/CDKL5/SEMA4D/TRAK1/RUFY3/CAMK1D/SEMA4G/MAP3K13/PAQR3/TANC2/KIDINS220/RTN4RL1/KAT2B/SS18L1/NEDD4L/HECW2/RAPGEF1/DRAXIN/MARK1/CHN1/IFRD1/PLXNA3/MAGI2/RTN4/FKBP1B/TRIM46/FEZ1/YWHAH/FYN/CDK5R1/GDI1/NRP1/RGS2/PARP6/NOVA2/ACAP3/LZTS3/TIAM1/BRSK1/NCS1/INPP5J/LRP8/SEMA3C/PPP2R5B/DPYSL5/ARC/NEGR1/SLIT2/GPC2/PLXNA2/MAP6/CHRNA3/STX1B/CAMK2B/PLPPR5/TUBB2B/PPFIA2/ISLR2/CTNNA2/LZTS1/MAP2/DCC/MAP1B/NTRK1/DPYSL3/CNTN1/SERPINI1/CRMP1/CHRNB2/PAK3/DNM3/RET/SNAP25/NDRG4/RTN4RL2/L1CAM/TRIM67/HECW1/ELAVL4/CNTN2/ATOH7/CNR1/ZNF804A/STMN2/NEFL/FSTL4/SLIT1/TNR/THY1/POU4F2	133
GO:0007411	axon guidance	81/2156	246/21261	1.0377225451454672e-22	3.673537809814954e-20	2.059059997472848e-20	NOTCH3/LAMB2/WNT5A/NFIB/NOTCH2/FLRT3/ETV1/NEXN/GLI3/EFNA4/UNC5D/BOC/SLIT3/ALCAM/ANOS1/GLI2/ERBB2/EFNB2/BMPR1B/SEMA3D/CNTN5/EPHA7/BMP7/LHX2/SMO/FLRT2/PTK7/OTX2/NRP2/PTPRM/NOTCH1/EFNA5/PLXND1/PALLD/PLXNB2/RELN/DAG1/SEMA4D/SEMA4G/TRIO/DRAXIN/CHN1/PLXNA3/FEZ1/FYN/CDK5R1/NRP1/ARK2C/NOVA2/NCAM1/SEMA3C/NRXN1/DPYSL5/SLIT2/KALRN/PLXNA2/KLF7/EPHA5/KIF5C/TUBB2B/TUBB3/DCC/NRXN3/NTRK1/CNTN1/FEZF1/KIF5A/CDK5R2/RET/EPHB1/L1CAM/DSCAML1/EPHA8/NFASC/GAP43/ISL1/CNTN2/ATOH7/SLIT1/TNR/POU4F2	81
GO:0097485	neuron projection guidance	81/2156	246/21261	1.0377225451454672e-22	3.673537809814954e-20	2.059059997472848e-20	NOTCH3/LAMB2/WNT5A/NFIB/NOTCH2/FLRT3/ETV1/NEXN/GLI3/EFNA4/UNC5D/BOC/SLIT3/ALCAM/ANOS1/GLI2/ERBB2/EFNB2/BMPR1B/SEMA3D/CNTN5/EPHA7/BMP7/LHX2/SMO/FLRT2/PTK7/OTX2/NRP2/PTPRM/NOTCH1/EFNA5/PLXND1/PALLD/PLXNB2/RELN/DAG1/SEMA4D/SEMA4G/TRIO/DRAXIN/CHN1/PLXNA3/FEZ1/FYN/CDK5R1/NRP1/ARK2C/NOVA2/NCAM1/SEMA3C/NRXN1/DPYSL5/SLIT2/KALRN/PLXNA2/KLF7/EPHA5/KIF5C/TUBB2B/TUBB3/DCC/NRXN3/NTRK1/CNTN1/FEZF1/KIF5A/CDK5R2/RET/EPHB1/L1CAM/DSCAML1/EPHA8/NFASC/GAP43/ISL1/CNTN2/ATOH7/SLIT1/TNR/POU4F2	81
GO:0000819	sister chromatid segregation	77/2156	244/21261	2.148909804001465e-20	6.085712564932149e-18	3.411111562562325e-18	KIF4A/CDC20/BIRC5/SPC24/MYBL2/AURKB/UBE2C/NEK2/BUB1B/DLGAP5/TTK/KIF2C/BUB1/CCNB1/KIF14/KIF23/PLK1/NUF2/CDT1/KIF18B/CDCA5/RMI2/ZWINT/CDCA8/KIF11/NUSAP1/TOP2A/CDC6/DSN1/KNL1/NDC80/CHEK2/TPX2/NCAPH/KIF18A/CENPF/PSRC1/CENPK/CDK1/TACC3/SPAG5/MAD2L1/NCAPG/MAP3K20/SMC4/NCAPG2/KNTC1/FLNA/CENPE/TRIP13/NEK6/NCAPD2/KIF22/PRICKLE1/SMC2/RACGAP1/FBXO5/ABRAXAS1/PRC1/SMARCD3/CHMP2B/PHF10/SPDL1/INCENP/NCAPD3/KIF2A/CCSAP/KAT2B/HECW2/DUSP1/APC/TTN/DPF1/DYNC1LI1/DPF3/CLASP2/ACTL6B	77
GO:0140014	mitotic nuclear division	87/2156	303/21261	7.566178673667331e-20	1.7856181669854903e-17	1.0008594245517838e-17	KIF4A/CDC20/BIRC5/SPC24/CDCA2/MYBL2/AURKB/UBE2C/NEK2/BUB1B/SPHK1/DLGAP5/MKI67/TTK/KIF2C/BUB1/CCNB1/KIF14/KIF23/PLK1/NUF2/IGF2/NFIB/CDT1/KIF18B/CDCA5/ZWINT/CDCA8/KIF11/NUSAP1/ANLN/DSN1/KNL1/NDC80/CHEK2/NFIA/TPX2/NCAPH/KIF18A/CENPF/PSRC1/CENPK/CDK1/SPAG5/MAD2L1/NCAPG/SMC4/NCAPG2/AURKA/KNTC1/FLNA/KIF20B/BMP7/CENPE/TRIP13/PDGFRB/CCDC8/REEP4/RCC1/NCAPD2/KIF22/PRICKLE1/SMC2/RACGAP1/FBXO5/ABRAXAS1/OBSL1/PRC1/CHEK1/CHMP2B/EPS8/SPDL1/LRP5/INCENP/KLHDC8B/NCAPD3/KIF2A/CCSAP/KAT2B/PDXP/DUSP1/APC/CDKN1C/TTN/DYNC1LI1/CLASP2/SMPD3	87
GO:0031346	positive regulation of cell projection organization	98/2156	386/21261	4.388509606414101e-18	8.664552129722689e-16	4.856580661471087e-16	CLRN1/MNS1/WNT5A/APOE/ENPP2/FN1/ANLN/ITGA2/ENC1/HAP1/CARMIL1/CEP135/CDC42EP1/GRN/RREB1/FLNA/BMP7/ROR1/PRKD1/SERPINF1/FZD4/MDK/FZD1/PLCE1/PTK7/METRN/OBSL1/EFNA5/NLGN1/ARAP1/PLXND1/ITGA6/EPS8/ARSB/PLXNB2/RELN/WASF2/P3H1/PTN/CDKL5/SEMA4D/TRAK1/RUFY3/CAMK1D/MAP3K13/GRIP1/ARHGEF7/KIDINS220/KAT2B/SS18L1/RAPGEF1/AUTS2/PLXNA3/MAGI2/FKBP1B/FEZ1/FSCN1/FYN/APC/GDI1/NRP1/GPM6A/RGS2/PARP6/TIAM1/FNBP1L/LRP8/PPP2R5B/NEGR1/SLIT2/GPC2/PLXNA2/MAP6/CARMIL2/CAMK2B/PLPPR5/DOCK11/TUBB2B/ISLR2/MAP1B/NTRK1/DPYSL3/CNTN1/SERPINI1/DNM3/RET/NDRG4/RIPOR2/L1CAM/TRIM67/EPS8L1/ELAVL4/ATOH7/CNR1/ZNF804A/STMN2/NEFL/POU4F2	98
GO:0000070	mitotic sister chromatid segregation	65/2156	201/21261	4.895227191933722e-18	8.664552129722689e-16	4.856580661471087e-16	KIF4A/CDC20/BIRC5/SPC24/MYBL2/AURKB/UBE2C/NEK2/BUB1B/DLGAP5/TTK/KIF2C/BUB1/CCNB1/KIF14/KIF23/PLK1/NUF2/CDT1/KIF18B/CDCA5/ZWINT/CDCA8/KIF11/NUSAP1/DSN1/KNL1/NDC80/CHEK2/TPX2/NCAPH/KIF18A/CENPF/PSRC1/CENPK/CDK1/SPAG5/MAD2L1/NCAPG/SMC4/NCAPG2/KNTC1/FLNA/CENPE/TRIP13/NCAPD2/KIF22/PRICKLE1/SMC2/RACGAP1/FBXO5/ABRAXAS1/PRC1/CHMP2B/SPDL1/INCENP/NCAPD3/KIF2A/CCSAP/KAT2B/DUSP1/APC/TTN/DYNC1LI1/CLASP2	65
GO:0007059	chromosome segregation	115/2156	493/21261	6.088325718571025e-18	8.707317762413287e-16	4.880551288179912e-16	KIF4A/MND1/CDC20/BIRC5/SPC24/CDCA2/MYBL2/AURKB/UBE2C/NEK2/BUB1B/OIP5/DLGAP5/MKI67/TTK/KIF2C/CCNB2/BUB1/CCNB1/KIF14/KIF23/PLK1/NUF2/SGO2/CDT1/KIF18B/CDCA5/RMI2/ZWINT/ASPM/CDCA8/KIF11/NUSAP1/TOP2A/HJURP/CDC6/DSN1/KNL1/NDC80/CHEK2/CENPM/CENPU/TPX2/NR3C1/SGO1/NCAPH/PTTG1/KIF18A/FANCD2/CENPF/PSRC1/RAD18/CENPK/CDK1/TACC3/BRCA1/CENPH/SPAG5/P3H4/MAD2L1/NCAPG/MAP3K20/CENPW/SMC4/NCAPG2/AURKA/KNTC1/FLNA/HAUS4/CENPE/TRIP13/ECT2/NEK6/RCC1/NCAPD2/KIF22/PRICKLE1/SMC2/RACGAP1/FBXO5/ABRAXAS1/PRC1/ITGB3BP/MRE11/PSMC3IP/SMARCD3/CHMP2B/CENPO/NDC1/PHF10/CENPL/SPDL1/GEM/NUP43/MIS18A/INCENP/KLHDC8B/NCAPD3/KIF2A/DYNC1H1/CCSAP/KAT2B/MAPRE3/HECW2/ARL8A/FMN2/MAPRE2/DUSP1/APC/TTN/DPF1/DYNC1LI1/DPF3/CLASP2/ACTL6B	115
GO:0098813	nuclear chromosome segregation	93/2156	358/21261	6.3030704533647425e-18	8.707317762413287e-16	4.880551288179912e-16	KIF4A/MND1/CDC20/BIRC5/SPC24/MYBL2/AURKB/UBE2C/NEK2/BUB1B/DLGAP5/TTK/KIF2C/CCNB2/BUB1/CCNB1/KIF14/KIF23/PLK1/NUF2/CDT1/KIF18B/CDCA5/RMI2/ZWINT/ASPM/CDCA8/KIF11/NUSAP1/TOP2A/CDC6/DSN1/KNL1/NDC80/CHEK2/TPX2/SGO1/NCAPH/PTTG1/KIF18A/FANCD2/CENPF/PSRC1/CENPK/CDK1/TACC3/SPAG5/P3H4/MAD2L1/NCAPG/MAP3K20/SMC4/NCAPG2/AURKA/KNTC1/FLNA/CENPE/TRIP13/ECT2/NEK6/NCAPD2/KIF22/PRICKLE1/SMC2/RACGAP1/FBXO5/ABRAXAS1/PRC1/MRE11/PSMC3IP/SMARCD3/CHMP2B/NDC1/PHF10/SPDL1/GEM/INCENP/KLHDC8B/NCAPD3/KIF2A/DYNC1H1/CCSAP/KAT2B/HECW2/FMN2/DUSP1/APC/TTN/DPF1/DYNC1LI1/DPF3/CLASP2/ACTL6B	93
