ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015631	tubulin binding	104/2188	397/21059	2.0206846761824547e-19	3.9807488120794357e-17	2.892769641692777e-17	KIF4A/BIRC5/GJA1/SPC24/KIF20A/DLGAP5/CRYAB/KIF2C/KIF14/KIF23/PLK1/KIF18B/BRCA2/KIF11/NUSAP1/GTSE1/CGN/MAP7D3/KIF18A/CENPF/PSRC1/KIF1C/CAPN6/BRCA1/SPAG5/HAUS4/KIF20B/CENPE/KIFC3/NEDD1/REEP4/KIF22/RACGAP1/ABRAXAS1/MDM1/EML1/PRC1/MID1/KIF13A/WHAMM/EZR/DAG1/KIF2A/KIF1B/TPPP3/CLIP2/KATNAL1/MAP1LC3B/ARHGEF7/KIF21A/JAKMIP2/CCSAP/KIF3A/MAP1A/MAPRE3/SGIP1/DCTN1/ARL8A/POLB/TRIM36/MAPRE2/FEZ1/PDE4B/FYN/DNM1/CDK5R1/DST/APC/ARHGEF2/FHDC1/STMN1/MACO1/STMN3/RGS2/TTLL7/NEFH/TTLL11/TIAM1/BRSK1/TPPP/VASH2/MTUS2/MAP4K4/SYT11/MAP6/KIF3C/MAST1/FSD1/MAP1LC3A/KIF5C/CLASP2/MTUS1/REEP1/MAP2/MAP1B/KIF5A/DNM3/KIF21B/DCX/NAV3/APC2/STMN4/STMN2/NEFM	104
GO:0008017	microtubule binding	82/2188	289/21059	8.343614048705023e-18	8.218459837974447e-16	5.972271108546753e-16	KIF4A/BIRC5/SPC24/KIF20A/DLGAP5/CRYAB/KIF2C/KIF14/KIF23/PLK1/KIF18B/KIF11/NUSAP1/GTSE1/CGN/MAP7D3/KIF18A/CENPF/PSRC1/KIF1C/CAPN6/SPAG5/HAUS4/KIF20B/CENPE/KIFC3/REEP4/KIF22/RACGAP1/ABRAXAS1/MDM1/EML1/PRC1/MID1/KIF13A/WHAMM/EZR/KIF2A/KIF1B/CLIP2/KATNAL1/MAP1LC3B/KIF21A/JAKMIP2/CCSAP/KIF3A/MAP1A/MAPRE3/SGIP1/DCTN1/POLB/MAPRE2/DNM1/DST/APC/ARHGEF2/FHDC1/MACO1/NEFH/TIAM1/TPPP/VASH2/MTUS2/MAP4K4/MAP6/KIF3C/MAST1/FSD1/MAP1LC3A/KIF5C/CLASP2/MTUS1/REEP1/MAP2/MAP1B/KIF5A/DNM3/KIF21B/DCX/NAV3/APC2/NEFM	82
GO:0003779	actin binding	100/2188	475/21059	3.6682438369122566e-12	2.4088134529057153e-10	1.7504602169125158e-10	DIAPH3/AJUBA/MYO5C/CNN1/EGFR/CGN/TAGLN/NEXN/ANLN/TPM2/DMD/UACA/MYO5B/ENC1/ANXA6/KIF18A/DIAPH2/MYO1E/UTRN/LMOD1/AIF1L/INPPL1/ANTXR1/FLNA/HOMER2/TLN1/TPM1/ANG/PARVA/CALD1/FHOD1/MYH9/PAWR/CNN2/PHACTR2/VCL/PLS3/SSH3/BAIAP2L1/MYO10/ADD3/P4HB/SNTA1/SHROOM3/PDLIM5/PDLIM7/WHAMM/PALLD/EPS8/EZR/ACTN1/ARPC1B/WASF2/DAG1/IMPACT/MAP1A/PDLIM1/EPB41L1/FMN2/MYO5A/FGD4/YWHAH/FSCN1/TMSB10/CDK5R1/AFDN/SPTBN4/DST/KLHL4/EPB41/SPIRE2/TTN/FHDC1/HPCA/SAMD14/VASH2/SPTBN2/DAAM1/CORO1A/SORBS1/CAMK2B/CTNNA2/SYN1/ADD2/CORO2A/MTSS1/MAP1B/MICAL1/CDK5R2/CXCR4/ABLIM3/PHACTR3/EPS8L1/DMTN/MYO16/TMOD2/CORO2B/TAGLN3/LDB3/KLHL1	100
GO:0044325	transmembrane transporter binding	39/2188	139/21059	4.647035912683211e-9	2.2886651869964813e-7	1.6631496950655703e-7	HAP1/RNF207/FLNA/CIB1/ITPR2/TJP2/NHERF1/SNTA1/PKP2/ACTN1/CAMK2D/NEDD4L/CALM2/RIMS1/FKBP1B/HERPUD1/YWHAH/PDE4B/CALM1/FYN/ANK2/RIMS2/ANK3/HRC/CBARP/KCNB1/ABCC8/GPD1L/SCN3B/RIMS4/LRRC55/ANK1/LRRC26/RIMS3/KCNC1/SNAP25/KCND3/AKAP6/CNTNAP2	39
GO:0019838	growth factor binding	40/2188	150/21059	1.4511508603432282e-8	5.717534389752319e-7	4.154874042245875e-7	CCN2/COL1A2/CCN1/COL1A1/COL2A1/THBS1/PDGFRA/COL4A1/IGFBP5/COL5A1/FGFR3/EGFR/LTBP3/IGFBP7/TGFBR3/HTRA1/FGFR2/LTBP1/HAP1/LTBP2/LTBP4/ERBB2/FGFRL1/FGFR1/EPHA7/PDGFRB/PXDN/TSKU/EPHA2/TWSG1/PDGFA/NRP2/ITGA6/ACVR1/LIFR/NRP1/IGFBPL1/NTRK1/EPHA8/FSTL4	40
GO:0005201	extracellular matrix structural constituent	45/2188	195/21059	2.06232520385285e-7	6.771301085983525e-6	4.920635574105046e-6	COL1A2/CCN1/ELN/LAMB2/COL1A1/COL23A1/LUM/COL2A1/THBS1/SPARC/MATN2/COL4A6/FBN1/COL4A1/MFAP4/COL9A1/FBN2/MFGE8/COL5A1/HSPG2/COL4A5/FN1/IGFBP7/EFEMP1/COL9A3/NID1/LAMA5/EMILIN3/LTBP1/COL4A2/ANOS1/LTBP2/LTBP4/COL11A1/COL25A1/FBLN1/COL9A2/EFEMP2/LAMC1/COL27A1/PXDN/VCAN/AEBP1/TUFT1/MUC3A	45
GO:0019887	protein kinase regulator activity	53/2188	249/21059	2.9335048223346506e-7	8.255720714284659e-6	5.999348208082895e-6	CCNB2/CCNB1/IGF2/GPRC5A/CCND1/CCNA2/EGFR/SOCS3/BMP2/CKS1B/MAP3K20/SMO/SPRED1/PARVA/HSPB1/CIB1/CIT/CDKN2B/CKS2/STK3/ETAA1/DNAJC3/SPRY2/EFNA5/AKT1S1/NPM1/CDK4/MAP3K13/MADD/KIDINS220/KAT2B/INKA2/CALM2/ACSL1/CALM1/CDK5R1/APC/CDKN1C/TRIB3/MAPK8IP1/YWHAG/CDKN2D/PARP6/PRKAR2B/PKIA/CASP3/PKIB/CD24/CAMK2N1/CAMK2N2/CDK5R2/AGAP2/NRG1	53
GO:0003774	cytoskeletal motor activity	32/2188	121/21059	4.786289411801301e-7	1.1786237676560704e-5	8.564938947433908e-6	KIF4A/KIF20A/KIF2C/KIF14/KIF23/KIF18B/MYO5C/KIF11/MYO5B/KIF18A/MYO1E/KIF1C/KIF20B/CENPE/KIFC3/MYH9/KIF22/MYO10/KIF13A/DYNC2H1/KIF2A/KIF1B/DYNC1H1/KIF21A/KIF3A/MYO5A/KLC1/KIF3C/KIF5C/KIF5A/KIF21B/MYO16	32
GO:0001540	amyloid-beta binding	29/2188	105/21059	6.09918734008715e-7	1.3350443399968539e-5	9.70163132458307e-6	CRYAB/LDLRAP1/HSPG2/APOE/ITGA2/FZD5/COL25A1/TGFB2/FZD4/BCHE/CLSTN2/CD74/SORL1/NLGN1/ITM2C/LRPAP1/APBB2/APBB1/LDLRAD3/APBB3/LRP8/GRIA1/ATP1A3/MAPK8IP2/ACHE/DLGAP3/CACNA1A/CACNA1B/GRIA2	29
GO:0045296	cadherin binding	68/2188	359/21059	7.06551483590082e-7	1.3919064226724615e-5	1.011484229139486e-5	NOTCH3/ANXA1/S100A11/H3C2/DIAPH3/CCNB2/AHNAK/KRT18/GPRC5A/CIP2A/EGFR/CGN/ANLN/TRIM25/ARHGAP18/EFHD2/CAST/CDH6/CDH7/CDC42EP1/FLNA/TLN1/PARVA/CALD1/CDH8/EPHA2/MYH9/PLIN3/CDH23/PROM1/EPCAM/CNN2/VCL/BAIAP2L1/ZC3HAV1/TJP2/PKP4/CDH20/PTPRM/PRDX6/PDLIM5/PHLDB2/MRE11/RPL23A/PKP2/CHMP2B/ITGA6/EZR/HSPA5/CDH11/PKN2/WASF2/ACVR1/CDH24/CTNND2/PDLIM1/KLC2/RTN4/FSCN1/ARVCF/CDK5R1/AFDN/FNBP1L/SPTBN2/ANK3/CTNNA2/MMP24/EPS8L1	68
