ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	75/1000	240/21261	3.68134434067049e-41	5.175970142982709e-38	3.4100873892526654e-38	RHO/PDE6G/PDE6A/GNAT1/PPEF2/CNGB1/RP1/ROM1/IMPG1/CABP4/PRPH2/RRH/RDH12/EPAS1/RGS9BP/RP1L1/GUCA1C/NR2E3/PAX2/RAX2/ARR3/RCVRN/GUCA1B/PCARE/USH2A/CACNA1F/RGS9/AIPL1/RS1/PDE6B/UNC119/COL1A1/ABCA4/LRAT/GUCY2D/RLBP1/CPLX4/SLC24A1/SEMA5B/RBP3/GUCA1ANB-GUCA1A/CNGB3/MYO3A/RD3/PDC/KIFC3/PRCD/PDE6C/IMPG2/GUCA1A/FAM161A/REEP6/PDE6H/RPGRIP1/AOC2/BBS5/TULP1/MYO3B/ATP8A2/GNAT2/ARL6/NDP/PAX6/VSX2/GABRR2/ZIC2/RBP4/POU6F2/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1	75
GO:0050953	sensory perception of light stimulus	75/1000	244/21261	1.3545932896837763e-40	9.522790826476948e-38	6.273905762745913e-38	RHO/PDE6G/PDE6A/GNAT1/PPEF2/CNGB1/RP1/ROM1/IMPG1/CABP4/PRPH2/RRH/RDH12/EPAS1/RGS9BP/RP1L1/GUCA1C/NR2E3/PAX2/RAX2/ARR3/RCVRN/GUCA1B/PCARE/USH2A/CACNA1F/RGS9/AIPL1/RS1/PDE6B/UNC119/COL1A1/ABCA4/LRAT/GUCY2D/RLBP1/CPLX4/SLC24A1/SEMA5B/RBP3/GUCA1ANB-GUCA1A/CNGB3/MYO3A/RD3/PDC/KIFC3/PRCD/PDE6C/IMPG2/GUCA1A/FAM161A/REEP6/PDE6H/RPGRIP1/AOC2/BBS5/TULP1/MYO3B/ATP8A2/GNAT2/ARL6/NDP/PAX6/VSX2/GABRR2/ZIC2/RBP4/POU6F2/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1	75
GO:0060041	retina development in camera-type eye	48/1000	179/21261	1.840594437707964e-23	8.626252598057992e-21	5.683238965554416e-21	RHO/PDE6A/GNAT1/RP1/ROM1/CABP4/PRPH2/RP1L1/NR2E3/PAX2/MEGF11/RS1/PDE6B/LPCAT1/HCN1/NTRK2/SOX8/RD3/PDE6C/IMPG2/STAT3/ACHE/RPGRIP1/TULP1/ATP2B2/SLC17A7/NFIB/PROM1/ATP8A2/NFIA/GNAT2/GNB1/NDP/PAX6/SDK1/PDGFRB/NOTCH1/FAT3/THRB/DIO3/CDON/BARHL2/PRDM1/RBP4/DCX/POU4F2/FOXN4/ATOH7	48
GO:0043010	camera-type eye development	70/1000	379/21261	3.5243016344840786e-23	1.2387920245211536e-20	8.16154062722629e-21	RHO/PDE6A/GNAT1/RP1/ROM1/CABP4/PRPH2/RP1L1/NR2E3/PAX2/VAX1/MEGF11/AQP1/RS1/PDE6B/LPCAT1/HCN1/FLT1/NTRK2/SOX8/RD3/JAG1/PDE6C/IMPG2/STAT3/ACHE/RPGRIP1/EPHB1/TULP1/ATP2B2/SLC7A11/SLC17A7/NFIB/PROM1/ATP8A2/NFIA/GNAT2/GNB1/NDP/CC2D2A/GLI3/PAX6/SDK1/PDGFRB/FZD5/MEIS1/NOTCH1/FAT3/THRB/WNT5A/SOX11/DIO3/CDON/MAB21L2/BMP4/BARHL2/PRDM1/RBP4/DCX/POU4F2/FOXN4/ATOH7/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1/LIM2	70
GO:0001654	eye development	74/1000	431/21261	1.865930140274291e-22	5.246995554451306e-20	3.456881101981845e-20	RHO/PDE6A/GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/RP1L1/NR2E3/PAX2/VAX1/MEGF11/AQP1/RS1/PDE6B/LPCAT1/HCN1/FLT1/NTRK2/SOX8/RD3/JAG1/PDE6C/IMPG2/STAT3/ACHE/RPGRIP1/EPHB1/TULP1/ATP2B2/SLC7A11/SLC17A7/NFIB/PROM1/ATP8A2/NFIA/GNAT2/GNB1/NDP/CC2D2A/GLI3/PAX6/SDK1/PDGFRB/FZD5/MEIS1/PXDN/NOTCH1/FAT3/THRB/WNT5A/SOX11/DIO3/CDON/MAB21L2/PBX4/BMP4/BARHL2/ADAMTS18/PRDM1/RBP4/DCX/POU4F2/FOXN4/ATOH7/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1/LIM2	74
GO:0150063	visual system development	74/1000	435/21261	3.299534621276021e-22	7.731909462523477e-20	5.094018362671753e-20	RHO/PDE6A/GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/RP1L1/NR2E3/PAX2/VAX1/MEGF11/AQP1/RS1/PDE6B/LPCAT1/HCN1/FLT1/NTRK2/SOX8/RD3/JAG1/PDE6C/IMPG2/STAT3/ACHE/RPGRIP1/EPHB1/TULP1/ATP2B2/SLC7A11/SLC17A7/NFIB/PROM1/ATP8A2/NFIA/GNAT2/GNB1/NDP/CC2D2A/GLI3/PAX6/SDK1/PDGFRB/FZD5/MEIS1/PXDN/NOTCH1/FAT3/THRB/WNT5A/SOX11/DIO3/CDON/MAB21L2/PBX4/BMP4/BARHL2/ADAMTS18/PRDM1/RBP4/DCX/POU4F2/FOXN4/ATOH7/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1/LIM2	74
GO:0048880	sensory system development	74/1000	448/21261	1.9985569102246424e-21	4.0142443082512105e-19	2.6447068887183246e-19	RHO/PDE6A/GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/RP1L1/NR2E3/PAX2/VAX1/MEGF11/AQP1/RS1/PDE6B/LPCAT1/HCN1/FLT1/NTRK2/SOX8/RD3/JAG1/PDE6C/IMPG2/STAT3/ACHE/RPGRIP1/EPHB1/TULP1/ATP2B2/SLC7A11/SLC17A7/NFIB/PROM1/ATP8A2/NFIA/GNAT2/GNB1/NDP/CC2D2A/GLI3/PAX6/SDK1/PDGFRB/FZD5/MEIS1/PXDN/NOTCH1/FAT3/THRB/WNT5A/SOX11/DIO3/CDON/MAB21L2/PBX4/BMP4/BARHL2/ADAMTS18/PRDM1/RBP4/DCX/POU4F2/FOXN4/ATOH7/CRYBB1/CRYGS/CRYBA2/CRYBA4/CRYBB3/CRYBB2/CRYBA1/LIM2	74
GO:0048593	camera-type eye morphogenesis	38/1000	153/21261	1.3094074684546625e-17	2.3012836258090695e-15	1.5161560161053991e-15	RHO/GNAT1/RP1/ROM1/CABP4/PAX2/MEGF11/AQP1/RS1/HCN1/NTRK2/SOX8/JAG1/PDE6C/IMPG2/STAT3/RPGRIP1/EPHB1/PROM1/ATP8A2/GNAT2/NDP/GLI3/PAX6/SDK1/FZD5/MEIS1/NOTCH1/FAT3/THRB/WNT5A/SOX11/DIO3/CDON/BMP4/PRDM1/RBP4/FOXN4	38
GO:0009416	response to light stimulus	58/1000	344/21261	1.8418772330324618e-17	2.8774215440484904e-15	1.895733292477856e-15	RHO/GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RRH/RGS9BP/FOS/NR2E3/RCVRN/CACNA1F/RGS9/AQP1/AIPL1/RS1/PDE6B/UNC119/ABCA4/SLC1A3/GUCY2D/ELOVL4/SLC24A1/USP2/SEMA5B/GUCA1ANB-GUCA1A/MMP2/GNGT2/ABCA7/AANAT/PDC/PLEKHB1/PDE6C/SLC1A2/GUCA1A/PPP1R1B/REEP6/ND3/TULP1/GNB5/SLC7A11/ATP8A2/PDE8B/GNAT2/DCUN1D3/BHLHE40/TUBA1A/USP28/POLD1/AURKB/CASP7/OPN3/PCLAF/PBK/DCT/ATOH7	58
GO:0009581	detection of external stimulus	38/1000	155/21261	2.1037696830985362e-17	2.9579001744365417e-15	1.948755074870223e-15	RHO/GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RRH/RGS9BP/NR2E3/RCVRN/CACNA1F/AIPL1/RS1/PDE6B/UNC119/ABCA4/GUCY2D/ELOVL4/SEMA5B/GUCA1ANB-GUCA1A/NGFR/GNGT2/PDC/PLEKHB1/PDE6C/GUCA1A/REEP6/EPHB1/TULP1/ATP8A2/GNAT2/OPN3/NTRK1/SERPINE2/CXCR4/ANO1	38
