ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0022402	cell cycle process	176	-0.5373440785050476	-4.842961050127667	6.508492132426968e-38	9.307143749370564e-36	6.714023462924662e-36	457	tags=87%, list=40%, signal=62%	CENPL/RBL1/ID4/LIG1/PLK4/CENPS/NCAPD2/RNASEH2B/ZW10/POLA1/CHEK2/SMC2/SKP2/NEK2/FBXO5/GINS1/DBF4/CENPH/FEN1/BCL7A/ECT2/CDK4/CDKN3/TICRR/VRK1/EME1/CHEK1/TPX2/TIMELESS/RANBP1/CKS1B/PSRC1/GINS3/FANCD2/CENPI/CKS2/TRIP13/RMI2/CKAP2/PTTG1/RRM1/CLSPN/CHTF8/CIT/SMC4/STIL/CENPO/GTSE1/AVEN/KIF23/KIF20B/LLGL1/MCM2/CDC7/MELK/KIF11/DBF4B/MND1/GMNN/CDK1/RFWD3/CDCA8/CCNA2/AURKA/ZWINT/PCLAF/SGO1/RAD51/KIF20A/BRCA1/MCM4/KIF14/GJA1/SGO2/FAM83D/H2AX/RAD54L/CCNF/MAD2L1/XRCC2/CENPW/AUNIP/BUB1/CDT1/ORC1/CENPK/BUB1B/CDC20/WEE1/CENPA/SPDL1/CCNE2/CCNB2/NDC80/E2F7/CENPU/NUF2/NCAPH/KIF2C/TTK/ESCO2/CDC45/CDCA5/CDC6/TRAPPC12/RAD51AP1/TACC3/ANLN/WDR62/DTL/KIF18B/PRKCE/BRIP1/CCNB1/CENPM/CDKN1C/CDK6/CDC25A/BLM/DSCC1/GEN1/FOXM1/INCENP/CENPE/OIP5/CDC25C/SPC24/CENPF/ID2/PLK1/RRM2/KNL1/BRCA2/KIF18A/UBE2S/DLGAP5/TK1/ASPM/BIRC5/SKA3/MYBL2/CDCA2/MKI67/CEP55/AURKB/DNA2/KIF4A/HJURP/HMGA2/NCAPG/ANXA1/SPHK1/CCL2
GO:0051276	chromosome organization	118	-0.61512082793090606	-5.078591912199765	8.175968301424826e-35	5.8458173355187504e-33	4.2170783870507e-33	442	tags=92%, list=38%, signal=63%	NCAPD2/ZW10/CHEK2/SMC2/NASP/NEK2/MCM7/FBXO5/HMGB2/GINS1/CENPH/FEN1/BCL7A/TPX2/PSRC1/GINS3/FANCD2/CENPI/TRIP13/RMI2/PTTG1/CHTF8/SMC4/CENPO/RECQL4/KIF23/MCM2/HMGA1/KIF11/MND1/H3C10/H4C2/CDK1/H4C8/H3C6/CDCA8/ZWINT/SGO1/RAD51/MCM4/KIF14/MCM5/SGO2/GINS2/RAD54L/MAD2L1/CENPW/BUB1/CDT1/CENPK/BUB1B/CDC20/CENPA/SPDL1/CCNE2/EXO1/NDC80/PIF1/NUF2/NCAPH/KIF2C/RFC2/TTK/RFC3/ESCO2/CDC45/CDCA5/CDC6/TRAPPC12/TACC3/KIF18B/BRIP1/CCNB1/GINS4/H3C11/BLM/DSCC1/GEN1/INCENP/CENPE/H1-4/OIP5/SPC24/CENPF/PLK1/KNL1/BRCA2/KIF18A/DLGAP5/BIRC5/H3C12/MYBL2/AURKB/DNA2/POLQ/KIF4A/HJURP/HMGA2/NCAPG/H1-2/H3C8/H3C2/H4C9/H3C4/H1-3/ANXA1/H1-5/H4C3
GO:1903047	mitotic cell cycle process	137	-0.5353006524424084	-4.572496704532891	1.0918788286486267e-29	5.2046224165584535e-28	3.7545307090373828e-28	453	tags=87%, list=39%, signal=60%	RBL1/ID4/LIG1/NCAPD2/RNASEH2B/ZW10/POLA1/CHEK2/SMC2/SKP2/NEK2/FBXO5/GINS1/DBF4/CENPH/BCL7A/ECT2/CDK4/CDKN3/TICRR/VRK1/EME1/CHEK1/TPX2/RANBP1/CKS1B/PSRC1/GINS3/FANCD2/CENPI/CKS2/TRIP13/CKAP2/RRM1/CLSPN/CIT/SMC4/STIL/GTSE1/AVEN/KIF23/KIF20B/MCM2/CDC7/MELK/KIF11/DBF4B/CDK1/RFWD3/CDCA8/CCNA2/AURKA/ZWINT/RAD51/KIF20A/BRCA1/MCM4/KIF14/GJA1/CCNF/MAD2L1/BUB1/CDT1/ORC1/CENPK/BUB1B/CDC20/WEE1/CENPA/SPDL1/CCNE2/CCNB2/NDC80/E2F7/NUF2/NCAPH/KIF2C/TTK/CDC45/CDCA5/CDC6/TACC3/ANLN/WDR62/DTL/KIF18B/CCNB1/CDKN1C/CDK6/CDC25A/BLM/GEN1/FOXM1/INCENP/CENPE/CDC25C/SPC24/CENPF/ID2/PLK1/RRM2/KNL1/BRCA2/KIF18A/UBE2S/DLGAP5/TK1/BIRC5/MYBL2/CDCA2/MKI67/CEP55/AURKB/DNA2/KIF4A/NCAPG/ANXA1/SPHK1/CCL2
GO:0000278	mitotic cell cycle	150	-0.5101843341237154	-4.31593441173403	7.222092983570228e-29	2.5818982416263567e-27	1.862539769447059e-27	453	tags=85%, list=39%, signal=59%	RBL1/ID4/LIG1/NCAPD2/RNASEH2B/ZW10/POLA1/CHEK2/SMC2/SKP2/NEK2/TTLL12/FBXO5/GINS1/DBF4/CENPH/BCL7A/ECT2/CDK4/CDKN3/TICRR/VRK1/EME1/CHEK1/TPX2/RANBP1/CKS1B/PSRC1/GINS3/FANCD2/CENPI/CKS2/TRIP13/CKAP2/RRM1/CLSPN/CIT/PBK/SMC4/STIL/GTSE1/AVEN/KIF23/KIF20B/MCM2/CDC7/MELK/KIF11/DBF4B/GMNN/WDHD1/CDK1/RFWD3/CDCA8/CCNA2/AURKA/ZWINT/RAD51/KIF20A/BRCA1/MCM4/KIF14/GJA1/CCNF/MAD2L1/XRCC2/CENPW/BUB1/TBCD/CDT1/ORC1/CENPK/BUB1B/CDC20/WEE1/CENPA/SPDL1/CCNE2/CCNB2/NDC80/E2F7/NUF2/NCAPH/KIF2C/TTK/CDC45/CDCA5/CDC6/TACC3/ANLN/WDR62/TUBA1B/DTL/KIF18B/CCNB1/CDKN1C/CDK6/CDC25A/BLM/GEN1/FOXM1/INCENP/CENPE/CDC25C/SPC24/CENPF/ID2/PLK1/RRM2/KNL1/BRCA2/KIF18A/UBE2S/DLGAP5/TK1/BIRC5/SKA3/MYBL2/CDCA2/MKI67/CEP55/AURKB/DNA2/KIF4A/NCAPG/ANXA1/SPHK1/CCL2
GO:0051726	regulation of cell cycle	138	-0.507217569011928	-4.273885194578621	1.296043803444592e-26	3.7066852778515335e-25	2.673943005001474e-25	453	tags=86%, list=39%, signal=59%	RBL1/PLK4/NCAPD2/RNASEH2B/ZW10/CHEK2/SMC2/SKP2/NEK2/TTLL12/FBXO5/DBF4/FEN1/BCL7A/ECT2/CDK4/CDKN3/BOP1/TICRR/EME1/CHEK1/TPX2/TIMELESS/RANBP1/CKS1B/PSRC1/FANCD2/NR2F2/CKS2/TRIP13/RMI2/RRM1/CLSPN/CIT/SMC4/STIL/GTSE1/AVEN/KIF23/KIF20B/SUV39H1/CDC7/KIF11/DBF4B/GMNN/CDK1/RFWD3/TGFB2/CDCA8/CCNA2/AURKA/ZWINT/PCLAF/RAD51/KIF20A/BRCA1/KIF14/DHCR24/FAM83D/H2AX/CCNF/MAD2L1/BUB1/CDT1/ORC1/BUB1B/CDC20/WEE1/SPDL1/CCNE2/CCNB2/NDC80/E2F7/PRR11/NUF2/NCAPH/KIF2C/TTK/CDC45/CDCA5/CDC6/RAD51AP1/TACC3/ANLN/WDR62/DTL/PRKCE/BRIP1/CCNB1/CDKN1C/CDK6/CDC25A/BLM/GEN1/FOXM1/INCENP/CENPE/CDC25C/SPC24/CENPF/ID2/PLK1/RRM2/KNL1/BRCA2/DLGAP5/ASPM/BIRC5/CDCA2/MKI67/AURKB/DNA2/HMGA2/NCAPG/DDIAS/ANXA1/SPHK1/CCL2
GO:0010564	regulation of cell cycle process	107	-0.5717829440492668	-4.594783004053273	1.9571483728706979e-26	4.66453695534183e-25	3.364921763882954e-25	453	tags=93%, list=39%, signal=62%	RBL1/PLK4/NCAPD2/RNASEH2B/ZW10/CHEK2/SMC2/NEK2/FBXO5/DBF4/FEN1/BCL7A/ECT2/CDK4/TICRR/EME1/CHEK1/TPX2/TIMELESS/RANBP1/PSRC1/FANCD2/TRIP13/RMI2/RRM1/CLSPN/CIT/SMC4/STIL/GTSE1/AVEN/KIF23/KIF20B/CDC7/KIF11/DBF4B/CDK1/RFWD3/CDCA8/AURKA/ZWINT/RAD51/KIF20A/BRCA1/KIF14/FAM83D/H2AX/CCNF/MAD2L1/BUB1/CDT1/ORC1/BUB1B/CDC20/WEE1/SPDL1/NDC80/E2F7/NUF2/NCAPH/KIF2C/TTK/CDC45/CDCA5/CDC6/RAD51AP1/TACC3/ANLN/WDR62/DTL/PRKCE/BRIP1/CCNB1/CDKN1C/CDK6/CDC25A/BLM/GEN1/INCENP/CENPE/CDC25C/SPC24/CENPF/ID2/PLK1/RRM2/KNL1/BRCA2/DLGAP5/BIRC5/CDCA2/MKI67/AURKB/DNA2/HMGA2/NCAPG/ANXA1/SPHK1/CCL2
GO:0006259	DNA metabolic process	115	-0.5452805363442935	-4.4591514668579535	3.0526630044351605e-26	6.2361544233461135e-25	4.4986612696939205e-25	479	tags=93%, list=42%, signal=60%	RPA1/RMI1/MCM3/FANCI/MIS18A/TEN1/LIG1/CENPS/CDK2AP1/RNASEH2B/POLA1/CHEK2/NASP/NEK2/CHAF1B/PARPBP/RNASEH2A/MCM7/FBXO5/MBD3/USP1/HMGB2/GINS1/CHAF1A/POLA2/DBF4/FEN1/BCL7A/TICRR/TRAIP/EME1/CHEK1/TIMELESS/UBQLN4/GINS3/FANCD2/TRIP13/RMI2/PTTG1/RRM1/CLSPN/CHTF8/RECQL4/NEIL3/FAM111B/MCM2/CDC7/MCM10/HMGA1/HELLS/DBF4B/MND1/GMNN/WDHD1/CDK1/LEF1/RFWD3/CCNA2/PCLAF/ORC6/RAD51/BRCA1/MCM4/MCM5/GINS2/H2AX/RAD54L/XRCC2/AUNIP/CDT1/ORC1/KPNA2/CCNE2/EXO1/E2F7/PRIM1/PIF1/RFC2/RFC3/ESCO2/CDC45/CDCA5/CDC6/RAD51AP1/DTL/BRIP1/GINS4/BLM/DSCC1/GEN1/FOXM1/H1-4/ALYREF/CENPF/RRM2/BRCA2/TK1/AURKB/DNA2/POLQ/HMGA2/H1-2/UHRF1/H1-3/H1-5/CYP1B1/SPHK1
GO:0051301	cell division	102	-0.5424381898770604	-4.202500288240769	9.644909584352617e-23	1.72402758820303e-21	1.2436857095612584e-21	449	tags=89%, list=39%, signal=60%	LIG1/CENPS/NCAPD2/ZW10/CHEK2/SMC2/CDCA3/NEK2/FBXO5/ECT2/CDK4/VRK1/TPX2/TIMELESS/CKS1B/PSRC1/CKS2/CKAP2/PTTG1/CIT/SMC4/KIF23/KIF20B/CDC7/HELLS/KIF11/CDK1/LEF1/TGFB2/ERCC6L/CDCA8/CCNA2/AURKA/ZWINT/SGO1/KIF20A/KIF14/SGO2/FAM83D/CCNF/MAD2L1/CENPW/BUB1/ZBTB16/CDT1/BUB1B/CDC20/WEE1/CENPA/SPDL1/CCNE2/CCNB2/NDC80/E2F7/NUF2/NCAPH/KIF2C/CDCA5/CDC6/TACC3/ANLN/TUBA1B/KIF18B/PRKCE/BRIP1/CCNB1/CDK6/CDC25A/BLM/INCENP/CENPE/OIP5/CDC25C/SPC24/CENPF/PLK1/KNL1/BRCA2/UBE2S/ASPM/BIRC5/SKA3/CDCA2/CEP55/AURKB/KIF4A/PIMREG/MIS18BP1/HMGA2/NCAPG/SFRP2
GO:0003008	system process	171	0.493976359337555	2.6249032212247485	4.3805255392675705e-14	6.960168356836251e-13	5.020953249686806e-13	217	tags=42%, list=19%, signal=40%	PDE6H/RS1/GNAT2/GUCA1ANB-GUCA1A/PRPH2/RAX2/ARR3/PDC/GUCA1B/AIPL1/CPLX4/SLC38A5/GJD2/RD3/PHF24/GUCY2D/TULP1/DHRS3/SLC1A7/SFRP5/RCVRN/INHBB/NEUROG1/BEST1/CRX/RBP4/GNB3/ADRA2C/KCNH6/RBP3/CACNA1F/SERPINA3/MYO3B/IMPG2/TAFA4/RGR/GABRR2/RPGRIP1/SLC26A7/FAM107A/CPLX3/STAC2/ADM/LMOD1/STC1/FXYD1/KCNJ10/SH3GL2/TJP3/ELN/KCNIP2/SLC4A5/GRIK2/VEGFA/AOC2/MYO7A/LHFPL4/HOPX/PPP1R1B/ESPN/ADCY5/SLC38A3/GUCA1A/SEZ6/SNAP25/NEDD4L/RIMS2/ROM1/SCARB1/IGFBP5/SLC8A2/CAMK2B
GO:0050877	nervous system process	110	0.5216201948694033	2.653282292820721	1.3040839955656443e-11	1.8648401136588714e-10	1.3452655954256122e-10	205	tags=44%, list=18%, signal=40%	PDE6H/RS1/GNAT2/GUCA1ANB-GUCA1A/PRPH2/RAX2/ARR3/PDC/GUCA1B/AIPL1/CPLX4/GJD2/RD3/PHF24/GUCY2D/TULP1/DHRS3/SLC1A7/SFRP5/RCVRN/NEUROG1/BEST1/CRX/RBP4/RBP3/CACNA1F/MYO3B/IMPG2/TAFA4/RGR/GABRR2/RPGRIP1/FAM107A/CPLX3/STAC2/KCNJ10/GRIK2/AOC2/MYO7A/LHFPL4/PPP1R1B/ESPN/ADCY5/GUCA1A/SEZ6/SNAP25/RIMS2/ROM1
