ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030527	structural constituent of chromatin	45/2050	101/21059	8.818746147005013e-20	1.7372929909599876e-17	1.1510784444511808e-17	H3-3B/H2AC6/H3-3A/H2AX/H2AZ1/MACROH2A2/H2BC5/H1-2/H4C5/H1-4/HMGA1/H2BC4/H3C10/H4C3/H4C8/H2AC21/H2AC8/H3C6/H2BC8/H2AC20/H4C2/H1-3/CENPA/H2AC11/H2BC12/H1-5/H2BC18/H4C9/H2AC7/H3C11/H2AC4/H2BC14/H2BC11/H3C12/H2AC13/H2BC17/H2BC9/H3C7/H3C4/H3C8/H2BC6/H2AC16/H2AC12/H3C2/H2AC17	45
GO:0046982	protein heterodimerization activity	84/2050	360/21059	1.8902198459818028e-14	1.8618665482920756e-12	1.2336171626407555e-12	EPAS1/KCNB1/ABCG4/BHLHE41/ADRA2C/CAV2/DDIT3/TENM1/MAPK4/KCNB2/MEF2C/ATP1B2/NEUROD1/ABCG1/DGKD/NR4A1/GABBR2/BCL2L1/RRAGD/ABTB2/ADD1/P2RY1/SYT1/BCL2/TAF3/PIK3R1/H3-3B/H2AC6/H3-3A/TPM4/LSM6/SLC7A8/RAN/PAFAH1B3/ADD2/TUBB2B/TCF3/SAE1/H2AX/H2AZ1/ABCD1/TUBA1A/MACROH2A2/H2BC5/TCF12/H4C5/TPM2/RCC1/CENPW/H2BC4/H3C10/H4C3/H4C8/TENM3/AURKA/H2AC21/H2AC8/H3C6/H2BC8/H2AC20/H4C2/TOP2A/CENPA/H2AC11/H2BC12/H2BC18/H4C9/H2AC7/H3C11/H2AC4/H2BC14/H2BC11/H3C12/H2AC13/H2BC17/H2BC9/H3C7/H3C4/H3C8/H2BC6/H2AC16/H2AC12/H3C2/H2AC17	84
GO:0140097	catalytic activity, acting on DNA	61/2050	255/21059	2.3801997521554486e-11	1.5629978372487447e-9	1.0355956816395636e-9	CHD5/NAV2/SMARCA2/REV3L/APEX2/MCM8/MYD88/LIG3/RBBP8/RUVBL1/ATAD5/POLE/UNG/GEN1/RAD54B/MGME1/POLD3/POLA1/G3BP1/NTHL1/LIG1/RFC2/MRE11/XRCC1/TDP1/RPS3/PCNA/RFC4/FEN1/CHTF8/CHTF18/DDX11/TTF2/MCM3/DNMT3B/POLE2/RECQL4/EME1/RFC5/RFC3/MCM7/POLQ/MCM4/MCM6/BRIP1/RAD51/POLD1/MCM5/XRCC2/DNA2/BLM/HELLS/RAD54L/DSCC1/MCM2/NEIL3/ERCC6L/PIF1/TOP2A/EXO1/HMGA2	61
GO:0015631	tubulin binding	79/2050	397/21059	5.160864387370258e-10	2.4238928682684458e-8	1.605999015042946e-8	RP1/FMN1/NDRG1/JAKMIP1/CLIP4/KIFC3/EML5/MTCL1/PRNP/DNM3/HOOK1/EML6/SGIP1/GABARAPL1/KIF21B/RAB11FIP5/MTUS1/MAP2/FAM161A/KIF3B/PRKN/MAP1LC3A/DST/FEZ1/ATF5/EML3/CCDC181/JMY/LYN/DNM1/MAP4/GOLGA2/SNCA/UNC5C/UXT/TBCD/TTLL12/HAUS4/RPS3/CKAP5/STMN1/HAUS8/KNSTRN/CCDC88C/KIF20B/PHF6/KIF22/DCX/RACGAP1/PSRC1/FSD1/BRCA1/PRC1/GAS2L3/BRCA2/STMN2/KIF11/KIF24/SPAG5/KIF18B/NEFM/CENPE/SPC24/CFAP144/KIF23/KIF14/TPPP3/GJA1/NUSAP1/KIF2C/FAM83D/GTSE1/KIF4A/PLK1/KIF18A/CENPF/BIRC5/KIF20A/DLGAP5	79
GO:0008094	ATP-dependent activity, acting on DNA	37/2050	127/21059	6.152012356011284e-10	2.4238928682684458e-8	1.605999015042946e-8	CHD5/NAV2/SMARCA2/MCM8/MYD88/RUVBL1/ATAD5/RAD54B/G3BP1/RFC2/MRE11/RFC4/CHTF8/CHTF18/DDX11/TTF2/MCM3/RECQL4/RFC5/RFC3/MCM7/POLQ/MCM4/MCM6/BRIP1/RAD51/MCM5/XRCC2/DNA2/BLM/HELLS/RAD54L/DSCC1/MCM2/ERCC6L/PIF1/TOP2A	37
GO:0008017	microtubule binding	62/2050	289/21059	1.8337188478754257e-9	6.020710217190981e-8	3.989142756781628e-8	RP1/FMN1/NDRG1/JAKMIP1/CLIP4/KIFC3/EML5/MTCL1/PRNP/DNM3/HOOK1/EML6/SGIP1/KIF21B/MTUS1/MAP2/FAM161A/KIF3B/MAP1LC3A/DST/EML3/CCDC181/JMY/DNM1/MAP4/GOLGA2/UXT/HAUS4/RPS3/CKAP5/HAUS8/KNSTRN/CCDC88C/KIF20B/KIF22/DCX/RACGAP1/PSRC1/FSD1/PRC1/GAS2L3/KIF11/KIF24/SPAG5/KIF18B/NEFM/CENPE/SPC24/CFAP144/KIF23/KIF14/NUSAP1/KIF2C/FAM83D/GTSE1/KIF4A/PLK1/KIF18A/CENPF/BIRC5/KIF20A/DLGAP5	62
GO:0003779	actin binding	87/2050	475/21059	5.01649080673737e-9	1.2450656763389416e-7	8.249433281647276e-8	SPTBN5/TULP1/MYL4/FAM107A/MYO3B/FMN1/ABLIM3/LMOD1/COBLL1/COBL/ESPN/SYNPO/KCNMA1/CACNB2/CDK5R2/KLHL4/EPS8/CAMK2B/MYO7A/CLMN/MYO5B/SORBS1/DMD/SPTBN4/HOOK1/EPB41L2/TNS1/PDLIM3/LIMCH1/LIMA1/SHTN1/SNTA1/IQGAP2/PLS1/SPTBN1/HPCA/PRKN/FHOD3/INF2/MYO10/SYNE1/SYN1/DST/MYO9A/ADD1/GSN/OPHN1/SETD3/JMY/SNTB2/MYO6/TPM3/SPTBN2/SNCA/FSCN1/WASF1/FLNA/AFAP1/PAWR/BAIAP2L1/CNN2/PARVA/MARCKSL1/TPM4/PDLIM7/PLS3/MYH9/TMSB10/ADD2/HOMER2/MYO1B/DIAPH3/ABLIM2/DBN1/UTRN/TPM2/CTNNA2/CAP2/LIMD2/GAS2L3/CORO1A/ANLN/TAGLN3/TAGLN/KIF18A/TMSB15A/S100A4	87
GO:0045296	cadherin binding	71/2050	359/21059	5.056104269396717e-9	1.2450656763389416e-7	8.249433281647276e-8	COBLL1/NDRG1/KDR/PFKP/PROM1/ARHGAP18/STXBP6/CDC42EP1/CDH23/TBC1D10A/LIMA1/SHTN1/EHD4/SPTBN1/ANK3/ADD1/MMP24/ZC3HAV1/TJP2/DOCK9/GOLGA2/USP8/SPTBN2/FSCN1/FLNA/BAIAP2L1/JUP/TNKS1BP1/CNN2/PLIN3/RANGAP1/PARVA/RPL6/FASN/RUVBL1/CDH24/RAN/ATIC/MRE11/MYH9/RANBP1/RPL23A/CKAP5/CDH11/EHD1/EEF1G/ANXA2/MYO1B/CDH20/NOTCH3/DIAPH3/CEMIP2/DBN1/TMPO/CTNNA2/PHLDB2/KRT18/H3C10/EFHD2/ANXA1/CIP2A/ANLN/H3C6/CDH6/CCNB2/H3C11/H3C12/H3C7/H3C4/H3C8/H3C2	71
GO:0005516	calmodulin binding	48/2050	216/21059	3.826271647078563e-8	8.375283494160854e-7	5.549212681143179e-7	SLC24A4/RRAD/ATP2B2/PDE1C/RGS4/ADCY1/CAMK2B/MYO7A/PNCK/MYO5B/SCN2A/CAMK1D/NGFR/RASGRF2/UNC13A/VAMP2/AEBP1/CAMK2D/SLC8A2/MAP2/SNTA1/IQGAP2/PLCB1/SPTBN1/MYO10/ATP2B1/PPP3CC/CAMK2G/ADD1/CAMKK1/SYT1/TPRG1L/PPP3R1/SNTB2/MYO6/ITPKC/CNN2/MARCKSL1/KCNQ2/MYH9/ADD2/SPA17/MYO1B/ARPP21/GAP43/ASPM/SYT7/SPHK1	48
GO:0003697	single-stranded DNA binding	33/2050	126/21059	8.923754965896473e-8	1.757979728281605e-6	1.164784858706487e-6	PCBP3/CRY2/PURB/PURA/TERF2IP/MCM8/HSPD1/RPA3/POLA1/MMS22L/TDP1/HNRNPA1/SMC2/RAD18/DDX11/MCM3/RADX/RECQL4/MCM7/SMC4/BRCA2/MCM4/MCM10/MCM6/RAD51/HMGB2/MCM5/RAD51AP1/BLM/RAD54L/MCM2/NEIL3/CDC45	33
GO:0044325	transmembrane transporter binding	31/2050	139/21059	8.632162335477386e-6	1.5459418000809502e-4	1.0242948608604746e-4	RIMS2/KCNB1/CABP4/KCNG4/SNAP25/KCNIP2/FXYD1/KCND3/PRNP/NEDD4L/AKAP9/FGF12/TMEM74/SCN3B/HAP1/CAMK2D/RNF207/PDE4D/GPD1L/SNTA1/ABCC8/KCNAB1/ANK3/ANK1/TJP2/LYN/GRINA/FLNA/CALM3/CALM2/ID2	31
GO:0004386	helicase activity	36/2050	176/21059	1.346344877018869e-5	2.21024950643931e-4	1.4644453048275418e-4	CHD5/NAV2/SMARCA2/ZNFX1/DHX15/MCM8/RUVBL1/RAD54B/G3BP1/DDX39A/RFC2/MRE11/RFC4/CHTF8/CHTF18/DDX11/TTF2/MCM3/RECQL4/RFC5/RFC3/MCM7/POLQ/MCM4/MCM6/BRIP1/RAD51/MCM5/DNA2/BLM/HELLS/RAD54L/DSCC1/MCM2/ERCC6L/PIF1	36
