ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	111/1341	476/21261	1.99056508747749e-34	1.12029003123233e-30	8.27446476889327e-31	WNT5A/GATA3/NOTCH3/LAMB2/UST/NFIB/FLRT3/NOTCH2/SLITRK6/GLI2/GLI3/LRP4/APOE/ETV1/ANOS1/EFNA4/ALCAM/PRKG1/BOC/SEMA3D/NEXN/BCL2/UNC5D/SLIT3/BMP7/EFNB2/BMPR1B/LHX2/SMO/EPHA4/ERBB2/EFNA5/CDH11/OTX2/CNTN4/PARD6B/METRN/FN1/FLRT2/UNC5C/SPART/SCN11A/PLXNA1/FEZ1/APLP1/RND2/MAP3K13/PLXNA3/MAP1A/ATL1/DRAXIN/CYFIP2/SEMA3C/CDK5R1/GDI1/NTRK2/STMN1/ARK2C/DPYSL5/PRKCQ/BRSK1/KIF5C/PLXNA2/FYN/SPTBN4/EPHA5/SLIT2/NRP1/NOVA2/STXBP1/MAP6/EPHB1/ANK3/UCHL1/NRXN1/ADCY1/MAP2/PAK3/DCLK1/DCC/TUBB2B/ISLR2/CNTN6/TUBB3/CNTN1/BARHL2/MAP1B/PRDM8/DSCAML1/RAB3A/EPHA8/SNAP25/CTNNA2/NFASC/KIF5A/CDK5R2/L1CAM/CHRNB2/NRXN3/GAP43/CNTN2/THY1/OLFM1/ISL1/ATOH7/SLIT1/DRD2/NEFL/TNR/FSTL4/POU4F2	111
GO:0007411	axon guidance	68/1341	246/21261	4.94024297791303e-26	9.26789582656484e-23	6.84527000693984e-23	WNT5A/GATA3/NOTCH3/LAMB2/NFIB/FLRT3/NOTCH2/GLI2/GLI3/ETV1/ANOS1/EFNA4/ALCAM/BOC/SEMA3D/NEXN/UNC5D/SLIT3/BMP7/EFNB2/BMPR1B/LHX2/SMO/EPHA4/ERBB2/EFNA5/OTX2/CNTN4/FLRT2/UNC5C/PLXNA1/FEZ1/PLXNA3/DRAXIN/CYFIP2/SEMA3C/CDK5R1/ARK2C/DPYSL5/PRKCQ/KIF5C/PLXNA2/FYN/EPHA5/SLIT2/NRP1/NOVA2/EPHB1/NRXN1/DCC/TUBB2B/CNTN6/TUBB3/CNTN1/DSCAML1/EPHA8/NFASC/KIF5A/CDK5R2/L1CAM/NRXN3/GAP43/CNTN2/ISL1/ATOH7/SLIT1/TNR/POU4F2	68
GO:0097485	neuron projection guidance	68/1341	246/21261	4.94024297791303e-26	9.26789582656484e-23	6.84527000693984e-23	WNT5A/GATA3/NOTCH3/LAMB2/NFIB/FLRT3/NOTCH2/GLI2/GLI3/ETV1/ANOS1/EFNA4/ALCAM/BOC/SEMA3D/NEXN/UNC5D/SLIT3/BMP7/EFNB2/BMPR1B/LHX2/SMO/EPHA4/ERBB2/EFNA5/OTX2/CNTN4/FLRT2/UNC5C/PLXNA1/FEZ1/PLXNA3/DRAXIN/CYFIP2/SEMA3C/CDK5R1/ARK2C/DPYSL5/PRKCQ/KIF5C/PLXNA2/FYN/EPHA5/SLIT2/NRP1/NOVA2/EPHB1/NRXN1/DCC/TUBB2B/CNTN6/TUBB3/CNTN1/DSCAML1/EPHA8/NFASC/KIF5A/CDK5R2/L1CAM/NRXN3/GAP43/CNTN2/ISL1/ATOH7/SLIT1/TNR/POU4F2	68
GO:0010975	regulation of neuron projection development	95/1341	484/21261	1.33855211792045e-23	1.88334282991408e-20	1.39103745096523e-20	HES1/WNT5A/GATA3/UST/SFRP2/LPAR1/VIM/LRP4/APOE/DAB2/NLGN1/SDC2/SEMA3D/ENC1/BMP7/EFNB2/PRKD1/LYN/NR2F1/GRN/MDK/SERPINF1/FZD1/EPHA4/EFNA5/ITGA6/CIB1/FLNA/OBSL1/METRN/FN1/SPART/PLXNA1/LRP8/FEZ1/RND2/MAP3K13/PLXNA3/CHRNA3/YWHAH/DRAXIN/PARP6/SEMA3C/CDK5R1/RAPGEF1/ACAP3/GDI1/RGS2/NTRK2/TANC2/KAT2B/GPC2/NCS1/DPYSL5/BRSK1/PLXNA2/PPP2R5B/FYN/SLIT2/NRP1/NOVA2/MAP6/STX1B/LZTS1/MAP2/PAK3/DCC/TUBB2B/CRMP1/ISLR2/SERPINI1/CNTN1/MAP1B/DPYSL3/DNM3/PPFIA2/SNAP25/RTN4RL2/CTNNA2/NDRG4/L1CAM/CHRNB2/CNR1/HECW1/TRIM67/CNTN2/THY1/ATOH7/STMN2/SLIT1/ZNF804A/NEFL/TNR/FSTL4/POU4F2	95
GO:0001654	eye development	81/1341	431/21261	4.55425427797166e-19	5.1262686152849e-16	3.78626318814949e-16	HES1/CRYBB1/CRYBA4/WNT5A/GATA3/CRYBB3/LAMB2/CRYAB/DIO3/MITF/CPAMD8/RHOJ/FOXN4/SMOC1/PDGFRA/NFIA/NFIB/CRYBB2/VIM/BMP4/NOTCH2/SLITRK6/TFAP2A/RDH10/GLI3/CRYBA1/COL5A1/ZHX2/SMAD3/COL4A1/FZD5/FBN2/COL5A2/MAF/SPRED1/BCL2/CDON/SOX2/EGFR/MAN2A1/BMP7/CYP1B1/TGIF2/MERTK/TGFB2/OLFM3/BMPR1B/PROM1/FBN1/LHX2/SDK2/FAT1/PDGFRB/MEIS2/SERPINF1/NECTIN3/CRB1/SPRY2/PBX1/B9D1/CITED2/FGF9/GDF11/FJX1/CRYBG3/NTRK2/PROX1/NRP1/EPHB1/ACHE/BARHL2/RORB/DCX/TH/THY1/ATOH7/CELF4/DLX2/DRD2/SLC17A6/POU4F2	81
GO:0150063	visual system development	81/1341	435/21261	8.15133526213493e-19	7.64595247588257e-16	5.6473022719598e-16	HES1/CRYBB1/CRYBA4/WNT5A/GATA3/CRYBB3/LAMB2/CRYAB/DIO3/MITF/CPAMD8/RHOJ/FOXN4/SMOC1/PDGFRA/NFIA/NFIB/CRYBB2/VIM/BMP4/NOTCH2/SLITRK6/TFAP2A/RDH10/GLI3/CRYBA1/COL5A1/ZHX2/SMAD3/COL4A1/FZD5/FBN2/COL5A2/MAF/SPRED1/BCL2/CDON/SOX2/EGFR/MAN2A1/BMP7/CYP1B1/TGIF2/MERTK/TGFB2/OLFM3/BMPR1B/PROM1/FBN1/LHX2/SDK2/FAT1/PDGFRB/MEIS2/SERPINF1/NECTIN3/CRB1/SPRY2/PBX1/B9D1/CITED2/FGF9/GDF11/FJX1/CRYBG3/NTRK2/PROX1/NRP1/EPHB1/ACHE/BARHL2/RORB/DCX/TH/THY1/ATOH7/CELF4/DLX2/DRD2/SLC17A6/POU4F2	81
GO:0048880	sensory system development	82/1341	448/21261	1.46313522809796e-18	1.17636072339076e-15	8.68860303121629e-16	HES1/CRYBB1/CRYBA4/WNT5A/GATA3/CRYBB3/LAMB2/CRYAB/DIO3/MITF/CPAMD8/RHOJ/FOXN4/SMOC1/PDGFRA/NFIA/NFIB/CRYBB2/VIM/BMP4/NOTCH2/SLITRK6/TFAP2A/RDH10/GLI3/CRYBA1/COL5A1/ZHX2/SMAD3/COL4A1/FZD5/FBN2/COL5A2/MAF/SPRED1/BCL2/CDON/SOX2/EGFR/MAN2A1/BMP7/CYP1B1/TGIF2/MERTK/TGFB2/OLFM3/BMPR1B/PROM1/FBN1/LHX2/SDK2/FAT1/PDGFRB/MEIS2/SERPINF1/NECTIN3/CRB1/SPRY2/PBX1/B9D1/CITED2/FGF9/GDF11/FJX1/CRYBG3/NTRK2/PROX1/NRP1/EPHB1/ACHE/BARHL2/RORB/DCX/TH/THY1/ISL1/ATOH7/CELF4/DLX2/DRD2/SLC17A6/POU4F2	82
GO:0043010	camera-type eye development	71/1341	379/21261	8.74534524711726e-17	6.15235038134699e-14	4.54412741853501e-14	HES1/CRYBB1/CRYBA4/WNT5A/GATA3/CRYBB3/LAMB2/CRYAB/DIO3/MITF/RHOJ/FOXN4/PDGFRA/NFIA/NFIB/CRYBB2/VIM/BMP4/NOTCH2/SLITRK6/TFAP2A/RDH10/GLI3/CRYBA1/ZHX2/SMAD3/COL4A1/FZD5/FBN2/MAF/SPRED1/CDON/EGFR/MAN2A1/BMP7/CYP1B1/TGIF2/MERTK/TGFB2/BMPR1B/PROM1/FBN1/LHX2/SDK2/FAT1/PDGFRB/SERPINF1/NECTIN3/CRB1/SPRY2/B9D1/CITED2/GDF11/FJX1/CRYBG3/NTRK2/PROX1/NRP1/EPHB1/ACHE/BARHL2/RORB/DCX/TH/THY1/ATOH7/CELF4/DLX2/DRD2/SLC17A6/POU4F2	71
GO:0140014	mitotic nuclear division	62/1341	303/21261	1.03554331014444e-16	6.4755974994366e-14	4.78287781492446e-14	CDC20/CDC25C/AURKB/SPHK1/NEK2/BIRC5/MKI67/SPC24/NFIA/IGF2/ZWINT/NFIB/DLGAP5/CCNB1/CDCA5/BMP4/CDT1/KIF18B/KIF23/UBE2C/KIF2C/NUSAP1/TTK/KIF4A/NDC80/CENPK/NUF2/ANLN/TPX2/CENPF/KIF18A/NCAPH/CDCA2/PLK1/BUB1B/BUB1/KIF11/KIF14/AURKA/CDK1/CENPE/SMC4/BMP7/PSRC1/SPAG5/MAD2L1/CCDC8/PDGFRB/KNTC1/KIF22/NCAPG2/PRC1/NCAPD2/FLNA/OBSL1/CDC14A/DUSP1/KIF3B/PDXP/DYNC1LI1/SMPD3/KAT2B	62
GO:0030900	forebrain development	78/1341	448/21261	1.97260877778537e-16	1.11018422013761e-13	8.19982322470992e-14	HES1/ATP1A2/WNT5A/NOTCH3/ZIC1/LPAR1/NFIB/BMP4/GLI2/GLI3/BMP2/FAT4/AXL/ASPM/WDR62/PRKG1/KIF14/CDON/SOX2/EGFR/STIL/NOTCH2NLC/PCDH9/H2AX/SLC2A1/LHX2/HAP1/MDK/TACC3/SMO/CDK6/OTX2/FLNA/TMEM108/DIXDC1/PLXNA1/LRP8/FEZ1/APLP1/PLXNA3/DRAXIN/CDK5R1/BTG2/NTRK2/CASP3/TACC2/PROX1/FYN/KIRREL3/EPHA5/SRGAP2/SLIT2/NRP1/SSTR2/MDGA1/DCLK1/TUBB2B/GRIA1/KCNC1/POU3F1/TUBA1A/TUBB2A/PRDM8/ADGRG1/CXCR4/CDK5R2/ERBB4/CHRNB2/NHLH2/OLIG2/CNTN2/TH/ISL1/SLIT1/DLX2/DRD2/NEFL/TNR	78
