ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0045202	synapse	259	-0.417123952244145	-2.9420880722518	3.90846609641379e-19	1.32887847278069e-16	7.03523897354483e-17	523	tags=59%, list=31%, signal=48%	ENSG00000168280/ENSG00000075043/ENSG00000155093/ENSG00000108852/ENSG00000128683/ENSG00000091428/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000149571/ENSG00000102003/ENSG00000137845/ENSG00000266028/ENSG00000163618/ENSG00000132718/ENSG00000099250/ENSG00000101460/ENSG00000099625/ENSG00000106089/ENSG00000011677/ENSG00000188730/ENSG00000110881/ENSG00000136854/ENSG00000154928/ENSG00000136928/ENSG00000151150/ENSG00000099365/ENSG00000198794/ENSG00000118407/ENSG00000184702/ENSG00000179915/ENSG00000198739/ENSG00000061337/ENSG00000075461/ENSG00000164742/ENSG00000146005/ENSG00000105409/ENSG00000011347/ENSG00000186479/ENSG00000075340/ENSG00000091844/ENSG00000087053/ENSG00000100167/ENSG00000087085/ENSG00000112139/ENSG00000077264/ENSG00000133083/ENSG00000073670/ENSG00000187323/ENSG00000137285/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000008735/ENSG00000158856/ENSG00000164929/ENSG00000134115/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000165379/ENSG00000184588/ENSG00000154917/ENSG00000162545/ENSG00000054356/ENSG00000129159/ENSG00000155897/ENSG00000167552/ENSG00000101210/ENSG00000135596/ENSG00000018236/ENSG00000008056/ENSG00000116544/ENSG00000148908/ENSG00000131711/ENSG00000113657/ENSG00000197959/ENSG00000101463/ENSG00000177103/ENSG00000169213/ENSG00000163888/ENSG00000167654/ENSG00000115266/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000103723/ENSG00000171385/ENSG00000120645/ENSG00000132639/ENSG00000164076/ENSG00000173210/ENSG00000166111/ENSG00000155980/ENSG00000152932/ENSG00000141837/ENSG00000166206/ENSG00000183775/ENSG00000178568/ENSG00000148798/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000139970/ENSG00000128872/ENSG00000160716/ENSG00000135824/ENSG00000101349/ENSG00000106236/ENSG00000145920/ENSG00000021645/ENSG00000101204/ENSG00000135472/ENSG00000118432/ENSG00000172020/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000157782/ENSG00000184144/ENSG00000180176/ENSG00000130558/ENSG00000130287/ENSG00000168824/ENSG00000122012/ENSG00000120251/ENSG00000070808/ENSG00000131094/ENSG00000101489/ENSG00000147432/ENSG00000148408/ENSG00000104722/ENSG00000162105/ENSG00000170396/ENSG00000157064/ENSG00000162188/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000157103/ENSG00000152910/ENSG00000070748/ENSG00000165646/ENSG00000091664/ENSG00000116147
CC	GO:0043005	neuron projection	237	-0.39882898855672	-2.75301752269913	4.86711480204241e-16	8.2740951634721e-14	4.38040332183817e-14	550	tags=59%, list=33%, signal=46%	ENSG00000107130/ENSG00000091972/ENSG00000197457/ENSG00000157851/ENSG00000092051/ENSG00000151835/ENSG00000160469/ENSG00000173846/ENSG00000168280/ENSG00000075043/ENSG00000108852/ENSG00000128683/ENSG00000161642/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000169282/ENSG00000010810/ENSG00000160460/ENSG00000134369/ENSG00000149571/ENSG00000102003/ENSG00000137845/ENSG00000145242/ENSG00000176788/ENSG00000266028/ENSG00000104833/ENSG00000132718/ENSG00000099250/ENSG00000099625/ENSG00000106089/ENSG00000011677/ENSG00000136854/ENSG00000171533/ENSG00000154928/ENSG00000136928/ENSG00000151150/ENSG00000105613/ENSG00000099365/ENSG00000154277/ENSG00000061337/ENSG00000147642/ENSG00000146005/ENSG00000180616/ENSG00000105409/ENSG00000011347/ENSG00000186479/ENSG00000197753/ENSG00000091844/ENSG00000087053/ENSG00000078018/ENSG00000073670/ENSG00000187323/ENSG00000132872/ENSG00000155511/ENSG00000072832/ENSG00000164929/ENSG00000134115/ENSG00000101298/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000184588/ENSG00000169432/ENSG00000258947/ENSG00000162545/ENSG00000054356/ENSG00000129159/ENSG00000155897/ENSG00000135596/ENSG00000018236/ENSG00000008056/ENSG00000187957/ENSG00000116852/ENSG00000131711/ENSG00000113657/ENSG00000197959/ENSG00000101463/ENSG00000177103/ENSG00000167654/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000070886/ENSG00000103723/ENSG00000171385/ENSG00000169258/ENSG00000132639/ENSG00000186907/ENSG00000066032/ENSG00000163531/ENSG00000155980/ENSG00000166206/ENSG00000171450/ENSG00000077279/ENSG00000173267/ENSG00000157680/ENSG00000198910/ENSG00000139970/ENSG00000111913/ENSG00000095370/ENSG00000160716/ENSG00000141433/ENSG00000135824/ENSG00000145920/ENSG00000101204/ENSG00000118432/ENSG00000172020/ENSG00000164082/ENSG00000128285/ENSG00000184144/ENSG00000180176/ENSG00000154096/ENSG00000130558/ENSG00000179774/ENSG00000168824/ENSG00000015592/ENSG00000120251/ENSG00000070808/ENSG00000131094/ENSG00000135406/ENSG00000147432/ENSG00000104435/ENSG00000104722/ENSG00000152954/ENSG00000162105/ENSG00000125851/ENSG00000170396/ENSG00000157064/ENSG00000162188/ENSG00000149295/ENSG00000170091/ENSG00000109991/ENSG00000277586/ENSG00000157103/ENSG00000070748/ENSG00000165646/ENSG00000091664
BP	GO:0007268	chemical synaptic transmission	130	-0.482822283983629	-3.05495348415022	4.31784202482331e-15	2.64655263883385e-13	1.40111610291204e-13	534	tags=69%, list=32%, signal=51%	ENSG00000092051/ENSG00000160469/ENSG00000075043/ENSG00000155093/ENSG00000108852/ENSG00000128683/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000102003/ENSG00000163618/ENSG00000132718/ENSG00000106089/ENSG00000011677/ENSG00000110881/ENSG00000136854/ENSG00000154928/ENSG00000136928/ENSG00000099365/ENSG00000184702/ENSG00000179915/ENSG00000061337/ENSG00000147642/ENSG00000075461/ENSG00000164742/ENSG00000011347/ENSG00000087053/ENSG00000087085/ENSG00000187323/ENSG00000137285/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000008735/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000155897/ENSG00000008056/ENSG00000116544/ENSG00000131711/ENSG00000169213/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000132639/ENSG00000164076/ENSG00000155980/ENSG00000141837/ENSG00000166206/ENSG00000148798/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000128872/ENSG00000160716/ENSG00000106236/ENSG00000145920/ENSG00000101204/ENSG00000118432/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000184144/ENSG00000180176/ENSG00000168824/ENSG00000122012/ENSG00000120251/ENSG00000070808/ENSG00000101489/ENSG00000147432/ENSG00000148408/ENSG00000162105/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000120907/ENSG00000157103/ENSG00000152910/ENSG00000070748/ENSG00000165646/ENSG00000091664/ENSG00000116147
BP	GO:0098916	anterograde trans-synaptic signaling	130	-0.482822283983629	-3.05495348415022	4.31784202482331e-15	2.64655263883385e-13	1.40111610291204e-13	534	tags=69%, list=32%, signal=51%	ENSG00000092051/ENSG00000160469/ENSG00000075043/ENSG00000155093/ENSG00000108852/ENSG00000128683/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000102003/ENSG00000163618/ENSG00000132718/ENSG00000106089/ENSG00000011677/ENSG00000110881/ENSG00000136854/ENSG00000154928/ENSG00000136928/ENSG00000099365/ENSG00000184702/ENSG00000179915/ENSG00000061337/ENSG00000147642/ENSG00000075461/ENSG00000164742/ENSG00000011347/ENSG00000087053/ENSG00000087085/ENSG00000187323/ENSG00000137285/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000008735/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000155897/ENSG00000008056/ENSG00000116544/ENSG00000131711/ENSG00000169213/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000132639/ENSG00000164076/ENSG00000155980/ENSG00000141837/ENSG00000166206/ENSG00000148798/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000128872/ENSG00000160716/ENSG00000106236/ENSG00000145920/ENSG00000101204/ENSG00000118432/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000184144/ENSG00000180176/ENSG00000168824/ENSG00000122012/ENSG00000120251/ENSG00000070808/ENSG00000101489/ENSG00000147432/ENSG00000148408/ENSG00000162105/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000120907/ENSG00000157103/ENSG00000152910/ENSG00000070748/ENSG00000165646/ENSG00000091664/ENSG00000116147
BP	GO:0099537	trans-synaptic signaling	130	-0.482822283983629	-3.05495348415022	4.31784202482331e-15	2.64655263883385e-13	1.40111610291204e-13	534	tags=69%, list=32%, signal=51%	ENSG00000092051/ENSG00000160469/ENSG00000075043/ENSG00000155093/ENSG00000108852/ENSG00000128683/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000102003/ENSG00000163618/ENSG00000132718/ENSG00000106089/ENSG00000011677/ENSG00000110881/ENSG00000136854/ENSG00000154928/ENSG00000136928/ENSG00000099365/ENSG00000184702/ENSG00000179915/ENSG00000061337/ENSG00000147642/ENSG00000075461/ENSG00000164742/ENSG00000011347/ENSG00000087053/ENSG00000087085/ENSG00000187323/ENSG00000137285/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000008735/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000155897/ENSG00000008056/ENSG00000116544/ENSG00000131711/ENSG00000169213/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000132639/ENSG00000164076/ENSG00000155980/ENSG00000141837/ENSG00000166206/ENSG00000148798/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000128872/ENSG00000160716/ENSG00000106236/ENSG00000145920/ENSG00000101204/ENSG00000118432/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000184144/ENSG00000180176/ENSG00000168824/ENSG00000122012/ENSG00000120251/ENSG00000070808/ENSG00000101489/ENSG00000147432/ENSG00000148408/ENSG00000162105/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000120907/ENSG00000157103/ENSG00000152910/ENSG00000070748/ENSG00000165646/ENSG00000091664/ENSG00000116147
BP	GO:0099536	synaptic signaling	135	-0.474134490401712	-3.04504812797433	4.6703870097068e-15	2.64655263883385e-13	1.40111610291204e-13	534	tags=68%, list=32%, signal=50%	ENSG00000092051/ENSG00000160469/ENSG00000075043/ENSG00000155093/ENSG00000108852/ENSG00000128683/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000102003/ENSG00000163618/ENSG00000132718/ENSG00000106089/ENSG00000011677/ENSG00000110881/ENSG00000136854/ENSG00000154928/ENSG00000136928/ENSG00000099365/ENSG00000184702/ENSG00000179915/ENSG00000061337/ENSG00000147642/ENSG00000075461/ENSG00000164742/ENSG00000011347/ENSG00000087053/ENSG00000087085/ENSG00000187323/ENSG00000137285/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000008735/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000155897/ENSG00000008056/ENSG00000116544/ENSG00000148908/ENSG00000131711/ENSG00000169213/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000132639/ENSG00000164076/ENSG00000155980/ENSG00000141837/ENSG00000166206/ENSG00000148798/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000128872/ENSG00000160716/ENSG00000135824/ENSG00000106236/ENSG00000145920/ENSG00000101204/ENSG00000118432/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000184144/ENSG00000180176/ENSG00000168824/ENSG00000122012/ENSG00000120251/ENSG00000070808/ENSG00000101489/ENSG00000147432/ENSG00000148408/ENSG00000162105/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000120907/ENSG00000157103/ENSG00000152910/ENSG00000070748/ENSG00000165646/ENSG00000091664/ENSG00000116147
CC	GO:0036477	somatodendritic compartment	156	-0.442062541069441	-2.89599590319106	6.34650591130522e-14	3.08258858549111e-12	1.63195866290706e-12	599	tags=69%, list=36%, signal=49%	ENSG00000164061/ENSG00000121653/ENSG00000176658/ENSG00000005249/ENSG00000148053/ENSG00000170921/ENSG00000174871/ENSG00000167100/ENSG00000164305/ENSG00000107130/ENSG00000091972/ENSG00000157851/ENSG00000092051/ENSG00000151835/ENSG00000173846/ENSG00000168280/ENSG00000108852/ENSG00000161642/ENSG00000151834/ENSG00000159164/ENSG00000158445/ENSG00000010810/ENSG00000160460/ENSG00000149571/ENSG00000137845/ENSG00000145242/ENSG00000266028/ENSG00000104833/ENSG00000132718/ENSG00000011677/ENSG00000171533/ENSG00000154928/ENSG00000151150/ENSG00000105613/ENSG00000154277/ENSG00000179915/ENSG00000061337/ENSG00000075461/ENSG00000146005/ENSG00000105409/ENSG00000186479/ENSG00000087053/ENSG00000078018/ENSG00000073670/ENSG00000157005/ENSG00000132872/ENSG00000155511/ENSG00000072832/ENSG00000008735/ENSG00000100095/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000184588/ENSG00000258947/ENSG00000162545/ENSG00000054356/ENSG00000129159/ENSG00000155897/ENSG00000163536/ENSG00000008056/ENSG00000187957/ENSG00000116852/ENSG00000131711/ENSG00000197959/ENSG00000101463/ENSG00000167654/ENSG00000139220/ENSG00000074317/ENSG00000070886/ENSG00000171385/ENSG00000132639/ENSG00000186907/ENSG00000155980/ENSG00000141837/ENSG00000173267/ENSG00000146216/ENSG00000157680/ENSG00000198910/ENSG00000139970/ENSG00000141433/ENSG00000135824/ENSG00000145920/ENSG00000101204/ENSG00000172020/ENSG00000198216/ENSG00000164082/ENSG00000128564/ENSG00000184144/ENSG00000180176/ENSG00000154096/ENSG00000130558/ENSG00000179774/ENSG00000168824/ENSG00000120251/ENSG00000070808/ENSG00000135406/ENSG00000104435/ENSG00000148408/ENSG00000152954/ENSG00000162105/ENSG00000125851/ENSG00000170396/ENSG00000162188/ENSG00000149295/ENSG00000170091/ENSG00000157103/ENSG00000165646
CC	GO:0030424	axon	150	-0.442090444388741	-2.91192794599973	7.95180211158257e-14	3.37951589742259e-12	1.78915547510608e-12	550	tags=65%, list=33%, signal=48%	ENSG00000107130/ENSG00000091972/ENSG00000197457/ENSG00000151835/ENSG00000160469/ENSG00000168280/ENSG00000075043/ENSG00000128683/ENSG00000151834/ENSG00000158445/ENSG00000169282/ENSG00000160460/ENSG00000134369/ENSG00000149571/ENSG00000102003/ENSG00000137845/ENSG00000145242/ENSG00000176788/ENSG00000104833/ENSG00000132718/ENSG00000099250/ENSG00000099625/ENSG00000106089/ENSG00000136854/ENSG00000171533/ENSG00000154928/ENSG00000151150/ENSG00000105613/ENSG00000099365/ENSG00000154277/ENSG00000147642/ENSG00000105409/ENSG00000011347/ENSG00000186479/ENSG00000087053/ENSG00000078018/ENSG00000073670/ENSG00000187323/ENSG00000132872/ENSG00000155511/ENSG00000072832/ENSG00000134115/ENSG00000129990/ENSG00000150672/ENSG00000163873/ENSG00000169432/ENSG00000258947/ENSG00000054356/ENSG00000129159/ENSG00000155897/ENSG00000135596/ENSG00000018236/ENSG00000008056/ENSG00000116852/ENSG00000131711/ENSG00000113657/ENSG00000197959/ENSG00000177103/ENSG00000167654/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000103723/ENSG00000169258/ENSG00000132639/ENSG00000186907/ENSG00000066032/ENSG00000163531/ENSG00000155980/ENSG00000171450/ENSG00000173267/ENSG00000157680/ENSG00000198910/ENSG00000095370/ENSG00000145920/ENSG00000118432/ENSG00000172020/ENSG00000164082/ENSG00000184144/ENSG00000180176/ENSG00000154096/ENSG00000130558/ENSG00000179774/ENSG00000015592/ENSG00000131094/ENSG00000135406/ENSG00000104435/ENSG00000104722/ENSG00000152954/ENSG00000162105/ENSG00000170396/ENSG00000157064/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000157103/ENSG00000165646
CC	GO:0098793	presynapse	116	-0.45745804527009	-2.83197982452019	2.98421593925788e-12	1.12737046594187e-10	5.96843187851576e-11	515	tags=65%, list=31%, signal=48%	ENSG00000155093/ENSG00000128683/ENSG00000169684/ENSG00000151834/ENSG00000159164/ENSG00000149571/ENSG00000102003/ENSG00000163618/ENSG00000132718/ENSG00000099625/ENSG00000106089/ENSG00000110881/ENSG00000136854/ENSG00000099365/ENSG00000198794/ENSG00000184702/ENSG00000179915/ENSG00000164742/ENSG00000011347/ENSG00000186479/ENSG00000087053/ENSG00000100167/ENSG00000073670/ENSG00000132872/ENSG00000155511/ENSG00000134115/ENSG00000101298/ENSG00000101098/ENSG00000129990/ENSG00000163873/ENSG00000184588/ENSG00000154917/ENSG00000054356/ENSG00000129159/ENSG00000155897/ENSG00000135596/ENSG00000018236/ENSG00000008056/ENSG00000197959/ENSG00000101463/ENSG00000169213/ENSG00000167654/ENSG00000105649/ENSG00000139220/ENSG00000130477/ENSG00000074317/ENSG00000117016/ENSG00000006071/ENSG00000103723/ENSG00000132639/ENSG00000166111/ENSG00000152932/ENSG00000183775/ENSG00000178568/ENSG00000185666/ENSG00000173267/ENSG00000157680/ENSG00000160716/ENSG00000145920/ENSG00000021645/ENSG00000118432/ENSG00000172020/ENSG00000164082/ENSG00000180176/ENSG00000122012/ENSG00000131094/ENSG00000147432/ENSG00000162105/ENSG00000170396/ENSG00000149295/ENSG00000277586/ENSG00000157103/ENSG00000152910/ENSG00000165646/ENSG00000091664
CC	GO:0098794	postsynapse	113	-0.454371421758321	-2.78717155304952	1.19789896075495e-11	4.07285646656682e-10	2.1562181293589e-10	502	tags=65%, list=30%, signal=49%	ENSG00000169684/ENSG00000151834/ENSG00000158445/ENSG00000010810/ENSG00000137845/ENSG00000266028/ENSG00000132718/ENSG00000099250/ENSG00000011677/ENSG00000136854/ENSG00000136928/ENSG00000151150/ENSG00000198739/ENSG00000061337/ENSG00000075461/ENSG00000164742/ENSG00000146005/ENSG00000186479/ENSG00000075340/ENSG00000087053/ENSG00000077264/ENSG00000133083/ENSG00000187323/ENSG00000155511/ENSG00000008735/ENSG00000158856/ENSG00000164929/ENSG00000150672/ENSG00000163873/ENSG00000165379/ENSG00000184588/ENSG00000162545/ENSG00000129159/ENSG00000155897/ENSG00000018236/ENSG00000008056/ENSG00000116544/ENSG00000131711/ENSG00000197959/ENSG00000101463/ENSG00000115266/ENSG00000105649/ENSG00000139220/ENSG00000171385/ENSG00000120645/ENSG00000132639/ENSG00000166206/ENSG00000183775/ENSG00000178568/ENSG00000148798/ENSG00000185666/ENSG00000157680/ENSG00000139970/ENSG00000160716/ENSG00000145920/ENSG00000101204/ENSG00000135472/ENSG00000172020/ENSG00000157782/ENSG00000184144/ENSG00000168824/ENSG00000120251/ENSG00000070808/ENSG00000101489/ENSG00000147432/ENSG00000104722/ENSG00000162105/ENSG00000170396/ENSG00000162188/ENSG00000149295/ENSG00000109991/ENSG00000277586/ENSG00000157103
