"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"D0_1",0.82100867261401,0.828697541187789,0.797473700964038,0.803475480378855,0.798570727750689,0.777153531383382,0.76068421231663
"D0_2",0.821099279092579,0.827021914881696,0.79697509283629,0.802657397624913,0.798108688885435,0.776439418432488,0.76037236785211
"D0_3",0.822683894482293,0.830151245746375,0.798759929619023,0.804755316401555,0.799782669038078,0.778743144677715,0.762259729779667
"D10_3",0.855795654301489,0.859041127444725,0.829384403244737,0.835739995251797,0.830822465319846,0.80379245571087,0.78456664019761
"D10_4",0.852965135447501,0.858651522485666,0.82368922619266,0.831176404204908,0.826182938332727,0.797027873906198,0.776784821688296
"D10_5",0.852771952653172,0.858513780456301,0.826123492496388,0.831952679955773,0.827002308661452,0.800830923027162,0.780624474929826
"D10_6",0.849884992694894,0.854738426942093,0.823725572258093,0.829810627785515,0.82510906691351,0.798327786809592,0.778345641322009
"D25_1",0.886109651506871,0.887641118767307,0.862192574469001,0.866799687024665,0.863050150846105,0.832529428040942,0.81148581026079
"D25_2",0.885322844379176,0.888092059182775,0.86519216345959,0.869335912171894,0.864925854610815,0.836024801506274,0.814731738624455
"D25_3",0.887840718489506,0.888519481523106,0.864585861797148,0.86963425748978,0.865645696447518,0.834755888295153,0.813930358885389
"D25_4",0.890361178666863,0.893087225214139,0.865506572711036,0.870126056436582,0.865831622137006,0.836615385615426,0.814829202268091
"D65_2",0.892571038269496,0.893940241185394,0.899360708042645,0.902798547587098,0.898577212635342,0.870701165100317,0.851714245086998
"D65_3",0.879564938615803,0.885339353513818,0.889124259254405,0.891201110268696,0.886708181967644,0.863192400043716,0.842985398572006
"D65_5",0.888525638217686,0.891908414475439,0.898430505029967,0.900638571976377,0.896498544063915,0.869446253164185,0.850237619722198
"D65_6",0.876491393895428,0.880362989560746,0.886139738460042,0.888710831171697,0.884827476667678,0.859307709704014,0.839522771747643
"D100_3",0.887982562830036,0.889587177167156,0.90195987892881,0.902019290978189,0.900975029057485,0.877447844146397,0.860033431079165
"D100_4",0.877367540125673,0.878277554538307,0.889354879046672,0.89018874208944,0.889631980162694,0.866692064806956,0.848873185057952
"D100_5",0.865353409060545,0.869045558018744,0.884194329586231,0.882660081176562,0.881486564634296,0.868413030320137,0.850848432038204
"D100_6",0.879305485018742,0.881932469524897,0.895550561111802,0.893497833792913,0.892734427868916,0.874936518622977,0.857001645817282
"D180_1",0.844023093889708,0.849261904498077,0.874516786931697,0.868333325774599,0.869378988866292,0.873448191411146,0.860040725632899
"D180_2",0.837106304056383,0.843464210724179,0.862649055496468,0.85715932606395,0.858537830485758,0.861089585706509,0.847645426583212
"D180_3",0.839573724447993,0.845142243152734,0.870679566277709,0.865046267138816,0.865003921594672,0.86485835917747,0.854238360303833
"D180_4",0.822818175555516,0.826561390070574,0.850738678511183,0.846411659015298,0.84779667097307,0.850881415140583,0.840588931648135
"D180_5",0.831523084873007,0.837279505805244,0.86362878545204,0.858208474333001,0.859033151541071,0.857555597604089,0.846670151338028
"D180_6",0.831427630637058,0.836518861921302,0.85326220233892,0.850390988735458,0.851472719718881,0.851272089944478,0.83734978089125
"D280_A2",0.824725708110676,0.830706376236627,0.845872284179422,0.842281000128735,0.843507355165491,0.850376248283386,0.836076072169061
"D280_B1",0.819610207260809,0.82825317390025,0.843084985323264,0.838651826679347,0.838713409465318,0.852785940346166,0.838289735018607
"D280_C1",0.81409771100545,0.822306155291502,0.835242135377153,0.832135118928773,0.833125337569504,0.844974005124295,0.83148732326229
