"","H9_CRX_ROs_D45","EP1_WT_ROs_D45","EP1_WT_hRO_2","H9_BRN3B_hRO_2","H9_CRX_hRO_2","EP1_BRN3B_RO","H9_BRN3B_RO"
"D0_1",0.745695496253802,0.734630121772112,0.695734369352097,0.707379040517158,0.700544552116255,0.652042007407315,0.610858584268181
"D0_2",0.745796874245957,0.737080224494296,0.697857916891888,0.709636109585875,0.70289184643853,0.654611015303994,0.615164192610153
"D0_3",0.74846347338587,0.737892911999489,0.698274830544955,0.710070619173761,0.703266935093924,0.655429872559373,0.614629849044709
"D10_3",0.791520127729019,0.786144891221996,0.74429206953244,0.756689448087317,0.749536554156994,0.693865894145608,0.649226289944229
"D10_4",0.787100453610689,0.778232927313303,0.732248754513287,0.746689762502575,0.739456453166459,0.67714554549573,0.629913511028677
"D10_5",0.791553436827176,0.782959154005744,0.740770857765441,0.752249630481659,0.74485987987066,0.689718381562412,0.642951545011838
"D10_6",0.785374108653162,0.777656796761752,0.736180219979101,0.748224383575479,0.740879806055128,0.685447359649252,0.639016799647405
"D25_1",0.833361654073282,0.831088672063548,0.791433643349546,0.802785865330642,0.795585389801123,0.736474558165127,0.690796617511355
"D25_2",0.832188211234172,0.82814378024983,0.793521271561602,0.80353052318255,0.796101284105331,0.738498508391458,0.691774949207626
"D25_3",0.833463945679727,0.832773509274634,0.793200636811722,0.805097480804324,0.798060719218536,0.737462430361988,0.69212823722981
"D25_4",0.839199051111146,0.835496575168613,0.794047824448861,0.805234939120702,0.797789618685173,0.739488259885467,0.691741869521994
"D65_2",0.83993569262065,0.838594238892563,0.842974374096151,0.852176159158363,0.844434843764052,0.789754237941749,0.746503761987852
"D65_3",0.826349968499185,0.818812617670155,0.826779890782296,0.834266947233385,0.82637925929891,0.776894171447178,0.730659381425135
"D65_5",0.836318464258706,0.832173524716789,0.840942893707218,0.848309250729316,0.840692832881225,0.786691369295031,0.742785413757956
"D65_6",0.820439997511963,0.815434229063654,0.823848924654907,0.832271949222396,0.825084926762039,0.773835617071694,0.729606376392343
"D100_3",0.831592872752798,0.829220865013085,0.845043165538984,0.849248103513465,0.846653335744251,0.795525395308325,0.75283944774997
"D100_4",0.818041167378813,0.816833460770758,0.830498532948869,0.835357269726741,0.832941177994953,0.785502587716635,0.743041008937842
"D100_5",0.804498071378261,0.79916701231377,0.823033046984945,0.824821219168812,0.82172410643255,0.789197782806313,0.747383883360081
"D100_6",0.822922774913165,0.818680287606173,0.838379961726964,0.839514657331389,0.837118244025886,0.796911582143848,0.754143758454313
"D180_1",0.770781904974958,0.76226913122501,0.803680045343695,0.798894458243685,0.799407693235774,0.788788411335615,0.752661409717583
"D180_2",0.762621756728426,0.75254743244428,0.786211909754187,0.782457954559317,0.7832218889299,0.77236521514323,0.73627837265317
"D180_3",0.765923715438407,0.75704240109512,0.799024284897479,0.795113125040386,0.793718931334677,0.778127982931777,0.74498870846732
"D180_4",0.736600266765972,0.730588943341146,0.76804885840467,0.766293019871586,0.76711602638626,0.755018649916422,0.724154747020858
"D180_5",0.752569898889142,0.743236016988114,0.786378439212527,0.783021091516875,0.782899149470182,0.76517383947948,0.732547296987015
"D180_6",0.743640141970943,0.735699397101328,0.763175681371744,0.763646708573073,0.764560083110628,0.744921632017256,0.707507645877408
"D280_A2",0.736209769734144,0.726757179060582,0.753196034462694,0.753003471876837,0.753950937339702,0.743762395968668,0.706231269793706
"D280_B1",0.736004483365393,0.722939447531585,0.753441583870274,0.751649067614541,0.75135022433274,0.75199832100849,0.712930278770534
"D280_C1",0.724372099037131,0.711978625936034,0.738470436031682,0.738325739298925,0.73952226044588,0.735604063150665,0.698282718868218
