"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","102/1493","445/12141",0.229213483146067,1.86395237701032,6.95274586632089,1.53159549257865e-10,1.5637589979228e-07,1.32684535830761e-07,"PGAM1/DDIT4/MAN2C1/IDH2/DDB1/HK2/SLC2A3/UCP2/PYGB/TPI1/GOT1/SLC25A11/GANAB/NAGA/SLC35A2/GPI/GAA/MPI/PGK1/SLC3A2/B4GALT3/PGM1/EXT2/PYGL/PFKL/G6PC3/NEU3/PDK3/MDH2/GLYCTK/PIGQ/CS/PPP2CA/MLST8/TPD52L2/GLB1/AKR1A1/PPARGC1A/PGD/ALDOA/PYGM/PDK2/LIPA/GCK/PPP1R3B/SLC39A14/PC/INPP5K/CLTC/DHTKD1/CHST8/STBD1/PKM/ADCYAP1R1/HK1/WDR45B/GABARAPL1/BCKDK/PPP1R3C/PPP1CC/NEU1/FUCA1/IDH3G/HYAL2/ALDH2/PGM2L1/AKR1B1/FABP5/CHID1/ALDOC/ENO2/EDEM2/CHST3/GALK1/SPATA20/ENO1/TKFC/SESN2/OGDHL/GPD1L/SLC2A1/GYS1/GM2A/B4GALNT1/GALT/WDR45/ENO3/ALDH1B1/HEXB/SHPK/ST8SIA4/SLC2A4/ATF3/ADIPOR1/BRAT1/TKTL1/HEXA/ST6GALNAC4/CLSTN3/MOGS/NPC1/SLC37A4",102
"GO:0016052","carbohydrate catabolic process","45/1493","140/12141",0.321428571428571,2.61384078078653,7.19152859429854,4.82158423732531e-10,2.46141875315457e-07,2.08850727753617e-07,"PGAM1/DDIT4/MAN2C1/HK2/UCP2/PYGB/TPI1/NAGA/GPI/GAA/MPI/PGK1/PGM1/PYGL/PFKL/NEU3/GLYCTK/PPP2CA/MLST8/GLB1/PGD/ALDOA/PYGM/LIPA/GCK/PPP1R3B/DHTKD1/STBD1/PKM/HK1/WDR45B/GABARAPL1/NEU1/ALDOC/ENO2/GALK1/ENO1/TKFC/OGDHL/GM2A/GALT/WDR45/ENO3/HEXB/TKTL1",45
"GO:0044283","small molecule biosynthetic process","91/1493","431/12141",0.211136890951276,1.7169544494571,5.67488386048754,1.03163316946658e-07,3.51099155341793e-05,2.97906701217893e-05,"PGAM1/GOT2/SCD/ISYNA1/DDB1/GLUL/TPI1/GOT1/SLC25A11/FDFT1/FADS1/GPI/PGK1/PRKAB1/LIPG/PGM1/G6PC3/SCAP/IP6K1/MDH2/HTD2/AACS/EBP/DHCR7/MBTPS1/MSMO1/PNPO/THTPA/AKR1A1/PPIP5K1/COQ8A/PPARGC1A/PGD/ACOT7/PDK2/LIPA/GCK/GBA1/SLC39A14/OAT/PC/GSTM4/ILVBL/CDO1/ADCYAP1R1/STARD4/MVD/SERINC3/UBIAD1/ACLY/ADA/SLC1A3/KLHL25/CD74/AKR1B1/TECR/FABP5/MOXD1/ALDOC/ENO2/SHMT2/ENO1/DHCR24/INSIG1/ASNS/SESN2/PRKAB2/HSD17B7/TRIB3/PLOD3/ELOVL5/UCKL1/PYCR1/PRXL2B/PHGDH/NAIP/ENO3/HSD17B8/ATF3/ACADVL/SIRT2/SRR/PLTP/LSS/ELOVL4/PTGES/GSTM2/SLC37A4/ASAH1/HMGCR/PLPP6",91
"GO:0044282","small molecule catabolic process","63/1493","268/12141",0.235074626865672,1.91161489938119,5.65072020488847,2.02673833094173e-07,5.17324958972876e-05,4.3894885430659e-05,"PGAM1/GOT2/HK2/GLUL/TPI1/GOT1/BCKDHA/MPI/PGK1/PGM1/PEX5/PFKL/SNX17/SARDH/ALDH6A1/GLYCTK/HADHA/GLB1/AKR1A1/PGD/ACOT7/GCK/HADHB/ECH1/OAT/KYAT1/ILVBL/PKM/CDO1/CYP26A1/HK1/BCKDK/GCAT/ADA/ACAD11/ACADS/ALDH2/PLA2G15/ENO2/GCSH/GALK1/ENO1/TKFC/SESN2/CRAT/GALT/ENO3/ALDH1B1/HEXB/ALDH4A1/APOBEC3C/SULT1A1/MFSD2A/ADH5/ASRGL1/ACADVL/ARG2/CNR1/TKTL1/ACAD8/HEXA/AMT/SULT1C4",63
"GO:0032787","monocarboxylic acid metabolic process","89/1493","430/12141",0.206976744186047,1.68312434773127,5.40060268393764,3.61500966514122e-07,7.38184973621838e-05,6.26347990402364e-05,"PGAM1/DDIT4/SCD/IDH2/HK2/UCP2/TPI1/FADS1/GPI/PGK1/PRKAB1/LIPG/PGM1/PEX5/PFKL/SCAP/PDK3/HTD2/HADHA/AACS/PPP2CA/MLST8/MSMO1/AKR1A1/PPARGC1A/PGD/ACOT7/ALDOA/CES2/PDK2/LIPA/GCK/HADHB/ECH1/PC/GSTM4/DHTKD1/ILVBL/SGPL1/PKM/STARD4/CYP26A1/HK1/TH/BCKDK/ACLY/ACAD11/SLC1A3/ACADS/SLC27A3/KLHL25/CD74/AKR1B1/TECR/FABP5/PLA2G15/ALDOC/ENO2/GALK1/ENO1/INSIG1/SESN2/CRABP2/PRKAB2/OGDHL/CRAT/TRIB3/ELOVL5/PRXL2B/PHGDH/ENO3/HEXB/HSD17B8/MFSD2A/ADH5/BCO2/KIT/ACADVL/SIRT2/SRR/ADIPOR1/CNR1/HEXA/PANK4/ELOVL4/PTGES/GSTM2/NPC1/ASAH1",89
"GO:0005996","monosaccharide metabolic process","52/1493","212/12141",0.245283018867925,1.99462902349328,5.47056603886869,5.85859889573056e-07,9.96938245423484e-05,8.4589945459408e-05,"PGAM1/MAN2C1/DDB1/HK2/SLC2A3/TPI1/GOT1/SLC25A11/SLC35A2/GPI/GAA/MPI/PGK1/PGM1/PFKL/G6PC3/PDK3/MDH2/GLYCTK/GLB1/AKR1A1/PPARGC1A/PGD/ALDOA/PDK2/LIPA/GCK/PPP1R3B/SLC39A14/PC/PKM/HK1/BCKDK/FUCA1/PGM2L1/AKR1B1/FABP5/ALDOC/ENO2/GALK1/ENO1/TKFC/SESN2/SLC2A1/GALT/ENO3/ATF3/ADIPOR1/BRAT1/TKTL1/CLSTN3/SLC37A4",52
"GO:0007033","vacuole organization","53/1493","222/12141",0.238738738738739,1.94141127061422,5.30079729271043,1.12421844099505e-06,0.000163975289750849,0.000139132598035928,"RNF5/EHMT2/GAA/FEZ1/PI4KB/VPS11/PPT1/RALB/SPNS1/VPS16/HPS1/MBTPS1/UBQLN2/ATG9A/EFNB1/SRPX/CCDC115/RAB33A/LIPA/ULK3/GBA1/ARFIP2/MFN2/STBD1/TRIM32/TMEM9/LAMP2/WDR45B/GABARAPL1/ATP6AP2/MOAP1/CORO1A/CHMP1A/VPS18/ELAPOR1/TPP1/ATP6V1A/ATP6AP1/NDP/PIP4K2C/GRN/B4GALNT1/RAB7A/WDR45/HEXB/ATP6V0A1/MAP1LC3B/ATP6V0B/MYO7A/HEXA/ATP6V1F/TRAF6/CTSD",53
"GO:0019318","hexose metabolic process","47/1493","191/12141",0.246073298429319,2.00105553665798,5.22151017888427,1.83425440865887e-06,0.00023373393526522,0.000198322623561293,"PGAM1/MAN2C1/DDB1/HK2/TPI1/GOT1/SLC25A11/SLC35A2/GPI/GAA/MPI/PGK1/PGM1/PFKL/G6PC3/PDK3/MDH2/GLYCTK/GLB1/PPARGC1A/ALDOA/PDK2/LIPA/GCK/PPP1R3B/SLC39A14/PC/PKM/HK1/BCKDK/FUCA1/PGM2L1/AKR1B1/FABP5/ALDOC/ENO2/GALK1/ENO1/TKFC/SESN2/GALT/ENO3/ATF3/ADIPOR1/BRAT1/TKTL1/SLC37A4",47
"GO:0072524","pyridine-containing compound metabolic process","38/1493","142/12141",0.267605633802817,2.17615539182853,5.27887739491565,2.06033831281781e-06,0.00023373393526522,0.000198322623561293,"PGAM1/DDIT4/IDH2/HK2/UCP2/TPI1/GPI/PGK1/PGM1/PFKL/MDH2/FDXR/PPP2CA/MLST8/PNPO/PGD/ALDOA/NMNAT3/LIPA/GCK/TKT/PC/DHTKD1/PKM/HK1/ALDOC/NAMPT/ENO2/GALK1/VCP/ENO1/OGDHL/GPD1L/PARP10/ENO3/SHPK/NMRK2/ALPL",38
"GO:0019362","pyridine nucleotide metabolic process","36/1493","136/12141",0.264705882352941,2.15257476064773,5.06130725946376,4.98084570483576e-06,0.000462313042239755,0.000392271389002855,"PGAM1/DDIT4/IDH2/HK2/UCP2/TPI1/GPI/PGK1/PGM1/PFKL/MDH2/FDXR/PPP2CA/MLST8/PGD/ALDOA/NMNAT3/LIPA/GCK/TKT/PC/DHTKD1/PKM/HK1/ALDOC/NAMPT/ENO2/GALK1/VCP/ENO1/OGDHL/GPD1L/PARP10/ENO3/SHPK/NMRK2",36
