"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","188/2498","375/17506",0.501333333333333,3.51334721110221,20.0720915679746,1.61762071104361e-62,2.10452454506774e-59,1.74021933335428e-59,"OR4K1/OR6C4/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/OR11A1/OR1C1/OR8G5/OR8K3/CNGB1/OR7A10/OR7C2/OR1E2/OR4D1/OR13C4/OR8K1/OR7G1/OR2M5/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/OR14L1/OR10G6/OR10R2/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",188
"GO:0007608","sensory perception of smell","194/2498","402/17506",0.482587064676617,3.38197324028377,19.7113752079487,4.79237341962687e-61,3.11743890946728e-58,2.5777924393993e-58,"OR4K1/OR6C4/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/OR11A1/OR1C1/OR8G5/OR8K3/PDE4A/CNGB1/GNAS/CFAP69/OBP2A/OR7A10/OR7C2/OR1E2/ADCY3/OR4D1/UBR3/OR13C4/OR8K1/OR7G1/OR2M5/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/OR14L1/OR10G6/OR10R2/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",194
"GO:0009593","detection of chemical stimulus","204/2498","455/17506",0.448351648351648,3.1420512233963,18.8875874085008,1.8399704386145e-57,7.97933846879155e-55,6.59806943250533e-55,"OR4K1/OR6C4/SYT1/STIM1/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/OR11A1/OR1C1/OR8G5/OR8K3/EXTL3/CNGB1/SCARB1/TREM2/SLC11A2/TAS2R9/OR7A10/OR7C2/OR1E2/TAS2R16/OR4D1/OR13C4/OR8K1/OR7G1/OR2M5/NOD2/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/REG3A/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/CLEC7A/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/TLR1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/SSC5D/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/FFAR4/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/ASPH/OR14L1/OR10G6/OR10R2/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/TAS2R38/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",204
"GO:0050907","detection of chemical stimulus involved in sensory perception","192/2498","418/17506",0.45933014354067,3.21898858799959,18.7332641071429,4.08618193685423e-56,1.32903067496184e-53,1.09896787880659e-53,"OR4K1/OR6C4/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/OR11A1/OR1C1/OR8G5/OR8K3/CNGB1/TAS2R9/OR7A10/OR7C2/OR1E2/TAS2R16/OR4D1/OR13C4/OR8K1/OR7G1/OR2M5/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/FFAR4/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/OR14L1/OR10G6/OR10R2/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/TAS2R38/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",192
"GO:0007606","sensory perception of chemical stimulus","203/2498","471/17506",0.430997876857749,3.020435881614,18.1342801772426,9.73981806264711e-54,2.53430065990078e-51,2.09559874947902e-51,"OR4K1/OR6C4/GNB1/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/OR11A1/OR1C1/OR8G5/OR8K3/PDE4A/CNGB1/GNAS/CFAP69/TAS2R9/OBP2A/OR7A10/OR7C2/OR1E2/TAS2R16/CD36/ADCY3/OR4D1/UBR3/OR13C4/OR8K1/LCN1/OR7G1/OR2M5/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/FFAR4/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/OR14L1/OR10G6/OR10R2/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/VN1R4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/RGS21/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/TAS2R38/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",203
"GO:0050906","detection of stimulus involved in sensory perception","201/2498","493/17506",0.407707910750507,2.85721964995932,17.0652298716235,1.35499867052022e-48,2.93808878391134e-46,2.42948884433625e-46,"OR4K1/OR6C4/CACNB4/DISC1/OR8J3/OR10G3/OR6F1/OR2AT4/OR9G4/OR8J1/OR4N2/OR4M1/OR51A7/OR8H2/OR56A4/BACE1/OR11A1/OR1C1/OR8G5/OR8K3/CNGB1/REST/PPEF1/GRM6/TAS2R9/OR7A10/OR7C2/OR1E2/TAS2R16/OR4D1/OR13C4/OR8K1/OR7G1/OR2M5/GRIK2/TMC1/OR5I1/OR5AU1/OR4K14/OR4K15/OR9K2/OR7G3/OR8B12/OR4D5/OR1L6/OR10H2/OR52A5/OR1A1/OR1A2/OR8I2/OR8U1/OR4X2/OR5AR1/OR5AP2/OR5T3/OR10H5/OR4D9/OR5B3/OR10W1/OR1L1/OR7D4/OR9G1/OR5J2/OR10AG1/OR2T1/OR10P1/OR4B1/OR4D11/OR4K17/OR10H4/OR4L1/OR4K13/OR4K5/OR5AN1/OR4C5/OR4C3/OR4X1/OR4F17/OR51V1/OR52E2/OR51G2/OR51T1/OR51F2/OR14C36/OR2G3/OR2G2/OR2AP1/OR6C2/OR10A7/OR3A1/OR6K6/OR10Q1/OR10K2/OR52N5/OR5M8/OR52H1/OR5T1/OR5T2/OR2Z1/OR8K5/OR8H3/OR6S1/OR4C6/OR4C15/OR4A15/OR4A16/OR6B2/OR2V2/OR10G7/OR52E8/OR2T10/OR4F6/OR10J5/OR1D2/OR56A3/OR6C70/OR2V1/OR7A17/OR6C76/OR5D14/FFAR4/OR10T2/OR6P1/OR9Q1/OR9Q2/OR10H1/OR6C75/OR2G6/OR56A5/OR6M1/OR6K2/OR2C3/OR10S1/OR8D1/OR52K1/OR11G2/OR8B8/OR1J2/OR10D3/OR6N1/OR13G1/OR6Y1/OR11L1/OR5B17/OR52M1/OR8G1/OR2T6/OR2L3/OR5B21/OR14L1/OR10G6/OR10R2/PJVK/OR2J3/OR2J1/OR2W1/OR5D16/OR5L2/OR6C68/OR6C3/OR6C1/OR52J3/OR51A2/OR10C1/OR5K3/OR4A5/OR3A2/OR2F2/OR4C12/OR4E2/OR2A2/OR52B4/OR5K1/OR10G8/OR4A47/OR7E24/OR2I1P/OR14A2/OR5V1/OR10G4/OR5M10/OR5M1/OR5M11/OR4D2/OR11H12/TAS2R38/OR9A4/OR4C13/OR4E1/OR52E5/OR51G1/OR2S2/OR10A6/OR6Q1/OR8D2/OR52R1/OR2T11/OR4C16/OR5D13/OR8B4/OR12D2",201
"GO:0001906","cell killing","76/2498","242/17506",0.31404958677686,2.20086151565881,7.67442348479964,6.23906297307439e-12,1.1595744182814e-09,9.58845467440906e-10,"KIR2DL4/KLRC2/PTPRC/LILRB1/IL18RAP/KLRC1/FCGR2A/EBAG9/CD1B/DCD/PGLYRP4/KIR3DL1/CX3CR1/MUC7/CR1/LCE3C/LYZL6/CFH/TYROBP/FCGR2B/CD5L/CFHR2/CD59/UNC13D/IL12RB1/CTSG/CTSH/NKG7/HAMP/MAPK8/DAO/IFNG/IL12B/IL4/C9/KNG1/GBP3/TREM1/C3/GFER/RIPK3/DEFB118/CFHR5/ARRB2/LYST/PIK3R1/CD1E/PGLYRP3/IL23R/SLAMF6/FCGR3B/S100A12/DEFA6/MBL2/IL7R/IL12A/ITGAM/DEFB4A/CCL11/CLEC7A/RASGRP1/GRB2/SPAG11B/PRF1/CCL13/CADM1/SH2D1A/DEFB132/GZMM/FCGR3A/TAP2/KLRC3/HLA-A/HLA-B/CFHR1/CLEC12B",76
"GO:0031341","regulation of cell killing","38/2498","108/17506",0.351851851851852,2.46578003143255,6.23371409057931,4.09483082954651e-08,6.65921863655002e-06,5.50646987867965e-06,"KIR2DL4/KLRC2/PTPRC/LILRB1/IL18RAP/KLRC1/CD1B/CX3CR1/CR1/CFH/TYROBP/FCGR2B/CD5L/CD59/IL12RB1/MAPK8/IFNG/IL12B/IL4/GFER/RIPK3/ARRB2/CD1E/IL23R/SLAMF6/IL7R/IL12A/ITGAM/CLEC7A/RASGRP1/PRF1/CADM1/SH2D1A/TAP2/KLRC3/HLA-A/HLA-B/CLEC12B",38
"GO:0006959","humoral immune response","75/2498","284/17506",0.264084507042254,1.85070591684615,5.89674971947959,4.73714073796017e-08,6.84780011120686e-06,5.66240682362022e-06,"DMBT1/MEF2C/ST6GAL1/PTPRC/CFHR4/MS4A1/DCD/PGLYRP4/MUC7/CR1/CFH/MASP2/POU2F2/FCGR2B/CD5L/CFHR2/CD59/DEFB127/TREM2/PGC/CTSG/ACOD1/IL7/GPI/HAMP/IFNG/IL17A/CCR6/TFEB/C9/KNG1/ZP4/CR2/COLEC11/C4BPB/TREM1/C3/DEFB118/JCHAIN/SPINK5/CFHR5/IFNA21/KLK3/S100A7/TSLP/IFNA5/IFNA16/C1QC/PGLYRP3/SPON2/FCN2/S100A12/DEFA6/MBL2/NOD2/KRT1/RBPJ/FGA/DEFB4A/REG3A/REG1B/CCL11/C1QB/C1QA/SPAG11B/CD28/WFDC11/CCL13/SH2D1A/HLA-A/IFNA17/IFNA4/CFHR1/CCL16/CCL14",75
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","87/2498","352/17506",0.247159090909091,1.73209249217556,5.66070399864323,1.11338981866928e-07,1.34113834205204e-05,1.10897963961098e-05,"MAPK10/GCSAML/ZNF683/KLRC2/PSEN1/MEF2C/FYB1/CACNB4/LILRA2/BCAR1/PAK3/PTPRC/OAS1/LILRB1/FOXP1/FCHO1/TRAF3/KLRC1/TESPA1/CMTM3/FCGR2A/MS4A1/FPR2/THEMIS/TBK1/LILRB4/CR1/BAG6/BTK/TYROBP/NR1H3/FOXP3/MAPK9/CYBA/FCGR2B/LAT2/RNF31/TREM2/HCK/ACOD1/PRKD2/CD33/MAPK8/PLEKHA1/NAGLU/BTN2A1/ITK/BTNL8/PDE4D/HHLA2/CR2/COLEC11/PIK3CA/KIR2DL1/C3/BPIFB1/FFAR2/ECSIT/RFTN1/VTCN1/PIK3R1/UBASH3A/FCN2/FCGR3B/TRAT1/CTLA4/MBL2/PRKCB/NOD2/ITGAM/CLEC7A/TLR1/PAWR/GRB2/CD28/FCER1A/PSG9/SH2D1A/IRAK1/ADA/PLCG2/FCGR3A/KLRC3/HLA-A/LAT/GPR33/CLEC12B",87
