"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","272/6778","477/15460",0.570230607966457,1.30064402466235,5.89310211357716,2.96645758684465e-09,3.59083129807825e-06,2.25240237593001e-06,"GNB1/PLEKHG5/MFN2/ARHGEF10L/CDC42/STMN1/RRAGC/DAB1/DOCK7/DIRAS3/SSX2IP/BCAR3/VAV3/RHOC/NOTCH2/RIT1/ARHGEF2/NTRK1/ARHGAP30/RALGPS2/ABL2/SRGAP2/OBSCN/RAB4A/TRIM67/SIPA1L2/YWHAQ/ROCK2/RASGRP3/CDC42EP3/SOS1/RHOQ/RTN4/CCDC88A/STAMBP/MAP4K4/ARHGEF4/ARHGAP15/RND3/RAPGEF4/CHN1/ITGAV/COL3A1/ALS2/PLCD4/CUL3/DOCK10/NGEF/FARP2/RAF1/IQSEC1/NKIRAS1/PLXNB1/RHOA/RASSF1/NISCH/ROBO1/KALRN/HEG1/ROPN1B/PIK3CB/RASA2/AGTR1/PLD1/ECT2/TNK2/SLIT2/G3BP2/USO1/RASGEF1B/FAM13A/SPRY1/ARHGAP10/RAPGEF2/FBXO8/PLEKHG4B/TRIO/ARHGEF28/RASGRF2/CDC42SE2/RAPGEF6/FAM13B/ARHGAP26/CSNK1A1/G3BP1/DOCK2/RUFY1/RASGEF1C/RIPOR2/RGL2/SYNGAP1/CDKN1A/FGD2/CD2AP/HACE1/WASF1/ARHGAP18/PLEKHG1/TIAM2/TAGAP/GNA12/CYTH3/RAC1/RAPGEF5/CHN2/RALA/DBNL/TNS3/AUTS2/LIMK1/KRIT1/SH2B2/RASA4/RELN/PIK3CG/DOCK4/RHEB/ARHGEF10/DLC1/PSD3/DOCK5/PPP2CB/SDCBP/CYRIB/DENND3/ARHGAP39/DOCK8/KANK1/TEK/SEMA4D/FGD3/ABCA1/CTNNAL1/DAB2IP/DENND1A/SCAI/MAPKAP1/RALGPS1/SH2D3C/RALGDS/VAV2/NOTCH1/GDI2/ARHGAP21/RAB18/ARHGAP12/ITGB1/PLCE1/ARHGAP19/GBF1/PSD/SHOC2/KNDC1/HRAS/RHOG/RRAS2/NUCB2/LRP4/MADD/SIPA1/RAB30/PICALM/ARHGAP42/RDX/ARHGAP20/APOA1/CBL/ARHGEF12/IQSEC3/RERG/EPS8/KRAS/FGD4/LRRK2/RACGAP1/ARHGEF25/RAP1B/KITLG/PLEKHG7/RASAL1/KSR2/SPATA13/STARD13/RB1/FARP1/DOCK9/ARHGEF7/MCF2L/RALGAPA1/SOS2/RAB15/SIPA1L1/CCDC88C/RASGRP1/CHP1/USP8/HACD3/MYO9A/RASGRF1/AKAP13/ARHGDIG/RHOT2/TSC2/ARHGAP17/KCTD13/ADGRG1/RIPOR1/ABR/RAP1GAP2/PLD2/TP53/ARHGAP44/KSR1/GIT1/NF1/RHOT1/ARHGAP23/ERBB2/RAPGEFL1/RUNDC3A/ARHGAP27/GRB2/CYTH1/ARHGDIA/ARHGAP28/RALBP1/ROCK1/RIT2/DOK6/ARHGAP45/ARHGEF18/DOCK6/SYDE1/MYO9B/GMIP/GARRE1/ARHGAP33/SIPA1L3/RASGRP4/RAB4B/ARHGEF1/APOE/CYTH2/NUCB1/NUP62/EPS8L1/RIN2/RALGAPA2/SRC/TGM2/PREX1/ARFGEF2/STMN3/TIAM1/ITSN1/BCR/RGL4/CYTH4/SH3BP1/ARHGAP8/CELSR1/WAS/IQSEC2/ARHGEF9/OPHN1/STARD8/OGT/CHM/RAP2C/MCF2/ARHGAP4/GDI1",272
"GO:0018105","peptidyl-serine phosphorylation","100/6778","149/15460",0.671140939597315,1.53081129037688,5.75258570590424,7.41194692071619e-09,3.59083129807825e-06,2.25240237593001e-06,"PRKCZ/MAD2L2/DOCK7/UHMK1/PTGS2/PRKCE/EIF2AK3/GCG/STK39/PIKFYVE/CNOT9/CAB39/RAF1/GSK3B/NCK1/ATR/PDCD10/EIF4G1/MAP3K13/TFRC/SNCA/CAMK2D/FNIP2/RICTOR/PDE4D/CSNK1A1/CAMK2A/IRGM/NSD1/RACK1/RIPK1/MAPK14/TTBK1/LATS1/CNKSR3/MLXIPL/AKAP9/LMTK2/SRPK2/CAV1/BRAF/TNKS/IKBKB/PRKDC/RIPK2/TGFBR1/NEK6/MAPKAP1/MAPK8/ERCC6/CDK1/STOX1/PTEN/INPP5F/TRIM6/HIPK3/TNKS1BP1/MARK2/GRK2/PAK1/ATM/LRRK2/MAP3K12/TBK1/NOS1/PRKD1/MARK3/AKT1/TTBK2/AXIN1/PKD1/SMG1/TLK2/ERN1/RPTOR/ROCK1/SMAD7/MAP2K2/PRKACA/MAP3K10/SPTBN4/GSK3A/PRKD2/HRC/BRSK1/CSNK2A1/RASSF2/TOP1/STK4/AURKA/APP/MORC3/DYRK1A/MAPK1/MAPK12/RPS6KA3/DMD/ARAF/HDAC6/TAF1",100
"GO:0051056","regulation of small GTPase mediated signal transduction","175/6778","290/15460",0.603448275862069,1.3764104964337,5.7174124644703,8.82991302806126e-09,3.59083129807825e-06,2.25240237593001e-06,"PLEKHG5/MFN2/ARHGEF10L/STMN1/DOCK7/SSX2IP/VAV3/NOTCH2/ARHGEF2/NTRK1/ARHGAP30/ABL2/SRGAP2/OBSCN/TRIM67/SIPA1L2/SOS1/RTN4/STAMBP/MAP4K4/ARHGEF4/ARHGAP15/CHN1/ITGAV/COL3A1/ALS2/CUL3/DOCK10/NGEF/RAF1/IQSEC1/PLXNB1/ROBO1/KALRN/HEG1/PIK3CB/RASA2/ECT2/SLIT2/FAM13A/SPRY1/ARHGAP10/FBXO8/PLEKHG4B/TRIO/ARHGEF28/RASGRF2/CDC42SE2/FAM13B/ARHGAP26/CSNK1A1/DOCK2/RIPOR2/RGL2/SYNGAP1/FGD2/CD2AP/ARHGAP18/PLEKHG1/TIAM2/TAGAP/CYTH3/RAC1/CHN2/TNS3/AUTS2/SH2B2/RASA4/RELN/PIK3CG/ARHGEF10/DLC1/PSD3/PPP2CB/CYRIB/DENND3/ARHGAP39/DOCK8/KANK1/TEK/SEMA4D/FGD3/ABCA1/DAB2IP/DENND1A/SCAI/MAPKAP1/RALGPS1/VAV2/NOTCH1/ARHGAP21/ARHGAP12/ITGB1/ARHGAP19/GBF1/PSD/SHOC2/LRP4/MADD/SIPA1/PICALM/ARHGAP42/RDX/ARHGAP20/APOA1/CBL/ARHGEF12/IQSEC3/EPS8/KRAS/FGD4/RACGAP1/ARHGEF25/KITLG/RASAL1/SPATA13/STARD13/DOCK9/MCF2L/RALGAPA1/SOS2/SIPA1L1/RASGRP1/MYO9A/RASGRF1/AKAP13/TSC2/ARHGAP17/KCTD13/ADGRG1/RIPOR1/ABR/RAP1GAP2/ARHGAP44/GIT1/NF1/ARHGAP23/ERBB2/ARHGAP27/CYTH1/ARHGDIA/ARHGAP28/RALBP1/RIT2/ARHGAP45/ARHGEF18/DOCK6/SYDE1/MYO9B/GMIP/SIPA1L3/ARHGEF1/APOE/CYTH2/NUP62/EPS8L1/RALGAPA2/SRC/TGM2/PREX1/ARFGEF2/STMN3/TIAM1/ITSN1/BCR/CYTH4/SH3BP1/ARHGAP8/IQSEC2/ARHGEF9/OPHN1/STARD8/OGT/MCF2/ARHGAP4",175
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","91/6778","136/15460",0.669117647058823,1.52619634457501,5.44581394125399,4.33935565176939e-08,9.31510097016407e-06,5.84303572502958e-06,"OR4F5/OR10K2/OR6Y1/OR6N1/OR6N2/OR2B11/OR2C3/OR14L1/OR14A2/OR1C1/OR2L5/OR2L2/OR2L3/OR2M4/OR2T6/OR2T7/OR2T2/OR2G6/OR2T11/OR5K1/OR2V1/OR2V2/OR4F3/OR2B2/OR2J3/OR2J2/OR5V1/OR11A1/OR2I1P/OR2F1/OR6B1/OR2A25/OR52K1/OR51D1/OR51A4/OR51L1/OR51B5/OR51I2/OR52B6/OR56B2P/OR56A3/OR56A4/OR2AG2/OR10A6/OR4C11/OR8H2/OR5T2/OR8H1/OR5M1/OR9G1/OR9Q2/OR1S1/OR5B2/OR5AN1/OR5A2/OR4D9/OR2AT4/OR8D4/OR10G4/OR8G1/OR8D1/OR8B8/OR9K2/OR6C75/OR6C4/OR11H12/OR4N2/OR4Q3/OR4M1/OR4K2/OR4K13/OR4K17/OR4N5/OR11G2/OR5AU1/OR10G3/OR4E2/OR4E1/SLC24A4/OR4F15/CNGB1/OR1D2/OR1A1/OR3A2/OR4D1/OR4F17/OR1M1/OR7D2/OR7D4/OR7C1/OR7A17",91
"GO:0007409","axonogenesis","251/6778","445/15460",0.564044943820225,1.28653508873719,5.4190946945628,4.51447745412664e-08,9.31510097016407e-06,5.84303572502958e-06,"ECE1/STMN1/EPHA10/MACF1/ARTN/DAB1/DOCK7/USP33/LMO4/NTNG1/WDR47/NOTCH2/CHRNB2/TRIM46/NTRK1/VANGL2/ADCY10/LHX4/LHX9/LGR6/NFASC/CNTN2/PLXNA2/ENAH/DISC1/TBCE/ADAM17/DPYSL5/SPAST/FEZ2/SOS1/NRXN1/RTN4/BCL11A/CTNNA2/GLI2/POTEI/POTEE/KIF5C/CHN1/RAPH1/NRP2/CREB1/MAP2/FN1/EPHA4/STK25/CHL1/CNTN6/CNTN4/TOP2B/CLASP2/GOLGA4/SCN11A/TRAK1/CCK/PLXNB1/DAG1/SEMA3F/TWF2/WNT5A/ROBO2/ROBO1/EPHA6/RPL24/ALCAM/GSK3B/SEMA5B/KALRN/PLXNA1/RYK/EPHB1/SHOX2/SKIL/MAP3K13/SLIT2/APBB2/PHOX2B/PRDM8/SPP1/EDNRA/PALLD/PLEKHG4B/SEMA5A/TRIO/GDNF/ARHGEF28/EFNA5/SLC25A46/SEMA6A/FSTL4/CDKL3/PCDHAC2/CYFIP2/KIAA0319/SYNGAP1/VEGFA/CD2AP/EPHA7/NR2E1/FYN/LAMA2/TIAM2/ACTB/RAC1/ETV1/GLI3/ADCY1/AUTS2/LIMK1/SEMA3A/SMURF1/RELN/NRCAM/IFRD1/PTPRZ1/BRAF/EPHB6/KEL/UNC5D/MATN2/PTK2/NFIB/NPR2/NTRK2/SEMA4D/STXBP1/OLFM1/NOTCH1/ITGB1/PARD3/ANK3/EGR2/MYPN/KIFBP/PTEN/LGI1/SLIT1/ZFYVE27/PAX2/SEMA4G/FGF8/FGFR2/BRSK2/APBB1/EIF4G2/BDNF/PAX6/LRRC4C/LRP4/PTPRJ/MARK2/PAK1/PICALM/CNTN5/NCAM1/DSCAML1/NECTIN1/ROBO3/APLP2/C12orf57/PTPRO/KIF21A/CNTN1/PRICKLE1/NELL2/DIP2B/ARHGEF25/ZDHHC17/PLXNC1/ATP8A2/SPART/MYCBP2/ATL1/NIN/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/TTC8/BCL11B/EVL/SPG11/SEMA6D/MAP2K1/NEO1/ISLR2/SIN3A/ISL2/SEMA4B/IGF1R/TAOK2/SIAH1/CDH11/IST1/PITPNA/PAFAH1B1/NDEL1/ULK2/ERBB2/MAPT/BAIAP2/ACTG1/PTPRM/AFG3L2/B4GALT6/ARK2C/SMAD4/DCC/BCL2/STK11/MAP2K2/SEMA6B/PTPRS/DNM2/NOTCH3/RAB8A/MAP1S/SCN1B/APLP1/SPTBN4/NUMBL/MEGF8/APOE/VASP/NOVA2/BRSK1/SNAP25/KIAA1755/PARD6B/BMP7/YTHDF1/APP/TIAM1/ADARB1/PLXNB2/CDKL5/USP9X/HDAC6/OPHN1/GLA/PAK3/SLC9A6/FGF13/MCF2/SLITRK2/L1CAM/ARHGAP4/GDI1/PLXNA3",251
"GO:0007608","sensory perception of smell","103/6778","158/15460",0.651898734177215,1.48692157426671,5.43556948936122,4.58119719844135e-08,9.31510097016407e-06,5.84303572502958e-06,"OR4F5/OR10K2/OR6Y1/OR6N1/OR6N2/OR2B11/OR2C3/OR14L1/OR14A2/OR1C1/OR2L5/OR2L2/OR2L3/OR2M4/OR2T6/OR2T7/OR2T2/OR2G6/OR2T11/ADCY3/UBR3/OR5K1/OR2V1/OR2V2/OR4F3/OR2B2/OR2J3/OR2J2/OR5V1/OR11A1/OR2I1P/CFAP69/OR2F1/OR6B1/OR2A25/OR52K1/OR51D1/OR51A4/OR51L1/OR51B5/OR51I2/OR52B6/OR56B2P/OR56A3/OR56A4/OR2AG2/OR10A6/NAV2/OR4C11/OR8H2/OR5T2/OR8H1/OR5M1/OR9G1/OR9Q2/OR1S1/OR5B2/OR5AN1/OR5A2/OR4D9/BBS1/OR2AT4/OR8D4/OR10G4/OR8G1/OR8D1/OR8B8/OR9K2/OR6C75/OR6C4/RIC8B/OR11H12/OR4N2/OR4Q3/OR4M1/OR4K2/OR4K13/OR4K17/OR4N5/OR11G2/OR5AU1/OR10G3/OR4E2/OR4E1/TTC8/SLC24A4/B2M/BBS4/OR4F15/CNGB1/OR1D2/OR1A1/OR3A2/OR4D1/OR4F17/OR1M1/OR7D2/OR7D4/PDE4A/OR7C1/OR7A17/GNAS/CNGA2",103
"GO:0018209","peptidyl-serine modification","104/6778","161/15460",0.645962732919255,1.4733820966261,5.33488220549556,7.97846059312314e-08,1.39053170337289e-05,8.72231706947447e-06,"PRKCZ/MAD2L2/DOCK7/UHMK1/PTGS2/PRKCE/EIF2AK3/GALNT13/GCG/STK39/PIKFYVE/CNOT9/CAB39/RAF1/GSK3B/NCK1/ATR/PDCD10/EIF4G1/MAP3K13/TFRC/SNCA/CAMK2D/FNIP2/RICTOR/PDE4D/CSNK1A1/CAMK2A/IRGM/NSD1/RACK1/RIPK1/MAPK14/TTBK1/LATS1/CNKSR3/MLXIPL/AKAP9/LMTK2/SRPK2/CAV1/BRAF/TNKS/IKBKB/PRKDC/RIPK2/TGFBR1/NEK6/MAPKAP1/MAPK8/ERCC6/CDK1/STOX1/PTEN/INPP5F/TRIM6/HIPK3/TNKS1BP1/MARK2/GRK2/PAK1/ATM/POGLUT3/LRRK2/MAP3K12/TBK1/NOS1/PRKD1/GALNT16/MARK3/AKT1/TTBK2/AXIN1/PKD1/SMG1/TLK2/ERN1/RPTOR/ROCK1/GALNT1/SMAD7/MAP2K2/PRKACA/MAP3K10/SPTBN4/GSK3A/PRKD2/HRC/BRSK1/CSNK2A1/RASSF2/TOP1/STK4/AURKA/APP/MORC3/DYRK1A/MAPK1/MAPK12/RPS6KA3/DMD/ARAF/HDAC6/TAF1",104
"GO:0010975","regulation of neuron projection development","245/6778","438/15460",0.559360730593607,1.27585082546137,5.17462704977111,1.68346023815012e-07,2.56727686317894e-05,1.61036262254624e-05,"ACAP3/KDM1A/MACF1/MFSD2A/P3H1/ELAVL4/LRP8/DAB1/LRRC7/GFI1/PLPPR5/NTNG1/LRIG2/CERS2/CHRNB2/TRIM46/NTRK1/DDR2/ADCY10/ABL2/CAMSAP2/CNTN2/PLXNA2/MARK1/TRIM67/DISC1/KIDINS220/DPYSL5/ALK/RTN4/CCDC88A/BCL11A/CTNNA2/ITGA6/CHN1/NFE2L2/HECW2/CFLAR/MAP2/FN1/EPHA4/ITM2C/NGEF/KIF1A/STK25/KAT2B/GOLGA4/GORASP1/ULK4/TRAK1/PLXNB1/RHOA/SEMA3F/TWF2/WNT5A/ROBO2/ROBO1/GSK3B/PLXNA1/RYK/NCK1/DHX36/SHOX2/SERPINI1/SKIL/TNIK/NLGN1/MAP3K13/GAK/SLIT2/SCARB2/SPP1/GRID2/PDLIM5/PPP3CA/NDNF/RAPGEF2/SEMA5A/DAB2/ENC1/ARSB/EFNA5/FSTL4/CDKL3/DPYSL3/FBXO38/DTNBP1/KIAA0319/DDR1/SYNGAP1/PACSIN1/CUL7/VEGFA/CNR1/EPHA7/NR2E1/FYN/HDAC2/SYNE1/TIAM2/HECW1/CAMK2B/DDX56/LIMK1/MAGI2/SEMA3A/SMURF1/CUX1/RELN/NRCAM/IFRD1/BRAF/KEL/EZH2/PTK2B/FGFR1/STAU2/CSMD3/KANK1/VLDLR/PTPRD/NTRK2/SEMA4D/DAB2IP/NSMF/CAMK1D/SLC39A12/CAMK2G/PTEN/SLIT1/ZFYVE27/SHOC2/INPP5F/KNDC1/BRSK2/APBB1/DENND5A/EIF4G2/BDNF/PAX6/CAPRIN1/LRRC4C/MDK/LRP4/RTN4RL2/MARK2/PPP2R5B/PAK1/ROBO3/PTPRO/CAPRIN2/KIF21A/LRRK2/CNTN1/DIP2B/ATF1/AVIL/MDM2/PPFIA2/PLXNC1/CUX2/ATP8A2/SPART/MYCBP2/NFATC4/PRKD1/NIN/SIPA1L1/PSEN1/AKT1/UBE3A/B2M/SEMA6D/NEDD4/MAP2K1/PARP6/NEO1/NPTN/ISLR2/PTPN9/CHRNA3/IGF1R/TBX6/STX1B/NDRG4/IST1/PAFAH1B1/NDEL1/ARHGAP44/PMP22/ULK2/SARM1/SRCIN1/RETREG3/GFAP/MAPT/ABI3/TANC2/BAIAP2/RIT2/SKOR2/DCC/NEDD4L/STK11/PLK5/MAP2K2/PTPRS/CARM1/SCN1B/ARHGAP33/GSK3A/MEGF8/APOE/NOVA2/AP2A1/BRSK1/LZTS3/SNAP25/PREX1/BMP7/SS18L1/YTHDF1/TIAM1/KREMEN1/YWHAH/FBXO7/EP300/PLXNB2/SHANK3/CDKL5/DMD/EFHC2/HDAC6/PQBP1/GLA/GPRASP3/PAK3/THOC2/FGF13/MCF2/L1CAM/ARHGAP4/FLNA/GDI1/PLXNA3",245
"GO:0022604","regulation of cell morphogenesis","142/6778","237/15460",0.59915611814346,1.36662047602506,5.0254199139226,3.95013023775887e-07,5.35462098896202e-05,3.35876571093649e-05,"CAPZB/ZMYM6/ZMYM4/MACF1/MFSD2A/MPL/LRP8/NTNG1/STRIP1/MOV10/PLEKHO1/SPTA1/CNTN2/PLXNA2/CDC42EP3/RHOQ/BCL11A/WDPCP/CXCR4/ARHGAP15/FMNL2/PRPF40A/FN1/EPHA4/CPNE9/LIMD1/PLXNB1/DAG1/WNT5A/PLXNA1/DHX36/DVL3/MAP3K13/TBCCD1/DLG1/WDR1/KIT/KDR/SHROOM3/SH3D19/MYO10/RASA1/EFNA5/CDC42SE2/CDKL3/DIAPH1/RREB1/LST1/FGD2/CUL7/VEGFA/RIMS1/PHIP/FYN/ARHGAP18/PRKN/GNA12/RAC1/SEPTIN7/CAMK2B/CLDN4/SMURF1/CUX1/RELN/MKLN1/DLC1/PTK2B/PRKDC/STAU2/RIMS2/PTK2/KANK1/PTPRD/SEMA4D/FGD3/CAMSAP1/RHOG/PARVA/CAPRIN1/CD44/F2/MARK2/CORO1B/RDX/BCL9L/EPS8/CAPRIN2/FGD4/FMNL3/LARP4/ITGA7/GRIP1/SYT1/PLXNC1/FGD6/CUX2/RASAL1/ARHGEF7/CPNE6/FERMT2/TPM1/MYO9A/PARP6/TAOK2/ALDOA/CORO1A/PAFAH1B1/DLG4/MYH10/SPAG9/NHERF1/RNF157/BAIAP2/EPB41L3/NEDD4L/PALM/DAPK3/ARHGEF18/PALM3/UNC13A/MYH14/CACNG7/ZNF135/SLC23A2/SRC/SS18L1/TIAM1/BRWD1/CFAP410/ITGB2/NF2/MYH9/PLXNB2/CDKL5/SH3KBP1/HDAC6/MSN/ZMYM3/BRWD3/GPRASP3/MECP2/PLXNA3",142
"GO:0050906","detection of stimulus involved in sensory perception","143/6778","240/15460",0.595833333333333,1.35904150683584,4.9530708767434,5.69774525053861e-07,6.9512492056571e-05,4.36027452330692e-05,"OR4F5/CA6/TAS1R2/COL11A1/WDR47/NTRK1/OR10K2/OR6Y1/OR6N1/OR6N2/CRB1/ADORA1/DISC1/OR2B11/OR2C3/OR14L1/OR14A2/OR1C1/OR2L5/OR2L2/OR2L3/OR2M4/OR2T6/OR2T7/OR2T2/OR2G6/OR2T11/CXCR4/CACNB4/SCN1A/SCN9A/PJVK/RTP5/SCN11A/OR5K1/SEMA5B/EPHB1/KIT/REST/PPEF2/ITGA2/ADGRV1/GRM6/OR2V1/OR2V2/OR4F3/OR2B2/OR2J3/OR2J2/OR5V1/OR11A1/OR2I1P/TULP1/EYS/GRIK2/FYN/PIP/TAS2R39/OR2F1/OR6B1/OR2A25/ASIC3/TRPA1/PHF24/TMC1/WHRN/FFAR4/OR52K1/OR51D1/OR51A4/OR51L1/OR51B5/OR51I2/OR52B6/OR56B2P/OR56A3/OR56A4/OR2AG2/OR10A6/OR4C11/OR8H2/OR5T2/OR8H1/OR5M1/OR9G1/OR9Q2/OR1S1/OR5B2/OR5AN1/OR5A2/OR4D9/ROM1/ANO1/OR2AT4/BACE1/OR8D4/OR10G4/OR8G1/OR8D1/OR8B8/CACNA2D4/TAS2R8/TAS2R13/OR9K2/OR6C75/OR6C4/PTPRQ/ATP8A2/OR11H12/OR4N2/OR4Q3/OR4M1/OR4K2/OR4K13/OR4K17/OR4N5/OR11G2/OR5AU1/OR10G3/OR4E2/OR4E1/SLC24A4/TMEM87A/STRC/OR4F15/CNGB1/OR1D2/OR1A1/OR3A2/TAC4/OR4D1/PIEZO2/OR4F17/OR1M1/OR7D2/OR7D4/OR7C1/OR7A17/NR2F6/TMC2/NTSR1/COMT/CACNA1F",143
