"gene_id","gene_symbol","n_LRonly_isoforms"
"ENSG00000145362","ANK2",55
"ENSG00000109654","TRIM2",33
"ENSG00000135317","SNX14",32
"ENSG00000145216","FIP1L1",32
"ENSG00000125124","BBS2",28
"ENSG00000115392","FANCL",27
"ENSG00000124356","STAMBP",27
"ENSG00000121940","CLCC1",25
"ENSG00000135541","AHI1",24
"ENSG00000003393","ALS2",22
"ENSG00000080815","PSEN1",22
"ENSG00000087053","MTMR2",22
"ENSG00000104218","CSPP1",22
"ENSG00000068400","GRIPAP1",21
"ENSG00000075413","MARK3",21
"ENSG00000001631","KRIT1",20
"ENSG00000118473","SGIP1",20
"ENSG00000109339","MAPK10",19
"ENSG00000147010","SH3KBP1",19
"ENSG00000163913","IFT122",19
"ENSG00000106290","TAF6",18
"ENSG00000080503","SMARCA2",17
"ENSG00000115355","CCDC88A",17
"ENSG00000138757","G3BP2",17
"ENSG00000145349","CAMK2D",17
"ENSG00000198677","SKIC3",17
"ENSG00000102081","FMR1",16
"ENSG00000117054","ACADM",16
"ENSG00000132155","RAF1",16
"ENSG00000163703","CRELD1",16
"ENSG00000204120","GIGYF2",16
"ENSG00000114861","FOXP1",15
"ENSG00000168610","STAT3",15
"ENSG00000169554","ZEB2",15
"ENSG00000198561","CTNND1",15
"ENSG00000198947","DMD",15
"ENSG00000073584","SMARCE1",14
"ENSG00000075711","DLG1",14
"ENSG00000135297","MTO1",14
"ENSG00000158290","CUL4B",14
"ENSG00000182923","CEP63",14
"ENSG00000185624","P4HB",14
"ENSG00000197858","GPAA1",14
"ENSG00000203485","INF2",14
"ENSG00000092108","SCFD1",13
"ENSG00000133835","HSD17B4",13
"ENSG00000141837","CACNA1A",13
"ENSG00000156113","KCNMA1",13
"ENSG00000159023","EPB41",13
"ENSG00000173230","GOLGB1",13
"ENSG00000055609","KMT2C",12
"ENSG00000072110","ACTN1",12
"ENSG00000100241","SBF1",12
"ENSG00000107862","GBF1",12
"ENSG00000137509","PRCP",12
"ENSG00000138095","LRPPRC",12
"ENSG00000159063","ALG8",12
"ENSG00000160145","KALRN",12
"ENSG00000170074","FAM153A",12
"ENSG00000196628","TCF4",12
"ENSG00000197467","COL13A1",12
"ENSG00000213928","IRF9",12
"ENSG00000215301","DDX3X",12
"ENSG00000065534","MYLK",11
"ENSG00000070061","ELP1",11
"ENSG00000100099","HPS4",11
"ENSG00000101333","PLCB4",11
"ENSG00000102471","NDFIP2",11
"ENSG00000104381","GDAP1",11
"ENSG00000104408","EIF3E",11
"ENSG00000104490","NCALD",11
"ENSG00000112541","PDE10A",11
"ENSG00000112851","ERBIN",11
"ENSG00000118513","MYB",11
"ENSG00000127616","SMARCA4",11
"ENSG00000127955","GNAI1",11
"ENSG00000130294","KIF1A",11
"ENSG00000131778","CHD1L",11
