"isoform_id","gene_id","gene_symbol"
"ENST00000641515","ENSG00000186092","OR4F5"
"ENST00000622503","ENSG00000187634","SAMD11"
"ENST00000617307","ENSG00000187634","SAMD11"
"ENST00000478729","ENSG00000187634","SAMD11"
"ENST00000474461","ENSG00000187634","SAMD11"
"ENST00000492947","ENSG00000188157","AGRN"
"ENST00000453464","ENSG00000237330","RNF223"
"ENST00000459994","ENSG00000078808","SDF4"
"ENST00000478606","ENSG00000184163","C1QTNF12"
"ENST00000486627","ENSG00000184163","C1QTNF12"
"ENST00000471154","ENSG00000160087","UBE2J2"
"ENST00000438966","ENSG00000131584","ACAP3"
"ENST00000620829","ENSG00000127054","INTS11"
"ENST00000527098","ENSG00000127054","INTS11"
"ENST00000488011","ENSG00000224051","CPTP"
"ENST00000470373","ENSG00000197530","MIB2"
"ENST00000490017","ENSG00000189409","MMP23B"
"ENST00000341832","ENSG00000248333","CDK11B"
"ENST00000615951","ENSG00000248333","CDK11B"
"ENST00000626918","ENSG00000248333","CDK11B"
"ENST00000629289","ENSG00000248333","CDK11B"
"ENST00000629312","ENSG00000248333","CDK11B"
"ENST00000356200","ENSG00000008128","CDK11A"
"ENST00000356937","ENSG00000008128","CDK11A"
"ENST00000509982","ENSG00000008128","CDK11A"
"ENST00000460465","ENSG00000008128","CDK11A"
"ENST00000487462","ENSG00000008128","CDK11A"
"ENST00000460602","ENSG00000008130","NADK"
"ENST00000464373","ENSG00000008130","NADK"
"ENST00000480542","ENSG00000008130","NADK"
"ENST00000703699","ENSG00000078369","GNB1"
"ENST00000703700","ENSG00000078369","GNB1"
"ENST00000703702","ENSG00000078369","GNB1"
"ENST00000703704","ENSG00000078369","GNB1"
"ENST00000703705","ENSG00000078369","GNB1"
"ENST00000640892","ENSG00000187730","GABRD"
"ENST00000495347","ENSG00000067606","PRKCZ"
"ENST00000704337","ENSG00000157933","SKI"
"ENST00000508416","ENSG00000157933","SKI"
"ENST00000478223","ENSG00000157933","SKI"
"ENST00000493207","ENSG00000157916","RER1"
"ENST00000419816","ENSG00000149527","PLCH2"
"ENST00000473964","ENSG00000149527","PLCH2"
"ENST00000435556","ENSG00000157881","PANK4"
"ENST00000512462","ENSG00000142611","PRDM16"
"ENST00000509860","ENSG00000142611","PRDM16"
"ENST00000697102","ENSG00000162591","MEGF6"
"ENST00000344579","ENSG00000158109","TPRG1L"
"ENST00000346387","ENSG00000078900","TP73"
"ENST00000462521","ENSG00000162592","CCDC27"
"ENST00000561886","ENSG00000235169","SMIM1"
"ENST00000479239","ENSG00000130764","LRRC47"
"ENST00000676009","ENSG00000116198","CEP104"
"ENST00000460038","ENSG00000116198","CEP104"
"ENST00000477548","ENSG00000169598","DFFB"
"ENST00000680169","ENSG00000198912","C1orf174"
"ENST00000679946","ENSG00000198912","C1orf174"
