"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000115392",29,"FANCL"
"ENSG00000229140",28,"CCDC26"
"ENSG00000125124",22,"BBS2"
"ENSG00000226674",22,"TEX41"
"ENSG00000068400",18,"GRIPAP1"
"ENSG00000135297",18,"MTO1"
"ENSG00000224271",18,"EPIC1"
"ENSG00000109654",17,"TRIM2"
"ENSG00000127990",16,"SGCE"
"ENSG00000215386",16,"MIR99AHG"
"ENSG00000226620",16,"LINC00343"
"ENSG00000145362",15,"ANK2"
"ENSG00000237484",15,"LINC01684"
"ENSG00000145216",14,"FIP1L1"
"ENSG00000156113",14,"KCNMA1"
"ENSG00000189229",14,"ENSG00000189229"
"ENSG00000224209",14,"LINC00466"
"ENSG00000135317",13,"SNX14"
"ENSG00000158864",13,"NDUFS2"
"ENSG00000163703",13,"CRELD1"
"ENSG00000228340",12,"MIR646HG"
"ENSG00000254101",12,"LINC02055"
"ENSG00000261390",12,"MAFTRR"
"ENSG00000267374",12,"MIR924HG"
"ENSG00000130226",11,"DPP6"
"ENSG00000170074",11,"FAM153A"
"ENSG00000203485",11,"INF2"
"ENSG00000250337",11,"PURPL"
"ENSG00000250754",11,"LINC02436"
"ENSG00000251562",11,"MALAT1"
"ENSG00000253877",11,"LINC01608"
"ENSG00000258867",11,"HISLA"
"ENSG00000260876",11,"LINC01229"
"ENSG00000285219",11,"HULC"
"ENSG00000286619",11,"ENSG00000286619"
"ENSG00000075043",10,"KCNQ2"
"ENSG00000075413",10,"MARK3"
"ENSG00000094631",10,"HDAC6"
"ENSG00000104218",10,"CSPP1"
"ENSG00000124356",10,"STAMBP"
"ENSG00000163913",10,"IFT122"
"ENSG00000197099",10,"HRG-AS1"
"ENSG00000197858",10,"GPAA1"
"ENSG00000231933",10,"MYO18B-AS1"
"ENSG00000236172",10,"MIR7515HG"
"ENSG00000249618",10,"LINC02465"
"ENSG00000251199",10,"ENSG00000251199"
"ENSG00000254166",10,"CASC19"
"ENSG00000260896",10,"ARLNC1"
"ENSG00000277047",10,"ENSG00000277047"
"ENSG00000291142",10,"ENSG00000291142"
"ENSG00000132204",9,"LINC00470"
"ENSG00000138757",9,"G3BP2"
"ENSG00000179915",9,"NRXN1"
"ENSG00000198300",9,"PEG3"
"ENSG00000223812",9,"PYDC2-AS1"
"ENSG00000228262",9,"LINC01320"
"ENSG00000229981",9,"LINC01435"
"ENSG00000232667",9,"ENSG00000232667"
"ENSG00000234948",9,"LINC01524"
"ENSG00000245750",9,"DRAIC"
"ENSG00000248538",9,"PPP1R3B-DT"
"ENSG00000254319",9,"LINC03021"
"ENSG00000255087",9,"ENSG00000255087"
"ENSG00000279249",9,"ENSG00000279249"
"ENSG00000286286",9,"ENSG00000286286"
"ENSG00000003393",8,"ALS2"
"ENSG00000118473",8,"SGIP1"
"ENSG00000154743",8,"TSEN2"
"ENSG00000178722",8,"C5orf64"
"ENSG00000189238",8,"LINC00943"
"ENSG00000204054",8,"LINC00963"
"ENSG00000215301",8,"DDX3X"
"ENSG00000228358",8,"LINC02263"
"ENSG00000228495",8,"LINC01013"
"ENSG00000228956",8,"SATB1-AS1"
"ENSG00000232624",8,"LINC01517"
"ENSG00000235166",8,"LINC01440"
"ENSG00000242808",8,"SOX2-OT"
"ENSG00000245832",8,"MIR4300HG"
"ENSG00000248307",8,"LINC00616"
"ENSG00000250910",8,"MAP9-AS1"
"ENSG00000251629",8,"LINC02241"
"ENSG00000255819",8,"KLRC4-KLRK1"
"ENSG00000261824",8,"LINC00662"
"ENSG00000270011",8,"ZNF559-ZNF177"
"ENSG00000291178",8,"ENSG00000291178"
"ENSG00000100385",7,"IL2RB"
"ENSG00000101333",7,"PLCB4"
"ENSG00000109339",7,"MAPK10"
"ENSG00000114354",7,"TFG"
"ENSG00000132155",7,"RAF1"
"ENSG00000137409",7,"MTCH1"
"ENSG00000141510",7,"TP53"
"ENSG00000149781",7,"FERMT3"
"ENSG00000150045",7,"KLRF1"
"ENSG00000165119",7,"HNRNPK"
"ENSG00000172748",7,"ZNF596"
"ENSG00000172965",7,"MIR4435-2HG"
"ENSG00000179088",7,"C12orf42"
"ENSG00000182923",7,"CEP63"
"ENSG00000204684",7,"ENSG00000204684"
"ENSG00000212719",7,"LINC02693"
"ENSG00000223646",7,"LINC03076"
"ENSG00000227028",7,"SLC8A1-AS1"
"ENSG00000227036",7,"LINC00511"
"ENSG00000227863",7,"ENSG00000227863"
"ENSG00000228309",7,"LINC01350"
"ENSG00000231163",7,"CSMD2-AS1"
"ENSG00000233321",7,"LINC02669"
