"transcript_id","biotype","gene_id","gene_name"
"ENST00000004531","protein_coding","ENSG00000003989","SLC7A2"
"ENST00000006724","protein_coding","ENSG00000007306","CEACAM7"
"ENST00000165524","protein_coding","ENSG00000071677","PRLH"
"ENST00000170150","protein_coding","ENSG00000078898","BPIFB2"
"ENST00000181796","protein_coding","ENSG00000065809","FAM107B"
"ENST00000187910","protein_coding","ENSG00000170848","PSG6"
"ENST00000202625","protein_coding","ENSG00000166948","TGM6"
"ENST00000202917","protein_coding","ENSG00000089127","OAS1"
"ENST00000209665","protein_coding","ENSG00000196344","ADH7"
"ENST00000211076","protein_coding","ENSG00000095917","TPSD1"
"ENST00000211122","protein_coding","ENSG00000174156","GSTA3"
"ENST00000216139","protein_coding","ENSG00000100312","ACR"
"ENST00000216336","protein_coding","ENSG00000100448","CTSG"
"ENST00000217131","protein_coding","ENSG00000101160","CTSZ"
"ENST00000217428","protein_coding","ENSG00000101446","SPINT3"
"ENST00000218032","protein_coding","ENSG00000101916","TLR8"
"ENST00000218099","protein_coding","ENSG00000101981","F9"
"ENST00000219162","protein_coding","ENSG00000102891","MT4"
"ENST00000219919","protein_coding","ENSG00000103569","AQP9"
"ENST00000220562","protein_coding","ENSG00000012232","EXTL3"
"ENST00000220849","protein_coding","ENSG00000104408","EIF3E"
"ENST00000220940","protein_coding","ENSG00000104499","GML"
"ENST00000221222","protein_coding","ENSG00000051128","HOMER3"
"ENST00000221515","protein_coding","ENSG00000104918","RETN"
"ENST00000221700","protein_coding","ENSG00000186115","CYP4F2"
"ENST00000221797","protein_coding","ENSG00000105198","LGALS13"
"ENST00000223361","protein_coding","ENSG00000106628","POLD2"
"ENST00000225844","protein_coding","ENSG00000181374","CCL13"
"ENST00000226355","protein_coding","ENSG00000079557","AFM"
"ENST00000226460","protein_coding","ENSG00000109208","SMR3A"
"ENST00000226730","protein_coding","ENSG00000109471","IL2"
"ENST00000228476","protein_coding","ENSG00000110887","DAO"
"ENST00000229135","protein_coding","ENSG00000111537","IFNG"
"ENST00000229335","protein_coding","ENSG00000111732","AICDA"
"ENST00000230323","protein_coding","ENSG00000112561","TFEB"
"ENST00000231188","protein_coding","ENSG00000113262","GRM6"
"ENST00000231228","protein_coding","ENSG00000113302","IL12B"
"ENST00000233892","protein_coding","ENSG00000115540","MOB4"
"ENST00000234701","protein_coding","ENSG00000016490","CLCA1"
"ENST00000236826","protein_coding","ENSG00000118113","MMP8"
"ENST00000236979","protein_coding","ENSG00000118245","TNP1"
"ENST00000237201","protein_coding","ENSG00000118434","SPACA1"
"ENST00000237275","protein_coding","ENSG00000118491","ZC2HC1B"
"ENST00000240691","protein_coding","ENSG00000121381","TAS2R9"
"ENST00000240727","protein_coding","ENSG00000121413","ZSCAN18"
"ENST00000241808","protein_coding","ENSG00000122304","PRM2"
"ENST00000242872","protein_coding","ENSG00000123219","CENPK"
"ENST00000243219","protein_coding","ENSG00000112769","LAMA4"
"ENST00000243611","protein_coding","ENSG00000123843","C4BPB"
"ENST00000244096","protein_coding","ENSG00000124260","MAGEA10"
"ENST00000244293","protein_coding","ENSG00000183668","PSG9"
"ENST00000244645","protein_coding","ENSG00000124678","TCP11"
"ENST00000245983","protein_coding","ENSG00000125787","GNRH2"
