"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000145362",14,"ANK2"
"ENSG00000127990",12,"SGCE"
"ENSG00000145216",11,"FIP1L1"
"ENSG00000109654",10,"TRIM2"
"ENSG00000198300",9,"PEG3"
"ENSG00000156113",8,"KCNMA1"
"ENSG00000068400",7,"GRIPAP1"
"ENSG00000101333",7,"PLCB4"
"ENSG00000118473",7,"SGIP1"
"ENSG00000141510",7,"TP53"
"ENSG00000165119",7,"HNRNPK"
"ENSG00000114354",6,"TFG"
"ENSG00000147642",6,"SYBU"
"ENSG00000149781",6,"FERMT3"
"ENSG00000172748",6,"ZNF596"
"ENSG00000182923",6,"CEP63"
"ENSG00000187045",6,"TMPRSS6"
"ENSG00000080503",5,"SMARCA2"
"ENSG00000100385",5,"IL2RB"
"ENSG00000104218",5,"CSPP1"
"ENSG00000109339",5,"MAPK10"
"ENSG00000111732",5,"AICDA"
"ENSG00000130294",5,"KIF1A"
"ENSG00000135317",5,"SNX14"
"ENSG00000164334",5,"FAM170A"
"ENSG00000187908",5,"DMBT1"
"ENSG00000188321",5,"ZNF559"
"ENSG00000203485",5,"INF2"
"ENSG00000204296",5,"TSBP1"
"ENSG00000205336",5,"ADGRG1"
"ENSG00000034053",4,"APBA2"
"ENSG00000070756",4,"PABPC1"
"ENSG00000100968",4,"NFATC4"
"ENSG00000112715",4,"VEGFA"
"ENSG00000115355",4,"CCDC88A"
"ENSG00000121940",4,"CLCC1"
"ENSG00000122367",4,"LDB3"
"ENSG00000135316",4,"SYNCRIP"
"ENSG00000138068",4,"SULT6B1"
"ENSG00000138757",4,"G3BP2"
"ENSG00000145349",4,"CAMK2D"
"ENSG00000145907",4,"G3BP1"
"ENSG00000150045",4,"KLRF1"
"ENSG00000150275",4,"PCDH15"
"ENSG00000153113",4,"CAST"
"ENSG00000154743",4,"TSEN2"
"ENSG00000154845",4,"PPP4R1"
"ENSG00000156650",4,"KAT6B"
"ENSG00000157540",4,"DYRK1A"
"ENSG00000157551",4,"KCNJ15"
"ENSG00000159023",4,"EPB41"
"ENSG00000162782",4,"TDRD5"
"ENSG00000163913",4,"IFT122"
"ENSG00000166069",4,"TMCO5A"
"ENSG00000166928",4,"MS4A14"
"ENSG00000166947",4,"EPB42"
"ENSG00000168216",4,"LMBRD1"
"ENSG00000168610",4,"STAT3"
"ENSG00000169224",4,"GCSAML"
"ENSG00000169344",4,"UMOD"
"ENSG00000170180",4,"GYPA"
"ENSG00000175857",4,"GAPT"
"ENSG00000176083",4,"ZNF683"
"ENSG00000188992",4,"LIPI"
"ENSG00000189013",4,"KIR2DL4"
"ENSG00000189023",4,"MAGEB16"
"ENSG00000196090",4,"PTPRT"
"ENSG00000196628",4,"TCF4"
"ENSG00000197430",4,"OPALIN"
"ENSG00000204580",4,"DDR1"
"ENSG00000205809",4,"KLRC2"
"ENSG00000269699",4,"ZIM2"
"ENSG00000003393",3,"ALS2"
"ENSG00000050405",3,"LIMA1"
"ENSG00000061273",3,"HDAC7"
"ENSG00000061938",3,"TNK2"
"ENSG00000065809",3,"FAM107B"
"ENSG00000075043",3,"KCNQ2"
"ENSG00000075413",3,"MARK3"
"ENSG00000075711",3,"DLG1"
"ENSG00000079277",3,"MKNK1"
"ENSG00000080815",3,"PSEN1"
"ENSG00000081059",3,"TCF7"
"ENSG00000081189",3,"MEF2C"
"ENSG00000081665",3,"ZNF506"
"ENSG00000082074",3,"FYB1"
"ENSG00000083067",3,"TRPM3"
"ENSG00000091592",3,"NLRP1"
"ENSG00000095110",3,"NXPE1"
"ENSG00000100055",3,"CYTH4"
"ENSG00000100665",3,"SERPINA4"
"ENSG00000103034",3,"NDRG4"
"ENSG00000104408",3,"EIF3E"
"ENSG00000104760",3,"FGL1"
"ENSG00000105176",3,"URI1"
"ENSG00000106278",3,"PTPRZ1"
"ENSG00000115170",3,"ACVR1"
"ENSG00000115414",3,"FN1"
"ENSG00000122224",3,"LY9"
"ENSG00000122390",3,"NAA60"
"ENSG00000122566",3,"HNRNPA2B1"
"ENSG00000124092",3,"CTCFL"
"ENSG00000124356",3,"STAMBP"
"ENSG00000124490",3,"CRISP2"
"ENSG00000125900",3,"SIRPD"
"ENSG00000127955",3,"GNAI1"
"ENSG00000128242",3,"GAL3ST1"
"ENSG00000130226",3,"DPP6"
"ENSG00000130234",3,"ACE2"
"ENSG00000130396",3,"AFDN"
"ENSG00000130592",3,"LSP1"
"ENSG00000131355",3,"ADGRE3"
"ENSG00000133742",3,"CA1"
"ENSG00000134339",3,"SAA2"
"ENSG00000134769",3,"DTNA"
"ENSG00000135100",3,"HNF1A"
"ENSG00000137948",3,"BRDT"
"ENSG00000139144",3,"PIK3C2G"
"ENSG00000139151",3,"PLCZ1"
"ENSG00000143452",3,"HORMAD1"
"ENSG00000143614",3,"GATAD2B"
"ENSG00000146039",3,"SLC17A4"
"ENSG00000147533",3,"GOLGA7"
"ENSG00000148053",3,"NTRK2"
"ENSG00000148584",3,"A1CF"
"ENSG00000151067",3,"CACNA1C"
"ENSG00000151883",3,"PARP8"
"ENSG00000151948",3,"GLT1D1"
"ENSG00000152942",3,"RAD17"
"ENSG00000153498",3,"SPACA7"
"ENSG00000155249",3,"OR4K1"
"ENSG00000157103",3,"SLC6A1"
"ENSG00000157193",3,"LRP8"
"ENSG00000158887",3,"MPZ"
"ENSG00000159398",3,"CES5A"
"ENSG00000160255",3,"ITGB2"
"ENSG00000160882",3,"CYP11B1"
"ENSG00000160948",3,"VPS28"
"ENSG00000162891",3,"IL20"
"ENSG00000163681",3,"SLMAP"
"ENSG00000163746",3,"PLSCR2"
"ENSG00000167210",3,"LOXHD1"
"ENSG00000168280",3,"KIF5C"
"ENSG00000168314",3,"MOBP"
"ENSG00000168594",3,"ADAM29"
"ENSG00000169255",3,"B3GALNT1"
"ENSG00000169347",3,"GP2"
"ENSG00000169562",3,"GJB1"
"ENSG00000170848",3,"PSG6"
"ENSG00000172354",3,"GNB2"
"ENSG00000172995",3,"ARPP21"
"ENSG00000173262",3,"SLC2A14"
"ENSG00000173699",3,"SPATA3"
"ENSG00000174837",3,"ADGRE1"
"ENSG00000176884",3,"GRIN1"
"ENSG00000177374",3,"HIC1"
"ENSG00000177426",3,"TGIF1"
"ENSG00000178209",3,"PLEC"
"ENSG00000179626",3,"OR6C4"
"ENSG00000181027",3,"FKRP"
"ENSG00000182389",3,"CACNB4"
"ENSG00000182732",3,"RGS6"
"ENSG00000182901",3,"RGS7"
"ENSG00000186652",3,"PRG2"
"ENSG00000188385",3,"JAKMIP3"
"ENSG00000196344",3,"ADH7"
"ENSG00000197360",3,"ZNF98"
"ENSG00000197641",3,"SERPINB13"
"ENSG00000197658",3,"SLC22A24"
"ENSG00000197694",3,"SPTAN1"
"ENSG00000197928",3,"ZNF677"
"ENSG00000198561",3,"CTNND1"
"ENSG00000204536",3,"CCHCR1"
"ENSG00000204669",3,"C9orf57"
"ENSG00000204979",3,"MS4A13"
"ENSG00000215301",3,"DDX3X"
"ENSG00000227124",3,"ZNF717"
"ENSG00000239998",3,"LILRA2"
"ENSG00000266173",3,"STRADA"
"ENSG00000001631",2,"KRIT1"
"ENSG00000004487",2,"KDM1A"
"ENSG00000005302",2,"MSL3"
"ENSG00000006283",2,"CACNA1G"
"ENSG00000007372",2,"PAX6"
"ENSG00000008283",2,"CYB561"
"ENSG00000009307",2,"CSDE1"
"ENSG00000011332",2,"DPF1"
"ENSG00000020633",2,"RUNX3"
"ENSG00000047936",2,"ROS1"
"ENSG00000049759",2,"NEDD4L"
"ENSG00000050820",2,"BCAR1"
"ENSG00000054523",2,"KIF1B"
"ENSG00000054654",2,"SYNE2"
"ENSG00000058272",2,"PPP1R12A"
"ENSG00000058404",2,"CAMK2B"
"ENSG00000062524",2,"LTK"
"ENSG00000064012",2,"CASP8"
"ENSG00000065371",2,"ROPN1"
"ENSG00000066468",2,"FGFR2"
"ENSG00000066813",2,"ACSM2B"
"ENSG00000067715",2,"SYT1"
"ENSG00000068305",2,"MEF2A"
"ENSG00000069020",2,"MAST4"
"ENSG00000069206",2,"ADAM7"
"ENSG00000070831",2,"CDC42"
"ENSG00000073584",2,"SMARCE1"
"ENSG00000073734",2,"ABCB11"
"ENSG00000073849",2,"ST6GAL1"
"ENSG00000077264",2,"PAK3"
"ENSG00000077782",2,"FGFR1"
"ENSG00000078328",2,"RBFOX1"
"ENSG00000078369",2,"GNB1"
"ENSG00000081237",2,"PTPRC"
"ENSG00000082641",2,"NFE2L1"
"ENSG00000086666",2,"ZFAND6"
"ENSG00000089127",2,"OAS1"
"ENSG00000090512",2,"FETUB"
"ENSG00000090621",2,"PABPC4"
"ENSG00000092108",2,"SCFD1"
"ENSG00000094631",2,"HDAC6"
"ENSG00000095794",2,"CREM"
"ENSG00000099917",2,"MED15"
"ENSG00000100350",2,"FOXRED2"
"ENSG00000100364",2,"KIAA0930"
"ENSG00000100721",2,"TCL1A"
"ENSG00000101076",2,"HNF4A"
"ENSG00000101160",2,"CTSZ"
"ENSG00000101871",2,"MID1"
"ENSG00000101916",2,"TLR8"
"ENSG00000102145",2,"GATA1"
"ENSG00000103415",2,"HMOX2"
"ENSG00000103569",2,"AQP9"
"ENSG00000104324",2,"CPQ"
"ENSG00000104381",2,"GDAP1"
"ENSG00000104419",2,"NDRG1"
"ENSG00000104447",2,"TRPS1"
"ENSG00000104499",2,"GML"
"ENSG00000104755",2,"ADAM2"
"ENSG00000104918",2,"RETN"
"ENSG00000104972",2,"LILRB1"
"ENSG00000105198",2,"LGALS13"
"ENSG00000106410",2,"NOBOX"
"ENSG00000106628",2,"POLD2"
"ENSG00000106852",2,"LHX6"
"ENSG00000107147",2,"KCNT1"
"ENSG00000107521",2,"HPS1"
"ENSG00000107897",2,"ACBD5"
"ENSG00000108433",2,"GOSR2"
"ENSG00000108946",2,"PRKAR1A"
"ENSG00000109099",2,"PMP22"
"ENSG00000109181",2,"UGT2B10"
"ENSG00000109576",2,"AADAT"
"ENSG00000109689",2,"STIM2"
"ENSG00000110076",2,"NRXN2"
"ENSG00000110436",2,"SLC1A2"
"ENSG00000110888",2,"CAPRIN2"
"ENSG00000111700",2,"SLCO1B3"
"ENSG00000112038",2,"OPRM1"
"ENSG00000112077",2,"RHAG"
"ENSG00000112337",2,"SLC17A2"
"ENSG00000112964",2,"GHR"
"ENSG00000112983",2,"BRD8"
"ENSG00000113580",2,"NR3C1"
"ENSG00000114861",2,"FOXP1"
"ENSG00000115540",2,"MOB4"
"ENSG00000115607",2,"IL18RAP"
"ENSG00000116690",2,"PRG4"
"ENSG00000116701",2,"NCF2"
"ENSG00000116852",2,"KIF21B"
"ENSG00000117407",2,"ARTN"
"ENSG00000118308",2,"IRAG2"
"ENSG00000120563",2,"LYZL1"
"ENSG00000120913",2,"PDLIM2"
"ENSG00000121057",2,"AKAP1"
"ENSG00000121335",2,"PRB2"
"ENSG00000121380",2,"BCL2L14"
"ENSG00000121742",2,"GJB6"
"ENSG00000122133",2,"PAEP"
"ENSG00000122304",2,"PRM2"
"ENSG00000123106",2,"CCDC91"
"ENSG00000123983",2,"ACSL3"
"ENSG00000124313",2,"IQSEC2"
"ENSG00000124486",2,"USP9X"
"ENSG00000125375",2,"DMAC2L"
"ENSG00000125815",2,"CST8"
"ENSG00000125823",2,"CSTL1"
"ENSG00000125952",2,"MAX"
"ENSG00000126091",2,"ST3GAL3"
"ENSG00000126251",2,"GPR42"
"ENSG00000127616",2,"SMARCA4"
"ENSG00000129993",2,"CBFA2T3"
"ENSG00000130475",2,"FCHO1"
"ENSG00000130844",2,"ZNF331"
"ENSG00000131018",2,"SYNE1"
"ENSG00000131196",2,"NFATC1"
"ENSG00000131323",2,"TRAF3"
"ENSG00000131374",2,"TBC1D5"
"ENSG00000131808",2,"FSHB"
"ENSG00000132639",2,"SNAP25"
