"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000000003",4,4,1
"ENSG00000000005",2,2,1
"ENSG00000000419",16,16,1
"ENSG00000000457",5,5,1
"ENSG00000000460",8,9,0.889
"ENSG00000000938",5,7,0.714
"ENSG00000000971",22,39,0.564
"ENSG00000001036",3,3,1
"ENSG00000001084",13,14,0.929
"ENSG00000001167",2,2,1
"ENSG00000001460",10,12,0.833
"ENSG00000001461",7,7,1
"ENSG00000001497",23,24,0.958
"ENSG00000001561",1,1,1
"ENSG00000001617",9,9,1
"ENSG00000001626",19,38,0.5
"ENSG00000001629",7,7,1
"ENSG00000001630",5,5,1
"ENSG00000001631",61,70,0.871
"ENSG00000002016",19,19,1
"ENSG00000002079",3,5,0.6
"ENSG00000002330",7,7,1
"ENSG00000002549",10,11,0.909
"ENSG00000002586",14,15,0.933
"ENSG00000002587",3,3,1
"ENSG00000002726",6,7,0.857
"ENSG00000002745",2,2,1
"ENSG00000002746",9,11,0.818
"ENSG00000002822",21,23,0.913
"ENSG00000002834",8,8,1
"ENSG00000002919",10,13,0.769
"ENSG00000002933",11,11,1
"ENSG00000003056",13,13,1
"ENSG00000003096",7,8,0.875
"ENSG00000003137",4,5,0.8
"ENSG00000003147",18,19,0.947
"ENSG00000003249",5,7,0.714
"ENSG00000003393",64,75,0.853
"ENSG00000003400",10,15,0.667
"ENSG00000003402",23,24,0.958
"ENSG00000003436",12,12,1
"ENSG00000003509",13,13,1
"ENSG00000003756",25,26,0.962
"ENSG00000003987",9,9,1
"ENSG00000003989",4,6,0.667
"ENSG00000004059",6,6,1
"ENSG00000004139",7,8,0.875
"ENSG00000004142",2,2,1
"ENSG00000004399",15,17,0.882
"ENSG00000004455",21,24,0.875
"ENSG00000004468",3,5,0.6
"ENSG00000004478",7,8,0.875
"ENSG00000004487",32,36,0.889
"ENSG00000004534",20,20,1
"ENSG00000004660",4,4,1
"ENSG00000004700",8,8,1
"ENSG00000004766",18,21,0.857
"ENSG00000004776",2,3,0.667
"ENSG00000004777",12,12,1
"ENSG00000004779",5,5,1
"ENSG00000004799",5,5,1
"ENSG00000004809",6,8,0.75
"ENSG00000004838",8,9,0.889
"ENSG00000004846",6,6,1
"ENSG00000004848",1,5,0.2
"ENSG00000004864",8,8,1
"ENSG00000004866",27,28,0.964
"ENSG00000004897",17,19,0.895
"ENSG00000004939",2,4,0.5
"ENSG00000004948",4,5,0.8
"ENSG00000004961",3,3,1
"ENSG00000004975",15,15,1
"ENSG00000005001",6,8,0.75
"ENSG00000005007",11,17,0.647
"ENSG00000005020",8,9,0.889
"ENSG00000005022",4,4,1
"ENSG00000005059",5,5,1
"ENSG00000005073",2,2,1
"ENSG00000005075",1,1,1
"ENSG00000005100",4,5,0.8
"ENSG00000005102",3,3,1
"ENSG00000005108",4,4,1
"ENSG00000005156",14,16,0.875
"ENSG00000005175",7,7,1
"ENSG00000005187",12,15,0.8
"ENSG00000005189",18,19,0.947
"ENSG00000005194",14,15,0.933
"ENSG00000005206",14,14,1
"ENSG00000005238",9,9,1
"ENSG00000005243",10,10,1
"ENSG00000005249",14,17,0.824
"ENSG00000005302",41,50,0.82
"ENSG00000005339",13,20,0.65
"ENSG00000005379",11,11,1
"ENSG00000005381",6,7,0.857
"ENSG00000005421",4,4,1
"ENSG00000005436",11,11,1
"ENSG00000005448",12,12,1
"ENSG00000005469",7,7,1
"ENSG00000005471",11,12,0.917
"ENSG00000005483",23,23,1
"ENSG00000005486",9,9,1
"ENSG00000005513",2,2,1
"ENSG00000005700",9,10,0.9
"ENSG00000005801",29,31,0.935
"ENSG00000005810",27,29,0.931
"ENSG00000005812",6,6,1
"ENSG00000005844",8,22,0.364
"ENSG00000005882",13,16,0.812
"ENSG00000005884",15,16,0.938
"ENSG00000005889",11,11,1
"ENSG00000005893",5,5,1
"ENSG00000005961",10,10,1
"ENSG00000005981",3,3,1
"ENSG00000006007",5,5,1
"ENSG00000006015",8,8,1
"ENSG00000006016",6,6,1
"ENSG00000006025",9,10,0.9
"ENSG00000006042",9,9,1
"ENSG00000006047",6,7,0.857
"ENSG00000006059",1,1,1
"ENSG00000006062",6,6,1
"ENSG00000006071",83,100,0.83
"ENSG00000006116",1,1,1
"ENSG00000006118",14,14,1
"ENSG00000006125",18,22,0.818
"ENSG00000006128",5,5,1
"ENSG00000006194",7,7,1
"ENSG00000006210",4,4,1
"ENSG00000006282",23,27,0.852
"ENSG00000006283",18,34,0.529
"ENSG00000006327",7,7,1
"ENSG00000006377",3,3,1
"ENSG00000006432",6,6,1
"ENSG00000006451",5,5,1
"ENSG00000006453",5,5,1
"ENSG00000006459",3,3,1
"ENSG00000006468",21,21,1
"ENSG00000006530",23,25,0.92
"ENSG00000006534",8,9,0.889
"ENSG00000006555",4,5,0.8
"ENSG00000006576",12,12,1
"ENSG00000006606",2,2,1
"ENSG00000006607",22,23,0.957
"ENSG00000006611",9,11,0.818
"ENSG00000006625",8,8,1
"ENSG00000006634",7,8,0.875
"ENSG00000006638",3,4,0.75
"ENSG00000006652",21,22,0.955
"ENSG00000006659",3,3,1
"ENSG00000006695",7,7,1
"ENSG00000006704",7,7,1
"ENSG00000006712",8,8,1
"ENSG00000006715",13,14,0.929
"ENSG00000006740",10,11,0.909
"ENSG00000006744",20,21,0.952
"ENSG00000006747",4,10,0.4
"ENSG00000006756",7,7,1
"ENSG00000006757",4,4,1
"ENSG00000006788",1,3,0.333
"ENSG00000006831",6,7,0.857
"ENSG00000006837",9,10,0.9
"ENSG00000007001",3,4,0.75
"ENSG00000007038",6,10,0.6
"ENSG00000007047",8,9,0.889
"ENSG00000007062",20,22,0.909
"ENSG00000007080",4,4,1
"ENSG00000007129",7,7,1
"ENSG00000007168",27,30,0.9
