"n_detected_isoforms","n_genes"
"1",23903
"2",3935
"3",2711
"4",2139
"5",1765
"6",1513
"7",1358
"8",1144
"9",979
"10",812
"11",689
"12",597
"13",510
"14",442
"15",376
"16",329
"17",251
"18",254
"19",214
"20",173
"21",165
"22",137
"23",126
"24",100
"25",71
"26",82
"27",72
"28",60
"29",51
"30",37
"31",51
"32",47
"33",31
"34",26
"35",17
"36",20
"37",22
"38",29
"39",22
"40",24
"41",13
"42",11
"43",13
"44",8
"45",19
"46",14
"47",12
"48",8
"49",6
"50",5
"51",7
"52",10
"53",12
"54",9
"55",5
"56",5
"57",7
"58",6
"59",1
"60",5
"61",7
"62",6
"63",2
"64",1
"65",3
"66",5
"67",1
"68",6
"69",1
"70",2
"72",3
"73",2
"74",3
"75",3
"76",2
"77",1
"78",3
"79",2
"81",1
"83",2
"86",1
"87",2
"89",1
"91",2
"95",1
"100",1
"101",1
"102",1
"104",1
"115",1
"120",1
"134",1
"160",1
"165",1
"243",1
