"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000641515",3,0,1,2,0,11,8
"ENST00000616016",108,102,28,57,36,175,288
"ENST00000618323",116,113,35,39,28,182,308
"ENST00000437963",8,3,0,1,0,2,2
"ENST00000342066",57,61,40,44,22,189,305
"ENST00000622503",2,4,5,1,2,18,11
"ENST00000617307",5,2,4,0,0,16,15
"ENST00000341065",70,91,36,55,52,208,412
"ENST00000455979",12,12,0,5,2,39,31
"ENST00000478729",0,2,0,0,0,9,6
"ENST00000474461",4,2,0,0,0,11,4
"ENST00000327044",391,358,128,187,138,429,370
"ENST00000483767",43,63,39,49,31,69,75
"ENST00000477976",78,71,45,40,58,116,89
"ENST00000487214",14,7,7,6,2,22,21
"ENST00000469563",23,33,20,26,15,44,40
"ENST00000338591",110,83,45,48,31,113,113
"ENST00000463212",0,3,2,1,2,2,8
"ENST00000379410",3,1,2,4,4,5,8
"ENST00000428771",259,385,258,537,415,523,628
"ENST00000304952",438,378,263,372,318,641,544
"ENST00000481869",695,481,320,583,506,685,365
"ENST00000484667",6,5,7,11,8,19,13
"ENST00000624697",18,19,27,23,22,34,21
"ENST00000649529",32,50,15,44,52,43,203
"ENST00000379370",179,248,57,76,82,172,142
"ENST00000620552",132,196,80,95,83,141,181
"ENST00000651234",98,122,51,62,47,62,67
"ENST00000652369",90,157,65,52,52,114,49
"ENST00000479707",2,11,3,2,3,7,5
"ENST00000492947",10,9,6,6,3,17,3
"ENST00000461111",17,21,10,12,12,35,26
"ENST00000453464",3,0,2,2,3,2,6
"ENST00000379339",30,47,15,25,22,22,49
"ENST00000465822",14,12,3,9,4,17,7
"ENST00000421241",74,51,18,22,14,32,20
"ENST00000379325",11,19,7,8,9,28,18
"ENST00000487177",24,20,7,8,7,12,12
"ENST00000477196",9,13,7,4,4,14,7
"ENST00000379320",1,3,0,2,4,8,0
"ENST00000379319",4,6,4,5,4,9,5
"ENST00000442117",6,3,2,0,2,2,0
"ENST00000480643",12,5,6,5,5,15,5
"ENST00000360001",539,543,243,303,292,533,475
"ENST00000263741",75,107,77,57,57,160,148
"ENST00000465727",50,64,49,51,43,132,116
"ENST00000494748",25,32,20,21,17,50,30
"ENST00000478938",18,4,8,9,5,14,10
"ENST00000459994",0,5,0,0,0,12,0
"ENST00000379198",387,352,178,160,153,526,404
"ENST00000462849",2,9,1,6,4,8,3
"ENST00000478606",1,5,6,1,2,5,5
"ENST00000330388",20,22,6,9,5,10,9
"ENST00000486627",2,4,1,2,4,7,8
"ENST00000450390",52,72,51,59,48,95,100
"ENST00000349431",262,299,131,148,111,376,311
"ENST00000347370",43,59,24,21,19,54,50
"ENST00000400929",6,12,1,3,9,11,6
"ENST00000464036",4,7,3,5,1,9,5
"ENST00000467339",0,1,5,4,8,15,9
"ENST00000435198",8,3,4,1,3,4,2
"ENST00000466752",1,1,2,0,1,9,2
"ENST00000477894",1,12,4,5,6,13,7
"ENST00000471154",6,2,0,4,2,3,3
"ENST00000502382",3,2,3,6,8,12,12
"ENST00000488418",0,12,0,0,0,17,12
"ENST00000379116",23,27,39,11,26,53,48
"ENST00000338555",4,3,2,0,1,10,7
"ENST00000400928",31,26,13,22,36,45,46
"ENST00000325425",0,5,2,1,3,12,5
"ENST00000492936",114,151,75,115,94,174,178
"ENST00000354700",189,178,83,114,107,334,308
"ENST00000467278",28,39,29,66,55,72,60
"ENST00000472541",4,14,5,3,4,17,11
"ENST00000478065",109,100,105,102,84,199,155
"ENST00000438966",4,5,2,4,1,16,12
"ENST00000379031",137,169,67,82,74,130,149
"ENST00000463758",6,4,1,0,2,2,6
"ENST00000493657",5,6,1,4,6,7,2
"ENST00000470030",22,26,35,18,27,39,32
"ENST00000540437",53,47,31,35,41,58,44
"ENST00000545578",32,53,24,44,41,52,59
"ENST00000620829",24,34,24,30,30,54,42
"ENST00000497304",11,17,13,17,11,20,18
"ENST00000323275",19,18,14,25,21,38,23
"ENST00000435064",168,191,79,78,87,160,147
"ENST00000411962",21,16,10,13,7,20,12
"ENST00000462432",92,107,84,63,55,159,152
"ENST00000478641",41,36,18,27,29,61,46
"ENST00000421495",0,2,2,6,5,5,1
"ENST00000458452",12,11,6,7,2,20,4
"ENST00000419704",5,1,4,9,7,7,7
"ENST00000450926",3,4,2,1,3,4,5
"ENST00000527098",3,9,2,7,1,5,1
"ENST00000533916",0,3,4,0,0,1,8
"ENST00000526113",0,7,0,0,0,6,2
"ENST00000429572",29,25,17,10,17,26,26
"ENST00000498173",8,10,3,4,3,14,11
"ENST00000496353",17,26,7,7,4,18,27
"ENST00000498476",4,5,1,3,0,1,1
"ENST00000530233",15,22,8,6,6,14,15
"ENST00000464957",1,8,3,3,5,12,8
"ENST00000343938",97,160,65,59,52,181,180
"ENST00000488011",2,4,0,3,1,0,6
"ENST00000339381",11,28,4,8,5,25,18
"ENST00000378891",87,103,65,100,71,153,161
"ENST00000378888",124,134,69,85,85,238,254
"ENST00000474033",23,58,17,9,17,24,21
"ENST00000342753",30,54,24,10,15,34,23
"ENST00000309212",78,131,12,6,15,89,44
"ENST00000445648",9,17,2,2,6,20,18
"ENST00000477278",30,46,10,9,16,49,35
"ENST00000476718",4,3,0,2,3,6,4
"ENST00000338370",196,244,104,102,83,250,225
"ENST00000321751",106,153,61,65,46,98,154
"ENST00000338338",579,664,220,327,240,673,681
"ENST00000378853",240,291,73,115,65,193,223
"ENST00000496905",3,3,3,2,0,4,2
"ENST00000480479",104,97,112,133,93,179,150
"ENST00000400809",170,169,113,122,127,231,169
"ENST00000482621",106,107,95,98,95,146,100
"ENST00000463260",138,125,150,183,172,224,198
"ENST00000496007",559,374,246,225,195,644,385
"ENST00000482365",74,62,74,61,72,109,72
"ENST00000481223",122,130,52,53,45,153,126
"ENST00000418865",34,54,28,16,15,40,40
"ENST00000488340",21,19,4,0,1,20,14
"ENST00000480646",3,5,5,6,2,8,7
"ENST00000408918",55,48,14,7,10,43,28
"ENST00000473872",4,0,1,3,9,11,5
"ENST00000425598",14,15,6,1,3,2,3
"ENST00000463895",6,6,3,8,5,26,10
"ENST00000497013",3,12,4,4,2,11,1
"ENST00000344843",1368,1231,523,566,487,1315,1190
"ENST00000493287",19,23,27,11,11,66,41
"ENST00000487659",65,94,52,41,34,122,77
"ENST00000492508",3,8,6,7,7,15,10
"ENST00000482352",17,25,11,8,12,37,32
"ENST00000537107",18,18,17,22,10,22,15
"ENST00000520296",4,18,0,5,20,24,16
"ENST00000427211",24,18,19,24,25,28,24
"ENST00000378821",19,35,23,16,20,52,28
"ENST00000338660",20,17,4,18,17,197,84
"ENST00000476993",132,167,77,128,102,1958,645
"ENST00000378785",15,14,6,23,22,110,94
"ENST00000673477",53,59,27,27,26,67,66
"ENST00000308647",6,7,4,4,6,12,4
"ENST00000472194",66,64,25,28,31,172,113
"ENST00000378736",2,6,3,4,3,8,1
"ENST00000485748",28,33,18,20,16,44,48
"ENST00000474481",19,15,16,10,7,43,36
"ENST00000378756",146,189,33,36,25,89,71
"ENST00000672388",13,17,6,0,0,10,11
"ENST00000378755",24,43,11,16,12,28,25
"ENST00000339113",7,8,7,3,4,17,4
"ENST00000536055",38,71,18,16,20,43,35
"ENST00000378733",104,95,67,82,93,143,95
"ENST00000624426",13,24,16,12,14,33,21
"ENST00000291386",876,925,348,410,361,836,750
"ENST00000378726",37,33,35,28,22,88,71
"ENST00000359060",283,246,118,105,86,278,206
"ENST00000422725",204,312,86,104,78,176,165
"ENST00000479659",17,16,10,11,8,49,32
"ENST00000489635",11,17,8,8,3,19,13
