"","D0_1","D0_2","D0_3","D10_3","D10_4","D10_5","D10_6","D25_1","D25_2","D25_3","D25_4","D65_2","D65_3","D65_5","D65_6","D100_3","D100_4","D100_5","D100_6","D180_1","D180_2","D180_3","D180_4","D180_5","D180_6","D280_A2","D280_B1","D280_C1"
"ENST00000616016",0,0,0,3,0,0,3,10,0,14,0,9,0,0,0,27,0,42,66,0,0,0,19,0,14,0,0,0
"ENST00000618323",0,0,0,0,0,0,0,0,21,0,4,0,34,32,19,0,34,0,0,68,70,81,0,83,0,19,39,64
"ENST00000437963",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,1,0,1,1,5
"ENST00000342066",0,0,0,1,9,1,0,0,0,0,4,0,21,0,0,0,0,25,0,0,26,14,14,0,5,62,16,37
"ENST00000341065",0,1,0,0,0,0,0,0,0,0,9,41,0,72,24,34,34,0,0,79,60,109,44,57,67,91,94,83
"ENST00000455979",0,0,0,0,0,5,2,3,8,14,0,6,16,1,3,7,8,5,8,38,18,29,22,48,27,64,28,70
"ENST00000327044",4985,4329,3594,3275,2152,3335,3736,3375,3831,2628,3277,1794,1897,1886,2202,1877,2113,2614,2147,1869,1666,1942,2217,1872,2091,2334,2653,3207
"ENST00000483767",355,256,231,158,175,208,230,197,246,132,176,153,174,157,177,105,162,160,162,124,117,153,134,156,121,168,182,205
"ENST00000477976",40,46,41,80,6,40,44,34,47,36,30,16,25,27,36,2,33,24,44,71,54,56,110,75,38,80,28,53
"ENST00000487214",141,185,156,210,61,183,131,187,209,97,199,80,62,62,92,90,103,106,162,77,95,84,160,89,129,97,105,157
"ENST00000469563",57,28,27,17,4,28,33,18,28,16,21,7,18,6,20,8,2,31,12,21,27,45,27,48,54,69,40,96
"ENST00000338591",52,31,40,25,39,40,40,32,33,29,32,51,51,70,59,61,33,51,36,49,33,39,29,43,45,55,145,152
"ENST00000463212",2,0,1,0,2,0,1,0,1,0,1,2,0,0,1,0,2,0,0,0,2,0,4,0,0,0,0,2
"ENST00000466300",5,8,3,1,5,4,3,0,8,2,6,9,4,6,9,6,8,3,0,4,2,4,0,8,4,0,14,22
"ENST00000481067",3,0,5,0,2,0,0,2,5,0,0,10,1,3,3,3,1,0,0,1,1,3,1,1,2,1,5,0
"ENST00000379410",12,14,8,4,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0
"ENST00000379409",9,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
"ENST00000341290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,9,0,26
"ENST00000479361",0,0,0,3,0,0,0,3,0,3,2,3,2,2,2,0,0,0,0,0,0,0,8,0,7,0,6,11
"ENST00000428771",0,0,0,0,3,0,0,5,10,17,9,32,15,21,26,16,3,0,6,3,13,2,0,4,10,10,71,55
"ENST00000304952",0,0,0,0,2,0,0,21,21,8,21,15,24,28,27,10,13,11,7,14,7,6,0,8,6,46,198,128
"ENST00000481869",0,0,0,0,0,0,0,0,13,7,15,4,18,5,9,5,4,16,9,2,6,4,0,6,0,6,31,24
