platform,sample,stage,isoforms_per_gene_bin,n_genes
LR-salmon,EP1-BRN3B-RO,D200,1,3576
LR-salmon,EP1-BRN3B-RO,D200,2,2338
LR-salmon,EP1-BRN3B-RO,D200,3,1883
LR-salmon,EP1-BRN3B-RO,D200,4,1650
LR-salmon,EP1-BRN3B-RO,D200,5,1417
LR-salmon,EP1-BRN3B-RO,D200,6,1220
LR-salmon,EP1-BRN3B-RO,D200,7,1025
LR-salmon,EP1-BRN3B-RO,D200,8,803
LR-salmon,EP1-BRN3B-RO,D200,9,636
LR-salmon,EP1-BRN3B-RO,D200,10,516
LR-salmon,EP1-BRN3B-RO,D200,10+,2473
LR-salmon,EP1-WT_ROs_D45,D45,1,3365
LR-salmon,EP1-WT_ROs_D45,D45,2,2248
LR-salmon,EP1-WT_ROs_D45,D45,3,1874
LR-salmon,EP1-WT_ROs_D45,D45,4,1632
LR-salmon,EP1-WT_ROs_D45,D45,5,1387
LR-salmon,EP1-WT_ROs_D45,D45,6,1222
LR-salmon,EP1-WT_ROs_D45,D45,7,987
LR-salmon,EP1-WT_ROs_D45,D45,8,781
LR-salmon,EP1-WT_ROs_D45,D45,9,622
LR-salmon,EP1-WT_ROs_D45,D45,10,492
LR-salmon,EP1-WT_ROs_D45,D45,10+,2354
LR-salmon,EP1-WT_hRO_2,D100,1,3537
LR-salmon,EP1-WT_hRO_2,D100,2,2308
LR-salmon,EP1-WT_hRO_2,D100,3,1876
LR-salmon,EP1-WT_hRO_2,D100,4,1704
LR-salmon,EP1-WT_hRO_2,D100,5,1439
LR-salmon,EP1-WT_hRO_2,D100,6,1191
LR-salmon,EP1-WT_hRO_2,D100,7,962
LR-salmon,EP1-WT_hRO_2,D100,8,779
LR-salmon,EP1-WT_hRO_2,D100,9,618
LR-salmon,EP1-WT_hRO_2,D100,10,463
LR-salmon,EP1-WT_hRO_2,D100,10+,2266
LR-salmon,H9-BRN3B-RO,D200,1,3580
LR-salmon,H9-BRN3B-RO,D200,2,2347
LR-salmon,H9-BRN3B-RO,D200,3,1868
LR-salmon,H9-BRN3B-RO,D200,4,1687
LR-salmon,H9-BRN3B-RO,D200,5,1417
LR-salmon,H9-BRN3B-RO,D200,6,1223
LR-salmon,H9-BRN3B-RO,D200,7,1017
LR-salmon,H9-BRN3B-RO,D200,8,807
LR-salmon,H9-BRN3B-RO,D200,9,648
