"sample","day","isoforms_detected_ge1"
"D0_1","D0",95321
"D0_2","D0",89967
"D0_3","D0",91087
"D10_3","D10",95667
"D10_4","D10",86417
"D10_5","D10",92666
"D10_6","D10",93391
"D25_1","D25",97217
"D25_2","D25",102150
"D25_3","D25",96065
"D25_4","D25",96431
"D65_2","D65",98966
"D65_3","D65",96807
"D65_5","D65",96884
"D65_6","D65",98178
"D100_3","D100",101056
"D100_4","D100",96575
"D100_5","D100",104008
"D100_6","D100",102744
"D180_1","D180",111252
"D180_2","D180",104828
"D180_3","D180",106930
"D180_4","D180",108115
"D180_5","D180",109400
"D180_6","D180",104370
"D280_A2","D280",107375
"D280_B1","D280",103946
"D280_C1","D280",107400
