sample,raw_read_pairs,raw_reads_R1R2,mapped_reads,pct_reads_mapped_overall,star_unique_pct,alignment_records_incl_multimap,reads_in_bam
D0-1,31056050,62112100,53710038,86.47,78.62,76557792,53710038
D0-2,26120788,52241576,46475604,88.96,80.9,66414084,46475604
D0-3,25616529,51233058,43517920,84.94,76.19,65124682,43517920
D100-3,28133769,56267538,48044658,85.39,71.98,86891910,48044658
D100-4,25611292,51222584,44441410,86.76,75.63,73179032,44441410
D100-5,26135185,52270370,45524106,87.09,78.94,66297144,45524106
D100-6,26357000,52714000,46493840,88.2,78.03,73323132,46493840
D10-3,30748541,61497082,53826708,87.53,78.94,79322086,53826708
D10-4,27268141,54536282,47391620,86.9,75.29,78827494,47391620
D10-5,28090186,56180372,48659766,86.61,77.2,74715848,48659766
D10-6,28317833,56635666,49488538,87.38,79.35,71245112,49488538
D180-1,28416028,56832056,50239520,88.4,81.13,69805204,50239520
D180-2,25883024,51766048,43549734,84.13,77.77,59102572,43549734
D180-3,27281872,54563744,47087894,86.3,78.84,66729136,47087894
D180-4,28193122,56386244,47284064,83.86,81.77,50394776,47284064
D180-5,28147859,56295718,47357882,84.12,77.57,64797538,47357882
D180-6,26692684,53385368,43230996,80.98,78.83,46380808,43230996
D25-1,30716601,61433202,51910386,84.5,75.78,78243456,51910386
D25-2,30749846,61499692,52607152,85.54,76.67,79588516,52607152
D25-3,27145422,54290844,46983462,86.54,77.29,71805688,46983462
D25-4,28514634,57029268,49911432,87.52,77.98,77072552,49911432
D280-A2,28541519,57083038,49045952,85.92,83.9,51969414,49045952
D280-B1,27551591,55103182,48432286,87.89,85.96,50953966,48432286
D280-C1,30362824,60725648,53730134,88.48,86.7,56051698,53730134
D65-2,27136267,54272534,47664200,87.82,74.71,83727482,47664200
D65-3,28048477,56096954,46950330,83.69,68.01,92353868,46950330
D65-5,25972861,51945722,43832376,84.38,70.92,79493790,43832376
D65-6,28601231,57202462,48987546,85.64,72.45,87606926,48987546
TOTAL,781411176,1562822352,1346379554,86.15,,1977975706,1346379554
