platform,sample,junctions_0,junctions_1,junctions_2,junctions_3,junctions_4,junctions_5,junctions_6,junctions_7,junctions_8,junctions_9,junctions_10
Short read,D0-1,0.4974242006817556,0.3907848335345442,0.1065849378900918,0.0051061271095077,9.771156305783084e-05,1.9682904788627795e-06,2.2093056395398545e-07,0.0,0.0,0.0,0.0
Short read,D0-2,0.4908384580356185,0.394482933387068,0.1092631331286247,0.0053034803700348,0.0001092751010301,2.583978742468212e-06,1.359988811825375e-07,0.0,0.0,0.0,0.0
Short read,D0-3,0.4925073444189194,0.3946066884083747,0.1076154958511364,0.0051547126421141,0.0001138219190524,1.8374393564314028e-06,9.932104629358935e-08,0.0,0.0,0.0,0.0
Short read,D10-3,0.503757380394179,0.3846390682433728,0.1062582524506174,0.0052167843232506,0.0001250857450331,3.007421434946122e-06,2.873332581158716e-07,5.7466651623174314e-08,7.662220216423241e-08,0.0,0.0
Short read,D10-4,0.459443292057398,0.4178204466349134,0.1170078380246752,0.0055948143765682,0.0001304622794518,2.8565124477997457e-06,2.4548153848279064e-07,4.4633006996871026e-08,0.0,0.0,0.0
Short read,D10-5,0.4868001590062231,0.3981034192844788,0.109597791823765,0.0053590542366014,0.0001348453593419,4.237997007888497e-06,4.066764805549567e-07,4.2808050584732286e-08,4.2808050584732286e-08,0.0,0.0
Short read,D10-6,0.493805545539438,0.3927624423239632,0.1079868499867292,0.0053154592835885,0.0001263846433141,3.0260523911093828e-06,2.9217057569331973e-07,0.0,0.0,0.0,0.0
Short read,D100-3,0.5274338143695408,0.3660636370884902,0.1008972256127584,0.0054325033046248,0.0001687928967201,3.461573077269234e-06,3.767698587503929e-07,1.1774058085949777e-07,7.064434851569867e-08,0.0,0.0
Short read,D100-4,0.5161332643853442,0.3754798108636609,0.1026451959990196,0.0055661675043804,0.0001703301886361,4.0713430573619915e-06,7.895938050641438e-07,2.960976768990539e-07,7.402441922476347e-08,0.0,0.0
Short read,D100-5,0.5433081446094671,0.3554670571631603,0.0957758681784895,0.0052744062596455,0.0001693818405077,4.188012540026348e-06,5.118681993365537e-07,1.1633368166739858e-07,3.2573430866871594e-07,0.0,0.0
Short read,D100-6,0.5349696761960159,0.361038961038961,0.0983548860275066,0.005448959642508,0.0001800385698012,6.462923018508196e-06,6.924560376973067e-07,2.3081867923243558e-07,9.232747169297424e-08,0.0,0.0
Short read,D180-1,0.5805958391934014,0.3249412690145327,0.0889172496950985,0.0052984778363153,0.0002377327206638,6.122227711543961e-06,2.130369778003473e-06,1.013476884681264e-06,1.654656138255125e-07,0.0,0.0
