"","H9_CRX_ROs_D45","EP1_WT_ROs_D45","EP1_WT_hRO_2","H9_BRN3B_hRO_2","H9_CRX_hRO_2","EP1_BRN3B_RO","H9_BRN3B_RO"
"D0_1",0.672227851292299,0.657953298243917,0.5551462867197,0.586241017691077,0.566844153964976,0.421852096531397,0.313211518982323
"D0_2",0.670229479259982,0.656956709035263,0.554926933970351,0.585366541298487,0.566643636401823,0.423149704530018,0.31729965216481
"D0_3",0.675391905693611,0.661060300937785,0.556584473281002,0.588204545298678,0.569036408005871,0.423730263279634,0.315980307325647
"D10_3",0.740838550491263,0.730761836439251,0.618787883288772,0.651642756728792,0.630504652017649,0.462165319877368,0.340971598357257
"D10_4",0.747774502765982,0.734164978156777,0.614563480456734,0.648645067497564,0.629389927591014,0.446435117052346,0.319787816859042
"D10_5",0.743026316063348,0.730938382930509,0.616728010926272,0.649720900294192,0.6290427054185,0.456869111842109,0.333481082742009
"D10_6",0.73613507667334,0.725132664478033,0.613153124436508,0.646046599652118,0.625503595244098,0.45468623634664,0.332356505625634
"D25_1",0.811939599830964,0.807052065677377,0.69205587154263,0.726927200991296,0.705092647076327,0.51596955628627,0.388634154188649
"D25_2",0.812797023773641,0.806930883899226,0.701455840780701,0.734635106856483,0.712399582866977,0.524717613549834,0.397119219039451
"D25_3",0.81352523089407,0.809089192157669,0.697284838440581,0.73098646390405,0.710112515114482,0.51865016640166,0.391810458340355
"D25_4",0.818955384281132,0.812957855814171,0.694815065917671,0.729619653975808,0.707233551448642,0.516593985161528,0.384962910573661
"D65_2",0.789800341809516,0.789522028197803,0.804379192901988,0.822178359828554,0.805362436985174,0.63378312523719,0.519118860054254
"D65_3",0.771943873603807,0.766895183393054,0.788883501793446,0.804498344495911,0.788610717320329,0.630461245839456,0.512368877003281
"D65_5",0.785633522940356,0.783143430791348,0.810179289234733,0.824401577514418,0.808310074364032,0.634244520810815,0.520104823482002
"D65_6",0.764415082211337,0.76084010638481,0.782906972760596,0.799791345996476,0.784624260642049,0.628078129734169,0.512188370695134
"D100_3",0.765860827409628,0.759378031404758,0.825107709206029,0.829271289754851,0.825526895613346,0.669338617170278,0.554648042063373
"D100_4",0.750882892159788,0.745392111895181,0.801511813007802,0.81011078336536,0.805741865142114,0.663481736453509,0.550628795110626
"D100_5",0.709860437474353,0.701398284520132,0.785270085939866,0.787930922435401,0.782823696504809,0.68812338548043,0.581145028091725
"D100_6",0.747604046797643,0.739798835322539,0.814303764827938,0.815062995380719,0.810826567381631,0.683492436975618,0.57321493857587
"D180_1",0.596384726783709,0.581914189929551,0.734877446213748,0.71596883204598,0.721817093261227,0.718181278922028,0.645225185287895
"D180_2",0.598307864290252,0.583530198715975,0.703444013127817,0.69146493552697,0.695762767981627,0.689523392845433,0.616420641003387
"D180_3",0.604019026952425,0.589059185748528,0.736971158250824,0.719711492972047,0.721813998886846,0.707480058520709,0.642787533872671
"D180_4",0.554872740621511,0.541684738337193,0.690166533701255,0.671238027063521,0.6786104366231,0.690476635628412,0.62721191151124
"D180_5",0.583653067097474,0.568829707118271,0.718482461103518,0.701519066990311,0.70602701000726,0.689772963519191,0.625119323201706
"D180_6",0.593651092579664,0.580426872248563,0.696052668993706,0.685288372549473,0.692025731703841,0.671634538632442,0.588641637493356
"D280_A2",0.563815527863712,0.546501284906508,0.66276912532104,0.648682886490267,0.654967239729978,0.665103995453607,0.58815605921153
"D280_B1",0.56038591984933,0.538474775210786,0.663696384815278,0.649837120168316,0.652796380908262,0.689492778750462,0.610528875219631
"D280_C1",0.53572688243984,0.51539291141894,0.625209470183708,0.615335995723701,0.620059527003787,0.64939460297465,0.574246638103138
