"","LR__EP1_BRN3B_RO","LR__H9_BRN3B_RO","SR__D180_1","SR__D180_2","SR__D180_3","SR__D180_4","SR__D180_5","SR__D180_6","SR__D280_A2","SR__D280_B1","SR__D280_C1"
"ENSG00000000003",1354.99999,448,2893,2353,2439,2927,2037,3073,3400,2878,2724
"ENSG00000000419",803,800.00001,619,418,540,588,470,566,777,590,776
"ENSG00000000457",484.00001,519,405,375,391,427,366,351,313,437,406
"ENSG00000000460",1005.99999,930.99999,155,195,113,148,172,166,193,209,227
"ENSG00000000971",330.99997,461,263,175,40,154,122,259,330,46,212
"ENSG00000001036",444,220,1395,1674,1073,1917,1308,2344,2681,1933,2600
"ENSG00000001084",434,455,345,333,332,263,248,226,288,296,525
"ENSG00000001167",381,358,985,889,1013,814,895,643,641,721,988
"ENSG00000001460",285,452,589,455,508,612,525,524,622,607,591
"ENSG00000001461",813,868.99999,2314,2474,2998,2622,2986,1706,2301,2355,2117
"ENSG00000001497",921.00001,629.00001,1379,1136,1278,1416,1349,1391,1561,1587,1651
"ENSG00000001561",215,137,794,827,824,776,846,518,721,497,828
"ENSG00000001617",1048.00001,896,112,135,129,35,137,31,16,24,19
"ENSG00000001629",1353,1237,878,816,886,520,718,510,503,449,749
"ENSG00000001630",1328,891,1980,1823,1867,2072,1654,2118,2891,2383,3700
"ENSG00000001631",2311.99998,1897.00001,1028,814,974,872,962,815,808,632,936
"ENSG00000002016",902,661.99999,301,307,406,321,461,301,249,177,286
"ENSG00000002330",1412.00001,1460,2193,2017,2046,3374,2028,3792,4009,4026,4005
"ENSG00000002549",978,819.99999,1315,1174,972,1449,921,1494,1892,2194,2087
"ENSG00000002587",146,62,286,89,34,287,35,112,231,430,596
"ENSG00000002745",21,60,13,39,12,28,19,15,35,1,20
"ENSG00000002746",200,420,110,84,38,110,65,55,66,99,64
"ENSG00000002822",629,581,782,734,665,970,615,897,930,973,730
"ENSG00000002834",957,885,2009,2082,2276,1099,2135,917,871,1002,1063
"ENSG00000002919",331,338,1066,1074,1046,1494,1105,1283,1653,1651,1988
"ENSG00000002933",182,182.00001,1757,1745,2007,1764,2237,2407,2557,2124,2757
"ENSG00000003056",533,532,2523,2092,2512,2838,2320,2391,2814,3644,4714
"ENSG00000003096",181,403,1183,1108,1627,1118,1271,932,1043,1100,1464
"ENSG00000003137",2457,1596,196,107,229,121,130,55,110,172,133
"ENSG00000003147",145,831,161,69,166,155,91,151,133,121,121
"ENSG00000003249",167,79,414,399,446,431,304,306,535,808,939
"ENSG00000003393",1393.99998,1793.99998,1134,1032,1342,1050,1334,627,623,899,1069
"ENSG00000003402",437.00001,479.00001,419,720,373,496,393,453,475,406,477
"ENSG00000003436",239,263,374,152,178,305,189,103,156,161,143
"ENSG00000003509",480.00001,418,400,300,345,462,341,316,390,316,482
"ENSG00000003756",2804.00001,2003,3890,2911,3459,4122,3984,3149,2844,3492,4038
"ENSG00000003987",1016,1335,245,209,309,316,233,174,158,249,87
"ENSG00000003989",206,346,285,423,203,166,288,192,304,93,243
"ENSG00000004059",1413,1184,2550,2264,2161,2777,1894,3356,3808,3884,3433
"ENSG00000004139",721,764,541,556,348,284,266,278,331,801,450
"ENSG00000004142",717,819,3610,3571,3200,4051,2699,3733,4888,5158,6560
"ENSG00000004399",270,178,207,192,151,153,232,109,185,222,436
"ENSG00000004455",1204.00002,1101,3551,2679,3004,3828,3021,2986,3240,3229,4454
"ENSG00000004478",643,786,2879,2508,3179,2804,2589,2535,2345,1946,2894
"ENSG00000004487",9053.99999,6350.99999,2890,2367,2148,2055,1565,1617,2835,4334,3840
"ENSG00000004534",5322,3103,2445,1890,2326,1924,2377,1755,1765,1863,2094
"ENSG00000004660",376,501,223,144,275,154,245,132,135,206,130
"ENSG00000004700",365,346.99999,535,506,482,498,440,351,498,674,745
"ENSG00000004766",768.00001,1143,427,466,302,470,342,326,401,371,563
"ENSG00000004776",32,20,60,21,14,20,6,7,22,23,118
"ENSG00000004777",598.99999,409,320,217,229,85,248,117,71,61,84
"ENSG00000004779",1813,1782,1863,1483,1628,2364,1500,2664,3104,2231,2586
"ENSG00000004799",55,43,142,98,146,94,112,83,114,141,224
"ENSG00000004838",47.00001,54,368,112,85,296,72,257,298,512,423
"ENSG00000004846",55.99999,162,78,418,60,369,339,214,345,29,158
"ENSG00000004864",1587,2064,991,816,474,1045,667,923,1031,776,1143
"ENSG00000004866",779.99999,692.99998,441,458,500,519,367,434,626,786,912
"ENSG00000004897",1692.99999,1306,1250,1122,1220,1277,1181,1070,1432,1181,1452
"ENSG00000004961",198,246,738,721,768,1154,790,852,1081,972,1243
"ENSG00000004975",454.00001,347,1017,1013,1132,804,1005,622,573,760,934
"ENSG00000005007",741,874.00001,271,241,246,129,221,214,281,491,359
"ENSG00000005020",155,218,100,67,36,98,35,76,70,136,331
"ENSG00000005022",2029,2129,3540,2961,2675,4324,2985,4432,4517,4147,4505
"ENSG00000005059",1007,460,674,468,235,554,171,370,734,1292,1293
"ENSG00000005075",1280,1182,1040,944,902,1442,899,1656,1705,1584,1701
"ENSG00000005100",336,429.99999,194,169,162,137,194,187,147,147,159
"ENSG00000005108",1305,1480,480,229,396,350,337,333,287,424,140
"ENSG00000005156",458.00001,384.99999,1698,1368,1639,1246,1616,1016,1116,935,1311
"ENSG00000005175",755.00001,705,654,555,574,594,618,497,633,720,708
"ENSG00000005187",57,120,16,22,23,43,52,23,37,20,20
"ENSG00000005189",313,251.00001,180,188,228,281,200,222,214,256,141
"ENSG00000005194",779.99999,717,2001,1801,1612,2538,1729,2705,2967,2805,3175
"ENSG00000005206",567.99999,591,1319,1002,1182,1174,1138,1135,1127,910,1142
"ENSG00000005238",334.99999,169,531,548,670,382,549,296,426,536,648
"ENSG00000005243",210,195,253,246,183,248,100,321,604,594,571
"ENSG00000005249",635,923,154,121,154,147,114,117,103,207,165
"ENSG00000005302",357.00001,283.00002,355,277,359,446,322,359,406,454,534
"ENSG00000005339",2946.00001,2048.00001,1055,809,947,700,1038,763,935,832,889
"ENSG00000005379",436.99999,517.99999,1277,1076,1757,831,1400,614,554,754,593
"ENSG00000005436",1101,1406,301,377,332,454,223,380,418,357,479
"ENSG00000005448",909.99999,855.99999,3253,2135,2920,3399,2768,3486,3297,3487,2653
"ENSG00000005469",769.99999,810.00001,1151,871,906,1037,585,875,1073,1147,725
"ENSG00000005471",335,417.00001,27,38,7,11,21,21,32,88,31
"ENSG00000005483",4937,6188.99999,5068,3999,5171,5705,5126,5185,6062,5045,5814
"ENSG00000005486",1647,1394,8457,7145,8084,9119,7371,11807,13613,11709,12821
"ENSG00000005513",737,970,81,142,52,107,33,80,109,560,128
"ENSG00000005700",2191.99999,1993,1615,1291,1547,1222,1383,1051,1318,973,1240
"ENSG00000005801",720,855.99998,951,721,725,992,762,813,1001,987,1306
"ENSG00000005810",6770,6184.00001,1545,1273,1441,1117,1329,855,968,966,1073
"ENSG00000005812",442,403.00001,755,649,653,495,485,434,828,802,1042
"ENSG00000005882",274.99999,267,2321,2354,2558,2694,2768,2709,3509,2913,3063
"ENSG00000005884",158,225.99999,529,755,824,179,694,184,220,222,236
"ENSG00000005889",1335.00001,1033,1690,1568,1532,1187,1413,1218,1134,1029,1414
"ENSG00000005893",939,1151,6962,7176,7500,7295,7247,6263,6513,5579,10149
"ENSG00000005961",105,133,262,166,364,338,357,229,204,155,257
"ENSG00000006007",397,659,1356,1191,1079,1533,1144,1436,1593,1525,1761
"ENSG00000006015",562.00001,749,1137,887,932,1519,883,1916,1979,1934,1915
"ENSG00000006016",54,46,18,5,4,25,9,9,46,63,75
"ENSG00000006025",192,160,343,278,404,326,374,189,205,272,295
"ENSG00000006042",1506.99999,884,10883,9691,4012,11092,7432,21267,16997,6097,9830
"ENSG00000006062",503,892,242,191,236,146,301,84,187,499,406
"ENSG00000006071",1116.99997,1014.99998,282,233,178,217,253,164,240,347,215
"ENSG00000006116",42,97,178,178,160,159,69,231,313,520,130
"ENSG00000006118",928,843.99999,2937,3824,1399,1691,1406,2010,1972,1952,3094
"ENSG00000006125",1952.99999,3310,5535,4591,5495,3687,4209,2905,2679,3211,3636
"ENSG00000006128",24,28,19,6,8,16,8,26,19,28,95
"ENSG00000006194",384.99999,298.99999,1293,1116,1335,1381,1297,1049,1643,2142,3270
"ENSG00000006210",57,62,377,328,553,345,327,259,436,602,482
"ENSG00000006282",266,299.00001,2009,2164,2164,2245,2259,2194,2860,2484,3127
"ENSG00000006283",528,413,80,26,79,40,73,29,30,56,74
"ENSG00000006327",844.00001,722.00001,593,504,303,710,329,866,2197,4387,3393
"ENSG00000006432",309.99999,401.00001,268,202,265,162,218,172,187,185,185
"ENSG00000006451",1154,1216,1520,1255,1227,1259,1193,1441,1461,1505,1973
"ENSG00000006453",172,296,298,294,263,294,259,277,403,239,317
"ENSG00000006459",573,578,178,140,120,104,115,65,172,177,201
"ENSG00000006468",560,585.99999,511,439,220,410,170,291,354,503,432
"ENSG00000006530",968.00001,1146.00002,1107,937,937,1137,895,1117,1278,1217,1376
"ENSG00000006534",19,51,446,647,510,657,817,468,573,392,472
"ENSG00000006576",1433,866,639,744,877,732,908,534,492,397,669
"ENSG00000006607",1351.00001,1072,1191,1107,1013,860,1128,706,789,859,1126
"ENSG00000006611",18,51,23,3,7,6,16,19,21,65,6
"ENSG00000006625",624,492.99999,374,340,273,494,241,478,545,657,606
"ENSG00000006634",487,523.00001,149,113,141,192,118,183,126,150,162
"ENSG00000006652",1366,1432,2653,2187,2414,2846,2890,2144,2412,2234,4666
"ENSG00000006695",454,428,627,631,608,851,612,648,724,843,913
"ENSG00000006704",1929.99999,1671,679,707,704,750,749,685,591,465,675
"ENSG00000006712",580,619.99999,1597,1481,1307,2072,1370,2187,2383,2606,2705
"ENSG00000006715",1477,2426,2121,2511,1921,2436,1870,1970,2114,2168,2433
"ENSG00000006740",518,690,281,335,315,92,241,150,203,237,150
"ENSG00000006744",573.99999,587,2458,2249,2238,2609,2398,2393,2884,2965,3582
"ENSG00000006747",96,136,80,150,84,162,137,93,42,14,35
"ENSG00000006756",506,420,1418,1235,1099,1193,1139,1157,843,968,1104
"ENSG00000006757",314.00001,216,445,405,398,517,387,532,598,404,630
