"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000000003",1141.00001,2523.99999,3434,3664,2772,6646,6418,4852,5561,5466,4887,6136,5604
"ENSG00000000419",1265.99999,1485,1110,1090,821,1298,1705,965,1164,878,822,917,945
"ENSG00000000457",339.99999,292.99999,247,189,218,299,209,239,290,477,492,477,351
"ENSG00000000460",541,819.00001,1172,1079,955,1147,1037,1007,1144,1331,1030,1042,1335
"ENSG00000001036",673,486,2888,2803,2304,1608,1350,1274,1419,1863,1635,1685,1617
"ENSG00000001084",212,229,485,423,394,465,272,343,404,360,307,342,401
"ENSG00000001167",512,639,1032,1091,976,1329,893,1295,1254,1312,1170,986,1086
"ENSG00000001460",90,104,341,310,270,544,421,486,525,335,282,252,318
"ENSG00000001461",174.00001,166,521,483,438,482,289,449,426,507,675,459,412
"ENSG00000001497",485.99999,535.99999,3654,3253,2815,3319,2281,3488,3786,2542,2522,1962,2330
"ENSG00000001561",89,122,111,136,108,444,212,304,298,349,306,324,349
"ENSG00000001617",695,474,228,181,187,379,265,368,409,74,70,69,100
"ENSG00000001629",767,1059,520,487,463,793,551,731,613,317,278,283,307
"ENSG00000001630",850,1277,3643,3643,3001,3272,2059,2530,2796,4189,3813,3462,4019
"ENSG00000001631",931,1722,797,626,617,1102,466,814,1001,955,954,998,968
"ENSG00000002016",319.99999,460.99999,264,239,166,358,266,348,376,329,344,348,302
"ENSG00000002330",679.00001,681,686,464,493,581,1005,550,598,1710,1866,1452,1491
"ENSG00000002549",462,497,1972,1683,1443,1780,1438,1647,1701,1267,1279,1251,1356
"ENSG00000002587",78,106,46,42,22,22,12,15,22,91,106,71,62
"ENSG00000002746",103,125,265,191,231,41,24,61,67,184,263,186,198
"ENSG00000002822",674,1066,916,764,707,1012,718,1104,1166,1438,1537,1085,1350
"ENSG00000002834",939,888,3553,3297,2813,2589,1456,2470,2563,3088,3263,2276,3014
"ENSG00000002919",162,192.99999,984,899,700,1555,1537,1463,1493,1335,1343,1164,1243
"ENSG00000002933",335,335.99999,7,9,1,9,11,7,4,783,1157,997,713
"ENSG00000003056",370,478,5016,4540,3637,4854,3327,3941,4530,3161,3102,2603,2696
"ENSG00000003096",232,386,786,720,545,1780,1431,1446,1674,1968,1784,1783,1729
"ENSG00000003147",117.99999,326,1020,932,804,316,218,265,233,59,58,64,62
"ENSG00000003249",126,186,766,550,576,620,691,741,658,119,153,149,144
"ENSG00000003393",652,705.99999,1042,1077,994,1612,837,1438,1446,1338,1366,1137,1071
