"gene","logFC","logCPM","F","PValue","FDR","median_tx_length","median_gc_pct","n_transcripts","max_tx_length"
"ENSG00000184110",-6.40662191723562,9.02932716584154,1082.61041087146,7.37594099178809e-12,9.84614362993792e-08,615,54.68,14,3957
"ENSG00000105583",-7.42630388066461,7.31746627123088,944.550979858766,1.56250041653634e-11,1.04289090301718e-07,619,55.26,3,627
"ENSG00000124593",4.26237500622391,5.23429334977164,784.850283658269,3.87157701901734e-11,1.38999713283175e-07,3043,58.6,3,3947
"ENSG00000276644",3.168403325051,6.83982945577851,773.349989681867,4.16509740903962e-11,1.38999713283175e-07,4712,43.81,4,5401
"ENSG00000120549",3.60611444413818,7.70812142978291,693.674462032478,7.28026249821476e-11,1.61572120282664e-07,3242,49.25,18,8471
"ENSG00000137177",4.21368373734529,5.33510134401161,651.090872877608,1.00986964978502e-10,1.61572120282664e-07,4009,46.4,13,6924
"ENSG00000150471",4.15946039895701,7.69165400306485,627.233485598009,1.22015496416456e-10,1.61572120282664e-07,4843,45.29,19,13738
"ENSG00000108100",3.01718236209246,5.4002896263387,626.555982437546,1.22792616171668e-10,1.61572120282664e-07,812,46.71,10,5068
"ENSG00000130396",3.11882510859614,6.57481206599356,611.513548271375,1.38964309314316e-10,1.61572120282664e-07,4686,48.65,23,8000
"ENSG00000075151",4.17546850228916,7.68935185536628,609.443202849646,1.4139816956899e-10,1.61572120282664e-07,5344,47.26,23,7832
"ENSG00000276966",5.27604219480026,4.12758484609382,609.508876374657,1.47284818756721e-10,1.61572120282664e-07,412,55.34,1,412
"ENSG00000214753",3.50273958329409,4.78078601958351,587.613688188291,1.70806900268789e-10,1.61572120282664e-07,2826,47.95,2,5214
"ENSG00000183684",4.3877856247816,4.76825499899898,580.064330886309,1.83054052983046e-10,1.61572120282664e-07,487,58.19,4,1097
"ENSG00000083535",2.97090135401678,5.8665042103235,574.815221671381,1.90851654276267e-10,1.61572120282664e-07,624,35.5,8,3080
"ENSG00000181588",5.23814043019363,3.34269636656737,583.880972785447,2.00026958933839e-10,1.61572120282664e-07,2623,65.88,2,3114
"ENSG00000198707",3.45925122027317,5.9617601738335,563.974560990265,2.10422638876551e-10,1.61572120282664e-07,4569,35.6,34,13334
"ENSG00000146872",3.09260430686824,5.65145245793109,562.990955944467,2.12347046459218e-10,1.61572120282664e-07,3572,44.11,32,6560
"ENSG00000136280",3.10774021785839,5.41066867163192,558.163454857322,2.21920838290256e-10,1.61572120282664e-07,1576,55.97,20,5304
"ENSG00000198648",3.54719647578854,4.99560710661462,550.365860608216,2.38635302150749e-10,1.61572120282664e-07,2630,39.99,4,3272
"ENSG00000148498",3.19716200162417,6.9273431236537,548.673246543109,2.4207374377506e-10,1.61572120282664e-07,5692,50.22,16,6283
"ENSG00000072518",3.41384134336277,4.4048743957854,543.120981996225,2.55719093779171e-10,1.62552103945627e-07,2822,56.94,24,5298
"ENSG00000099954",4.07090139792732,4.94893273387176,518.345385205371,3.24564725512554e-10,1.96937023675777e-07,9648,49.5,6,10090
"ENSG00000049618",2.74993068376578,6.94276124775937,496.674916591231,4.02615800782204e-10,2.33674709767028e-07,3028,51.24,37,10813
"ENSG00000173852",3.01953118112901,5.08119678084605,477.162570124593,4.94390897538492e-10,2.74984337135055e-07,4950,37.55,14,6292
"ENSG00000090905",2.63585136025372,5.9779487604521,472.930453980078,5.16963952183062e-10,2.76038071907668e-07,610,46.11,18,8491
"ENSG00000112851",3.70093488275731,6.7356979992639,465.716264780377,5.5911611858983e-10,2.84365439423337e-07,6207,36.82,30,8544
"ENSG00000137601",2.59638169936821,6.13329795525397,462.352605234456,5.80160596483834e-10,2.84365439423337e-07,4047,39.72,28,6919
"ENSG00000100485",3.45931332299659,4.6567035232781,460.042298715255,5.96466574563895e-10,2.84365439423337e-07,1478,40.4,6,5508
"ENSG00000068305",3.25429399863674,6.47697143202266,452.499548127412,6.47485773362287e-10,2.92432743649919e-07,2410,42.69,18,5824
"ENSG00000134046",3.69974612891578,3.85626528390975,447.434286796727,6.91164893682507e-10,2.92432743649919e-07,1182,45.12,5,5064
"ENSG00000163041",-4.79928594202757,10.103774475202,446.469242028274,6.93270099279971e-10,2.92432743649919e-07,847,43.99,10,1863
"ENSG00000106070",3.13806969740723,6.56356969960966,443.567264997425,7.16701860436041e-10,2.92432743649919e-07,2103,51.36,26,5468
"ENSG00000070476",3.29526552762274,3.68783682716026,443.392582163904,7.22921607644568e-10,2.92432743649919e-07,3006,56.72,4,4639
"ENSG00000160584",2.58721842881832,4.95700245465643,438.154915028536,7.63513672461253e-10,2.9824701716309e-07,3054,50.52,13,6364
"ENSG00000135999",3.17438886008737,4.50951906376412,433.969592204952,8.02729589098364e-10,2.9824701716309e-07,756,39.73,6,3883
"ENSG00000160113",3.25295194999034,4.67837969457398,433.770549364589,8.04321868145273e-10,2.9824701716309e-07,1557,71.11,2,2383
"ENSG00000005810",2.4382448377418,6.91419912434325,425.957465898011,8.80849773500135e-10,3.09148210434639e-07,3660,42.72,29,17482
"ENSG00000154240",4.05485921898496,6.28766774931246,425.883446469876,8.82250608075249e-10,3.09148210434639e-07,1243,41.44,30,4752
"ENSG00000139746",3.4860891103818,5.69318735743508,423.926240938069,9.03197258742297e-10,3.09148210434639e-07,3662,40.8,7,5258
"ENSG00000071054",2.24001179471808,6.95854343851077,415.915326541446,9.94525931671044e-10,3.25025728816302e-07,3796,48.53,18,7970
"ENSG00000157985",2.91577773505956,6.60408055764672,415.608410797115,9.98281135775592e-10,3.25025728816302e-07,2538,55.91,12,10889
"ENSG00000118762",4.29248648002827,5.0604762601095,413.567409607139,1.02626960338718e-09,3.26182688943226e-07,1362,45.02,7,5089
"ENSG00000139445",3.01550656899338,5.50315688360859,407.989572041463,1.09751665118621e-09,3.33994512190901e-07,2276,57.61,4,3416
"ENSG00000109762",4.53752333883166,4.38919092143123,408.446153479185,1.10088834642293e-09,3.33994512190901e-07,2544,41.17,8,3745
