condition_1	condition_2	conseqPair	feature	propOfRelevantEvents	propCiLo	propCiHi	propPval	nUp	nDown	propQval	Significant
A_RO_D200	B_RO_D100	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.5468164794007491	0.48499681333927963	0.6075854279232602	0.14174975029999146	146	121	0.160326548015641	FALSE
A_RO_D200	B_RO_D100	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.3722627737226277	0.29125224778481656	0.4589238371118244	0.0035199932874412612	51	86	0.004446307310452119	TRUE
A_RO_D200	B_RO_D100	domains_identified	Domain loss (paired with Domain gain)	0.5338809034907598	0.488457951201198	0.5788901501302961	0.14696600234767093	260	227	0.160326548015641	FALSE
A_RO_D200	B_RO_D100	intron_retention	Intron retention loss (paired with Intron retention gain)	0.3939393939393939	0.3408677867866897	0.4489327272319579	1.3817550846388456e-4	130	200	2.210808135422153e-4	TRUE
A_RO_D200	B_RO_D100	NMD_status	NMD sensitive (paired with NMD insensitive)	0.5	0.4103760810031847	0.5896239189968153	1	64	64	1	FALSE
A_RO_D200	B_RO_D100	ORF	Complete ORF loss (paired with Complete ORF gain)	0.5447761194029851	0.483075840799835	0.6054752884428658	0.15991031549434523	146	122	0.16686293790714285	FALSE
A_RO_D200	B_RO_D100	ORF_length	ORF is shorter (paired with ORF is longer)	0.5947368421052631	0.5531509429645671	0.6353357107460345	6.976490483488885e-6	339	231	1.2597512887934663e-5	TRUE
A_RO_D200	B_RO_D100	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.7241379310344828	0.5910364475354364	0.8333750232198469	8.617822405421289e-4	42	16	0.0012926733608131934	TRUE
A_RO_D200	C_RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.32857142857142857	0.27957032420325734	0.3805029570723929	1.3341309296341243e-10	115	235	4.002392788902373e-10	TRUE
A_RO_D200	C_RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.7440476190476191	0.6711171737894084	0.8081571750300323	1.788125280176405e-10	125	43	4.768334080470412e-10	TRUE
A_RO_D200	C_RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.32786885245901637	0.292428290192613	0.36483192387686214	2.9990364135839303e-19	220	451	1.799421848150358e-18	TRUE
A_RO_D200	C_RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.6224719101123596	0.5756134011763518	0.6676906583819131	2.6838807677733256e-7	277	168	5.367761535546651e-7	TRUE
A_RO_D200	C_RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.36809815950920244	0.29401659809648967	0.4470709604335139	9.44292802515859e-4	60	103	0.0013264528670544533	TRUE
A_RO_D200	C_RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.32857142857142857	0.27957032420325734	0.3805029570723929	1.3341309296341243e-10	115	235	4.002392788902373e-10	TRUE
A_RO_D200	C_RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.3464052287581699	0.3126810344727191	0.38131896473324567	1.493728285522622e-17	265	500	5.974913142090488e-17	TRUE
A_RO_D200	C_RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.3614457831325301	0.2588010694405054	0.4742907340395389	0.015232201861994674	30	53	0.01827864223439361	TRUE
B_RO_D100	C_RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.3153526970954357	0.25721321498220595	0.3781030234531708	9.881125523509743e-9	76	165	2.1558819324021257e-8	TRUE
B_RO_D100	C_RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.8323353293413174	0.7668761772056251	0.8856024791642846	6.83635075183019e-19	139	28	3.2814483608784913e-18	TRUE
B_RO_D100	C_RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.26173285198555957	0.22557988642312002	0.30044899304161443	4.128815978410252e-30	145	409	4.954579174092302e-29	TRUE
B_RO_D100	C_RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.7333333333333333	0.6844630265829532	0.7783188240626305	2.936327105778405e-19	264	96	1.799421848150358e-18	TRUE
B_RO_D100	C_RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.3591549295774648	0.28044003679780083	0.44387978787237314	9.9483965029084e-4	51	91	0.0013264528670544533	TRUE
B_RO_D100	C_RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.3153526970954357	0.25721321498220595	0.3781030234531708	9.881125523509743e-9	76	165	2.1558819324021257e-8	TRUE
B_RO_D100	C_RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.23726346433770015	0.2059103028330654	0.2708919497836486	4.793703162153755e-45	163	524	1.1504887589169011e-43	TRUE
B_RO_D100	C_RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.26373626373626374	0.17685483487497045	0.36654916642263824	7.348549184628553e-6	24	67	1.2597512887934663e-5	TRUE
