isoform_id	ATSS	ATSS_genomic_start	ATSS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000286031	1	169662007;169683469;169683756;169783811;169784877;169795037	169662523;169683625;169683932;169783928;169784913;169795213	ENSG00000000460	C1orf112	169662784,169668081,169668986,169670309,169673341,169673343,169673345,169673784,169674023,169674827,169675091,169675093,169675095,169675543,169676116,169680002,169680687,169682730,169690705,169692322,169698239,169698909,169699347,169702714,169702771,169703353,169704106,169704534,169707426,169707786,169707788,169712356,169715170,169716951,169718899,169719435,169720091,169720255,169721816,169723996,169724523,169724525,169727182,169729363,169729808,169730479,169731751,169732545,169734312,169734551,169737588,169737683,169741225,169742830,169744291,169745981,169746887,169750043,169755011,169755117,169755368,169758077,169765080,169766630,169770132,169772576,169773245,169776286,169777695,169777919,169778585,169778778,169784476,169786604,169788146,169788211,169790331,169791018,169791223,169794335,169797347,169804189,169805611,169806051,169806921,169807490,169808217,169808334,169813646,169814274,169815653,169819194,169823522,169825484,169826507,169827171,169830321,169833550,169839654,169839936,169846278,169849183,169852705
ENST00000353205	1	41072974	41072983	ENSG00000001167	NFYA	41080182,41080928,41081001,41081540,41082430,41084153,41085729,41085731,41089128,41089302,41091740,41092260,41093852,41094403,41094807,41095374,41095376,41096123,41096544,41100066
ENST00000618908	1	17577198	17577304	ENSG00000002549	LAP3	17580815,17586551,17589475,17589783,17590515,17597869,17597871,17598608,17603660,17606749
ENST00000402384	1	8262167	8262273	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000568662	1	90009284;90019311;90019728	90009430;90019456;90019890	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000002501	1	90019728	90019890	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000233156	1	187554435	187554450	ENSG00000003436	TFPI	187464471,187467397,187468021,187473107,187473238,187476537,187477600,187477657,187478585,187478721,187484708,187485751,187485753,187485755,187487809,187488116,187490423,187492949,187493118,187496593,187498127,187503456,187503739,187504664,187505579,187506121,187506142,187506956,187510731,187510733,187511458,187514359,187515984,187519267,187523054,187523242,187524622,187532149,187536274,187536502,187538501,187538871,187541950,187541952,187543776,187551818,187553084,187555572,187558355,187562012,187563281
ENST00000481132	1	187529364;187554200	187529485;187554450	ENSG00000003436	TFPI	187464471,187467397,187468021,187473107,187473238,187476537,187477600,187477657,187478585,187478721,187484708,187485751,187485753,187485755,187487809,187488116,187490423,187492949,187493118,187496593,187498127,187503456,187503739,187504664,187505579,187506121,187506142,187506956,187510731,187510733,187511458,187514359,187515984,187519267,187523054,187523242,187524622,187532149,187536274,187536502,187538501,187538871,187541950,187541952,187543776,187551818,187553084,187555572,187558355,187562012,187563281
ENST00000474154	1	37231658	37231663	ENSG00000003509	NDUFAF7	37233295,37241073,37247274,37248075,37252366,37253252
ENST00000398090	1	17497088;17502257	17497237;17502302	ENSG00000003989	SLC7A2	17502902,17504875,17505339,17510617,17511146,17515043,17516920,17516922,17517142,17517987,17522051,17522053,17523117,17524302,17524304,17526816,17526956,17527141,17530349,17530456,17531668,17533057,17533680,17533878,17535153,17540126,17548007,17549418,17549696,17554516,17554536,17555136,17555138,17555161,17555170,17555811,17557444,17558429,17559821,17565045,17566290,17568832,17570124
ENST00000501038	1	129557083;129558428;129559620;129560330;129560689;129561646;129561800;129562787;129563094;129565340;129565887;129566527;129567492;129567698;129569843;129570786;129571040;129571509;129571677;129572609;129572842;129573594;129574336;129575469;129575766;129578329;129583567;129584125;129584385;129585952;129586172;129586588;129589351;129605329	129557223;129558697;129559783;129560434;129560723;129561709;129561903;129562943;129563240;129565538;129566017;129566631;129567604;129567805;129569957;129570935;129571303;129571599;129571844;129572748;129572941;129573745;129574490;129575562;129575855;129578433;129583669;129584233;129584562;129586081;129586272;129586719;129589527;129606676	ENSG00000004399	PLXND1	129555449,129555515,129556925,129558393,129559165,129562687,129565210,129565355,129568939,129570431,129571722,129574411,129574532,129575904,129575983,129576657,129576680,129578160,129581543,129582850,129584791,129585332,129586637,129586697,129588653,129593554,129593556,129594158,129595235,129600368,129600870,129601163,129604669,129604829,129604891,129604967,129604993
ENST00000454079	1	49940007	49940140	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000266022	1	49940007	49940150	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000421138	1	21501551	21501635	ENSG00000004700	RECQL	21470150,21472323,21472625,21475751,21476183,21476185,21484936,21485455,21485517,21491673,21492610,21493257,21493900,21497243,21497356,21500313,21501217
