gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1	STPG1
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1	STPG1
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1	STPG1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1	ICA1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1	ICA1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1	ICA1
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI	TFPI
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000381769.6	CAMKK1	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000381769.6	CAMKK1	CAMKK1
