iso_ref	gene_ref	isoform_id	gene_id	condition_1	condition_2	gene_name	gene_biotype	iso_biotype	gene_overall_mean	gene_value_1	gene_value_2	gene_stderr_1	gene_stderr_2	gene_log2_fold_change	gene_q_value	iso_overall_mean	iso_value_1	iso_value_2	iso_stderr_1	iso_stderr_2	iso_log2_fold_change	iso_q_value	IF_overall	IF1	IF2	dIF	isoform_switch_q_value	gene_switch_q_value	PTC	neg_log_10_q
isoComp_00430492	geneComp_00103659	ENST00000703204	ANKRD18A	RO_D209	RO_D45	ANKRD18A	protein_coding	nonsense_mediated_decay	3.4494915359690332	5.467759827752019	3.7693297840712616	2.789603028300465	0.5007233791171166	-0.5354555989343406	NA	1.693182381519546	4.091675076702142	0.5249327106231365	2.827402209387198	0.1467175296606218	-2.938783879138806	NA	0.432675	0.655	0.1365	-0.5185	0.05027997931135119	0.05027997931135119	TRUE	1.2986049096847248
isoComp_00432708	geneComp_00103998	ENST00000295095	ARHGAP15	RO_D209	RO_D45	ARHGAP15	protein_coding	protein_coding	2.9996302123299285	2.4671943232346627	1.1929326471421977	0.5673922038846304	0.5409585233534786	-1.0421511775865537	NA	1.95445542569944	0.21590751926253526	1.0489939766773162	0.09957138548635201	0.42422883083790774	2.22889018731937	NA	0.6381625	0.08259999999999999	0.904	0.8214	0.0010752452082319617	0.0010752452082319617	FALSE	2.968492484177781
isoComp_00432709	geneComp_00103998	ENST00000409869	ARHGAP15	RO_D209	RO_D45	ARHGAP15	protein_coding	protein_coding	2.9996302123299285	2.4671943232346627	1.1929326471421977	0.5673922038846304	0.5409585233534786	-1.0421511775865537	NA	0.5915310911538717	1.4337955078871008	0.10030424290857987	0.421198652866277	0.10030424290857987	-3.7103062293413265	NA	0.2079	0.5721499999999999	0.05785	-0.5143	0.07636260393956239	0.0010752452082319617	FALSE	1.117119270727537
isoComp_00447623	geneComp_00106371	ENST00000538862	CDCA3	RO_D209	RO_D45	CDCA3	protein_coding	protein_coding	17.63505952154202	14.14824027721006	48.101390501882804	1.5737493736953416	0.9693837646911625	1.764736531893811	NA	8.191090075957154	1.7583545421894633	29.744754679329876	0.9131335914639612	0.7938017541173004	4.072640764507014	NA	0.2652625	0.11854999999999999	0.61895	0.5004	6.627426942094799e-9	1.0611420489493108e-12	FALSE	8.178655051044128
isoComp_00451262	geneComp_00106896	ENST00000416004	CHRNA1	RO_D209	RO_D45	CHRNA1	protein_coding	protein_coding_CDS_not_defined	4.513533306701333	3.6921397950533237	4.083763249066644	0.661142816576823	0.2280949162094894	0.14506829740678154	NA	2.407221068462162	3.2387912014485645	0.7032226723652342	0.594752799432608	0.24770918162907907	-2.187478555105303	NA	0.53365	0.87645	0.1693	-0.70715	2.242178606042615e-7	2.242178606042615e-7	NA	6.649329795608466
isoComp_00455680	geneComp_00107556	ENST00000220763	CPQ	RO_D209	RO_D45	CPQ	protein_coding	protein_coding	4.831424410883527	8.103159091491577	6.224819886985094	0.6143052575782918	0.304800632418666	-0.3799158948584069	NA	2.015372593082741	2.1847360349827687	5.170297469549547	1.1475092876208322	0.3947715848679443	1.2389875099804324	NA	0.35186249999999997	0.28200000000000003	0.8294999999999999	0.5474999999999999	0.040505898945302	0.009922998506538806	FALSE	1.3924817251102908
isoComp_00460868	geneComp_00108327	ENST00000669174	DDX11-AS1	RO_D209	RO_D45	DDX11-AS1	lncRNA	lncRNA	4.151950584640168	7.012558551156163	3.309235955206546	1.1993302997369142	0.5599186464359006	-1.0811455577700388	NA	2.823868971242594	5.913337829651997	0.6221703186933317	0.8872144433009947	0.02606250307410429	-3.228025165326021	NA	0.6380750000000001	0.8463499999999999	0.19215	-0.6541999999999999	2.3138135716817493e-6	2.3138135716817493e-6	NA	5.635671635899197
isoComp_00465886	geneComp_00109028	ENST00000690863	DSP-AS1	RO_D209	RO_D45	DSP-AS1	lncRNA	lncRNA	1.1008334467723764	1.9033881383328315	1.4509352767146824	0.5289367939779246	0.22638081883981376	-0.3892372953898555	NA	0.5970342417181431	0.5156213340914668	1.3566356277798772	0.5106171697279563	0.13208116990500862	1.3785329044995855	NA	0.6121625	0.21275	0.9438	0.73105	0.03346618888253077	0.03346618888253077	NA	1.4753937421246544
isoComp_00467768	geneComp_00109386	ENST00000264059	EFHD1	RO_D209	RO_D45	EFHD1	protein_coding	protein_coding	6.553265081856808	5.639433698870953	15.023598118443054	0.9388787973420646	0.8109122230236316	1.4120121793589846	NA	3.808654250087178	1.5858163581501823	12.198035716021844	0.20805939082039293	0.3994711436707447	2.93546454293713	NA	0.4085875	0.2955	0.81285	0.51735	8.206529572189742e-7	8.206529572189742e-7	FALSE	6.085840461185958
isoComp_00487005	geneComp_00121668	ENST00000642112	ENSG00000284634	RO_D209	RO_D45	ENSG00000284634	lncRNA	retained_intron	4.353398286835386	5.622767349686602	3.709196747354727	1.352686589469382	0.02923873283577105	-0.598852815890405	NA	2.4925978652802394	4.598596025212208	0.8735708382673822	1.2084106672502728	0.23088850086990872	-2.3829096018882554	NA	0.547075	0.8132	0.236	-0.5772	4.343038837162516e-5	4.343038837162516e-5	NA	4.362206286988229
