seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
BambuTx102,148,329,147,329,PF00596.26,Aldolase_II,Domain,2,183,183,157.1,5.3e-46,1,No_Clan
BambuTx105,157,248,148,252,PF00640.28,PID,Domain,49,136,140,33.8,3.5e-08,1,CL0266
BambuTx105,561,616,561,616,PF11830.13,DUF3350,Family,1,63,63,80.6,8.3e-23,1,No_Clan
BambuTx105,675,884,674,885,PF00566.24,RabGAP-TBC,Family,2,215,216,191.5,1.8e-56,1,CL0816
BambuTx17,83,168,83,171,PF00041.26,fn3,Domain,1,81,84,49.4,4.8e-13,1,CL0159
BambuTx176,10,87,9,87,PF13873.11,Myb_DNA-bind_5,Domain,2,78,78,84.7,3.7e-24,1,CL0123
BambuTx176,173,217,170,217,PF07648.20,Kazal_2,Domain,2,48,48,42.6,5.7e-11,1,CL0005
BambuTx176,264,309,263,309,PF07648.20,Kazal_2,Domain,2,48,48,34.6,1.9e-08,1,CL0005
BambuTx178,67,311,66,311,PF00001.26,7tm_1,Family,2,260,260,134.4,6e-39,1,CL0192
BambuTx184,2,165,2,165,PF15120.11,SPACA9,Family,1,164,164,306.3,4.8e-92,1,No_Clan
BambuTx188,69,175,67,180,PF00586.29,AIRS,Domain,3,107,112,56.0,5.5e-15,1,CL0804
BambuTx188,193,366,192,368,PF02769.27,AIRS_C,Domain,2,154,156,74.5,1.2e-20,1,No_Clan
BambuTx2,7,66,1,87,PF02984.24,Cyclin_C,Domain,36,94,119,26.2,7.6e-06,1,CL0065
BambuTx229,10,93,6,96,PF00153.32,Mito_carr,Repeat,6,93,96,63.3,1.6e-17,1,No_Clan
BambuTx229,106,199,102,202,PF00153.32,Mito_carr,Repeat,5,93,96,73.5,1e-20,1,No_Clan
BambuTx229,208,296,205,298,PF00153.32,Mito_carr,Repeat,4,94,96,78.1,3.8e-22,1,No_Clan
BambuTx230,10,93,6,96,PF00153.32,Mito_carr,Repeat,6,93,96,63.3,1.6e-17,1,No_Clan
