gene_ref	gene_id	gene_name	condition_1	condition_2	isoformUpregulated	isoformDownregulated	iso_ref_up	iso_ref_down	featureCompared	isoformsDifferent	switchConsequence
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	intron_retention	TRUE	Intron retention loss
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	coding_potential	TRUE	Transcript is Noncoding
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	ORF_seq_similarity	TRUE	Complete ORF loss
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	NMD_status	NA	NA
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	domains_identified	TRUE	Domain loss
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	domain_isotype	FALSE	NA
geneComp_00000032	ENSG00000003137	CYP26B1	A_RO_D200	B_RO_D100	transcript103658.chr2.nnic	transcript102600.chr2.nnic	isoComp_00000130	isoComp_00000128	signal_peptide_identified	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	intron_retention	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	coding_potential	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	NMD_status	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	domains_identified	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	domain_isotype	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	ENST00000681619.1	ENST00000467448.5	isoComp_00000142	isoComp_00000140	signal_peptide_identified	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	intron_retention	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	coding_potential	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	NMD_status	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	domains_identified	TRUE	Domain gain
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	domain_isotype	FALSE	NA
geneComp_00000035	ENSG00000003393	ALS2	A_RO_D200	B_RO_D100	transcript233889.chr2.nic	ENST00000467448.5	isoComp_00000143	isoComp_00000140	signal_peptide_identified	FALSE	NA
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	intron_retention	FALSE	NA
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	coding_potential	FALSE	NA
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	NMD_status	FALSE	NA
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	domains_identified	FALSE	NA
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	domain_isotype	TRUE	Domain non-reference isotype loss
geneComp_00000041	ENSG00000003987	MTMR7	A_RO_D200	B_RO_D100	ENST00000180173.10	transcript11404.chr8.nic	isoComp_00000171	isoComp_00000175	signal_peptide_identified	FALSE	NA
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	intron_retention	FALSE	NA
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	coding_potential	FALSE	NA
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	NMD_status	FALSE	NA
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	domains_identified	TRUE	Domain loss
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	domain_isotype	FALSE	NA
geneComp_00000049	ENSG00000004487	KDM1A	A_RO_D200	B_RO_D100	transcript61839.chr1.nnic	ENST00000356634.7	isoComp_00000204	isoComp_00000194	signal_peptide_identified	FALSE	NA
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	intron_retention	FALSE	NA
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	coding_potential	FALSE	NA
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	NMD_status	FALSE	NA
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	domains_identified	TRUE	Domain loss
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	domain_isotype	FALSE	NA
geneComp_00000050	ENSG00000004534	RBM6	A_RO_D200	B_RO_D100	ENST00000421682.1	ENST00000266022.9	isoComp_00000207	isoComp_00000206	signal_peptide_identified	FALSE	NA
geneComp_00000064	ENSG00000004961	HCCS	A_RO_D200	B_RO_D100	ENST00000380763.7	ENST00000380762.5	isoComp_00000257	isoComp_00000256	intron_retention	FALSE	NA
geneComp_00000064	ENSG00000004961	HCCS	A_RO_D200	B_RO_D100	ENST00000380763.7	ENST00000380762.5	isoComp_00000257	isoComp_00000256	coding_potential	FALSE	NA
