isoform_id	IR	IR_genomic_start	IR_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000402384	1	8113512	8113592	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000481132	1	187484217	187484810	ENSG00000003436	TFPI	187464471,187467397,187468021,187473107,187473238,187476537,187477600,187477657,187478585,187478721,187484708,187485751,187485753,187485755,187487809,187488116,187490423,187492949,187493118,187496593,187498127,187503456,187503739,187504664,187505579,187506121,187506142,187506956,187510731,187510733,187511458,187514359,187515984,187519267,187523054,187523242,187524622,187532149,187536274,187536502,187538501,187538871,187541950,187541952,187543776,187551818,187553084,187555572,187558355,187562012,187563281
ENST00000474154	1	37241792	37242634	ENSG00000003509	NDUFAF7	37233295,37241073,37247274,37248075,37252366,37253252
ENST00000454079	1	50061548	50061961	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000444129	1	21501216	21501412	ENSG00000004700	RECQL	21470150,21472323,21472625,21475751,21476183,21476185,21484936,21485455,21485517,21491673,21492610,21493257,21493900,21497243,21497356,21500313,21501217
ENST00000566034	1	982345	983727	ENSG00000005513	SOX8	982724,984035,986844
ENST00000571485	3	7291183;7292060;7293539	7292025;7293474;7294229	ENSG00000006047	YBX2	7289394,7290079
ENST00000567203	2	1346685;1346956	1346846;1347297	ENSG00000007516	BAIAP3	1336735,1337122,1340436,1340577,1340605,1340656,1340704,1341311,1341883,1343468,1348462
ENST00000681708	2	122098897;122101439	122101370;122101620	ENSG00000008311	AASS	122065827,122066523,122067667,122070511,122074100,122074686,122080693,122083524,122084538,122084554,122095065,122095067,122104877,122105595,122107110,122107435,122107664,122109494,122111193,122113448,122113630,122114708,122115476,122115715,122116003,122116005,122116063,122116226,122118708,122118735,122119981,122123953,122125067,122130487,122134816,122136142,122136440,122136442,122137063,122139768,122142495,122142497
ENST00000404251	1	73441694	73442180	ENSG00000009954	BAZ1B	73441457,73442361,73448532,73450455,73453090,73456315,73456400,73458544,73459881,73459890,73460809,73462268,73463343,73467030,73467956,73474231,73482277,73485793,73488849,73491467,73495795,73497111,73500411,73503528,73504298,73505695,73507271,73508690,73509441,73509589,73511372,73513774,73519219
ENST00000391858	1	231351572	231352609	ENSG00000010072	SPRTN	231343637,231344261,231345609,231347507,231347804,231350165
ENST00000312413	1	11840372	11841057	ENSG00000011021	CLCN6	11809598,11810343,11813180,11814657,11816148,11817357,11817821,11818965,11823115,11823145,11828762,11831828,11832439,11832725,11832727,11833929,11834063,11834091,11834131,11834133,11834135,11839594,11842390,11845060,11845791,11846260
ENST00000346436	1	11840372	11841057	ENSG00000011021	CLCN6	11809598,11810343,11813180,11814657,11816148,11817357,11817821,11818965,11823115,11823145,11828762,11831828,11832439,11832725,11832727,11833929,11834063,11834091,11834131,11834133,11834135,11839594,11842390,11845060,11845791,11846260
ENST00000591678	1	3751330	3751433	ENSG00000011132	APBA3	3758403
ENST00000397410	1	15403556	15403652	ENSG00000011243	AKAP8L	15381084,15381331,15391889,15392527,15395170,15397205,15399170,15400684,15401076,15401330,15409891,15415296
ENST00000505907	2	6617493;6620045	6619926;6621187	ENSG00000013288	MAN2B2	6576490,6577766,6578208,6578446,6578448,6582863,6586235,6586509,6586606,6586865,6587153,6588327,6589939,6589941,6594370,6594924,6594974,6595049,6595870,6596525,6597455,6598625,6599242,6601373,6602053,6602708,6609452,6612178,6614106,6619701,6620636,6623038
ENST00000473565	2	200859747;200860216	200860124;200861237	ENSG00000013441	CLK1	200858102,200858104
ENST00000681891	2	177393050;177393536;177442236	177393275;177395676;177442406	ENSG00000018510	AGPS	177395878,177396324,177397342,177404486,177405360,177409671,177415393,177415613,177416109,177417263,177424424,177424426,177424864,177431549,177437486,177438289,177441682,177446121,177454413,177459857,177461315,177461350,177464086,177467049,177467156,177467314,177468568,177470572,177470798,177473815,177474321,177474435,177474757,177475670,177480269,177491000,177492630,177493811,177493813,177494471,177496234,177496306,177496999,177497832,177499835,177503600,177503858,177509139,177509184,177512284,177512988,177513379,177513902,177520393,177525752,177525754,177528537,177528771,177532821,177537500,177538767,177540058,177540155,177541301,177541491,177549696,177550843,177551352,177552243,177552991,177553035,177553600,177555063,177556486,177558178,177561927,177563307,177563362
ENST00000586929	1	56393220;56393431	56393237;56393441	ENSG00000018869	ZNF582	56376013,56379643,56383403,56383405,56383542,56384477,56384479,56384949,56386195,56386416,56386553,56389110,56389441,56392334,56392483,56393230
