seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr1	852651	852670	20	+	ENST00000692194	LINC01128	LINC01128
chr1	1051032	1051043	12	+	ENST00000620552	AGRN	AGRN
chr1	1051032	1051043	12	+	ENST00000651234	AGRN	AGRN
chr1	1051993	1052016	24	+	ENST00000620552	AGRN	AGRN
chr1	1051993	1052016	24	+	ENST00000651234	AGRN	AGRN
chr1	2503617	2503643	27	+	ENST00000462379	PLCH2	PLCH2
chr1	6450444	6450470	27	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000434576	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000461727	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000475228	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000477679	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000645284	ESPN	ESPN
chr1	6785552	6785575	24	+	ENST00000461311	CAMTA1	CAMTA1
chr1	7704887	7704898	12	+	ENST00000700425	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000495233	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700414	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700415	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700419	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700420	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700423	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700424	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700425	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700445	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700446	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700447	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000710284	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000710285	CAMTA1	CAMTA1
chr1	11018853	11018873	21	+	ENST00000610369	TARDBP	TARDBP
chr1	11029758	11029781	24	+	ENST00000612387	TARDBP	TARDBP
chr1	25321889	25321900	12	+	ENST00000423253	RHD	RHD
chr1	25763638	25763639	2	+	ENST00000611903	MAN1C1	MAN1C1
chr1	25781251	25781260	10	+	ENST00000611903	MAN1C1	MAN1C1
chr1	40749573	40749576	4	+	ENST00000531464	NFYC	NFYC
chr1	44704089	44704111	23	+	ENST00000441519	ARMH1	ARMH1
