isoform_id	ES	ES_genomic_start	ES_genomic_end	MEE	MEE_genomic_start	MEE_genomic_end	MES	MES_genomic_start	MES_genomic_end	IR	IR_genomic_start	IR_genomic_end	A5	A5_genomic_start	A5_genomic_end	A3	A3_genomic_start	A3_genomic_end	ATSS	ATSS_genomic_start	ATSS_genomic_end	ATTS	ATTS_genomic_start	ATTS_genomic_end
ENST00000650454.1	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	53512399	53514204	1	53509250	53510448	1	53545101	53545134	0	NA	NA
ENST00000514004.5	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	53545033	53545134	1	53497341;53500045;53500247;53500432;53505392;53505803;53506913;53507480;53508595;53509176;53512399	53498967;53500165;53500350;53500513;53505496;53505895;53507025;53507618;53508711;53510448;53512989
ENST00000509541.5	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	53512399;53514439;53516109;53520778;53522415;53544496	53514337;53514497;53516222;53520960;53522527;53545134	0	NA	NA
transcript82057.chr6.nic	0	NA	NA	0	NA	NA	0	NA	NA	1	53514498	53516108	0	NA	NA	0	NA	NA	0	NA	NA	1	53497341;53500045;53500247;53500432;53505392;53505803;53506913;53507480;53508595;53509176	53498967;53500165;53500350;53500513;53505496;53505895;53507025;53507618;53508711;53510448
transcript63082.chr6.nic	1	41073163	41076295	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	41080811;41084046;41089579;41090204;41091528;41092912;41094396;41097357	41080897;41084192;41089710;41090309;41091694;41093085;41094497;41102403
transcript62803.chr6.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	41079164	41080317	0	NA	NA	1	41072562	41073084	1	41099969	41102403
transcript63084.chr6.nic	1	41073163	41076295	0	NA	NA	0	NA	NA	1	41080318	41080810	0	NA	NA	0	NA	NA	1	41072562	41072939	1	41084046;41089579;41090204;41091528;41092912;41094396;41097357	41084192;41089710;41090309;41091694;41093085;41094497;41102403
ENST00000353205.5	2	41073163;41080811	41076295;41080897	0	NA	NA	0	NA	NA	0	NA	NA	1	41079164	41080317	0	NA	NA	1	41072562	41072983	1	41097950	41102403
transcript62858.chr6.nic	2	41073163;41080811	41076295;41080897	0	NA	NA	0	NA	NA	0	NA	NA	1	41079164	41080317	0	NA	NA	0	NA	NA	1	41093075;41094396;41097357	41093085;41094497;41102403
ENST00000341376.11	1	41073163	41076295	0	NA	NA	0	NA	NA	0	NA	NA	1	41079164	41080317	0	NA	NA	1	41072562	41072974	0	NA	NA
transcript67850.chr1.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	24420102;24440172;24442055;24445185;24449481;24453408;24456138;24458888;24460481;24464026;24468986	24421374;24440240;24442226;24445244;24449626;24453504;24456273;24458976;24460544;24464120;24472976
ENST00000374399.9	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	24419640	24421374	0	NA	NA	1	24415783	24415802	0	NA	NA
transcript67853.chr1.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	24415783	24415802	1	24440172;24442055;24445185;24449481;24453408;24456138;24458888;24460481;24464026;24468986	24440240;24442226;24445244;24449626;24453504;24456273;24458976;24460544;24464120;24472976
transcript53866.chrX.nic	1	65524564	65524614	0	NA	NA	1	65520429;65522431	65522285;65522493	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	65512582;65514823;65517987	65512901;65514973;65518067
transcript54801.chrX.nnic	0	NA	NA	0	NA	NA	1	65518150;65520429;65522431;65523560;65524056;65524564;65524965;65528260;65529212;65529594;65531357	65518465;65522285;65522493;65523707;65524262;65524614;65525050;65528369;65529258;65529878;65531438	0	NA	NA	1	65532561	65532588	0	NA	NA	0	NA	NA	0	NA	NA
transcript53634.chrX.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	65512582;65514823;65517987;65518150	65512901;65514973;65518067;65518465
ENST00000374811.8	0	NA	NA	0	NA	NA	1	65520429;65522431	65522285;65522493	1	65518068	65518149	0	NA	NA	0	NA	NA	1	65534787	65534833	0	NA	NA
transcript53725.chrX.nic	0	NA	NA	0	NA	NA	1	65520429;65522431	65522285;65522493	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	65512582;65514823;65517987	65512901;65514973;65518067
