isoform_id	gene_name
ENST00000402285	RPS27A
ENST00000697862	SBDS
ENST00000001146	CYP26B1
ENST00000354190	PLEKHB1
ENST00000251102	CNGB1
ENST00000400017	RPGRIP1
ENST00000216392	PYGL
ENST00000615840	FLT1
ENST00000220676	RP1
ENST00000221485	SLC17A7
ENST00000335765	UNC119
ENST00000395321	ALDOC
ENST00000453788	HSPA8
ENST00000229264	GNB3
ENST00000614066	TULP1
ENST00000372067	VEGFA
ENST00000378823	RAD50
ENST00000232461	GNAT1
ENST00000394609	RTN4
ENST00000263734	EPAS1
ENST00000652107	MSH6
ENST00000391997	PDC
BambuTx46	NA
ENST00000250087	AIPL1
ENST00000252486	APOE
ENST00000255266	PDE6A
ENST00000266674	LGR5
ENST00000366718	GUK1
ENST00000623527	CDHR1
ENST00000278833	ROM1
ENST00000345330	NPTN
ENST00000290341	IGF2BP1
ENST00000474100	PSMB4
ENST00000579085	EIF4A1
ENST00000699311	JAK1
ENST00000651883	ACSL6
ENST00000303230	HCN1
ENST00000380715	PSIP1
ENST00000438720	COG1
ENST00000633708	STX3
ENST00000578921	RAB31
ENST00000333511	BSG
ENST00000555633	RAX2
ENST00000555978	RAX2
ENST00000436393	RIMS2
ENST00000323274	TYMS
ENST00000394232	SV2B
ENST00000574024	PDE6G
ENST00000555848	EVL
BambuTx379	NA
