"gene","gene_name","stage","direction","median_gc_pct","median_tx_length","logFC","FDR"
"ENSG00000069431","ABCC9","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.96,3237.5,6.0898913424981,7.01491159896671e-08
"ENSG00000288920","RPSA2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",41.46,2140,5.13136709858935,7.01491159896671e-08
"ENSG00000105792","CFAP69","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.72,1489,5.47737795007751,7.35182917972351e-08
"ENSG00000151131","NOPCHAP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.36,1178.5,3.6591070434099,8.52866859600286e-08
"ENSG00000276966","H4C5","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.34,412,5.64636576736295,8.52866859600286e-08
"ENSG00000157551","KCNJ15","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",50.26,721,7.61081036235304,1.12331328157477e-07
"ENSG00000196600","SLC22A25","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",47.85,2743.5,5.65296816799799,1.22451597100156e-07
"ENSG00000181588","MEX3D","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.88,2623,5.46878207970444,1.69246223390309e-07
"ENSG00000124593","ENSG00000124593","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.6,3043,3.8468613256719,1.88870057187703e-07
"ENSG00000183684","ALYREF","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.19,487,4.51443539121721,1.88870057187703e-07
"ENSG00000250021","ARPIN-AP3S2","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",51.13,669.5,-4.56733222466424,2.30996989432062e-07
"ENSG00000197140","ADAM32","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.62,712,7.39137847424498,2.52262417856116e-07
"ENSG00000214753","HNRNPUL2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",47.95,2826.5,3.42670388938708,2.52262417856116e-07
"ENSG00000221944","TIGD1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",49.47,6675,4.7403013969968,3.49107909508345e-07
"ENSG00000143951","WDPCP","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.84,1476,3.47414055402072,3.90695893674516e-07
"ENSG00000264364","DYNLL2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",47.7,6807,3.35717986065256,4.32954886318591e-07
"ENSG00000173852","DPY19L1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",37.55,4950,2.94494525004665,4.32954886318591e-07
"ENSG00000160113","NR2F6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",71.11,1557,3.31848663225413,4.41998091166323e-07
"ENSG00000186222","BLOC1S4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",52.72,1491,4.27230587918142,5.39267319071842e-07
"ENSG00000141858","SAMD1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",64.71,750,3.73047016585601,5.39267319071842e-07
"ENSG00000166896","ATP23","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.86,564,2.76411375750298,5.39267319071842e-07
"ENSG00000178531","CTXN1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",72.84,1237,5.34097629046175,5.39267319071842e-07
"ENSG00000129951","PLPPR3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",71.22,1544,3.03943912909665,5.39267319071842e-07
"ENSG00000278677","H2AC17","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.11,487,5.29423793736936,5.45066629720219e-07
"ENSG00000224578","HNRNPA1L3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.74,1623.5,4.06083236993737,5.6682411795165e-07
"ENSG00000134046","MBD2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.12,1182,3.51394614266061,5.6682411795165e-07
"ENSG00000198707","CEP290","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",35.6,4569,2.86279970904205,5.6682411795165e-07
"ENSG00000110880","CORO1C","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",48.3,804,-2.76688619419614,5.6682411795165e-07
"ENSG00000133275","CSNK1G2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.33,756,2.72553783532773,5.6682411795165e-07
"ENSG00000154237","LRRK1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",57.97,1241,4.28901988685235,5.6682411795165e-07
"ENSG00000164105","SAP30","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",54.75,753.5,4.18099119721594,5.6682411795165e-07
"ENSG00000276644","DACH1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",43.81,4711.5,2.36828213699589,5.6682411795165e-07
"ENSG00000184207","PGP","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",57.85,2034.5,3.65634610053202,5.6682411795165e-07
"ENSG00000162496","DHRS3","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",57.26,931,-5.56981390030032,5.6682411795165e-07
"ENSG00000173212","MAB21L3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",43.82,6252.5,4.4406553269514,5.6682411795165e-07
"ENSG00000099385","BCL7C","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.04,1206,3.02022739369393,5.6682411795165e-07
"ENSG00000133138","TBC1D8B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",37.61,2589,2.31991415780738,5.91356235145159e-07
"ENSG00000182512","GLRX5","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.95,1103,3.49159642106392,5.91356235145159e-07
"ENSG00000184260","H2AC20","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.3,494,4.92275108304794,5.91356235145159e-07
"ENSG00000111328","CDK2AP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",48.26,1127,2.25426275920771,5.91356235145159e-07
"ENSG00000089127","OAS1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",50.64,1603,5.36700148114345,5.91356235145159e-07
"ENSG00000151773","CCDC122","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",37.87,704,4.88242536096409,5.91356235145159e-07
"ENSG00000072518","MARK2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",56.94,2821.5,2.96838211887158,5.91356235145159e-07
"ENSG00000173457","PPP1R14B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62.07,920,3.76383764136193,5.91356235145159e-07
"ENSG00000181458","TMEM45A","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.51,874,3.28453311304338,5.91356235145159e-07
"ENSG00000137177","KIF13A","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.4,4009,2.91639051038585,5.91356235145159e-07
"ENSG00000168209","DDIT4","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",58.42,1744,-3.38153631460423,5.91356235145159e-07
"ENSG00000188290","HES4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",74.16,961.5,5.46599589195579,5.91356235145159e-07
"ENSG00000134539","KLRD1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.02,789,4.88875037003463,6.05927395762936e-07
"ENSG00000129757","CDKN1C","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62.94,1193,3.19332596854969,6.14017815332245e-07
"ENSG00000255508","ENSG00000255508","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.58,1954,5.24639132164307,6.46502468045019e-07
"ENSG00000228623","ZNF883","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.72,11370,4.26548912983765,6.46502468045019e-07
"ENSG00000126464","PRR12","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.93,3840.5,4.18227788978251,6.74588206603955e-07
"ENSG00000167470","MIDN","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",64.44,3261,3.60126523452222,6.78160021915189e-07
"ENSG00000169592","INO80E","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62.1,881.5,2.61948571734405,7.60235211097476e-07
"ENSG00000173559","NABP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.27,2635.5,4.8254151785058,7.64488847172669e-07
