gene_id	isoform_id	condition_1	condition_2	gene_value_1	gene_value_2	iso_value_1	iso_value_2	dIF	IF1	IF2	isoform_switch_q_value	PTC	IR	codingPotential	domain_identified	signal_peptide_identified	switchConsequencesGene	DTE_log2FC	DTE_logCPM	DTE_F	DTE_pval	DTE_qval	DGE_log2FC	DGE_logCPM	DGE_F	DGE_pval	DGE_qval	DTU	DTE	DGE	DTU_qval	gene_name	gene_biotype	isoform_biotype	disease_category
ENSG00000011143	ENST00000393119	A_RO_D200	B_RO_D100	11.640405	16.597526666666667	4.463405	9.437326666666667	0.18614999999999993	0.38205	0.5681999999999999	0.0316135662712374	FALSE	0	TRUE	yes	no	NA	-0.8517928754284888	4.039508717422173	9.316723202607708	0.01831067220330994	0.29511560622688254	-0.5176837757827937	4.198486654886483	5.136619653018822	0.05654241664422867	0.2048155627058584	TRUE	FALSE	FALSE	0.0316135662712374	MKS1	protein_coding	protein_coding	c(""Bardet-Biedl syndrome, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000033867	ENST00000428386	A_RO_D200	B_RO_D100	67.983595	73.56847	12.93324	3.50406	-0.14418333333333333	0.19025	0.04606666666666666	0.00933425057763601	FALSE	0	TRUE	yes	no	TRUE	2.1119331332215188	3.614638365950843	3.531363335730777	0.1018947358121536	0.4801747071703491	-0.02358823450370098	7.97508235202452	0.02198719825481188	0.8861650567974899	0.946610738430486	TRUE	FALSE	FALSE	0.00933425057763601	SLC4A7	protein_coding	protein_coding	Cone or cone-rod dystrophy, autosomal recessive
ENSG00000040487	ENST00000375153	A_RO_D200	B_RO_D100	6.99419	6.42345	0.68511	3.04747	0.3788	0.1026	0.4814000000000001	0.00921450310831768	FALSE	1	TRUE	yes	no	TRUE	-1.916212707029335	2.1213087198812475	8.774233191292192	0.02081519281382032	0.3062988060632154	0.01582258896795696	3.94426646949699	0.00246236069242831	0.9617735751183702	0.9832278948615254	TRUE	FALSE	FALSE	0.00921450310831768	SLC66A1	protein_coding	protein_coding	Retinitis pigmentosa, autosomal recessive
ENSG00000048545	ENST00000372958	A_RO_D200	B_RO_D100	30.78874	16.36534	11.4318	2.1839233333333334	-0.27165	0.41335	0.1417	0.01631983024816443	FALSE	0	TRUE	yes	no	TRUE	2.622976224328902	3.292763239350809	12.712538815379451	0.00901060118985506	0.2288070621961844	1.3720917280278893	5.067361149051971	16.10649487864852	0.00484257290171214	0.06437921172833921	TRUE	FALSE	FALSE	0.01631983024816443	GUCA1A	protein_coding	protein_coding	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000048545	ENST00000679182	A_RO_D200	B_RO_D100	30.78874	16.36534	19.35694	14.181416666666664	0.27164999999999995	0.58665	0.8583	0.01623014441022114	FALSE	0	TRUE	yes	no	TRUE	0.6978353256632085	4.773655019564686	1.3521458674831075	0.2826657979685737	0.6365951211022628	1.3720917280278893	5.067361149051971	16.10649487864852	0.00484257290171214	0.06437921172833921	TRUE	FALSE	FALSE	0.01623014441022114	GUCA1A	protein_coding	protein_coding	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000074621	ENST00000261892	A_RO_D200	B_RO_D100	25.97088	4.438433333333333	17.334690000000002	1.4994466666666666	-0.32095	0.65985	0.33890000000000003	4.327497866377532e-4	FALSE	0	TRUE	yes	no	TRUE	3.7653078660787633	3.836084106466645	39.5903456015548	3.9204408794496216e-4	0.07351135832002698	1.8759245499260888	4.682350836152913	40.247087941299505	3.4900648608694274e-4	0.02422044288343895	TRUE	FALSE	TRUE	4.327497866377532e-4	SLC24A1	protein_coding	protein_coding	Congenital stationary night blindness, autosomal recessive
ENSG00000074621	ENST00000339868	A_RO_D200	B_RO_D100	25.97088	4.438433333333333	2.3744	1.4994466666666666	0.25140000000000007	0.0875	0.33890000000000003	7.589416453634137e-5	FALSE	0	TRUE	yes	no	TRUE	0.9036985687077268	1.827371077393388	0.4737449871862569	0.5132249780666347	0.8061260171247483	1.8759245499260888	4.682350836152913	40.247087941299505	3.4900648608694274e-4	0.02422044288343895	TRUE	FALSE	TRUE	7.589416453634137e-5	SLC24A1	protein_coding	protein_coding	Congenital stationary night blindness, autosomal recessive
ENSG00000075891	ENST00000427256	A_RO_D200	B_RO_D100	32.135864999999995	3.11711	4.684865	0	-0.13525	0.13525	0	0.02006902451190236	FALSE	0	TRUE	yes	no	TRUE	8.91945624239078	1.9642179570013387	13.495302212288747	0.01405854869941442	0.2689444457549111	3.21517420262625	5.307667418473908	10.918938630378117	0.01257501767064088	0.09767204958978189	TRUE	FALSE	FALSE	0.02006902451190236	PAX2	protein_coding	protein_coding	Syndromic/systemic diseases with retinopathy, autosomal dominant
ENSG00000092200	ENST00000556336	A_RO_D200	B_RO_D100	42.310785	12.345873333333332	5.271785	0	-0.1275	0.1275	0	2.780420192595001e-6	FALSE	0	TRUE	yes	no	TRUE	9.104841998984163	1.9496514416100277	61.64307460353285	0.00132849463167867	0.11265021932230386	1.2657068017815398	6.323609001903015	29.169162215815582	9.263927093903172e-4	0.03348238315122498	TRUE	FALSE	TRUE	2.780420192595001e-6	RPGRIP1	protein_coding	protein_coding	c(""Cone or cone-rod dystrophy, autosomal recessive"", ""Leber congenital amaurosis, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000100412	ENST00000679284	A_RO_D200	B_RO_D100	45.15002999999999	55.84522333333334	3.09605	26.1615	0.39848333333333336	0.06865	0.46713333333333334	1.0115004892978169e-7	TRUE	1	TRUE	no	no	TRUE	-2.844227035769581	4.909442577015913	5.496199187779562	0.05250385204056835	0.415110494147428	0.08890582080591881	6.177921511495855	0.4404272199846515	0.5274677202152205	0.7273377756330955	TRUE	FALSE	FALSE	1.0115004892978169e-7	ACO2	protein_coding	retained_intron	c(""Optic atrophy, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000100412	ENST00000396512	A_RO_D200	B_RO_D100	45.15002999999999	55.84522333333334	5.04574	0	-0.1096	0.1096	0	1.767628232918259e-4	FALSE	0	TRUE	yes	no	TRUE	9.05943024784557	1.949205178635394	20.260664083834413	0.00619397580141287	0.19945394220454893	0.08890582080591881	6.177921511495855	0.4404272199846515	0.5274677202152205	0.7273377756330955	TRUE	FALSE	FALSE	1.767628232918259e-4	ACO2	protein_coding	protein_coding	c(""Optic atrophy, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
