iso_ref	gene_ref	isoform_id	gene_id	condition_1	condition_2	gene_name	gene_biotype	iso_biotype	gene_overall_mean	gene_value_1	gene_value_2	gene_stderr_1	gene_stderr_2	gene_log2_fold_change	gene_q_value	iso_overall_mean	iso_value_1	iso_value_2	iso_stderr_1	iso_stderr_2	iso_log2_fold_change	iso_q_value	IF_overall	IF1	IF2	dIF	isoform_switch_q_value	gene_switch_q_value	PTC	neg_log_10_q
isoComp_00147158	geneComp_00045968	ENST00000652515	ALDH1L2	RGC	RO_D45	ALDH1L2	protein_coding	protein_coding	2.7391289828592056	2.6019174096856923	2.8051014021461445	0.3321173544593135	1.4676588310412475	0.10807761147335948	NA	1.5432620933149033	0.4717135590063057	2.617378373681035	0.1909474169579044	1.2985823212184617	2.447376542858961	NA	0.5524875	0.178825	0.9513	0.772475	0.019033639291765186	0.019033639291765186	FALSE	1.7204781653009242
isoComp_00148354	geneComp_00046207	ENST00000333279	ANKRD45	RGC	RO_D45	ANKRD45	protein_coding	protein_coding	13.939932485838181	13.260533430399171	16.371394965546333	2.4631438901254694	9.19653685728727	0.3038318522809859	NA	7.225060561578998	2.7735803411880604	14.993500393258198	0.6869408126155708	8.893805958076435	2.4302854993563954	NA	0.5185625	0.2539	0.8922	0.6383	0.011151096529737996	0.011151096529737996	FALSE	1.9526824246876069
isoComp_00148355	geneComp_00046207	ENST00000367712	ANKRD45	RGC	RO_D45	ANKRD45	protein_coding	retained_intron	13.939932485838181	13.260533430399171	16.371394965546333	2.4631438901254694	9.19653685728727	0.3038318522809859	NA	6.7148719242591826	10.486953089211111	1.3778945722881353	2.986663513871753	0.3027308992108362	-2.9190007363272295	NA	0.4814375	0.7461	0.10780000000000001	-0.6383	0.011157693792668554	0.011151096529737996	NA	1.9524255613679449
isoComp_00149740	geneComp_00046476	ENST00000616767	ARHGAP23	RGC	RO_D45	ARHGAP23	protein_coding	protein_coding	13.111012967493869	10.699871995102855	15.153552563485052	0.7044046633302469	1.9614872398761793	0.501666555085006	NA	3.510784318271979	0.33847239945569396	9.428955680507652	0.11497834641072507	1.262077869542595	4.759510951691777	NA	0.2284875	0.03295	0.6219	0.58895	3.0004442193223607e-7	3.0004442193223607e-7	FALSE	6.5228144427074755
isoComp_00149747	geneComp_00046476	ENST00000633445	ARHGAP23	RGC	RO_D45	ARHGAP23	protein_coding	protein_coding	13.111012967493869	10.699871995102855	15.153552563485052	0.7044046633302469	1.9614872398761793	0.501666555085006	NA	6.217457513134602	8.215433468752853	2.5736560429294717	0.40434746655059256	0.7001661754962751	-1.6706776891978825	NA	0.5309125	0.7705	0.17885	-0.59165	0.0023036972957843787	3.0004442193223607e-7	FALSE	2.637574587491522
isoComp_00151781	geneComp_00046851	ENST00000489140	ATP13A4	RGC	RO_D45	ATP13A4	protein_coding	protein_coding_CDS_not_defined	4.668883156079232	6.324236857128456	2.9053124270423623	0.9504142152297629	0.6745964248262538	-1.1195203134212273	NA	1.4182621480291973	0.9027193830221469	2.145505421093638	0.3962767434798575	0.3660662359361521	1.2397829162115837	NA	0.3753625	0.1304	0.7496499999999999	0.61925	0.024663993675395644	0.024663993675395644	NA	1.6079365996479578
isoComp_00156138	geneComp_00047919	ENST00000519289	C8orf44-SGK3	RGC	RO_D45	C8orf44-SGK3	protein_coding	protein_coding	3.8213764109126815	2.1159383262721962	5.950366553623347	0.49435428556531635	2.922150828779177	1.4873013122831809	NA	1.032293247320078	1.397968376577607	0.17161663696513818	0.29390338325912685	0.17161663696513815	-2.9546466592840677	NA	0.4125	0.7082	0.01935	-0.6888500000000001	0.04059339808478535	0.03312181572514764	FALSE	1.3915445922476062
isoComp_00156139	geneComp_00047919	ENST00000520044	C8orf44-SGK3	RGC	RO_D45	C8orf44-SGK3	protein_coding	protein_coding	3.8213764109126815	2.1159383262721962	5.950366553623347	0.49435428556531635	2.922150828779177	1.4873013122831809	NA	2.789083163592603	0.7179699496945893	5.778749916658208	0.43341963387980326	2.7505341918140385	2.9913010282608576	NA	0.5875	0.2918	0.98065	0.68885	0.03312181572514764	0.03312181572514764	FALSE	1.4798858633787753
isoComp_00157516	geneComp_00048191	ENST00000700102	CASP3	RGC	RO_D45	CASP3	protein_coding	retained_intron	60.34478850393774	92.78103846013452	28.561870287914218	8.294430793192	3.4324593285961367	-1.6993900031589801	NA	27.127103033771455	51.2257829709427	1.3342959898458329	3.906860548327328	0.07561773472486431	-5.252229003881545	NA	0.338525	0.55575	0.0471	-0.5086499999999999	1.520969335213094e-14	1.520969335213094e-14	NA	13.817879541819448
isoComp_00158085	geneComp_00048320	ENST00000327925	CCDC144NL	RGC	RO_D45	CCDC144NL	lncRNA	lncRNA	9.426085770363839	11.23174155377937	4.346955636893425	3.287234491959625	0.7302220252718228	-1.36747322430354	NA	5.6427412733879905	8.77724395891668	0.31299049723199845	2.973420680547884	0.0024998189952386562	-4.765847122980334	NA	0.46661250000000004	0.7321500000000001	0.07395	-0.6582000000000001	2.2490653952170103e-4	2.2490653952170103e-4	NA	3.6479979165657075
