gene_ref	gene_id	gene_name	condition_1	condition_2	isoformUpregulated	isoformDownregulated	iso_ref_up	iso_ref_down	featureCompared	isoformsDifferent	switchConsequence
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	intron_retention	TRUE	Intron retention gain
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	coding_potential	FALSE	NA
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	NMD_status	TRUE	NMD sensitive
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	domains_identified	TRUE	Domain loss
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	domain_isotype	FALSE	NA
geneComp_00000114	ENSG00000003436	TFPI	RO_D100	RO_D200	ENST00000481132.5	ENST00000233156.9	isoComp_00000454	isoComp_00000446	signal_peptide_identified	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	intron_retention	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	coding_potential	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	ORF_seq_similarity	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	NMD_status	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	domains_identified	FALSE	NA
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	domain_isotype	TRUE	Domain non-reference isotype gain
geneComp_00000208	ENSG00000006468	ETV1	RO_D100	RO_D200	ENST00000403527.6	ENST00000430479.6	isoComp_00001196	isoComp_00001201	signal_peptide_identified	FALSE	NA
geneComp_00000216	ENSG00000006625	GGCT	RO_D100	RO_D200	ENST00000275428.9	ENST00000440082.5	isoComp_00001265	isoComp_00001270	intron_retention	FALSE	NA
geneComp_00000216	ENSG00000006625	GGCT	RO_D100	RO_D200	ENST00000275428.9	ENST00000440082.5	isoComp_00001265	isoComp_00001270	coding_potential	TRUE	Transcript is coding
