gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00057420	ENSG00000167460	TPM4	RO_D100	RO_D45	1.6225735391439715e-142	1
geneComp_00052706	ENSG00000135829	DHX9	RO_D100	RO_D45	2.507541060311872e-100	2
geneComp_00052545	ENSG00000134986	NREP	RO_D100	RO_D45	3.010827957152322e-58	3
geneComp_00051575	ENSG00000127914	AKAP9	RO_D100	RO_D45	1.17750765924495e-52	4
geneComp_00059519	ENSG00000177963	RIC8A	RO_D100	RO_D45	7.482854676652591e-51	5
geneComp_00053662	ENSG00000141646	SMAD4	RO_D100	RO_D45	1.9508375051413052e-48	6
geneComp_00051212	ENSG00000124767	GLO1	RO_D100	RO_D45	4.5720921643099186e-41	7
geneComp_00054630	ENSG00000149177	PTPRJ	RO_D100	RO_D45	5.055131513043967e-41	8
geneComp_00046784	ENSG00000066279	ASPM	RO_D100	RO_D45	1.9178537209245777e-40	9
geneComp_00049139	ENSG00000107643	MAPK8	RO_D100	RO_D45	9.742164431631414e-36	10
geneComp_00052617	ENSG00000135390	ATP5MC2	RO_D100	RO_D45	6.785319340873799e-34	11
geneComp_00058763	ENSG00000173692	PSMD1	RO_D100	RO_D45	4.040304674882199e-33	12
geneComp_00048227	ENSG00000101216	GMEB2	RO_D100	RO_D45	4.638208451222191e-33	13
geneComp_00049913	ENSG00000113851	CRBN	RO_D100	RO_D45	2.9837607320085103e-32	14
geneComp_00053018	ENSG00000137504	CREBZF	RO_D100	RO_D45	3.1608318968572663e-32	15
geneComp_00050990	ENSG00000123143	PKN1	RO_D100	RO_D45	2.5728783659230265e-27	16
geneComp_00050490	ENSG00000118564	FBXL5	RO_D100	RO_D45	6.3865260864346e-25	17
geneComp_00054537	ENSG00000148341	SH3GLB2	RO_D100	RO_D45	8.54596951138109e-25	18
geneComp_00046008	ENSG00000007392	LUC7L	RO_D100	RO_D45	9.73491980802926e-24	19
geneComp_00054489	ENSG00000147852	VLDLR	RO_D100	RO_D45	4.033015772578567e-23	20
geneComp_00052871	ENSG00000136754	ABI1	RO_D100	RO_D45	6.994556788359509e-23	21
geneComp_00053014	ENSG00000137497	NUMA1	RO_D100	RO_D45	9.675927209367763e-23	22
geneComp_00053719	ENSG00000142208	AKT1	RO_D100	RO_D45	1.072092834609366e-22	23
geneComp_00050169	ENSG00000115904	SOS1	RO_D100	RO_D45	1.2264332336378932e-22	24
geneComp_00061953	ENSG00000196715	VKORC1L1	RO_D100	RO_D45	1.9775807518996702e-22	25
geneComp_00050790	ENSG00000121210	TMEM131L	RO_D100	RO_D45	3.6309863000127397e-22	26
geneComp_00053294	ENSG00000139116	KIF21A	RO_D100	RO_D45	3.963037160446826e-22	27
geneComp_00050567	ENSG00000119487	MAPKAP1	RO_D100	RO_D45	4.2070689677039226e-22	28
geneComp_00056119	ENSG00000162512	SDC3	RO_D100	RO_D45	4.581177223361753e-22	29
geneComp_00046403	ENSG00000042317	SPATA7	RO_D100	RO_D45	8.10103555388027e-22	30
geneComp_00056824	ENSG00000164902	PHAX	RO_D100	RO_D45	1.0787162028154192e-21	31
geneComp_00048293	ENSG00000101474	APMAP	RO_D100	RO_D45	3.0966849133115936e-21	32
geneComp_00050059	ENSG00000115255	REEP6	RO_D100	RO_D45	3.3474892780433935e-21	33
geneComp_00055420	ENSG00000156642	NPTN	RO_D100	RO_D45	9.040707745012702e-21	34
geneComp_00055520	ENSG00000157540	DYRK1A	RO_D100	RO_D45	1.1819715166968488e-20	35
geneComp_00055949	ENSG00000161016	RPL8	RO_D100	RO_D45	2.518486535653163e-20	36
geneComp_00055065	ENSG00000153187	HNRNPU	RO_D100	RO_D45	3.6098506247120206e-20	37
geneComp_00062265	ENSG00000197858	GPAA1	RO_D100	RO_D45	6.003718406128651e-20	38
geneComp_00049461	ENSG00000110318	CEP126	RO_D100	RO_D45	1.5037770051154245e-19	39
geneComp_00047455	ENSG00000085511	MAP3K4	RO_D100	RO_D45	2.960194263583413e-19	40
geneComp_00046154	ENSG00000013441	CLK1	RO_D100	RO_D45	3.7806284287533903e-19	41
geneComp_00051456	ENSG00000126524	SBDS	RO_D100	RO_D45	1.7543039237283158e-18	42
