isoform_id	ATTS	ATTS_genomic_start	ATTS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000003583	1	24356999	24357005	ENSG00000001460	STPG1	24359420,24362890,24366189,24366306,24366308,24369999,24370299,24372728,24373197,24375483,24375942,24376681,24378103,24380900,24381496,24383755,24383914,24385557,24386159,24392275,24392277,24393618,24401438,24405709,24406537,24406713,24408290,24408378,24408380,24408859,24412101,24412281
ENST00000686149	1	92197498	92199420	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000394505	1	92197498	92199413	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000393405	1	48123074	48123601	ENSG00000002919	SNX11	48103835,48103881,48103891,48107169,48110388,48110404,48110406,48113690,48118255,48121986,48122149,48122151,48123592
ENST00000262820	1	117897813	117897814	ENSG00000003096	KLHL13	117898210,117899286,117900082,117904234,117904246,117905185,117911437,117916026,117917094,117917128,117918040,117919168,117919178,117920541,117923054,117923056,117929916,117932099,117932427,117935013,117938251,117938548,117938988,117939242,117939244,117939405,117942726,117944582,117945678,117946338,117948693,117949884,117950873,117953097,117957867,117958453,117959239,117959241,117960642,117962336,117962338,117963533,117964829,117965053,117968325,117970972,117974712,117975531,117977096,117977242,117977535,117977895,117977897,117977948,117985091,117986434,117986669,117990199,117991007,117999235,118002461,118002666,118003996,118005275,118007700,118010282,118011285,118014473,118014475,118014868,118015657,118015698,118017329,118018015,118018017,118018019,118018163,118020684,118021705,118023912,118023914,118024896,118025068,118025242,118026023,118026309,118026339,118026359,118037286,118041395,118042024,118045677,118047275,118047700,118047702,118047708,118048568,118050006,118053182,118053578,118055105,118055416,118057291,118059004,118059673,118063905,118064402,118064995,118066995,118067161,118067760,118069276,118070059,118071222,118074448,118081164,118083660,118084199,118085932,118090820,118091761,118098617,118102333,118102763,118103934,118105092,118107921,118110210,118110290,118110997
ENST00000422063	1	8113184;8113593	8113511;8113923	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000695604	1	33007986	33009945	ENSG00000004455	AK2	33008638,33008964,33009528,33011151,33012765,33012979,33012981,33014019,33019768,33021559,33026393,33029557,33029897,33030652,33031516,33032035,33033389,33034263,33041166,33043238,33047190,33047849,33048438,33048665,33049232,33050376,33054901,33056863,33057919,33060059,33061623,33061625,33068169,33069477,33072873,33073092,33075834,33079564
ENST00000550338	1	33007986	33008888	ENSG00000004455	AK2	33008638,33008964,33009528,33011151,33012765,33012979,33012981,33014019,33019768,33021559,33026393,33029557,33029897,33030652,33031516,33032035,33033389,33034263,33041166,33043238,33047190,33047849,33048438,33048665,33049232,33050376,33054901,33056863,33057919,33060059,33061623,33061625,33068169,33069477,33072873,33073092,33075834,33079564
ENST00000454079	1	50077247;50090382;50092043;50093720;50099982	50077249;50090451;50092208;50093875;50100045	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000266022	1	50090382;50092043;50093720;50099982	50090451;50092208;50093875;50100045	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
