isoform_id	gene_name
ENST00000224784	ACTA2
ENST00000439696	ZFP36L1
ENST00000232424	HES1
ENST00000644641	SLC18A2
transcript77661.chr14.nnic	ZFP36L1
ENST00000367674	TNR
transcript234763.chr3.nnic	HES1
ENST00000342503	RTN1
ENST00000610854	NEFL
transcript9064.chr11.nnic	NA
ENST00000303177	NSG2
ENST00000358278	TPM1
transcript234755.chr3.nic	HES1
ENST00000616316	IFITM2
ENST00000199936	HSD17B2
ENST00000356455	UBE2C
ENST00000380518	COL2A1
ENST00000305031	CHSY3
ENST00000294312	FGF19
ENST00000443236	CPAMD8
transcript21394.chr8.nnic	STMN4
transcript33795.chr18.nnic	NA
ENST00000287713	NMNAT2
transcript147116.chr12.nnic	RPL18AP3
ENST00000416167	IGF2
ENST00000282388	ZFP36L2
ENST00000288207	CCNB2
ENST00000362072	DRD2
transcript46923.chr18.nnic	ONECUT2
ENST00000303375	MRC2
ENST00000478951	TAGLN3
ENST00000491143	ONECUT2
ENST00000257290	PDGFRA
ENST00000651564	CPAMD8
ENST00000282928	ZIC1
ENST00000616661	DHRS3
ENST00000335698	ATP5F1C
ENST00000396396	PGM5
ENST00000257860	PRPH
transcript7951.chr11.nnic	IGF2
ENST00000233813	IGFBP5
ENST00000514985	SELENOP
ENST00000504425	TTC29
ENST00000319420	SHISA2
transcript8954.chr11.nnic	IGF2
ENST00000277415	OLFM1
ENST00000231061	SPARC
ENST00000253407	C1QL1
ENST00000265342	FSTL4
ENST00000225441	RUNDC3A
