#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000379370.7	7326	2046	0.37862	6.018078422546386	1	1	coding
ENST00000620552.4	7394	2069	0.37862	6.00523281097412	1	1	coding
ENST00000651234.1	7477	1964	0.37367	6.143806266784667	1	1	coding
ENST00000652369.1	7408	1941	0.37862	6.163017845153808	1	1	coding
ENST00000461111.1	3385	216	0.30955	8.762816810607909	1	0.907668	coding
ENST00000479659.5	4247	600	0.39172999999999997	8.176670265197757	1	1	coding
ENST00000355826.10	3206	1000	0.39111	8.719107246398927	1	1	coding
ENST00000505820.7	3248	1014	0.39111	8.80755786895752	1	1	coding
ENST00000520777.6	3236	1010	0.37515	8.80755786895752	1	1	coding
ENST00000511502.5	3326	673	0.37515	8.938106346130372	1	1	coding
ENST00000477990.1	2821	122	0.27469	5.10228862762451	1	0.56532	coding
ENST00000487053.5	3252	817	0.39452	8.24287929534912	1	1	coding
ENST00000378712.5	2890	754	0.39576	7.41046314239502	1	1	coding
ENST00000507082.1	1578	55	0.33296000000000003	6.707308006286621	1	0.0203479	noncoding
ENST00000463492.1	486	47	0.34931	7.776192665100098	1	0.0143668	noncoding
ENST00000504599.6	3311	970	0.39111	8.38735294342041	1	1	coding
ENST00000378567.8	2385	593	0.44007	5.48583812713623	1	1	coding
ENST00000400921.6	2294	410	0.44778	4.64581470489502	1	1	coding
ENST00000461106.6	1916	489	0.40992	5.611907005310059	1	1	coding
ENST00000418088.6	3697	159	0.33265	4.822015571594237	1	0.940192	coding
ENST00000648479.1	3719	202	0.33265	5.928841209411621	1	0.986065	coding
ENST00000452079.5	6358	202	0.31616999999999995	5.928841209411621	1	0.978948	coding
ENST00000648600.1	3088	202	0.34474000000000005	5.928841209411621	1	0.989938	coding
ENST00000423764.6	3525	202	0.30955	5.928841209411621	1	0.975506	coding
ENST00000636630.1	2529	132	0.33068	9.097601127624515	1	0.353631	noncoding
ENST00000648935.1	3237	117	0.28122	11.550494194030762	1	0.102687	noncoding
ENST00000487949.4	2664	568	0.44160000000000005	5.250354194641112	1	1	coding
ENST00000489097.6	3938	847	0.45623	5.522897148132324	1	1	coding
ENST00000535355.6	3695	1076	0.45176	5.882574272155761	1	1	coding
ENST00000400913.6	3668	1007	0.45176	5.732633018493654	1	1	coding
ENST00000340850.10	3699	1007	0.4592	5.732633018493654	1	1	coding
ENST00000377732.5	3753	1044	0.45176	5.922645759582519	1	1	coding
ENST00000400915.8	3731	1063	0.4379	5.925146675109862	1	1	coding
ENST00000377740.5	4191	1084	0.46486000000000005	6.036153221130371	1	1	coding
ENST00000490738.5	538	51	0.37213	8.739930534362792	1	0.0236444	noncoding
ENST00000303635.12	8314	1674	0.44236000000000003	7.294000053405762	1	1	coding
ENST00000476163.5	863	51	0.38604	8.739930534362792	1	0.0266099	noncoding
ENST00000700414.1	6234	1491	0.44249	6.688210105895997	1	1	coding
ENST00000473578.5	567	81	0.39752	9.46100940704346	1	0.139424	noncoding
ENST00000557126.5	486	102	0.38056	9.38725757598877	1	0.256897	noncoding
ENST00000476864.2	6282	1561	0.43973999999999996	6.983829689025879	1	1	coding
ENST00000461311.1	431	25	0.43754	4.133468055725097	1	0.0212044	noncoding
ENST00000495233.6	3678	705	0.36913	9.230857276916506	1	1	coding
ENST00000710284.1	4288	573	0.34615	9.29783992767334	1	1	coding
ENST00000700424.1	3102	592	0.36913	9.232984733581542	1	1	coding
ENST00000234590.10	1781	435	0.45030000000000003	7.011794471740722	1	1	coding
ENST00000464920.2	2548	342	0.4149	5.932308387756348	1	1	coding
ENST00000645609.1	1819	403	0.47546	5.811241340637207	1	1	coding
ENST00000377093.9	7800	1154	0.39339	8.660956764221194	1	1	coding
ENST00000696500.1	7839	834	0.39339	8.700927162170409	1	1	coding
ENST00000676179.1	10855	1817	0.41107000000000005	5.418768119812011	1	1	coding
ENST00000263934.10	6816	1771	0.44416	5.386654090881348	1	1	coding
ENST00000377086.5	10669	1817	0.41259	5.418768119812011	1	1	coding
ENST00000620295.2	8624	1810	0.43494999999999995	5.383925819396972	1	1	coding
ENST00000703139.1	3388	570	0.44098	8.041609001159667	1	1	coding
ENST00000376838.5	4017	755	0.43945999999999996	7.689315223693849	1	1	coding
ENST00000361445.9	8721	2550	0.4846	6.730896186828613	1	1	coding
