gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	label	significant
ENSG00000120738	-10.781848628212385	7.452359242724665	37.30764534782515	2.4474094896943105e-4	0.0010744368275859538	EGR1	protein_coding	5	2.96881911413006	EGR1	TRUE
ENSG00000145824	-10.042914842086436	6.82124552733527	275.4774976182838	2.324909838219521e-16	1.158101502281222e-14	CXCL14	protein_coding	5	13.936253375022407	CXCL14	TRUE
ENSG00000177697	-9.97688375441402	8.927369821654967	544.479704576362	1.5293428816193926e-22	7.967239187036362e-20	CD151	protein_coding	11	19.098692144545147	CD151	TRUE
ENSG00000156298	-9.755410930291786	7.59289852035137	524.8094766188946	2.760575694109681e-22	1.190188893222529e-19	TSPAN7	protein_coding	X	18.924384106864597	TSPAN7	TRUE
ENSG00000104442	-9.62854597911684	6.777691304673159	357.2669275483449	5.898982313705259e-19	6.045489825266955e-17	ARMC1	protein_coding	8	16.218568505424827	ARMC1	TRUE
ENSG00000226742	-9.296465657531233	6.15221002701525	310.97468666402443	4.521261703992931e-18	3.5553040933977115e-16	HSBP1L1	protein_coding	18	15.449123247132109	HSBP1L1	TRUE
ENSG00000141127	-9.287957715102925	8.09572139580507	562.8163658255968	8.977361842005662e-23	5.612197755529839e-20	PRPSAP2	protein_coding	17	19.250867034254117	PRPSAP2	TRUE
ENSG00000134202	-9.189651385392926	7.820211557119017	479.82295615250905	1.1570207078664498e-21	3.444340454870053e-19	GSTM3	protein_coding	1	18.462893927379916	GSTM3	TRUE
ENSG00000179344	-9.14862333395415	4.955578927377779	113.93107437285401	1.1262914524390627e-9	1.5474749483346812e-8	HLA-DQB1	protein_coding	6	7.810376372930187	HLA-DQB1	TRUE
ENSG00000102241	9.125798738867264	8.113953233165313	816.2524963630016	6.746384314078563e-25	1.4058340513154047e-21	HTATSF1	protein_coding	X	20.852065941657262	HTATSF1	TRUE
ENSG00000180035	-8.974570091144003	6.128043813555557	252.02266146656555	9.407569935689688e-17	5.141170219905385e-15	ZNF48	protein_coding	16	14.288938016762843	ZNF48	TRUE
ENSG00000111640	-8.910578566597747	14.002319839477899	721.4830142710437	1.7970545542431582e-24	2.2468573091702207e-21	GAPDH	protein_coding	12	20.648424507379584	GAPDH	TRUE
ENSG00000177311	-8.739080593519146	5.94262948227264	211.10075820705035	1.1523453797889479e-15	4.603122774281538e-14	ZBTB38	protein_coding	3	13.336947441468853	ZBTB38	TRUE
ENSG00000223953	-8.735736161960562	5.717535111867869	35.27695444819471	1.9514035707513083e-4	8.833598423281537e-4	C1QTNF5	protein_coding	11	3.0538623477216182	C1QTNF5	TRUE
ENSG00000140988	-8.685290717906579	11.757788137405363	847.2665473273203	1.160026223757605e-25	8.78158007405816e-22	RPS2	protein_coding	16	21.056427334241388	RPS2	TRUE
ENSG00000250479	-8.663964270502719	7.1217878445818315	328.12550103563245	4.560053582017264e-19	4.791121843358139e-17	CHCHD10	protein_coding	22	16.31956278442776	CHCHD10	TRUE
ENSG00000145423	-8.66092809993579	11.245215233078486	177.61667220097888	1.198906073585413e-8	1.3802875357309778e-7	SFRP2	protein_coding	4	6.860030433762769	SFRP2	TRUE
ENSG00000186376	-8.607337843172662	5.247718785639797	160.62760442357967	4.906036523051323e-14	1.384654055253063e-12	ZNF75D	protein_coding	X	11.858658718051839	ZNF75D	TRUE
ENSG00000169314	-8.52051677271758	6.9327382913213915	337.06577368847894	3.005877490741521e-19	3.3858095735802917e-17	C22orf15	protein_coding	22	16.4703374713508	C22orf15	TRUE
ENSG00000148297	-8.50083311023599	5.771276253587576	194.3410722919252	3.6428147685168165e-15	1.3163616488660624e-13	MED22	protein_coding	9	12.880624779012477	MED22	TRUE
ENSG00000176018	-8.461775806721386	5.757810538244299	183.73606963513527	7.894620542232736e-15	2.625171293604678e-13	LYSMD3	protein_coding	5	12.580842353423666	NA	TRUE
ENSG00000169926	-8.432742624154036	5.594721752105751	139.4982658415964	3.1985834444308094e-13	7.661281380405825e-12	KLF13	protein_coding	15	11.115698586777484	NA	TRUE
ENSG00000184232	-8.402721475016765	7.780471703892789	209.9700181175232	4.093525906054298e-11	6.944552836281802e-10	OAF	protein_coding	11	9.158355713495485	NA	TRUE
ENSG00000163626	-8.318510492010146	5.898888317194178	138.4008181818116	3.547862720525898e-13	8.465444197468568e-12	COX18	protein_coding	4	11.072350248724787	NA	TRUE
ENSG00000166508	-8.312304233703726	8.473066704078354	399.5256695412815	4.892478475124977e-20	7.369958840299709e-18	MCM7	protein_coding	7	17.132534937579297	NA	TRUE
ENSG00000165512	-8.184409920854828	6.919334401410122	123.07330984591412	8.2873910620745e-9	9.840194724512582e-8	ZNF22	protein_coding	10	7.006996307366975	NA	TRUE
ENSG00000117480	-8.16793757455157	5.146303126528044	125.44044654406835	1.272831437431081e-12	2.801797792640987e-11	FAAH	protein_coding	1	10.552563211201944	NA	TRUE
ENSG00000170464	-8.14328196733573	7.1315670755077605	405.7175729527209	1.653769652370401e-20	3.099783011072874e-18	DNAJC18	protein_coding	5	17.50866870629217	NA	TRUE
ENSG00000198551	-8.13042107416128	7.086836432977299	352.276402352685	1.5130343832376119e-19	1.9502545251154494e-17	ZNF627	protein_coding	19	16.70990870574533	NA	TRUE
ENSG00000204033	-8.126444112681094	4.548435052501324	79.07667344966897	3.6011658471081417e-10	5.266125916537204e-9	LRIT2	protein_coding	10	8.278508760838855	NA	TRUE
ENSG00000130303	-8.09644556890233	5.05635958051095	102.87983819167259	1.962203772697975e-11	3.5067296919866696e-10	BST2	protein_coding	19	9.455097709397362	NA	TRUE
ENSG00000137876	-8.06864685653653	8.74100884139641	657.8524049059777	7.20790532287212e-24	6.677315090079362e-21	RSL24D1	protein_coding	15	20.17539812973416	NA	TRUE
ENSG00000198715	-8.053304499742081	5.630716384865346	152.7283975632253	9.64040600881191e-14	2.5429113149404074e-12	GLMP	protein_coding	1	11.594668785755719	NA	TRUE
ENSG00000167333	-8.053087223480595	5.181329268052129	134.9872411173351	4.918775054568735e-13	1.1473776960312106e-11	TRIM68	protein_coding	11	10.940293596657446	NA	TRUE
ENSG00000182195	-7.939149237582501	7.232368393054251	331.1860536817885	2.943129451046181e-17	1.8679161180929135e-15	LDOC1	protein_coding	X	14.728642630390363	NA	TRUE
ENSG00000183773	-7.920713130252529	4.662981280314371	103.32509390627054	1.4704816154142166e-11	2.695811090546034e-10	AIFM3	protein_coding	22	9.569310544335506	NA	TRUE
ENSG00000180354	-7.8957453916434215	5.5097250757304055	121.18437711631307	1.9817948227277192e-12	4.2211892109990926e-11	MTURN	protein_coding	7	10.374565180550846	NA	TRUE
ENSG00000148600	-7.8804301476057255	8.244547240109226	112.17561875722	1.4123228697581346e-7	1.3604216364087794e-6	CDHR1	protein_coding	10	5.866326469580966	NA	TRUE
ENSG00000267855	-7.792741667467548	9.341085211356775	816.9715737068376	2.107073520129127e-25	8.78158007405816e-22	NDUFA7	protein_coding	19	21.056427334241388	NA	TRUE
ENSG00000177156	-7.7775544861380554	8.571987943750699	527.9995473033149	2.5049170579956603e-22	1.1185349277185622e-19	TALDO1	protein_coding	11	18.951350449941422	NA	TRUE
ENSG00000118369	-7.776532850468435	5.342957585790951	100.13474776258319	2.163235752985344e-11	3.8364449105781214e-10	USP35	protein_coding	11	9.41607103366909	NA	TRUE
ENSG00000170779	-7.773582369791977	6.629997342032806	254.69427109683863	2.1953737265286532e-17	1.4446714580414607e-15	CDCA4	protein_coding	14	14.84023090735918	NA	TRUE
ENSG00000241837	-7.762163601626654	10.073676058169553	734.2509721226676	1.2064249362524353e-24	1.746755349492431e-21	ATP5PO	protein_coding	21	20.757767918031263	NA	TRUE
ENSG00000175606	-7.7245600677408826	7.064083423328397	406.8628183075159	1.5819033127231054e-20	3.0903964248401544e-18	TMEM70	protein_coding	8	17.5099858072814	NA	TRUE
ENSG00000121350	-7.719619608103245	6.394642818750084	288.27024867270666	3.3458004749338955e-18	2.7521410090854273e-16	PYROXD1	protein_coding	12	15.560329318293054	NA	TRUE
ENSG00000131435	-7.718171999285547	7.228379174951205	338.0776459816782	2.8692058453996443e-19	3.2911633655992435e-17	PDLIM4	protein_coding	5	16.482650559815202	NA	TRUE
ENSG00000113140	-7.705128833914738	10.288490097471655	588.0783924726384	4.4239891598680386e-23	3.4570710291143807e-20	SPARC	protein_coding	5	19.46129169733479	NA	TRUE
ENSG00000169598	-7.690486633003363	4.885618904858149	106.71684709172672	9.852755388589455e-12	1.8665000094474844e-10	DFFB	protein_coding	1	9.72897200353945	NA	TRUE
ENSG00000204618	-7.68406786097381	7.250354575044965	321.14267281698716	6.360399930643297e-19	6.409293597389761e-17	RNF39	protein_coding	6	16.19318983376688	NA	TRUE
ENSG00000241127	-7.673127784125997	7.164176363216051	335.4795025781911	3.234182269756547e-19	3.610444724889831e-17	YAE1	protein_coding	7	16.44243929957085	NA	TRUE
ENSG00000178695	-7.67301788794454	4.46560890289604	91.2295482274296	6.693494714936261e-11	1.0911181801935863e-9	KCTD12	protein_coding	13	8.962128207957662	NA	TRUE
ENSG00000128272	-7.666729222735657	8.543188120469562	532.303010188294	2.1990492203682786e-22	1.0183226815653551e-19	ATF4	protein_coding	22	18.992114582885687	NA	TRUE
ENSG00000130770	-7.64198475466185	9.444774952213326	742.2913237171368	1.0100475938455246e-24	1.746755349492431e-21	ATP5IF1	protein_coding	1	20.757767918031263	NA	TRUE
ENSG00000137463	-7.631233276139505	9.330975857934686	514.2554626786831	5.652402449020115e-22	2.1415753884878333e-19	MGARP	protein_coding	4	18.669266632811667	NA	TRUE
ENSG00000181830	-7.6234407053626425	5.123029302603237	94.43748416062566	4.414940999809154e-11	7.440396146014217e-10	SLC35C1	protein_coding	11	9.128403940872417	NA	TRUE
ENSG00000169660	-7.603815314354671	4.887547791733438	90.90279267518116	6.987603427365972e-11	1.1346234500306074e-9	HEXD	protein_coding	17	8.94514824482063	NA	TRUE
ENSG00000174799	-7.586173500913253	5.225567696652773	94.77359587284737	4.229201671655271e-11	7.14563628387917e-10	CEP135	protein_coding	4	9.145959093356684	NA	TRUE
ENSG00000107882	-7.585963139801543	4.752509835519884	87.40881856794294	1.1148741620617521e-10	1.762234089539581e-9	SUFU	protein_coding	10	8.75393640180214	NA	TRUE
ENSG00000177700	-7.5763926291966674	9.380978861794462	530.0347072761458	1.7213576953530433e-21	4.5791777159572555e-19	POLR2L	protein_coding	11	18.339212501359423	NA	TRUE
ENSG00000143575	-7.575964264204639	7.540420766969323	367.8201955300955	7.711123337681799e-20	1.0955928987617676e-17	HAX1	protein_coding	1	16.96035079134923	NA	TRUE
ENSG00000117122	-7.563594640317517	8.772606309270575	391.7718285073103	1.931727946249616e-18	1.7129357809899965e-16	MFAP2	protein_coding	1	15.766258918695014	NA	TRUE
ENSG00000139053	-7.531608490685487	9.614717929390292	50.21209323941508	2.8639096563999928e-5	1.6209806443625674e-4	PDE6H	protein_coding	12	3.7902221708989976	NA	TRUE
ENSG00000067836	-7.527218562871465	7.725510125686755	473.9552082072079	1.4077122145690626e-21	4.0001422315356797e-19	ROGDI	protein_coding	16	18.397924566353808	NA	TRUE
ENSG00000105193	-7.523248880250431	12.408876170101212	765.0125805303285	6.173755266089878e-25	1.4058340513154047e-21	RPS16	protein_coding	19	20.852065941657262	NA	TRUE
ENSG00000043514	-7.453834068968899	6.670125120428813	267.3658719168004	1.0531236443335386e-17	7.397306137697884e-16	TRIT1	protein_coding	1	15.13092640763827	NA	TRUE
ENSG00000107859	-7.445540825747786	3.6681341761600756	38.00825646706307	1.46517222708094e-6	1.148529677441567e-5	PITX3	protein_coding	10	4.939857778368312	NA	TRUE
ENSG00000189057	-7.439733804502527	4.371129543847674	74.10684110650908	7.567883483424343e-10	1.0584032124525119e-8	FAM111B	protein_coding	11	7.975348850653244	NA	TRUE
ENSG00000148291	-7.418733213433573	6.671866987346864	283.1258519000936	4.405298898067789e-18	3.4860412735785804e-16	SURF2	protein_coding	9	15.457667475292201	NA	TRUE
ENSG00000171867	-7.399243897423314	7.53269243861287	150.13415571276252	3.516455791557944e-9	4.432081326799291e-8	PRNP	protein_coding	20	7.353392279088266	NA	TRUE
ENSG00000163516	-7.37436913814158	6.74616536748236	237.66335549118975	6.211248197867152e-17	3.6171022110572645e-15	ANKZF1	protein_coding	2	14.441639218893625	NA	TRUE
ENSG00000105404	-7.373403122020142	8.544218355958254	542.6979338555592	1.6120408529770772e-22	8.062138713908958e-20	RABAC1	protein_coding	19	19.093549733822886	NA	TRUE
ENSG00000160818	-7.3683472811556365	6.250330651409271	212.579767170586	3.2587406220547845e-16	1.5610572761912688e-14	GPATCH4	protein_coding	1	13.806581162102558	NA	TRUE
ENSG00000167774	-7.350903660477632	9.35283365407528	817.9165169538628	2.0675491303198984e-25	8.78158007405816e-22		protein_coding	19	21.056427334241388	NA	TRUE
ENSG00000124701	-7.3479979666338755	4.54881344732708	84.55673443685151	1.6495249734354447e-10	2.530553465382008e-9	APOBEC2	protein_coding	6	8.596784482510465	NA	TRUE
ENSG00000146242	-7.303376687965747	6.247829686037953	124.22508579581515	4.474854550386585e-11	7.520041188640251e-10	TPBG	protein_coding	6	9.123779780691578	NA	TRUE
ENSG00000176903	-7.299435303254871	8.640052418953632	702.3477468972133	2.487933878580782e-24	2.8278761167177747e-21	PNMA1	protein_coding	14	20.54853961998275	NA	TRUE
ENSG00000254402	-7.273537147173327	5.151288212827704	76.82431002244896	5.0206679366438765e-10	7.157743581739839e-9	LRRC24	protein_coding	8	8.145223863787606	NA	TRUE
ENSG00000160679	-7.236482660693849	7.717136874617658	456.3329299368564	2.5725490117132257e-21	6.432916058690092e-19	CHTOP	protein_coding	1	18.19159211554904	NA	TRUE
ENSG00000145741	-7.220522451906296	10.62016189978023	656.3692442817099	7.476798469256264e-24	6.677315090079362e-21	BTF3	protein_coding	5	20.17539812973416	NA	TRUE
ENSG00000160325	-7.2149490565130465	6.336383640309364	174.5075974623739	5.7550791113796765e-15	1.9932341864149612e-13	CACFD1	protein_coding	9	12.700441672753213	NA	TRUE
ENSG00000125388	-7.214205860707553	4.440334688855257	60.414895486766184	7.8429452751869e-9	9.347983296059276e-8	GRK4	protein_coding	4	7.029282072321291	NA	TRUE
ENSG00000175970	-7.207363257031703	5.85614194307914	206.2264422969598	5.094146185647536e-16	2.281678895534077e-14	UNC119B	protein_coding	12	13.641745474602288	NA	TRUE
ENSG00000176845	-7.198647180714576	5.2120808378580845	86.2354579342877	1.3083242549251978e-10	2.0498719497906955e-9	METRNL	protein_coding	17	8.68827326735216	NA	TRUE
ENSG00000179922	-7.186748104552777	4.590135175782274	76.33797703231971	5.399094412575499e-10	7.67100880004903e-9	ZNF784	protein_coding	19	8.115147519038574	NA	TRUE
ENSG00000163444	-7.1763889529030775	6.042124564425424	159.2819794061305	2.1305561084651323e-14	6.577368647935692e-13	TMEM183A	protein_coding	1	12.18194781614934	NA	TRUE
ENSG00000170345	-7.1492965719812975	7.290927083302768	115.04529769837517	1.1392112380343254e-9	1.5635080251529276e-8	FOS	protein_coding	14	7.805899885274461	NA	TRUE
ENSG00000269179	-7.142555806242124	6.705961781026558	269.65132474617917	9.25497528859634e-18	6.650284829501151e-16		protein_coding	19	15.17715975360944	NA	TRUE
ENSG00000133243	-7.133631142744787	7.234703895465476	345.0170734102518	2.0923377386768325e-19	2.4679715798751354e-17	BTBD2	protein_coding	19	16.607659845762974	NA	TRUE
ENSG00000213903	-7.131287214072337	4.598713441964596	78.74828736170613	3.7783152823966667e-10	5.5058596708398045e-9	LTB4R	protein_coding	14	8.2591748617688	NA	TRUE
ENSG00000090013	-7.120390384080764	7.351995768797888	319.415761486749	6.912952858813862e-19	6.805720440452734e-17	BLVRB	protein_coding	19	16.16712589445007	NA	TRUE
ENSG00000224051	-7.092948685990882	5.655524713382433	160.6274650543164	1.8733040708363454e-14	5.870155588387676e-13	CPTP	protein_coding	1	12.231350387630968	NA	TRUE
ENSG00000170296	-7.078499556909183	10.749293064409137	773.075783869858	5.201640170867608e-25	1.4058340513154047e-21	GABARAP	protein_coding	17	20.852065941657262	NA	TRUE
ENSG00000185527	-7.073001810192646	8.040914619165807	123.66801921295749	1.9515175770407182e-9	2.5847271467945023e-8	PDE6G	protein_coding	17	7.587585295856643	NA	TRUE
ENSG00000148248	-7.071464255910312	7.743917767250258	353.32169786682925	1.4447601957427354e-19	1.9014564976180444e-17	SURF4	protein_coding	9	16.72091360612437	NA	TRUE
ENSG00000121542	-7.0651762783639525	6.673659989004598	298.8054198476866	1.930578161865948e-18	1.7129357809899965e-16	SEC22A	protein_coding	3	15.766258918695014	NA	TRUE
