gene_id	iso_ref	gene_ref	isoform_id	condition_1	condition_2	gene_name	gene_biotype	iso_biotype	gene_overall_mean	gene_value_1	gene_value_2	gene_stderr_1	gene_stderr_2	gene_log2_fold_change	gene_q_value	iso_overall_mean	iso_value_1	iso_value_2	iso_stderr_1	iso_stderr_2	iso_log2_fold_change	iso_q_value	IF_overall	IF1	IF2	dIF	isoform_switch_q_value	gene_switch_q_value	ensembl_gene_name	neg_log_10_q
ENSG00000000003	isoComp_00000124	geneComp_00000118	ENST00000373020.9	FT	RGC	TSPAN6	NA	NA	35.0101775	55.239675	14.78068	2.4815150000000017	1.2767899999999992	-1.901277596319033	NA	31.011935	52.542609999999996	9.481259999999999	2.5165100000000002	1.3197099999999997	-2.4690908885240104	NA	0.794775	0.95105	0.6385000000000001	-0.3125499999999999	3.625889794250116e-9	3.625889794250116e-9	TSPAN6	8.440585400040952
ENSG00000000003	isoComp_00000123	geneComp_00000118	BambuTx629	FT	RGC	TSPAN6	NA	NA	35.0101775	55.239675	14.78068	2.4815150000000017	1.2767899999999992	-1.901277596319033	NA	3.92807	2.5567200000000003	5.29942	0.17534000000000002	0.04292000000000006	1.0486283470597282	NA	0.204025	0.04655	0.36150000000000004	0.31495000000000006	4.285158707093418e-9	3.625889794250116e-9	TSPAN6	8.368033088714292
ENSG00000000457	isoComp_00000142	geneComp_00000121	ENST00000367771.11	FT	RGC	SCYL3	NA	NA	6.8636725	6.97452	6.752825	2.082149999999999	1.153645	-0.04653495015477194	NA	6.274965	5.893955	6.655975	1.8999249999999999	1.0567950000000002	0.17513418158537047	NA	0.913125	0.8385	0.98775	0.14925	0.047614790962394724	0.035669186671608	SCYL3	1.3222581179615551
ENSG00000000457	isoComp_00000141	geneComp_00000121	ENST00000367770.5	FT	RGC	SCYL3	NA	NA	6.8636725	6.97452	6.752825	2.082149999999999	1.153645	-0.04653495015477194	NA	0.37175	0.7435	0	0.21654	0	-6.235535606710462	NA	0.053425	0.10685	0	-0.10685	0.035669186671608	0.035669186671608	SCYL3	1.447706793326622
ENSG00000003756	isoComp_00000423	geneComp_00000159	ENST00000347869.8	FT	RGC	RBM5	NA	NA	123.900675	116.90043	130.90092	5.805259999999982	13.689580000000014	0.16318180180724653	NA	93.30836	98.20992	88.4068	6.40737	6.991050000000001	-0.15169512655537934	NA	0.758325	0.83945	0.6772	-0.16225	0.010968918107140214	0.010968918107140214	RBM5	1.9598362059047796
ENSG00000003756	isoComp_00000428	geneComp_00000159	ENST00000464087.6	FT	RGC	RBM5	NA	NA	123.900675	116.90043	130.90092	5.805259999999982	13.689580000000014	0.16318180180724653	NA	13.78656	6.300075	21.273045	0.5388949999999997	6.039985000000001	1.753975516400411	NA	0.106875	0.0543	0.15945	0.10515000000000001	0.012610434850088626	0.010968918107140214	RBM5	1.8992699372383564
ENSG00000004700	isoComp_00000533	geneComp_00000172	BambuTx359	FT	RGC	RECQL	NA	NA	10.622042500000001	8.93529	12.308795	3.3817900000000005	4.074715	0.46166098207315226	NA	1.7535775	2.63086	0.876295	1.2837999999999998	0.150785	-1.5751489423773903	NA	0.1778	0.2802	0.0754	-0.2048	0.02411262436377935	0.02411262436377935	RECQL	1.6177555194159146
ENSG00000004766	isoComp_00000542	geneComp_00000173	ENST00000458707.1	FT	RGC	VPS50	NA	NA	12.34401	11.347055000000001	13.340965	1.694555000000002	2.4719749999999996	0.23335524501648217	NA	1.082125	2.11052	0.05373	0.42535	0.05372999999999999	-5.056301619016194	NA	0.09394999999999999	0.1845	0.0034	-0.1811	3.329455754895297e-5	3.329455754895297e-5	VPS50	4.477626752068177
ENSG00000004866	isoComp_00000586	geneComp_00000183	ENST00000393451.7	FT	RGC	ST7	NA	NA	54.937132500000004	13.78511	96.08915500000002	3.6036900000000007	41.74421500000001	2.8003667848788667	NA	0.8121524999999999	1.6242999999999999	5e-6	0.004430000000000045	4.9999999999999996e-6	-7.351807858392651	NA	0.0633	0.1266	0	-0.1266	4.3631995454140915e-8	4.3631995454140915e-8	ST7	7.360194924650007
ENSG00000004866	isoComp_00000580	geneComp_00000183	ENST00000265437.9	FT	RGC	ST7	NA	NA	54.937132500000004	13.78511	96.08915500000002	3.6036900000000007	41.74421500000001	2.8003667848788667	NA	1.4742675	2.3084350000000002	0.6401	0.932645	0.06747999999999997	-1.8344177203941392	NA	0.084275	0.16075	0.0078000000000000005	-0.15295	3.7092992251943277e-7	4.3631995454140915e-8	ST7	6.430708131187684
ENSG00000005810	isoComp_00000825	geneComp_00000220	ENST00000683697.1	FT	RGC	MYCBP2	NA	NA	69.4117625	58.514255000000006	80.30927	4.037155000000009	12.900530000000018	0.456711492799764	NA	8.646370000000001	2.9215299999999997	14.371210000000001	0.5887100000000001	2.71098	2.2944593398980118	NA	0.11449999999999999	0.05085	0.17814999999999998	0.12729999999999997	0.005466119699661378	2.620090582337716e-31	MYCBP2	2.2623208621542945
ENSG00000005810	isoComp_00000823	geneComp_00000220	ENST00000544440.7	FT	RGC	MYCBP2	NA	NA	69.4117625	58.514255000000006	80.30927	4.037155000000009	12.900530000000018	0.456711492799764	NA	9.1103875	18.220765	1e-5	1.5708850000000005	0	-10.8307174115553	NA	0.1555	0.311	0	-0.311	2.620090582337716e-31	2.620090582337716e-31	MYCBP2	30.581683693898043
ENSG00000005882	isoComp_00000854	geneComp_00000223	ENST00000505897.5	FT	RGC	PDK2	NA	NA	15.7338025	22.454985	9.012620000000002	1.0812349999999977	0.20955000000000099	-1.316059767494362	NA	2.5444075	1.110605	3.97821	0.44522500000000004	0.11936000000000012	1.831463542313056	NA	0.24595	0.05055	0.44135	0.39080000000000004	7.749711503526456e-5	6.972972524134701e-5	PDK2	4.110714464559314
ENSG00000005882	isoComp_00000853	geneComp_00000223	ENST00000503176.6	FT	RGC	PDK2	NA	NA	15.7338025	22.454985	9.012620000000002	1.0812349999999977	0.20955000000000099	-1.316059767494362	NA	13.109425	21.25686	4.96199	1.4389399999999988	0.09928000000000026	-2.09671173875798	NA	0.748175	0.9457500000000001	0.5506	-0.3951500000000001	6.972972524134701e-5	6.972972524134701e-5	PDK2	4.1565820460585545
ENSG00000006125	isoComp_00000969	geneComp_00000238	ENST00000621914.4	FT	RGC	AP2B1	NA	NA	80.6574525	63.645739999999996	97.669165	3.6151499999999923	11.350094999999996	0.6177602561782041	NA	40.4247275	41.045694999999995	39.80376	3.391144999999998	6.436119999999998	-0.04431523232909213	NA	0.524675	0.6439999999999999	0.40535	-0.23864999999999992	2.589842662239389e-4	2.589842662239389e-4	AP2B1	3.5867266193151965
ENSG00000006125	isoComp_00000963	geneComp_00000238	ENST00000610402.5	FT	RGC	AP2B1	NA	NA	80.6574525	63.645739999999996	97.669165	3.6151499999999923	11.350094999999996	0.6177602561782041	NA	35.58395	19.794085	51.373815	0.2791250000000005	2.5323050000000005	1.37551596081528	NA	0.4212	0.31225	0.53015	0.21789999999999998	0.004548680308843831	2.589842662239389e-4	AP2B1	2.3421145852592766
ENSG00000007372	isoComp_00001293	geneComp_00000291	ENST00000639386.2	FT	RGC	PAX6	NA	NA	656.8567625000001	507.67672500000003	806.0368000000001	21.756034999999997	39.10942	0.6669250687613515	NA	98.81943749999999	161.763215	35.87566	15.076374999999997	4.144630000000001	-2.172493398911246	NA	0.181175	0.31795	0.044399999999999995	-0.27355	2.592398175338939e-34	2.592398175338939e-34	PAX6	33.58629829289722
ENSG00000007866	isoComp_00001381	geneComp_00000300	ENST00000338863.13	FT	RGC	TEAD3	NA	NA	12.794705	16.656635	8.932775	0.12839499999999937	0.6187549999999993	-0.8981683695954249	NA	10.413885	15.700520000000001	5.12725	0.07393999999999945	0.8898200000000003	-1.6126627448953046	NA	0.763175	0.9427000000000001	0.58365	-0.3590500000000001	0.028053416696986837	0.028053416696986837	TEAD3	1.552014237356734
ENSG00000008405	isoComp_00001532	geneComp_00000327	ENST00000008527.10	FT	RGC	CRY1	NA	NA	41.511115	56.442629999999994	26.5796	11.521529999999998	0.88926	-1.086178720242831	NA	29.5506575	34.2769	24.824415000000002	2.264790000000001	0.20440499999999948	-0.4653167079835282	NA	0.77995	0.62515	0.93475	0.3096	0.03231994474240334	0.03231994474240334	CRY1	1.490529390412607
ENSG00000008853	isoComp_00001591	geneComp_00000335	ENST00000251822.7	FT	RGC	RHOBTB2	NA	NA	15.3922025	9.76576	21.018645	0.37771000000000043	1.0486950000000002	1.1050751198989897	NA	10.20419	9.091265	11.317115000000001	0.09989500000000007	1.5943250000000004	0.31564146863011433	NA	0.737725	0.9319	0.54355	-0.38835	0.014574414478104435	0.014574414478104435	RHOBTB2	1.8364088838441588
ENSG00000010017	isoComp_00001732	geneComp_00000352	BambuTx183	FT	RGC	RANBP9	NA	NA	41.014137500000004	40.560689999999994	41.467585	0.49623000000000056	5.237624999999997	0.031894057629164016	NA	14.2214925	7.859444999999999	20.58354	0.6478449999999997	4.22162	1.3878580514865195	NA	0.342475	0.1936	0.49135	0.29775	4.451776913386343e-5	4.383466326356244e-5	RANBP9	4.351466607076055
ENSG00000010017	isoComp_00001733	geneComp_00000352	ENST00000011619.6	FT	RGC	RANBP9	NA	NA	41.014137500000004	40.560689999999994	41.467585	0.49623000000000056	5.237624999999997	0.031894057629164016	NA	26.792645	32.701245	20.884045	0.15161499999999958	1.0160049999999996	-0.6466948506914844	NA	0.6575249999999999	0.8064	0.50865	-0.29774999999999996	4.383466326356244e-5	4.383466326356244e-5	RANBP9	4.3581823253327165
ENSG00000010803	isoComp_00001868	geneComp_00000378	ENST00000372596.5	FT	RGC	SCMH1	NA	NA	37.0716325	32.87613	41.267134999999996	1.23817	4.378445000000003	0.3278635948244483	NA	11.1860625	4.029705	18.34242	0.6100450000000002	2.466829999999999	2.1836484643657172	NA	0.2897	0.12345	0.45595	0.3325	0.03580689418460664	0.02928591587282896	SCMH1	1.446033347152944
