gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00051261	DUT	DUT	RGC	RO_D45	2.6369799950860362e-46	1
geneComp_00046299	AP1S2	AP1S2	RGC	RO_D45	1.4409130761777358e-27	2
geneComp_00066037	ERGIC3	ERGIC3	RGC	RO_D45	2.0409494476293345e-27	3
geneComp_00045711	ADI1	ADI1	RGC	RO_D45	1.1186356490751009e-25	4
geneComp_00005905	DPYSL3	DPYSL3	RGC	RO_D209	5.989284521102748e-25	5
geneComp_00035199	RIMS2	RIMS2	RGC	RO_D209	6.420817380334744e-25	6
geneComp_00048062	CALR	CALR	RGC	RO_D45	8.29051869946239e-23	7
geneComp_00022984	GUK1	GUK1	RGC	RO_D209	2.762540017081469e-22	8
geneComp_00002274	BSG	BSG	RGC	RO_D209	3.2040980739170996e-21	9
geneComp_00068727	HMGB1	HMGB1	RGC	RO_D45	8.058728232983653e-21	10
geneComp_00004324	CNTNAP2	CNTNAP2	RGC	RO_D209	1.3989488865783905e-20	11
geneComp_00046118	ANK3	ANK3	RGC	RO_D45	7.057599314562152e-20	12
geneComp_00078624	PLTP	PLTP	RGC	RO_D45	7.696011745441529e-20	13
geneComp_00040110	SNHG6	SNHG6	RGC	RO_D209	1.4646542436946625e-19	14
geneComp_00084230	SEPTIN6	SEPTIN6	RGC	RO_D45	1.8998705866533807e-19	15
geneComp_00078121	PFN2	PFN2	RGC	RO_D45	6.409777975850894e-19	16
geneComp_00076024	NECTIN2	NECTIN2	RGC	RO_D45	1.5198071757964537e-15	17
geneComp_00028361	MAP6	MAP6	RGC	RO_D209	2.7864510941919847e-15	18
geneComp_00084449	SH3GLB2	SH3GLB2	RGC	RO_D45	3.0057072159689147e-15	19
geneComp_00048087	CAMTA1	CAMTA1	RGC	RO_D45	6.63986148231215e-15	20
geneComp_00001057	AP1S2	AP1S2	RGC	RO_D209	6.944525113535314e-15	21
geneComp_00041009	STX3	STX3	RGC	RO_D209	8.193233248522796e-15	22
geneComp_00088043	TRIOBP	TRIOBP	RGC	RO_D45	1.0349474966276892e-14	23
geneComp_00088011	TRIM59	TRIM59	RGC	RO_D45	1.412404553233739e-14	24
geneComp_00048191	CASP3	CASP3	RGC	RO_D45	1.520969335213094e-14	25
geneComp_00049566	CNTNAP2	CNTNAP2	RGC	RO_D45	2.614025632148663e-14	26
geneComp_00087306	TMEM181	TMEM181	RGC	RO_D45	3.367375666997165e-14	27
geneComp_00077661	PARK7	PARK7	RGC	RO_D45	3.5746537470470205e-14	28
geneComp_00038485	RTN1	RTN1	RGC	RO_D209	1.4107774312099607e-13	29
geneComp_00068901	HNRNPC	HNRNPC	RGC	RO_D45	2.3015197294664117e-13	30
geneComp_00043055	TUB	TUB	RGC	RO_D209	3.7117068107240463e-13	31
geneComp_00086194	STMN1	STMN1	RGC	RO_D45	4.039574859488321e-13	32
geneComp_00083723	RTL8A	RTL8A	RGC	RO_D45	1.0497055873166236e-12	33
geneComp_00079958	RANBP2	RANBP2	RGC	RO_D45	1.4083523881917311e-12	34
geneComp_00002820	CALR	CALR	RGC	RO_D209	2.0250403226986872e-12	35
geneComp_00088302	TUBA1C	TUBA1C	RGC	RO_D45	2.80335993398462e-12	36
geneComp_00068584	HES4	HES4	RGC	RO_D45	3.545317269786094e-12	37
geneComp_00084129	SEC23A	SEC23A	RGC	RO_D45	3.545317269786094e-12	38
geneComp_00080121	RBM4	RBM4	RGC	RO_D45	7.579320335600742e-12	39
