gene_id	seqnames	start	end	width	strand	isoform_id	gene_name
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1
ENSG00000001460	chr1	24401319	24401331	13	-	ENST00000497384.1	STPG1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1
ENSG00000003147	chr7	8218479	8218503	25	-	ENST00000430867.5	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1
ENSG00000003147	chr7	8235910	8235926	17	-	ENST00000422063.6	ICA1
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000158166.5	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000348335.7	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000381769.6	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000381769.6	CAMKK1
ENSG00000004660	chr17	3881627	3881648	22	-	ENST00000381769.6	CAMKK1
ENSG00000004766	chr7	93259614	93259632	19	+	ENST00000458707.1	VPS50
ENSG00000004766	chr7	93259614	93259632	19	+	ENST00000458707.1	VPS50
ENSG00000004766	chr7	93259614	93259632	19	+	ENST00000458707.1	VPS50
ENSG00000005961	chr17	44383493	44383497	5	-	ENST00000592462.5	ITGA2B
ENSG00000005961	chr17	44383493	44383497	5	-	ENST00000592462.5	ITGA2B
ENSG00000005961	chr17	44383493	44383497	5	-	ENST00000592462.5	ITGA2B
ENSG00000005961	chr17	44383938	44383946	9	-	ENST00000592253.5	ITGA2B
ENSG00000005961	chr17	44383938	44383946	9	-	ENST00000592253.5	ITGA2B
ENSG00000005961	chr17	44383938	44383946	9	-	ENST00000592253.5	ITGA2B
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000424337.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000424337.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000424337.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000455841.6	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000455841.6	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000455841.6	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000476977.5	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000476977.5	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000476977.5	GTF2IRD1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1
