ensembl_transcript_id	TXNAME	H9-FT_1	transcript_length
ENST00000005180	ENST00000005180.9	0.11088	475
ENST00000006275	ENST00000006275.8	8.48362	805
ENST00000007516	ENST00000007516.8	74.09609	665
ENST00000009589	ENST00000009589.8	856.85379	519
ENST00000037243	ENST00000037243.7	77.80079	974
ENST00000084795	ENST00000084795.9	172.80947	612
ENST00000165524	ENST00000165524.1	0.24151	264
ENST00000168216	ENST00000168216.11	17.63765	954
ENST00000184266	ENST00000184266.3	106.19911	651
ENST00000194214	ENST00000194214.10	26.39825	685
ENST00000196551	ENST00000196551.8	890.71954	741
ENST00000199708	ENST00000199708.3	2.77738	528
ENST00000200691	ENST00000200691.5	0.69232	406
ENST00000201961	ENST00000201961.6	0.12299	971
ENST00000202773	ENST00000202773.14	172.16993	921
ENST00000211314	ENST00000211314.5	32.24175	988
ENST00000215115	ENST00000215115.5	27.30467	857
ENST00000215375	ENST00000215375.7	17.01912	995
ENST00000215376	ENST00000215376.7	0.12076	834
ENST00000215565	ENST00000215565.3	79.57796	535
ENST00000215855	ENST00000215855.7	8.33214	855
ENST00000215886	ENST00000215886.6	0.12076	596
ENST00000215909	ENST00000215909.10	1.81133	528
ENST00000215956	ENST00000215956.10	25.48494	877
ENST00000215980	ENST00000215980.10	10.46414	938
ENST00000216071	ENST00000216071.5	0.24151	982
ENST00000216115	ENST00000216115.3	0.96605	951
ENST00000216455	ENST00000216455.9	51.71427	955
ENST00000216520	ENST00000216520.6	0.2729	668
ENST00000216756	ENST00000216756.11	11.7644	953
ENST00000216802	ENST00000216802.10	0.24151	793
ENST00000217075	ENST00000217075.7	0.13459	602
ENST00000217386	ENST00000217386.2	0.24151	513
ENST00000217428	ENST00000217428.7	0.12076	474
ENST00000217652	ENST00000217652.8	83.84006	958
ENST00000217999	ENST00000217999.3	0.24151	747
ENST00000218388	ENST00000218388.9	99.04962	769
ENST00000219302	ENST00000219302.8	19.4822	848
ENST00000219409	ENST00000219409.8	2.8931	964
ENST00000219535	ENST00000219535.7	1.50771	806
ENST00000219542	ENST00000219542.3	3.714	915
ENST00000219771	ENST00000219771.7	1.20944	913
ENST00000221233	ENST00000221233.9	8.63387	998
ENST00000221459	ENST00000221459.7	4.26566	746
ENST00000221498	ENST00000221498.7	2.97149	939
ENST00000221515	ENST00000221515.6	0.06038	516
ENST00000221576	ENST00000221576.4	0.54971	504
ENST00000221784	ENST00000221784.8	0.30224	558
ENST00000221855	ENST00000221855.8	55.81372	987
ENST00000221859	ENST00000221859.9	51.7559	443
ENST00000221973	ENST00000221973.7	0.75137	983
ENST00000221975	ENST00000221975.6	0.81081	500
ENST00000222008	ENST00000222008.11	72.85205	750
ENST00000222032	ENST00000222032.10	1.0868	533
ENST00000222190	ENST00000222190.9	0.60378	599
ENST00000222247	ENST00000222247.10	8.07447	634
ENST00000222266	ENST00000222266.2	1.1891	603
ENST00000222284	ENST00000222284.10	45.00714	868
ENST00000222304	ENST00000222304.5	0.59179	406
ENST00000223136	ENST00000223136.5	50.67692	870
ENST00000223271	ENST00000223271.8	15.60238	685
ENST00000223273	ENST00000223273.7	14.16085	871
