seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
ENST00000000412.8,24,277,24,277,PF02157.20,Man-6-P_recep,Family,1,254,254,455.2,5.2e-137,1,CL0226
ENST00000001146.7,73,466,50,490,PF00067.27,p450,Domain,26,436,462,192.4,1.5e-56,1,No_Clan
ENST00000007264.7,17,182,17,182,PF00849.27,PseudoU_synth_2,Family,1,152,152,75.0,8.8e-21,1,CL0649
ENST00000011898.10,9,229,9,229,PF00335.25,Tetraspanin,Family,1,225,225,205.4,1.1e-60,1,CL0347
ENST00000013125.9,20,277,20,277,PF00069.30,Pkinase,Domain,1,263,263,211.2,2.1e-62,1,CL0016
ENST00000013125.9,522,812,521,815,PF00780.27,CNH,Repeat,2,252,255,177.5,5.2e-52,1,CL0186
ENST00000013807.9,100,213,100,213,PF03834.19,Rad10,Family,1,115,115,170.8,9.7e-51,1,CL0236
ENST00000013807.9,239,283,237,285,PF14520.11,HHH_5,Domain,4,49,57,26.6,7.3e-06,1,CL0198
ENST00000016171.6,71,396,70,399,PF02628.20,COX15-CtaA,Family,2,319,322,371.6,3.5e-111,1,CL0328
ENST00000033079.7,39,183,39,186,PF00620.32,RhoGAP,Domain,1,145,148,124.7,3.1e-36,1,CL0409
ENST00000035307.7,242,759,242,759,PF05679.21,CHGN,Family,1,512,512,516.1,1.3e-154,1,CL0110
ENST00000038176.8,178,292,176,294,PF02893.25,GRAM,Domain,3,110,112,61.9,5.4e-17,1,CL0266
ENST00000038176.8,304,575,303,575,PF02138.23,Beach,Family,2,276,276,383.4,7.1e-115,1,No_Clan
ENST00000038176.8,626,657,620,658,PF00400.37,WD40,Repeat,7,38,39,15.7,0.021,1,CL0186
ENST00000038176.8,706,740,704,740,PF00400.37,WD40,Repeat,3,39,39,24.8,2.7e-05,1,CL0186
ENST00000038176.8,758,791,754,791,PF00400.37,WD40,Repeat,5,39,39,14.8,0.039,1,CL0186
ENST00000038176.8,797,833,795,833,PF00400.37,WD40,Repeat,3,39,39,21.1,0.00042,1,CL0186
ENST00000038176.8,881,913,876,914,PF00400.37,WD40,Repeat,6,38,39,20.0,0.00086,1,CL0186
ENST00000046640.9,126,182,126,186,PF04193.19,PQ-loop,Repeat,1,57,61,69.7,1.5e-19,1,CL0141
ENST00000046640.9,267,324,265,325,PF04193.19,PQ-loop,Repeat,3,60,61,64.1,8.9e-18,1,CL0141
ENST00000052569.10,282,359,280,360,PF00595.29,PDZ,Domain,3,80,81,62.0,6.2e-17,1,CL0466
ENST00000055335.11,163,283,157,284,PF03370.18,CBM_21,Domain,20,112,113,76.4,2.3e-21,1,CL0576
ENST00000064778.8,1,244,1,244,PF14944.11,TCRP1,Family,1,235,235,398.9,1.2e-119,1,No_Clan
ENST00000072644.7,101,273,98,277,PF04893.22,Yip1,Domain,3,171,173,67.0,2.1e-18,1,CL0112
