isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype	condition_1	condition_2
ENST00000471152	7.7023549802296625	6.992580187071913	930.8773878570092	3.4458375092966055e-8	4.3500252717360347e-4	ENSG00000234851	RPL23AP42	processed_pseudogene	RO_D100	RO_D200
ENST00000252486	-2.3050943585968855	7.798625832060951	257.4914787077911	2.0246685700284594e-6	0.004314081587829011	ENSG00000130203	APOE	protein_coding	RO_D100	RO_D200
ENST00000300278	-4.7512942709079296	6.894902435755366	250.44730635110932	2.3119036027825043e-6	0.004314081587829011	ENSG00000159140	SON	protein_coding	RO_D100	RO_D200
ENST00000305454	3.5470845718911814	6.585795920601837	272.15615781991164	1.701292732427098e-6	0.004314081587829011	ENSG00000169085	VXN	protein_coding	RO_D100	RO_D200
ENST00000453788	-5.403564059521736	5.074869979500804	276.27351066423194	1.6228443125435095e-6	0.004314081587829011	ENSG00000109971	HSPA8	protein_coding	RO_D100	RO_D200
ENST00000468715	10.142020741557216	7.3572511803003025	369.29518756923477	3.417365009370256e-6	0.004314081587829011	ENSG00000137970	RPL7P9	processed_pseudogene	RO_D100	RO_D200
ENST00000579085	6.900085795056586	8.292209310729666	222.01080042493874	3.406938731030267e-6	0.004314081587829011	ENSG00000161960	EIF4A1	retained_intron	RO_D100	RO_D200
ENST00000592535	-4.280809550044569	4.9237736089014055	241.32330883122094	2.4815430484823893e-6	0.004314081587829011	ENSG00000130208	APOC1	protein_coding	RO_D100	RO_D200
ENST00000652107	4.344014736606039	5.8747530038174895	220.5110569275466	3.291561086282775e-6	0.004314081587829011	ENSG00000116062	MSH6	protein_coding	RO_D100	RO_D200
ENST00000702504	3.4616044420657164	7.016377772409994	347.50228499323794	7.877040386213162e-7	0.004314081587829011	ENSG00000290018		lncRNA	RO_D100	RO_D200
ENST00000449428	-2.2118962048354405	6.584730041925608	210.22918989523197	3.82158148612998e-6	0.004385785880082261	ENSG00000182534	MXRA7	protein_coding	RO_D100	RO_D200
ENST00000278833	-4.476842670827506	6.78980436710997	184.19576251127924	6.0806561108144996e-6	0.0044712868051213495	ENSG00000149489	ROM1	protein_coding	RO_D100	RO_D200
ENST00000299162	4.061486164003745	6.2525844418895415	181.83182958782814	6.008864111316909e-6	0.0044712868051213495	ENSG00000139445	FOXN4	protein_coding	RO_D100	RO_D200
