isoform_id	ES	ES_genomic_start	ES_genomic_end	MEE	MEE_genomic_start	MEE_genomic_end	MES	MES_genomic_start	MES_genomic_end	IR	IR_genomic_start	IR_genomic_end	A5	A5_genomic_start	A5_genomic_end	A3	A3_genomic_start	A3_genomic_end	ATSS	ATSS_genomic_start	ATSS_genomic_end	ATTS	ATTS_genomic_start	ATTS_genomic_end
ENST00000412043.6	0	NA	NA	0	NA	NA	0	NA	NA	1	92245677	92245789	2	92211554;92239760	92213195;92240993	3	92213979;92222978;92237759	92214002;92223261;92238734	1	92245795;92245906	92245877;92246166	1	92197498	92200358
ENST00000394507.5	1	92245790	92245877	0	NA	NA	0	NA	NA	0	NA	NA	2	92211554;92239760	92213195;92240993	4	92213979;92222978;92237759;92245595	92214002;92223261;92238734;92245676	1	92246100	92246166	1	92197498	92198969
ENST00000687627.1	0	NA	NA	0	NA	NA	1	92244002;92244902	92244149;92245171	2	92245677;92245878	92245789;92245905	1	92239760	92240993	3	92213979;92222978;92237759	92214002;92223261;92238734	1	92245914	92246166	1	92197498;92201307	92200804;92201423
ENST00000690529.1	0	NA	NA	0	NA	NA	1	92244002;92244902	92244149;92245171	1	92245878	92245905	2	92211554;92239760	92213195;92240993	4	92213979;92222978;92237759;92245595	92214002;92223261;92238734;92245676	1	92245920	92246166	1	92197498	92199420
ENST00000692428.1	1	92244002	92244149	0	NA	NA	0	NA	NA	6	92234593;92234924;92235647;92245172;92245677;92245878	92234807;92235402;92236412;92245426;92245789;92245905	1	92239760	92240993	1	92237759	92238734	1	92245920	92246166	1	92197498;92201307;92211554;92213892;92214611;92221902;92222822;92225720;92226526	92200804;92201423;92213401;92214002;92214777;92222053;92223261;92225827;92226682
ENST00000687876.1	2	92236413;92244002	92236542;92244149	0	NA	NA	0	NA	NA	3	92245172;92245677;92245878	92245426;92245789;92245905	2	92211554;92239760	92213195;92240993	3	92213979;92222978;92237759	92214002;92223261;92238734	1	92245913	92246166	1	92197498	92199420
ENST00000688580.1	0	NA	NA	0	NA	NA	0	NA	NA	2	92222054;92222978;92225828	92222821;92223261;92226525	1	92211554	92213195	1	92213979	92214002	1	92234449;92234808;92235403;92236413;92237667;92239760;92242034;92244002;92244902;92245427;92245790;92245906	92234592;92234923;92235646;92236542;92238734;92241152;92242137;92244149;92245171;92245676;92245877;92246166	1	92197498	92199456
ENST00000692361.1	0	NA	NA	0	NA	NA	1	92244002;92244902	92244149;92245171	2	92222054;92222978;92245878	92222821;92223261;92245905	2	92211554;92239760	92213195;92240993	2	92213979;92237759	92214002;92238734	1	92245914	92246166	1	92197498	92199456
ENST00000688180.1	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	92211554	92213195	0	NA	NA	1	92225720;92226526;92234449;92234808;92235403;92236413;92237667;92239760;92242034;92244002;92244902;92245427;92245790;92245906	92225827;92226682;92234592;92234923;92235646;92236542;92238734;92241152;92242137;92244149;92245171;92245676;92245877;92246166	0	NA	NA
ENST00000692807.1	0	NA	NA	0	NA	NA	1	92244002;92244902	92244149;92245171	2	92245677;92245878	92245789;92245905	2	92211554;92239760	92213195;92240993	3	92213979;92222978;92237759	92214002;92223261;92238734	1	92245923	92246166	1	92197498	92199289
ENST00000422347.6	0	NA	NA	0	NA	NA	0	NA	NA	3	92245172;92245677;92245878	92245426;92245789;92245905	0	NA	NA	0	NA	NA	1	92246057	92246166	1	92197498;92201307;92211554;92213892;92214611;92221902;92222822;92225720;92226526;92234449;92234808;92235403;92236413;92237667;92239760	92200804;92201423;92213401;92214002;92214777;92222053;92223261;92225827;92226682;92234592;92234923;92235646;92236542;92238734;92239764
ENST00000687517.1	0	NA	NA	0	NA	NA	1	92244002;92244902	92244149;92245171	1	92245878	92245905	0	NA	NA	0	NA	NA	1	92245914	92246166	1	92197498;92201307;92211554;92213892;92214611;92221902;92222822;92225720;92226526;92234449;92234808;92235403;92236413;92237667	92200804;92201423;92213401;92214002;92214777;92222053;92223261;92225827;92226682;92234592;92234923;92235646;92236542;92238734
ENST00000686149.1	0	NA	NA	0	NA	NA	0	NA	NA	1	92235647	92236412	1	92211554	92213195	2	92213979;92222978	92214002;92223261	1	92239760;92242034;92244002;92244902;92245427;92245790;92245906	92241152;92242137;92244149;92245171;92245676;92245877;92246166	1	92197498	92199420
ENST00000475770.6	0	NA	NA	0	NA	NA	0	NA	NA	2	92234593;92234924	92234807;92235402	1	92211554	92213195	2	92213979;92222978	92214002;92223261	1	92236413;92237667;92239760;92242034;92244002;92244902;92245427;92245790;92245906	92236542;92238734;92241152;92242137;92244149;92245171;92245676;92245877;92246166	1	92197498	92199420
