seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr1	6457361	6457372	12	+	ENST00000461727	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000645284	ESPN	ESPN
chr1	25321889	25321900	12	+	ENST00000423253	RHD	RHD
chr1	150260151	150260171	21	+	ENST00000369111	CA14	CA14
chr1	150263659	150263679	21	+	ENST00000369111	CA14	CA14
chr1	156874383	156874400	18	+	ENST00000524377	NTRK1	NTRK1
chr1	197435600	197435612	13	+	ENST00000538660	CRB1	CRB1
chr1	201790554	201790577	24	+	ENST00000367295	NAV1	NAV1
chr1	207326832	207326837	6	+	ENST00000635614	CD55	CD55
chr1	207339397	207339417	21	+	ENST00000367064	CD55	CD55
chr1	207339397	207339417	21	+	ENST00000635614	CD55	CD55
chr1	497275	497299	25	-	ENST00000616947	ENSG00000290385	ENSG00000290385
chr1	1084481	1084506	26	-	ENST00000421241	C1orf159	C1orf159
chr1	24061060	24061082	23	-	ENST00000374434	MYOM3	MYOM3
chr1	31680905	31680931	27	-	ENST00000373668	COL16A1	COL16A1
chr1	31690367	31690393	27	-	ENST00000373668	COL16A1	COL16A1
chr1	31694144	31694170	27	-	ENST00000373668	COL16A1	COL16A1
chr1	31695761	31695787	27	-	ENST00000373668	COL16A1	COL16A1
chr1	107688381	107688406	26	-	ENST00000370056	VAV3	VAV3
chr1	153627483	153627505	23	-	ENST00000476133	S100A13	S100A13
chr2	27772674	27772692	19	+	ENST00000296102	MRPL33	MRPL33
chr2	54135453	54135469	17	+	ENST00000394666	ACYP2	ACYP2
chr2	227247558	227247584	27	+	ENST00000396578	COL4A3	COL4A3
chr2	233340455	233340478	24	+	ENST00000409110	SAG	SAG
chr2	233340455	233340478	24	+	ENST00000469222	SAG	SAG
chr2	233346403	233346412	10	+	ENST00000409110	SAG	SAG
chr2	73020239	73020264	26	-	ENST00000272433	SFXN5	SFXN5
chr2	73020239	73020264	26	-	ENST00000461352	SFXN5	SFXN5
chr2	73020239	73020264	26	-	ENST00000474528	SFXN5	SFXN5
chr2	73023188	73023214	27	-	ENST00000272433	SFXN5	SFXN5
chr2	73023188	73023214	27	-	ENST00000461352	SFXN5	SFXN5
chr2	73023188	73023214	27	-	ENST00000474528	SFXN5	SFXN5
chr2	94208310	94208330	21	-	ENST00000690934	ENSG00000291142	ENSG00000291142
chr2	95834978	95835003	26	-	ENST00000661329	LINC00342	LINC00342
chr2	127053422	127053445	24	-	ENST00000357970	BIN1	BIN1
chr2	187513616	187513641	26	-	ENST00000392365	TFPI	TFPI
chr2	189104264	189104277	14	-	ENST00000374866	COL5A2	COL5A2
chr2	201660332	201660346	15	-	ENST00000359962	MPP4	MPP4
chr2	201669733	201669750	18	-	ENST00000359962	MPP4	MPP4
chr3	23888238	23888261	24	+	ENST00000452012	UBE2E1	UBE2E1
chr3	184189255	184189277	23	+	ENST00000429586	ABCF3	ABCF3
chr3	28059242	28059268	27	-	ENST00000356047	LINC01967	LINC01967
chr3	69249226	69249248	23	-	ENST00000398540	FRMD4B	FRMD4B
chr3	69249226	69249248	23	-	ENST00000483668	FRMD4B	FRMD4B
chr3	78647629	78647655	27	-	ENST00000436010	ROBO1	ROBO1
chr3	78693348	78693356	9	-	ENST00000618846	ROBO1	ROBO1
chr3	113978309	113978331	23	-	ENST00000460813	CCDC191	CCDC191
chr3	194437556	194437573	18	-	ENST00000645538	ATP13A3	ATP13A3
chr4	15979881	15979904	24	-	ENST00000508167	PROM1	PROM1
chr4	89759274	89759293	20	-	ENST00000674129	SNCA	SNCA
chr5	119475706	119475727	22	+	ENST00000510025	HSD17B4	HSD17B4
chr5	119492100	119492124	25	+	ENST00000510025	HSD17B4	HSD17B4
chr5	133224190	133224216	27	-	ENST00000265342	FSTL4	FSTL4
chr5	177491404	177491420	17	-	ENST00000493815	PDLIM7	PDLIM7
chr6	26411109	26411135	27	+	ENST00000082468	BTN3A1	BTN3A1
chr6	26411555	26411581	27	+	ENST00000082468	BTN3A1	BTN3A1
chr6	150823654	150823676	23	+	ENST00000358517	PLEKHG1	PLEKHG1
chr6	150823654	150823676	23	+	ENST00000696526	PLEKHG1	PLEKHG1
chr6	17898168	17898180	13	-	ENST00000378814	KIF13A	KIF13A
chr6	24870866	24870889	24	-	ENST00000510784	RIPOR2	RIPOR2
chr6	24870866	24870889	24	-	ENST00000540914	RIPOR2	RIPOR2
chr6	30609947	30609955	9	-	ENST00000484449	PPP1R10	PPP1R10
chr6	30617224	30617244	21	-	ENST00000484449	PPP1R10	PPP1R10
chr6	35479305	35479316	12	-	ENST00000338863	TEAD3	TEAD3
chr6	70272065	70272088	24	-	ENST00000320755	COL9A1	COL9A1
chr6	70272065	70272088	24	-	ENST00000644493	COL9A1	COL9A1
chr7	44606627	44606653	27	+	ENST00000222673	OGDH	OGDH
chr7	70134556	70134571	16	+	ENST00000643060	AUTS2	AUTS2
chr7	94397748	94397758	11	+	ENST00000297268	COL1A2	COL1A2
chr7	94398382	94398396	15	+	ENST00000297268	COL1A2	COL1A2
chr7	26854137	26854162	26	-	ENST00000432747	SKAP2	SKAP2
chr7	34942615	34942639	25	-	ENST00000638088	DPY19L1	DPY19L1
chr7	34942615	34942639	25	-	ENST00000685246	DPY19L1	DPY19L1
chr7	35018572	35018596	25	-	ENST00000638088	DPY19L1	DPY19L1
chr7	38429842	38429865	24	-	ENST00000325590	AMPH	AMPH
