isoform_id	IR	IR_genomic_start	IR_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	1	92235647	92236243	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000695604	1	33012123	33013043	ENSG00000004455	AK2	33008638,33008964,33009528,33011151,33012765,33012979,33012981,33014019,33019768,33021559,33026393,33029557,33029897,33030652,33031516,33032035,33033389,33034263,33041166,33043238,33047190,33047849,33048438,33048665,33049232,33050376,33054901,33056863,33057919,33060059,33061623,33061625,33068169,33069477,33072873,33073092,33075834,33079564
ENST00000454079	1	50061548	50061961	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000567203	2	1346685;1346956	1346846;1347297	ENSG00000007516	BAIAP3	1336735,1337122,1340436,1340577,1340605,1340656,1340704,1341311,1341883,1343468,1348462
ENST00000337002	1	169993102	169993654	ENSG00000008952	SEC62	169968933,169971002,169971004,169973432,169974304,169978299,169978594,169983766,169984175,169984608,169989434,169992352,169997068,169997225,169997799
ENST00000554767	1	77299562	77301089	ENSG00000009830	POMT2	77275398,77276100,77276252,77279855,77280465,77281431,77287193,77287792,77292976,77293615,77294018,77295866,77299624,77299626,77303607,77305567,77305990,77308298,77310141,77311297,77314288,77314438,77316064,77317059,77319725
ENST00000590064	4	3751330;3752991;3753927;3754106	3751433;3753764;3754018;3754194	ENSG00000011132	APBA3	3758403
ENST00000473565	2	200859747;200860216	200860124;200861237	ENSG00000013441	CLK1	200858102,200858104
ENST00000681891	2	177393050;177393536;177442236	177393275;177395676;177442406	ENSG00000018510	AGPS	177395878,177396324,177397342,177404486,177405360,177409671,177415393,177415613,177416109,177417263,177424424,177424426,177424864,177431549,177437486,177438289,177441682,177446121,177454413,177459857,177461315,177461350,177464086,177467049,177467156,177467314,177468568,177470572,177470798,177473815,177474321,177474435,177474757,177475670,177480269,177491000,177492630,177493811,177493813,177494471,177496234,177496306,177496999,177497832,177499835,177503600,177503858,177509139,177509184,177512284,177512988,177513379,177513902,177520393,177525752,177525754,177528537,177528771,177532821,177537500,177538767,177540058,177540155,177541301,177541491,177549696,177550843,177551352,177552243,177552991,177553035,177553600,177555063,177556486,177558178,177561927,177563307,177563362
ENST00000529750	1	123623056	123626593	ENSG00000023171	GRAMD1B	123359288,123363907,123363966,123364050,123366155,123366157,123369169,123370183,123371128,123371613,123371727,123371905,123375980,123378782,123378865,123381560,123383076,123384015,123391885,123392088,123392570,123393541,123395152,123395494,123398314,123401163,123403295,123403688,123405189,123405941,123405947,123406878,123406947,123408362,123408794,123409250,123412402,123412432,123415614,123415876,123417419,123418984,123421145,123421570,123423933,123440171,123441350,123442274,123449303,123449695,123453225,123454947,123455554,123455600,123457859,123458049,123459108,123459534,123460835,123463793,123463819,123470175,123474089,123474317,123476796,123478386,123479115,123481743,123482617,123491497,123492452,123494075,123497226,123499267,123500189,123501991,123502222,123502224,123502335,123512585,123513801,123514616,123516205,123516512,123518237,123518523,123519631,123520905,123521058,123528565,123531880,123532224,123532751,123533114,123534063,123534991,123535691,123536283,123537417,123538121,123538132,123539679,123540867,123542225,123542438,123548044,123548523,123548525,123549853,123550378,123550428,123551693,123553319,123554424,123556373,123556375,123557605,123559389,123560588,123566133,123569593,123572410,123575062,123576198,123577110,123578393,123578395,123578397,123580200,123580525,123581872,123582997,123583130,123583150,123583158,123583234,123583276,123583327,123583350,123588646,123591214,123591485,123591744,123591785,123592460,123597241,123597820,123600800,123600802,123601321,123604353,123604952,123605820,123605822,123607202,123607579,123607780,123609143,123609241,123611669,123613709,123613733,123614265,123615071,123617328,123617949,123619357,123621435,123623771,123623996,123624145,123627384
