Gene Symbol 	Chr	Chr:region	Strand	Type of Interest 	Time point	Source	Paper	
NF1	17	"17:31,094,927-31,382,116"	Forward	Many alternate transcripts		Casey		
BSG	19	"19:571,277-583,494"	Forward	photoreceptor-specific transcript 		Casey		
POU4F1	13	"13:78,598,362-78,603,552"	Reverse	RGC markers		OHara	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774906/	
NEFL	8	"8:24,950,955-24,956,721"	Reverse	RGC markers		OHara	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774906/	
ELAVL3	19	"19:11,451,326-11,481,046"	Reverse	RGC markers		OHara	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774906/	
ELAVL4	1	"1:50,024,029-50,203,772 "	Forward	RGC markers		OHara	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774906/	
NBL1	1	"1:19,596,979-19,658,456"	Forward	Retinal progenitor marker in the neuroblast layer FD59	FD59	Sridhar et al 2020	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7901645/	
SOX2	3	"3:181,711,925-181,714,436"	Forward	Retinal progenitor marker in the neuroblast layer FD59	FD59	Sridhar et al 2020	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7901645/	
PAX6	11	"11:31,784,779-31,817,961
"	Reverse	Retinal progenitor marker in the neuroblast layer FD59	FD59	Sridhar et al 2020	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7901645/	
TFAP2A	6	"6:10,393,186-10,419,659"	Reverse	Amacrine	FD59	Sridhar et al 2020		
ONECUT2	18	"18:57,435,374-57,491,298"	Forward	Horizontal	FD59	Sridhar et al 2020		
OTX2	14	"14:56,799,905-56,816,693"	Reverse	Photoreceptor	"FD59, FD78"	Sridhar et al 2020		
ATOH7	10	"10:68,230,595-68,232,113"	Reverse					
HES6	2	"2:238,238,267-238,240,662"	Reverse					
DLL3	19	"19:39,498,895-39,508,481"	Forward					
DLL1	6	"6:170,282,206-170,306,565 "	Reverse					
FABP7	6	"6:122,779,716-122,784,074"	Forward					
PRDM13	6	"6:99,606,774-99,615,578"	Forward					
PTF1A	10	"10:23,192,312-23,194,245"	Forward					
HSPB1	7	"7:76,302,673-76,304,295"	Forward					
SOX11	2	"2:5,692,384-5,701,385"	Forward					
GAL	11	"11:68,451,247-68,458,643 "	Forward					
RGS16	1	"1:182,598,623-182,604,389"	Reverse					
GADD45G	9	"9:89,605,012-89,606,555"	Forward					
VIM	10	"10:17,228,241-17,237,593"	Forward					
GAP43	3	"3:115,623,510-115,721,490"	Forward					
RBPMS	8	"8:30,384,511-30,572,256"	Forward					
PRDM1	6	"6:105,993,463-106,109,939 "	Forward					
CRX	19	"19:47,819,779-47,843,330"	Forward					
RCVRN	17	"17:9,896,320-9,905,271 "	Reverse					
ASCL1	12	"12:102,957,674-102,960,513"	Forward					
RLBP1	15	"15:89,209,869-89,221,614"	Reverse					
AQP4	18	"18:26,852,043-26,865,771"	Reverse					
SLC1A3	5	"5:36,596,588-36,688,334"	Forward					
VSX1	20	"20:25,070,885-25,082,141"	Reverse					
CABP5	19	"19:48029953 - 48044053"					
GRM6	5	"5:178,977,587-178,996,206"	Reverse					
GAD1	2	"2:170,813,213-170,861,151"	Forward					
NEUROD1	2	"2:181,668,295-181,680,827"	Reverse					
POU4F2	4	"4:146,638,893-146,642,474"	Forward					
