ensembl_transcript_id	TXNAME	H9-FT_1	transcript_length
ENST00000002596	ENST00000002596.6	8.81516	7160
ENST00000004531	ENST00000004531.14	2.15404	7560
ENST00000008876	ENST00000008876.7	3.39111	5596
ENST00000014914	ENST00000014914.6	5.67551	6582
ENST00000016171	ENST00000016171.6	20.15533	5030
ENST00000020926	ENST00000020926.8	8.69441	5165
ENST00000025008	ENST00000025008.10	50.23279	6636
ENST00000025301	ENST00000025301.4	27.41153	9915
ENST00000031146	ENST00000031146.8	1.51082	5192
ENST00000033079	ENST00000033079.7	7.92733	5465
ENST00000040738	ENST00000040738.10	113.51326	10567
ENST00000040877	ENST00000040877.2	20.47121	5206
ENST00000052754	ENST00000052754.10	0.45974	6850
ENST00000055682	ENST00000055682.12	10.537	11717
ENST00000060969	ENST00000060969.6	35.31739	5494
ENST00000061240	ENST00000061240.7	6.6111	7291
ENST00000064778	ENST00000064778.8	12.83184	7296
ENST00000066544	ENST00000066544.8	28.75689	5830
ENST00000083182	ENST00000083182.8	39.22565	6492
ENST00000156471	ENST00000156471.10	24.15629	9597
ENST00000156825	ENST00000156825.5	17.06799	5518
ENST00000157600	ENST00000157600.8	4.70947	8284
ENST00000159111	ENST00000159111.9	23.35247	5604
ENST00000160373	ENST00000160373.8	5.06635	5904
ENST00000160740	ENST00000160740.7	22.03068	6111
ENST00000161863	ENST00000161863.9	12.37199	6305
ENST00000162391	ENST00000162391.8	14.61143	5524
ENST00000164024	ENST00000164024.5	5.67551	11933
ENST00000166244	ENST00000166244.8	0.32175	5019
ENST00000167106	ENST00000167106.9	14.10445	6449
ENST00000173229	ENST00000173229.7	0.72453	5986
ENST00000176763	ENST00000176763.10	3.50191	5892
ENST00000178638	ENST00000178638.8	0.36277	6098
ENST00000179259	ENST00000179259.6	8.90935	8209
ENST00000180173	ENST00000180173.10	5.62138	5110
ENST00000181839	ENST00000181839.10	24.17466	9525
ENST00000182527	ENST00000182527.4	16.90579	7047
ENST00000184956	ENST00000184956.11	15.18698	6108
ENST00000185206	ENST00000185206.12	0.06038	5971
ENST00000190611	ENST00000190611.9	5.41848	10652
ENST00000192788	ENST00000192788.6	16.18126	9567
ENST00000193391	ENST00000193391.8	14.73219	8352
ENST00000196482	ENST00000196482.4	4.7296	5054
ENST00000200639	ENST00000200639.9	20.76641	6535
ENST00000202556	ENST00000202556.14	13.21548	5500
ENST00000202677	ENST00000202677.12	19.54456	9545
ENST00000204005	ENST00000204005.13	19.07354	5032
ENST00000204726	ENST00000204726.9	11.37542	9426
ENST00000205061	ENST00000205061.9	35.88121	8261
ENST00000206249	ENST00000206249.8	0.12076	6327
ENST00000206262	ENST00000206262.2	5.65684	7932
ENST00000206423	ENST00000206423.8	2.42222	12301
ENST00000206595	ENST00000206595.11	29.12142	5770
ENST00000209875	ENST00000209875.9	219.76597	11546
ENST00000211287	ENST00000211287.9	2.49231	6316
ENST00000211998	ENST00000211998.10	0.41913	5497
ENST00000212355	ENST00000212355.9	7.36609	6339
ENST00000215793	ENST00000215793.13	62.17891	5090
ENST00000215832	ENST00000215832.11	58.65593	5881
ENST00000216019	ENST00000216019.11	31.87382	6441
ENST00000216181	ENST00000216181.11	51.87845	7451
ENST00000216268	ENST00000216268.6	13.52463	6893
ENST00000216373	ENST00000216373.10	19.20205	5508
ENST00000216468	ENST00000216468.8	15.21521	7761
ENST00000216484	ENST00000216484.7	20.89072	8034
ENST00000216513	ENST00000216513.5	9.4581	6491
ENST00000216554	ENST00000216554.8	141.27555	5710
ENST00000217086	ENST00000217086.9	2.65662	5209
ENST00000217244	ENST00000217244.9	1.75258	12984
ENST00000217515	ENST00000217515.11	42.96241	6840
ENST00000217740	ENST00000217740.4	2.05285	5573
ENST00000217939	ENST00000217939.7	4.83023	9804
ENST00000218089	ENST00000218089.13	4.66006	5218
ENST00000218328	ENST00000218328.12	0.62813	5488
ENST00000218789	ENST00000218789.9	6.6588	5233
ENST00000219299	ENST00000219299.8	6.7496	5272
ENST00000219315	ENST00000219315.9	10.89817	6256
ENST00000219334	ENST00000219334.10	4.3472	5271
ENST00000219343	ENST00000219343.11	14.48778	6255
ENST00000219476	ENST00000219476.9	0.8927	6415
ENST00000219478	ENST00000219478.11	8.43699	5824
ENST00000219689	ENST00000219689.12	9.75888	10881
ENST00000219837	ENST00000219837.12	30.97218	6422
ENST00000219905	ENST00000219905.13	5.93748	12046
ENST00000220325	ENST00000220325.9	6.47776	6401
ENST00000220562	ENST00000220562.9	9.76519	8221
ENST00000220592	ENST00000220592.10	62.98585	14595
